matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5247963906,1670,GameComplete,True,False
NA1_5244073383,1946,GameComplete,False,False
NA1_5242372592,1410,GameComplete,False,False
NA1_5229483271,1953,GameComplete,True,False
NA1_5229469406,1147,GameComplete,False,False
NA1_5226066799,927,GameComplete,True,False
NA1_5204089781,1076,GameComplete,True,False
NA1_5203858866,156,GameComplete,False,True
NA1_5203821606,1984,GameComplete,False,False
NA1_5203228889,1196,GameComplete,True,False
NA1_5203210852,1047,GameComplete,True,False
NA1_5203177852,1825,GameComplete,False,False
NA1_5247953079,1203,GameComplete,True,False
NA1_5236192912,1356,GameComplete,True,False
NA1_5236176417,920,GameComplete,True,False
NA1_5249278064,1365,GameComplete,True,False
NA1_5249274884,102,GameComplete,False,True
NA1_5249255319,1887,GameComplete,False,False
NA1_5249414948,1337,GameComplete,True,False
NA1_5248558378,1428,GameComplete,False,False
NA1_5248529715,1750,GameComplete,True,False
NA1_5247999886,1796,GameComplete,False,False
NA1_5204772128,2210,GameComplete,False,False
NA1_5213844384,2310,GameComplete,False,False
NA1_5207244771,1294,GameComplete,False,False
NA1_5207235192,1583,GameComplete,True,False
NA1_5207226095,1445,GameComplete,False,False
NA1_5207217041,1281,GameComplete,True,False
NA1_5207213398,110,GameComplete,False,True
NA1_5205164070,1399,GameComplete,False,False
NA1_5205153904,1389,GameComplete,True,False
NA1_5205143086,1350,GameComplete,True,False
NA1_5205134867,1299,GameComplete,False,False
NA1_5205122266,1596,GameComplete,True,False
NA1_5205115774,1786,GameComplete,False,False
NA1_5245709401,1862,GameComplete,False,False
NA1_5245149164,1152,GameComplete,True,False
NA1_5242406937,1687,GameComplete,False,False
NA1_5228916364,1713,GameComplete,False,False
NA1_5228785476,1514,GameComplete,False,False
NA1_5228754407,1771,GameComplete,False,False
NA1_5221264437,939,GameComplete,True,False
NA1_5218377486,932,GameComplete,True,False
NA1_5218352726,1762,GameComplete,True,False
NA1_5218325333,1904,GameComplete,True,False
NA1_5218303987,1308,GameComplete,False,False
NA1_5218275728,1382,GameComplete,False,False
NA1_5218254128,1367,GameComplete,False,False
NA1_5216912136,1316,GameComplete,False,False
NA1_5216883470,1603,GameComplete,False,False
NA1_5216866876,1050,GameComplete,True,False
NA1_5216760174,1478,GameComplete,True,False
NA1_5216707426,1468,GameComplete,True,False
NA1_5215427894,916,GameComplete,True,False
NA1_5215418829,120,GameComplete,False,True
NA1_5215393383,1521,GameComplete,False,False
NA1_5214313477,918,GameComplete,True,False
NA1_5214307771,151,GameComplete,False,True
NA1_5213281794,401,GameComplete,True,False
NA1_5213253188,1801,GameComplete,False,False
NA1_5213138753,1990,GameComplete,False,False
NA1_5213111245,1644,GameComplete,True,False
NA1_5211412910,1461,GameComplete,False,False
NA1_5211387114,1407,GameComplete,False,False
NA1_5211361031,1458,GameComplete,True,False
NA1_5211336718,971,GameComplete,True,False
NA1_5211315203,1614,GameComplete,False,False
NA1_5211277080,1265,GameComplete,True,False
NA1_5211250991,1837,GameComplete,False,False
NA1_5211139412,1806,GameComplete,False,False
NA1_5211126927,1124,GameComplete,True,False
NA1_5210680449,919,GameComplete,True,False
NA1_5210648674,1416,GameComplete,False,False
NA1_5210632855,954,GameComplete,True,False
NA1_5216155030,1365,GameComplete,False,False
NA1_5247458831,1721,GameComplete,False,False
NA1_5243970491,1537,GameComplete,False,False
NA1_5243630733,1400,GameComplete,False,False
NA1_5242803737,1030,GameComplete,True,False
NA1_5242336643,1549,GameComplete,False,False
NA1_5241628922,1979,GameComplete,False,False
NA1_5240989658,1885,GameComplete,False,False
NA1_5226643420,1665,GameComplete,False,False
NA1_5220734337,1446,GameComplete,False,False
NA1_5220726941,1613,GameComplete,False,False
NA1_5220597990,1959,GameComplete,False,False
NA1_5220580250,923,GameComplete,True,False
NA1_5218081678,106,GameComplete,False,True
NA1_5218070963,1052,GameComplete,True,False
NA1_5217436031,1342,GameComplete,False,False
NA1_5217411224,1519,GameComplete,False,False
NA1_5217390993,1368,GameComplete,True,False
NA1_5217375849,947,GameComplete,True,False
NA1_5217356912,1461,GameComplete,True,False
NA1_5216886640,2465,GameComplete,True,False
NA1_5216867228,1180,GameComplete,True,False
NA1_5216840608,1172,GameComplete,True,False
NA1_5216806359,1822,GameComplete,False,False
NA1_5216782385,1362,GameComplete,False,False
NA1_5216746208,1954,GameComplete,True,False
NA1_5216251113,1506,GameComplete,True,False
NA1_5216233296,1174,GameComplete,True,False
NA1_5216204404,1918,GameComplete,False,False
NA1_5216177624,1549,GameComplete,True,False
NA1_5216124688,1559,GameComplete,False,False
NA1_5216098435,1375,GameComplete,True,False
NA1_5216073154,1442,GameComplete,False,False
NA1_5215517641,1275,GameComplete,False,False
NA1_5215513037,1450,GameComplete,True,False
NA1_5215457658,1282,GameComplete,True,False
NA1_5215400162,1723,GameComplete,True,False
NA1_5215380779,1313,GameComplete,False,False
NA1_5215353451,1343,GameComplete,True,False
