matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5247963906,N2RLV76jjjVQUDISUCvT09UwWdVoT-1qnkhdB07xutVLuJVtR9Zm0rs0qYpnt5mCkNCOhOW7FFeyRQ,100,275,SOLO,TOP,11,3,6,516,True,False,77,1670,569,UNRANKED,UNRANKED,13,135715
NA1_5247963906,xqoLZtpEhdPvhnrJBs4RZcpDbttTDI-g4Ct9P_OtQ4_J601nI0_J9kOEQcZdv330iWXcDwxt7EUm-w,100,15,NONE,JUNGLE,4,5,7,24,True,False,130,1670,406,UNRANKED,UNRANKED,1,1440
NA1_5247963906,mgMSSUEnleBfWXxzvGao6UpJM9BGse0hsHhlO3HQiFsQA1alQfs3owqWeAY9_GOouhq7hxx2_D4fMQ,100,253,DUO,MIDDLE,4,10,9,268,True,False,359,1670,323,UNRANKED,UNRANKED,3,6510
NA1_5247963906,zxErcpCkCyeBn-xa_gCJVQILdnDUq7pG4vHxueE2HRweBEC4Ub8uVA3fC09H4k9BOREHR1lWEFAF1Q,100,399,DUO,BOTTOM,11,2,7,18,True,False,92,1670,1133,UNRANKED,UNRANKED,18,205278
NA1_5247963906,Leakk1iRrWuxvP0cBeC_SV0UEKBbmDl_-cNaN85NSaQ04NjjTENGVo_Ff8Z4pcXGeYGCMf5ulW5h-w,100,222,SUPPORT,UTILITY,4,0,24,526,True,False,0,1670,0,UNRANKED,UNRANKED,3,8633
NA1_5247963906,Rb5qIsN2-szMlBGsnaAZlMQEdKA0e9TDcbipPmnR3mAdhz-ApX6rZriO_aJmZw6s9kUo-kgFkW-6Iw,200,369,SOLO,TOP,5,7,1,67,False,False,246,1670,673,UNRANKED,UNRANKED,53,656166
NA1_5247963906,Xge3u-zqJcuXIjc6VubXOiNDssEW0RFkumbfuhKxVGnIcFZbgce69YNUoAnFsNTiu9L3tFX-pUIyMA,200,137,NONE,JUNGLE,3,9,2,141,False,False,308,1670,506,GOLD,I,8,57619
NA1_5247963906,8QRE3M1Nn_QVYUMZf5GHkwZhBDkqdbo8vSXyFyMkkXle0sqq-61WWnXiF5B0Spt8v1p0jCdXhgpngA,200,55,SOLO,MIDDLE,7,3,1,7,False,False,82,1670,990,UNRANKED,UNRANKED,13,115418
NA1_5247963906,7mURaw54exjhRlcrEwoP4gI3h8z-3AUA-SgHAJHOJYC5phXZUoti31C24ffw87Ihu5B_36dLdktupA,200,691,CARRY,BOTTOM,1,9,1,157,False,False,293,1670,628,BRONZE,I,35,373867
NA1_5247963906,J2GFNTbGt756WKbzZ1roe6Jozh0S98wiwJ8qRZVt3WNjpvk7HU6jokUBEOrg_hXdtC1WAa_nX003RA,200,118,SUPPORT,UTILITY,4,6,6,54,False,False,206,1670,486,GOLD,III,14,124590
NA1_5244073383,9saa_m_FJ2tV3IHp2g55Xo30MzmAL5VaTiZHuTVY5zEq8UOc_Nq_LfoyXdlbDhT-nLi-Pha-E1TUxA,100,95,SOLO,TOP,12,6,3,23,True,False,280,1946,478,UNRANKED,UNRANKED,12,106224
NA1_5244073383,oBYBM5XmBKRtLqj4GI8VxOj27Rx5VyNmMknk94wJziGfIRG__gSz8Af9u7xy54YaK1LboVyInwlWKw,100,30,NONE,JUNGLE,1,10,12,163,True,False,447,1946,698,GOLD,II,2,3713
NA1_5244073383,tl-RBKGphYjr5S1WjZjVsrWZa-NZlc8VAu_OumVzK1ahArz0_IWhdP1OYtX7bttwZhso6tgm1gdUQw,100,277,SOLO,MIDDLE,18,7,6,55,True,False,302,1946,467,GOLD,IV,34,346989
NA1_5244073383,ti86S0ah56itqJuy7NTrrRofx_BnsJ9OIQv_SGFtarK7ykL2qfPG6pPFe_-A0cm9ZdA7RFekUNcE9g,100,99,CARRY,BOTTOM,7,6,9,498,True,False,240,1946,599,UNRANKED,UNRANKED,18,407843
NA1_5244073383,u8sh3kt5Tif0fmlmBenqKNQKdchRsyk8uzT_bxRVCB6CEH85qiDI70khRzy7nYHbpE0oAz3VZDwViQ,100,94,SUPPORT,UTILITY,5,8,13,9,True,False,352,1946,644,UNRANKED,UNRANKED,31,590392
NA1_5244073383,7mURaw54exjhRlcrEwoP4gI3h8z-3AUA-SgHAJHOJYC5phXZUoti31C24ffw87Ihu5B_36dLdktupA,200,690,SOLO,TOP,7,9,4,157,False,False,270,1946,464,BRONZE,I,35,373867
NA1_5244073383,RhEMAPPNoORD6RLejovJRexYROsH9RuMX28OQC1fmTeZZrbmfvzFkwtLGzqe7O-Gp721aIEH6c4Cwg,200,172,SUPPORT,JUNGLE,12,10,4,28,False,False,328,1946,389,UNRANKED,UNRANKED,19,197897
NA1_5244073383,tqESZI-gG8-KdDdz7bnRqT1BysG4H3Uif82mo9MD8Pe8QqT1ypNLmnHeHoooOd5KRPr9jymB54tyCQ,200,231,CARRY,MIDDLE,5,9,6,166,False,False,290,1946,275,UNRANKED,UNRANKED,5,30713
