matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5227365710,2248,GameComplete,False,False
NA1_5227346789,2261,GameComplete,False,False
NA1_5227329969,1833,GameComplete,False,False
NA1_5223287862,1663,GameComplete,False,False
NA1_5223248615,1720,GameComplete,False,False
NA1_5223226138,1404,GameComplete,True,False
NA1_5223190843,2386,GameComplete,False,False
NA1_5223182135,107,GameComplete,False,True
NA1_5223154815,1948,GameComplete,False,False
NA1_5216582767,2462,GameComplete,False,False
NA1_5216556957,2090,GameComplete,False,False
NA1_5216414470,1266,GameComplete,True,False
NA1_5216405868,2091,GameComplete,False,False
NA1_5216223394,1465,GameComplete,True,False
NA1_5216188703,1971,GameComplete,False,False
NA1_5216148659,1935,GameComplete,False,False
NA1_5215879162,2030,GameComplete,False,False
NA1_5215837920,2091,GameComplete,False,False
NA1_5215812188,1557,GameComplete,False,False
NA1_5215784235,1654,GameComplete,False,False
NA1_5214756297,1984,GameComplete,False,False
NA1_5214739147,1455,GameComplete,True,False
NA1_5214715702,2309,GameComplete,False,False
NA1_5210405354,2110,GameComplete,False,False
NA1_5210374650,1771,GameComplete,False,False
NA1_5210362984,912,GameComplete,True,False
NA1_5210340048,1540,GameComplete,False,False
NA1_5209616475,2663,GameComplete,False,False
NA1_5209589910,2257,GameComplete,False,False
NA1_5209564786,1921,GameComplete,False,False
NA1_5209537218,1710,GameComplete,True,False
NA1_5209042083,2017,GameComplete,False,False
NA1_5208995992,2766,GameComplete,False,False
NA1_5208962606,1818,GameComplete,True,False
NA1_5208947607,707,GameComplete,True,False
NA1_5208045083,1381,GameComplete,True,False
NA1_5208030037,1850,GameComplete,False,False
NA1_5207489094,2379,GameComplete,False,False
NA1_5207485791,106,GameComplete,False,True
NA1_5207458974,2210,GameComplete,False,False
NA1_5237865023,1216,GameComplete,True,False
NA1_5237840137,2925,GameComplete,False,False
NA1_5237388673,2110,GameComplete,False,False
NA1_5237294891,1811,GameComplete,False,False
NA1_5237276586,1380,GameComplete,False,False
NA1_5237259728,1593,GameComplete,False,False
NA1_5235503976,1835,GameComplete,False,False
NA1_5235481253,1099,GameComplete,True,False
NA1_5230906891,2376,GameComplete,False,False
NA1_5230880042,2054,GameComplete,True,False
NA1_5230858114,1289,GameComplete,True,False
NA1_5230207485,1816,GameComplete,False,False
NA1_5230184348,1780,GameComplete,False,False
NA1_5230164672,1240,GameComplete,False,False
NA1_5219260716,2017,GameComplete,False,False
NA1_5219251904,1573,GameComplete,False,False
NA1_5218096922,1811,GameComplete,False,False
NA1_5218061130,2490,GameComplete,False,False
NA1_5217290579,1960,GameComplete,False,False
NA1_5217272050,1948,GameComplete,False,False
NA1_5216782012,1403,GameComplete,True,False
NA1_5216744944,1914,GameComplete,True,False
NA1_5208818691,1626,GameComplete,False,False
NA1_5206051571,1428,GameComplete,True,False
NA1_5206034365,1655,GameComplete,True,False
NA1_5204303684,1062,GameComplete,True,False
NA1_5204304832,148,GameComplete,False,True
NA1_5204269197,1778,GameComplete,False,False
NA1_5187786770,1117,GameComplete,True,False
NA1_5187774569,223,GameComplete,True,False
NA1_5184766895,2682,GameComplete,False,False
NA1_5175140549,1363,GameComplete,True,False
NA1_5175116517,1671,GameComplete,False,False
NA1_5174235698,1912,GameComplete,False,False
NA1_5174220048,944,GameComplete,True,False
NA1_5167316237,2312,GameComplete,False,False
NA1_5157329332,1724,GameComplete,True,False
NA1_5149169448,1145,GameComplete,True,False
NA1_5145659220,1964,GameComplete,False,False
NA1_5145641155,1588,GameComplete,False,False
NA1_5145551571,109,GameComplete,False,True
NA1_5145537409,1669,GameComplete,False,False
NA1_5142073520,1679,GameComplete,True,False
NA1_5142052865,1431,GameComplete,False,False
NA1_5137206017,1879,GameComplete,False,False
NA1_5132846875,1721,GameComplete,False,False
NA1_5132810056,2033,GameComplete,True,False
NA1_5128673321,354,GameComplete,True,False
NA1_5108430370,1591,GameComplete,False,False
NA1_5085924706,1499,GameComplete,True,False
NA1_5085898185,1541,GameComplete,True,False
NA1_5077934336,2239,GameComplete,False,False
NA1_5075557524,1485,GameComplete,False,False
NA1_5075492103,2702,GameComplete,False,False
NA1_5055114297,1427,GameComplete,False,False
NA1_5053006309,1239,GameComplete,False,False
NA1_5244496270,2257,GameComplete,True,False
NA1_5243501534,2677,GameComplete,False,False
NA1_5240480451,1839,GameComplete,False,False
NA1_5240385996,2124,GameComplete,False,False
NA1_5240355078,1851,GameComplete,False,False
NA1_5229565747,1782,GameComplete,False,False
NA1_5225483573,1809,GameComplete,False,False
NA1_5225446834,1962,GameComplete,False,False
NA1_5219656070,1909,GameComplete,False,False
NA1_5219580343,2499,GameComplete,False,False
NA1_5199809345,2657,GameComplete,False,False
NA1_5193505629,2020,GameComplete,False,False
NA1_5123530633,110,GameComplete,False,True
NA1_5123495288,2458,GameComplete,False,False
NA1_5242059309,1852,GameComplete,False,False
NA1_5242041911,2068,GameComplete,True,False
NA1_5237963806,2463,GameComplete,False,False
NA1_5237944929,1386,GameComplete,False,False
NA1_5217886449,1637,GameComplete,True,False
NA1_5217872969,2288,GameComplete,True,False
NA1_5217672750,1573,GameComplete,False,False
NA1_5217652151,1204,GameComplete,True,False
NA1_5212721721,2293,GameComplete,False,False
NA1_5212687395,1964,GameComplete,False,False
NA1_5212651962,2306,GameComplete,True,False
NA1_5212623712,1589,GameComplete,True,False
NA1_5212524632,1974,GameComplete,True,False
NA1_5212513801,1175,GameComplete,True,False
NA1_4851380019,1737,,True,False
NA1_4851351128,1901,,False,False
NA1_4851264885,1929,,False,False
NA1_4824396496,2052,,False,False
NA1_4824376230,2156,,True,False
NA1_4824351546,1927,,False,False
NA1_5246507702,2250,GameComplete,False,False
NA1_5246352363,2980,GameComplete,False,False
NA1_5246063231,1024,GameComplete,True,False
NA1_5246044773,2172,GameComplete,False,False
NA1_5244884541,1075,GameComplete,True,False
NA1_5244866007,1924,GameComplete,False,False
NA1_5244842847,1889,GameComplete,False,False
NA1_5244699446,1969,GameComplete,True,False
NA1_5243574144,2130,GameComplete,False,False
NA1_5243554093,1485,GameComplete,False,False
NA1_5243543227,497,GameComplete,True,False
NA1_5243508869,1894,GameComplete,False,False
NA1_5243360058,2125,GameComplete,False,False
NA1_5243337090,1638,GameComplete,False,False
NA1_5243262261,1225,GameComplete,True,False
NA1_5243232025,1262,GameComplete,True,False
NA1_5243201430,2441,GameComplete,False,False
NA1_5243191555,951,GameComplete,True,False
NA1_5243184213,915,GameComplete,True,False
NA1_5243059161,1669,GameComplete,False,False
NA1_5243051586,1403,GameComplete,False,False
NA1_5243042515,1698,GameComplete,True,False
NA1_5243039581,101,GameComplete,False,True
NA1_5242982368,974,GameComplete,True,False
NA1_5242458293,2556,GameComplete,False,False
NA1_5242445906,1684,GameComplete,False,False
NA1_5242439618,105,GameComplete,False,True
NA1_5242362378,2512,GameComplete,False,False
NA1_5242330640,1980,GameComplete,True,False
NA1_5242299642,1724,GameComplete,False,False
NA1_5241818245,1862,GameComplete,False,False
NA1_5241792094,1962,GameComplete,False,False
NA1_5241302930,1482,GameComplete,False,False
NA1_5241278954,2216,GameComplete,False,False
NA1_5241249828,2023,GameComplete,False,False
