matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5227365710,pdr1gP4YAzRcOL_lcA7HiqlsHhH6-lBGLXH7I1NaUYUC44g54-xYndVBGqT01sJt4p5Gd7ECeJG5mA,100,98,SOLO,TOP,6,7,10,17,True,False,255,2248,549,BRONZE,IV,32,510718
NA1_5227365710,evOYTX_460BNH5jRs9Fd8r4lwqS5zezmaif2J1wQ31uUJ0EIjiu1eMLwzuhZBkpcWjILfuSdjc4RQA,100,44,NONE,JUNGLE,7,5,10,203,True,False,179,2248,765,IRON,IV,3,8754
NA1_5227365710,Osdw_BBsJUumjAav3qImyEJlmrNshL7sIfYJArOPdpOfKaV3e-Q-q2KMkIfG-0vcnPDX4xtchf1yAA,100,265,DUO,MIDDLE,15,7,13,34,True,False,327,2248,737,BRONZE,IV,138,2088473
NA1_5227365710,KSXloA1lJfu2uua9doG1r4mz22VVV8qdYRyiCUplPj4FkFM5JLBGXOFzebvczxrO2kNKgy7sszUP8Q,100,66,DUO,BOTTOM,8,4,9,15,True,False,90,2248,930,IRON,II,10,112527
NA1_5227365710,qWjwBum3qCwpK_ya7Bz0qKRvXadReAncibNrIC-6bD_WDCxxGr75Pqfa7WeF6zQn2Q6gnmtzVLpa1A,100,54,SOLO,UTILITY,5,7,21,526,True,False,220,2248,608,BRONZE,III,8,61767
NA1_5227365710,K007BP1DXQsVQ7LEQuTS21sp9-cOTQtLb02yDfF6-2tzwMrzlmba3CUWGekL1DPVEXCbzjw5JSQHsQ,200,109,SOLO,TOP,7,8,8,266,False,False,338,2248,1037,BRONZE,II,3,10197
NA1_5227365710,xjEZkKj0HxBWScO3FkKiUtjjjTd9Lnl1ipEbofs1Xt9zrGJdQj4yrc6bopxx09hfmRjLkrmihkg_5Q,200,212,SUPPORT,JUNGLE,6,11,9,62,False,False,397,2248,943,IRON,II,104,1985140
NA1_5227365710,FUpZiG-PQ83xk6lhsMCKbQ5Hdy1hCagz6wrwJ4JqUMt3uZOzyeb-oXlvSSHyVDWtccLfPpW8DBlHUw,200,54,CARRY,MIDDLE,9,5,8,91,False,False,173,2248,777,IRON,II,13,231421
NA1_5227365710,L6_ONkDtHSXKBWk4FAoe78mdkQB_cE8FTQEFI8TtcDtd6VrnkRW1v55fqOQNKQD-NIuARmHExX_z3A,200,250,CARRY,BOTTOM,4,11,8,99,False,False,351,2248,472,BRONZE,IV,14,125798
NA1_5227365710,v37kQ7EdS6zW3RlTTQC19Q0teENZONz8a8HK2wvnMMPFkbImT5C2YprTaRhA_z2cQEf5DycQ8oF-Lg,200,468,SUPPORT,UTILITY,3,6,9,201,False,False,196,2248,455,BRONZE,IV,7,42894
NA1_5227346789,Qgr9-T1yI_GkmUOHbYkfCcXukHS7W56ejQ1Uo-gJOQFE5MsYbJ5-6QhqdakKiLpBH3LpgE7NvzBx4w,100,247,SOLO,TOP,9,7,4,67,False,False,235,2261,583,BRONZE,III,4,14504
NA1_5227346789,k2SjeFD0AYFLeAolfGtvhCgpXL8lUP0JNGCpl7v6xsurNtDLRdT0fqQbY9C-gPH0smJ4JT4KlbWg_g,100,72,NONE,JUNGLE,5,9,12,60,False,False,311,2261,541,BRONZE,IV,4,16483
NA1_5227346789,gJIHjOfuUiiH7PSq0zW50l3iPUTN42hziLrBNFuASNqanvWtUJN4Yf2JpP3gwI5mMwJP_bIq14EFuA,100,328,SOLO,MIDDLE,12,13,6,131,False,False,437,2261,660,IRON,III,19,352258
NA1_5227346789,faTQlDpncDCMptTNEj9zcFfFcyW76_fmBVKxM5imX2GnVWREdDwUUCqkPOLF10q4lp4N58ERS6PeYA,100,161,CARRY,BOTTOM,8,9,11,498,False,False,247,2261,607,BRONZE,I,4,16988
NA1_5227346789,qWjwBum3qCwpK_ya7Bz0qKRvXadReAncibNrIC-6bD_WDCxxGr75Pqfa7WeF6zQn2Q6gnmtzVLpa1A,100,53,SUPPORT,UTILITY,3,9,10,526,False,False,271,2261,544,BRONZE,III,8,61767
NA1_5227346789,O14lIj2b1YOZauzVUz173hTVupcnXEQI8wdBLJ_Qt_dtg6HX4KtdKnmEyvMO0YSjjTIquXFW0kAyDQ,200,87,SOLO,TOP,17,8,7,233,True,False,265,2261,494,SILVER,IV,5,30057
NA1_5227346789,sGddRFSAA4kKvvAmjHSWUOPGXs3WxAKbwuEWU4ZvknY21EaY-tFfRzp_NZ_LmPYTnJxpL3T5A8MoNw,200,121,NONE,JUNGLE,4,7,11,62,True,False,229,2261,370,IRON,I,2,3648
NA1_5227346789,cT5S_V9oFVLwQFHEWu2JY7-Xzf4y0fLu4apKewHOKKXtPfOU3JxDxN0sySdo49IaTCobO9i1UGB42w,200,151,SOLO,MIDDLE,3,8,10,10,True,False,304,2261,494,BRONZE,IV,5,22198
NA1_5227346789,tiGW0Rws3V1QCWyROeRYaSrLmF8-lZkVddrQwFvAp0-etN2zIOBM6wk49D-1f53IAX0WVw_cClE0ag,200,509,NONE,BOTTOM,17,7,9,110,True,False,207,2261,616,BRONZE,I,130,1967718
