matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5204457868,Ua4TIe_RNkbDCXa1G_nM_gSZjEu6abRwRsSWEFOXSly3_J6t93s1db64-qoFNu5inxm7bgmLQnOELA,100,59,SUPPORT,TOP,3,2,7,17,True,False,26,963,193,UNRANKED,UNRANKED,4,18576
NA1_5204457868,qWjwBum3qCwpK_ya7Bz0qKRvXadReAncibNrIC-6bD_WDCxxGr75Pqfa7WeF6zQn2Q6gnmtzVLpa1A,100,49,SUPPORT,JUNGLE,1,0,6,233,True,False,0,963,0,BRONZE,III,5,30200
NA1_5204457868,oLRUEZwDLJdWCFR0h1dWffWdsUPBcXwxXTtp0QzxPPVN4v2R5ulHWzjyyAYnnxcJRRjO-PKWkPp8xA,100,84,SUPPORT,MIDDLE,11,1,1,7,True,False,25,963,503,UNRANKED,UNRANKED,7,46253
NA1_5204457868,FAhvs0KC9gEVeTwTPFj0U8RcOhEUFaW28pqj5as1Vl8aY03_wpRpVhC7nV_eAZPOD3nOpwe8Sg8jEg,100,67,DUO,BOTTOM,1,1,2,51,True,False,0,963,958,UNRANKED,UNRANKED,3,10282
NA1_5204457868,w1vje7K4FeACslDk159Jffvn08bGcdmbnK0VDRNp04SYBWidl6xstC1yQo_DdfXGpabdxtxxxO1Pfg,100,214,SUPPORT,UTILITY,5,2,5,99,True,False,16,963,469,PLATINUM,IV,5,26157
NA1_5204457868,tfQQ7x61nvEJfUrnt7FIPe-B6CrLdBEZENDgmpIDgPZ2zrUfZWS_8N1_xHC5mwUzI1ymReOzpQ7cFA,200,487,SUPPORT,TOP,3,7,0,233,False,False,143,963,193,SILVER,II,6,29153
NA1_5204457868,_3T1Dwo6lOzip-2Pm0ATIzC6y51uIt7HjPN9MCZ9QYG19ylSSQ3rEQD80K7pM187PCMkundmZWjNjQ,200,105,SUPPORT,JUNGLE,3,6,0,799,False,False,130,963,237,UNRANKED,UNRANKED,2,3511
NA1_5204457868,3T5YP7KIz5mKa-i-AKACEWOVmp1fo246d5cJkbOFQag8ml2jUujDubTd93xc3ppihx4Rm8CctWJtQg,200,283,SUPPORT,MIDDLE,0,5,0,112,False,False,114,963,297,UNRANKED,UNRANKED,4,14612
NA1_5204457868,CFj04IZ8kh7pWSvWQ3J3E4gVFFf6dkizJx4aKa9XcJ2ZyGDiRXyLgeIUuA1JNYEjKIjWu2PEVFMK_w,200,20,SUPPORT,BOTTOM,0,3,0,18,False,False,46,963,267,IRON,II,17,403576
NA1_5204457868,dGdg7aZ6IQxqbI9DmeCAwSbUUvjy79HHR66AsPcC34e89WnfUeXUuXVapc-CR9b1xxCBQQFNP9Zg2w,200,429,SUPPORT,UTILITY,0,1,2,526,False,False,25,963,683,SILVER,III,6,39799
