matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5222107980,1604,GameComplete,True,False
NA1_5209790877,2438,GameComplete,False,False
NA1_5205614668,1832,GameComplete,False,False
NA1_5205572843,2313,GameComplete,False,False
NA1_5205530828,1645,GameComplete,False,False
NA1_5204960992,2260,GameComplete,False,False
NA1_5204874530,2717,GameComplete,False,False
NA1_5204868754,104,GameComplete,False,True
NA1_5165756538,1545,GameComplete,False,False
NA1_5165735383,1274,GameComplete,False,False
NA1_5162184140,2080,GameComplete,False,False
NA1_5162131043,2024,GameComplete,True,False
NA1_5156209033,2992,GameComplete,True,False
NA1_5156194893,1888,GameComplete,False,False
NA1_5156186737,757,GameComplete,True,False
NA1_5095088986,3113,GameComplete,False,False
NA1_5095053161,2423,GameComplete,True,False
NA1_5094856257,2296,GameComplete,False,False
NA1_5094324037,1629,GameComplete,False,False
NA1_5094287160,1710,GameComplete,True,False
NA1_5079410479,2269,GameComplete,False,False
NA1_5079370072,1300,GameComplete,False,False
NA1_5078943235,1566,GameComplete,False,False
NA1_5039275174,1318,GameComplete,True,False
NA1_5039244577,1528,GameComplete,False,False
NA1_5039218585,1728,GameComplete,False,False
NA1_5039204324,1179,GameComplete,False,False
NA1_5027958206,1444,GameComplete,False,False
NA1_5242124814,1313,GameComplete,False,False
NA1_5242103982,1851,GameComplete,False,False
NA1_5242083010,1357,GameComplete,False,False
NA1_5241298517,1421,GameComplete,False,False
NA1_5241278520,1885,GameComplete,False,False
NA1_5241254700,1927,GameComplete,False,False
NA1_5241226147,2474,GameComplete,False,False
NA1_5241145621,2269,GameComplete,False,False
NA1_5241116953,1828,GameComplete,False,False
NA1_5241062757,1447,GameComplete,False,False
NA1_5241043768,1494,GameComplete,True,False
NA1_5241031841,923,GameComplete,True,False
NA1_5241008393,1839,GameComplete,False,False
NA1_5240970357,2387,GameComplete,False,False
NA1_5240703834,2138,GameComplete,False,False
NA1_5240679794,1544,GameComplete,True,False
NA1_5240652628,1512,GameComplete,True,False
NA1_5240629094,1749,GameComplete,False,False
NA1_5240581872,2481,GameComplete,False,False
NA1_5240551456,1441,GameComplete,True,False
NA1_5240506778,1940,GameComplete,False,False
NA1_5240477984,1794,GameComplete,False,False
NA1_5240452859,1633,GameComplete,True,False
NA1_5240419637,1349,GameComplete,True,False
NA1_5240409079,915,GameComplete,True,False
NA1_5240391018,1282,GameComplete,True,False
NA1_5240363889,2094,GameComplete,False,False
NA1_5240333614,1653,GameComplete,False,False
NA1_5239166290,1898,GameComplete,False,False
NA1_5239143174,1681,GameComplete,False,False
NA1_5239109490,1887,GameComplete,False,False
NA1_5238989896,1379,GameComplete,True,False
NA1_5238305441,1385,GameComplete,False,False
NA1_5238301109,1371,GameComplete,False,False
NA1_5194382945,1604,GameComplete,False,False
NA1_5143195763,2193,GameComplete,True,False
NA1_5143148392,935,GameComplete,True,False
NA1_5143138785,1482,GameComplete,False,False
NA1_5139481291,2429,GameComplete,False,False
NA1_5139368413,1925,GameComplete,False,False
NA1_5138171178,2073,GameComplete,False,False
NA1_5138116618,2122,GameComplete,False,False
NA1_5138067330,1713,GameComplete,False,False
NA1_5138003936,1287,GameComplete,True,False
NA1_5137953311,1925,GameComplete,False,False
NA1_5137715602,2403,GameComplete,False,False
NA1_5131069198,2354,GameComplete,False,False
NA1_5131043473,1745,GameComplete,False,False
NA1_5131035137,2446,GameComplete,False,False
NA1_5131012716,2246,GameComplete,False,False
NA1_5130994005,2306,GameComplete,False,False
NA1_5130447229,1004,GameComplete,True,False
NA1_5130438572,1507,GameComplete,False,False
NA1_5130421633,105,GameComplete,False,True
NA1_5130407473,1600,GameComplete,True,False
NA1_5122946264,2080,GameComplete,False,False
NA1_5122900695,1724,GameComplete,False,False
NA1_5122846691,1860,GameComplete,False,False
NA1_5122840529,107,GameComplete,False,True
NA1_5122687669,2315,GameComplete,False,False
NA1_5122659190,1934,GameComplete,False,False
NA1_5102645742,1533,GameComplete,False,False
NA1_5102560325,1812,GameComplete,False,False
NA1_5102475919,1669,GameComplete,False,False
NA1_5102440007,1724,GameComplete,False,False
NA1_5102392839,2331,GameComplete,False,False
NA1_5102347299,2066,GameComplete,False,False
NA1_5102286356,3230,GameComplete,False,False
NA1_5102258670,1349,GameComplete,False,False
NA1_5102227714,1513,GameComplete,True,False
NA1_5101808239,1937,GameComplete,False,False
NA1_5101072160,2244,GameComplete,False,False
NA1_5020744034,1080,GameComplete,False,False
NA1_5020646494,2440,GameComplete,False,False
NA1_5020609014,2361,GameComplete,False,False
NA1_5014815351,1720,GameComplete,False,False
NA1_5010831155,1470,GameComplete,False,False
NA1_5009373661,1634,GameComplete,False,False
NA1_5009356034,1541,GameComplete,False,False
NA1_5009324634,2034,GameComplete,False,False
NA1_5009031535,2241,GameComplete,False,False
NA1_5009020121,1558,GameComplete,False,False
NA1_5008990357,2188,GameComplete,False,False
NA1_5008953918,1696,GameComplete,False,False
NA1_5008896402,1736,GameComplete,True,False
NA1_5008820294,3014,GameComplete,False,False
NA1_5008773410,1549,GameComplete,False,False
NA1_5008724882,2326,GameComplete,False,False
NA1_5008690310,1380,GameComplete,False,False
NA1_5008657701,2024,GameComplete,False,False
NA1_5008619859,2105,GameComplete,False,False
NA1_5007570750,2024,GameComplete,True,False
NA1_5007535835,923,GameComplete,True,False
NA1_5007465339,2531,GameComplete,False,False
NA1_5007413676,2251,GameComplete,False,False
NA1_5007341802,1949,GameComplete,False,False
NA1_5007303298,1827,GameComplete,False,False
NA1_5007218370,1865,GameComplete,True,False
NA1_5007199892,1701,GameComplete,True,False
NA1_5007181845,1381,GameComplete,False,False
NA1_5252936874,2184,GameComplete,False,False
NA1_5252863507,2065,GameComplete,False,False
NA1_5252765559,1795,GameComplete,False,False
NA1_5252740282,1668,GameComplete,False,False
NA1_5252641033,1340,GameComplete,False,False
NA1_5252615966,2334,GameComplete,False,False
NA1_5252351182,2317,GameComplete,False,False
NA1_5252322334,1815,GameComplete,False,False
NA1_5252277164,1986,GameComplete,False,False
NA1_5251775997,3129,GameComplete,False,False
NA1_5251751476,2411,GameComplete,False,False
NA1_5251729358,1673,GameComplete,False,False
NA1_5251702110,1898,GameComplete,False,False
NA1_5251442289,2745,GameComplete,False,False
NA1_5251438020,103,GameComplete,False,True
NA1_5250640760,2387,GameComplete,False,False
NA1_5250619242,2134,GameComplete,False,False
NA1_5250601336,1839,GameComplete,False,False
NA1_5250584124,1247,GameComplete,True,False
NA1_5250562776,1552,GameComplete,False,False
NA1_5250224764,1686,GameComplete,True,False
NA1_5249472664,1995,GameComplete,False,False
NA1_5249437004,2067,GameComplete,False,False
NA1_5248844772,2095,GameComplete,False,False
NA1_5248814064,1766,GameComplete,False,False
NA1_5248769340,2220,GameComplete,False,False
NA1_5248660404,1945,GameComplete,False,False
