matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5249063709,T_nzXlmLlBDYbiygt8z_4GjIcSOnuyR0yHYXestpH0GJw52M3cRdZs3IXhB65oVCHJVsl12oSbqYvw,100,57,SOLO,TOP,6,6,2,23,False,False,208,1598,579,UNRANKED,UNRANKED,23,490363
NA1_5249063709,BNoCerTLm1tpxEjccun92sLkRC33MxmyDRtiDaFzN7YKuju7eNWxH7IcyZ1qQKbEqKWfEEF2pKaRqQ,100,245,NONE,JUNGLE,2,8,9,14,False,False,214,1598,442,UNRANKED,UNRANKED,47,968497
NA1_5249063709,N7rhXryR9FrcqwvRjrsoQhHshfO3I_OVtTHLTH1LizYeaPXmDZkgb8_bramx1czJsRBsefsbUZVq5A,100,153,DUO,MIDDLE,9,8,2,45,False,False,288,1598,412,SILVER,IV,1,1222
NA1_5249063709,Gci__FTZN0J2f4Q_A6kf50Pe4-EzWRl-8ITG2rJ8m1Bmhqu0WezLIMRXxu8RTWPPiMzZFxPA6ibutg,100,98,SUPPORT,BOTTOM,4,10,7,29,False,False,316,1598,377,UNRANKED,UNRANKED,3,9068
NA1_5249063709,Bz70nkOEtX5oOVG13C0QZGhtil0XqEIaPe4uhKl-ymur4lrm5NfQmB4rnAWQlZbthjTD0uxtpmeRXQ,100,258,SUPPORT,UTILITY,3,8,8,53,False,False,251,1598,390,UNRANKED,UNRANKED,5,25571
NA1_5249063709,ed3L-VHSN24_xqKuV9XEG9KR55lgr6K9rclfflnpHba8EHTxcUUietL7MIpX_8McbGJlU9fVNLxoOg,200,172,SOLO,TOP,3,7,8,897,True,False,219,1598,238,BRONZE,IV,2,4503
NA1_5249063709,k2Ssog--hfGQPlG3IYe8P8XLbf25UMhiV-Kf6DM1JGs5hRJK9p4B4VcT9GdLubq7LrVOQv1C6pyrCQ,200,166,NONE,JUNGLE,6,2,12,120,True,False,63,1598,664,UNRANKED,UNRANKED,2,1800
NA1_5249063709,_HjFFO_ppun_RMTyd_84_4SZp8Um5ZpryCu_4VJoZq1Sm-_x3COyLd2y3GUGPR82sbXWVIBrTOijCw,200,614,SOLO,MIDDLE,16,3,9,245,True,False,120,1598,693,UNRANKED,UNRANKED,10,83433
NA1_5249063709,HZvM4dGx2P9RKIOuti41mTQUqN5SkyKqT92CPGiICxMBWLsklE8NoNCxtj0jvZxa8epzCm-vGu8-Xg,200,109,CARRY,BOTTOM,5,5,10,81,True,False,186,1598,942,IRON,IV,7,47496
NA1_5249063709,kXJ6kBMU23ZxN_YsRbIKbnZp_DaheAEcW9h6l_YpR3d4rc3uZYWz9Dh-6-yLmlp1kH1GpdaKi9UI9g,200,623,SUPPORT,UTILITY,10,7,8,35,True,False,179,1598,458,PLATINUM,III,8,54454
NA1_5249060617,fWPrjI2NC8U_QNjWz2fFtmOTYHm_i3m6E5s177qehtwefaDFWgUvOc2As12bsF78pk5WUVA-jLaO6g,100,30,SUPPORT,TOP,2,10,0,23,False,False,338,1936,283,UNRANKED,UNRANKED,6,33149
NA1_5249060617,uYzgX_qCVrua7-2jvA0D2syF-3hb_9ZoDNUMlPg_r3Fgr8G7SMH5yTpUxG-PitDZe9W81iejICtMXQ,100,8,NONE,JUNGLE,9,9,3,19,False,False,392,1936,640,UNRANKED,UNRANKED,2,5502
NA1_5249060617,ed3L-VHSN24_xqKuV9XEG9KR55lgr6K9rclfflnpHba8EHTxcUUietL7MIpX_8McbGJlU9fVNLxoOg,100,172,CARRY,MIDDLE,3,8,3,897,False,False,336,1936,674,BRONZE,IV,2,4503
NA1_5249060617,Pn86MGtxfe2yJP_kfpOXS_crWPyWOfeP4FVG_Y3VPtL8UY_WBt8f9NQq8zXO7CVcDqBgNuFOuHE80Q,100,373,CARRY,BOTTOM,13,7,10,517,False,False,264,1936,492,SILVER,IV,4,13490
NA1_5249060617,UMyrzZ4tFT1evR3gFbD3L7HgTz7McVmQTurC6NOq8E-ylv1EdVX16lhVmKNouD2rxbwsRlDKGaOAQA,100,63,SUPPORT,UTILITY,9,6,8,555,False,False,254,1936,1068,IRON,IV,17,158307
NA1_5249060617,hVZfMktjC0FvLiylyFcLeW1L3kmEAfTUxEOL1iWYxkG4E48IZA9V6gNQwmzJ9TMT-2AcFVyonStjHw,200,10,SOLO,TOP,20,3,1,122,True,False,171,1936,1427,UNRANKED,UNRANKED,3,7854
NA1_5249060617,sPxDbh3QyBBsHc7AtCGgfc5rR2IVRjam-ClzGOfrlStpCoMpPiFo2i3QW-KO_J7Csz2RyFXAXeK6pg,200,36,SUPPORT,JUNGLE,8,5,13,5,True,False,147,1936,707,IRON,IV,3,12481
NA1_5249060617,6MYau85nEYu6wJMf3BpzkbcWJME4JeIsG93LsCuNAAiC3SJuuk9bhGxP4ePspt3bL7edPrKYPyBvlA,200,43,CARRY,MIDDLE,7,5,5,45,True,False,215,1936,668,UNRANKED,UNRANKED,1,1688
NA1_5249060617,VZVNuRz6Lf9as9vRniL9GqiZ7nklwwW4Tc5ZTn-qSWOcyb0UKeR25tVlEIi0IoJFereyuacE93pDJw,200,646,CARRY,BOTTOM,3,11,6,222,True,False,371,1936,256,GOLD,IV,3,8383
NA1_5249060617,taGivqtfy0qIZzDY63B-Vyqh4_ODlayKI5pjJeOG3Un9Recmiyo71lE02d2-8lHn-oU2qCwKqOacZg,200,92,SUPPORT,UTILITY,2,12,4,161,True,False,428,1936,290,SILVER,II,2,2139
NA1_5228007119,2wOB8cmSSPaRY0YJ3h5mA3X48t7WqXEiTts6UBW0rD1ILXLaGbYMZU1TwFQOQiqf8zjuD0RuWNfi4A,100,13,SOLO,TOP,9,11,8,82,False,False,407,1910,318,UNRANKED,UNRANKED,3,7921
NA1_5228007119,EwG8pj0EYQ_mLCZ9vHAp0Xut_RJXVmZiG3_8LMVRZzogm1b_6g87PbDJXV8JYxNF3CiS6GmeGfguFg,100,90,NONE,JUNGLE,3,10,5,950,False,False,436,1910,514,IRON,II,1,1079
NA1_5228007119,hf7LqXefyHbC60HWhfUNr-lUbi0Y1_TbfN_GE6hvNmCqVJdMwTaG3jChwTyo_sgnCPsmrV24rYJPbA,100,155,DUO,MIDDLE,3,7,5,910,False,False,193,1910,565,UNRANKED,UNRANKED,5,23386
NA1_5228007119,2D1Zp_n1ee7OO7bvK-nM7WK4dENKLuu29SKZDJw_JdH_Ira3hOoO8cvHxYKYC89sx1aVEv-Ft89BrQ,100,92,DUO,BOTTOM,15,13,1,157,False,False,456,1910,327,SILVER,III,20,227903
NA1_5228007119,QIuxi_SykZ9zIenFBiaJtvxtxSJ0keixFz475BA4zClZ3mmhbqDAv__kTy2w-6UHDtXax5JTRNicnQ,100,217,SOLO,UTILITY,3,5,14,25,False,False,215,1910,747,UNRANKED,UNRANKED,24,270415
NA1_5228007119,WoY7yhOEnWkX3Xc83GmVuB-jwGl2-6V_3oTveCF-Gk_HOpcMu37QYcs5PK961ThYj1XeciRY1tCHZQ,200,265,SOLO,TOP,7,10,7,48,True,False,360,1910,277,UNRANKED,UNRANKED,44,840317
NA1_5228007119,ed3L-VHSN24_xqKuV9XEG9KR55lgr6K9rclfflnpHba8EHTxcUUietL7MIpX_8McbGJlU9fVNLxoOg,200,161,NONE,JUNGLE,8,4,16,33,True,False,183,1910,774,BRONZE,IV,6,35180
NA1_5228007119,LVrqmoBKk6VFs--bTJQ25X4UT1aqL396rXqt-XLArphx7tMfovEBXQtZpJFqt5oP0ktgJRdPDECfAA,200,93,DUO,MIDDLE,13,6,10,80,True,False,229,1910,756,UNRANKED,UNRANKED,10,85600
NA1_5228007119,GVIYArb6AU9pj3K18KwA4jO8efVr-M0bCv4__2XmCJxpx6nX-V-_O4DgsV-eSyu8_Qk83dKwonhO2w,200,69,DUO,BOTTOM,14,7,9,498,True,False,275,1910,504,IRON,II,4,18493
NA1_5228007119,iKRh4VvNb7IJJ5nrK-6D5vSi7Zcy8J1DfoFUG5NgMAOXKkuTKIaGBjL67VYbJxtY3nVYTEwGI0j6kw,200,141,SUPPORT,UTILITY,4,6,24,497,True,False,258,1910,694,SILVER,I,4,20051
NA1_5227991687,OXAelc-2HFKRKefGi3Kj6j_uQwY8DeXyqqDy87WV-Hrr02swQ1-U2XX2EX6FxN-wEJdlZ4oQHEyJ6Q,100,567,DUO,TOP,6,1,11,82,True,False,52,1651,1189,UNRANKED,UNRANKED,8,56858
NA1_5227991687,ed3L-VHSN24_xqKuV9XEG9KR55lgr6K9rclfflnpHba8EHTxcUUietL7MIpX_8McbGJlU9fVNLxoOg,100,160,NONE,JUNGLE,4,3,21,33,True,False,77,1651,573,BRONZE,IV,6,35180
NA1_5227991687,bgS4rK4aKrtQVpWzoyGphk0yljfdKBUpzUdu-jIqGV-wXfRWnYxsgcVNAzDeKEsGLEL6BWacr6p-SA,100,81,DUO,MIDDLE,24,4,5,800,True,False,125,1651,475,IRON,III,4,20043
NA1_5227991687,afPliwIfKsmMkwyIcN3E3Z1Ln7ymPVRRYiHNiNWJDBNEMbb6-RybWXjHu5pw9Hfr7lUbTj1so_pYSQ,100,629,SOLO,BOTTOM,5,10,12,222,True,False,299,1651,217,SILVER,III,5,23595
NA1_5227991687,dM8F9Nrt_p3EOhF0-aT_3Xd5R90hub35HXfSL836QUSV9_YjYMRZjFD66zkEY_V8iT7KDalx0bGAtg,100,244,SOLO,UTILITY,10,1,13,99,True,False,10,1651,74,BRONZE,IV,8,55459
NA1_5227991687,BnZKS3y7661rjWSv0ggAPp9gsrtLRlIp4GdKVLvzvusN3Sdmiydrv2JfmclWkmzKkSODRKVEAhhFfQ,200,80,CARRY,TOP,3,8,2,17,False,False,292,1651,325,UNRANKED,UNRANKED,10,83579
NA1_5227991687,7zm1cafyNdcKgFUCxn2WLahCOVgh_ZMcKnAqkwifH33qZxa_0vvaJIqB0AC-sjk1d-1O6ONgL3Bdow,200,330,NONE,JUNGLE,4,9,6,33,False,False,266,1651,464,BRONZE,II,2,5253
NA1_5227991687,FWyKSOFfAuOtNEtFlO5xUBXIfp8DpJaN2MyF12fuGcls33CyY1-vteyDUPPrmUnLfaMQypwCcvQUzA,200,548,SUPPORT,MIDDLE,4,7,2,21,False,False,181,1651,575,UNRANKED,UNRANKED,24,269324
NA1_5227991687,qnwXkeg16n_TNFb5AYhPnr-WNmxszFV3s94NiA8ZESIGx6GTwI_36l5T6TOekNjLP1xtyjtB2Ben1A,200,47,CARRY,BOTTOM,4,15,4,104,False,False,433,1651,233,BRONZE,III,14,131286
NA1_5227991687,9Wz__RdbxR1PBMlsPO4FbpsEQ5nenXr2PRMjfpacl67Guh7py2ObYSRdo2Sa30f4VEz8SxAxppNn9w,200,489,SUPPORT,UTILITY,4,10,9,35,False,False,345,1651,325,GOLD,IV,19,185194
NA1_5222867677,bbcrtHkr1XAZZB4rMStA8bb_eGCaZNxLG5hxQpImY9_7fEMlZiKfKhawNF3CSoZPpkw9W5OUopchoQ,100,238,SOLO,TOP,3,9,7,266,False,False,275,1726,335,BRONZE,III,9,74562
NA1_5222867677,ed3L-VHSN24_xqKuV9XEG9KR55lgr6K9rclfflnpHba8EHTxcUUietL7MIpX_8McbGJlU9fVNLxoOg,100,160,NONE,JUNGLE,11,4,6,104,False,False,117,1726,675,BRONZE,IV,6,33820
