puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,581,DIAMOND,II,6,1,3,6.0,3.0,7.5,9.0,1.0,703,469,568,1.4989339019189765,1.211087420042644,2.1044776119402986,2.7100213219616203,1.2222222222222223
C5YwjVGNo18jt0f3br1gLT4Gi0u5peqXP9hUPKD1eKpYttY_joZRka9kKWrftJAmp4nPMCVYmaT4lw,843,DIAMOND,II,8,0,3,8.0,3.0,9.5,11.0,1.0,414,578,1093,0.7162629757785467,1.8910034602076125,1.661764705882353,2.6072664359861593,1.127659574468085
GUJgBdA5btFaphbSQNA22CspPRPdavk2boQn3aWT8fLPCUttHZLPlBxjPZU4MYzfUnHNM_JsoLgPbA,277,BRONZE,I,4,0,7,4.0,7.0,7.5,11.0,1.0,637,397,667,1.6045340050377834,1.6801007556675063,2.4445843828715366,3.2846347607052895,0.9607843137254902
slXwor04HZ0qrObbhSRyrTKuyfW9m5c3CictRNMRfiozVYRHselhNwEuJyhyDNgWN6LvoGI-s5ZaZQ,6,UNRANKED,UNRANKED,408,195,353,2.0923076923076924,1.8102564102564103,2.9974358974358974,3.9025641025641025,1.7894736842105263,,,,,,,,
M0ss8LtrdxFA4RHObHRfU9HszINRZIIR3NwcXpdwjl3kd4X7uS3nkp5KvXGO5qcxT-rpIUVisU_rSw,1047,SILVER,I,15,7,36,2.142857142857143,5.142857142857143,4.714285714285714,7.285714285714286,1.0,237,450,1166,0.5266666666666666,2.591111111111111,1.8222222222222222,3.117777777777778,1.0408163265306123
xNdMzQTUa_tNRavymBjnvvYYA6Eatz3eFqE1qCn2CmjhsO14QBVcs4LvmQ6sLkq4lXfd77oYIIXncg,241,IRON,I,65,61,32,1.0655737704918034,0.5245901639344263,1.3278688524590163,1.5901639344262295,0.8333333333333334,715,674,723,1.0608308605341246,1.072700296735905,1.5971810089020773,2.1335311572700295,1.0
zbXMvy2QtiMZjIQl6DCpIv-HCv41FrDzrU6JjkAi6DAO-gPWTBwhpw5glvp0XCS_mkmO9_ZagU4ERA,43,IRON,III,112,121,69,0.9256198347107438,0.5702479338842975,1.2107438016528926,1.4958677685950412,0.7777777777777778,491,790,458,0.6215189873417721,0.579746835443038,0.9113924050632911,1.20126582278481,0.8181818181818182
_2fFROiePzgycq2sPGHxehbJ90HNHoOAlFGxGueOmbwzcE2lpfSJyY0nO1Q96fCXc2aHxWoanpTShg,34,IRON,II,11,40,16,0.275,0.4,0.475,0.675,0.2,569,618,788,0.9207119741100324,1.2750809061488673,1.558252427184466,2.1957928802588995,1.0833333333333333
gV9oV1nLbkOOVy7GAvC1xqz9xNjQsrgNYn0_ACWmZrcK8bEG8rB8vftLMeVQptUtxgiVFr7HPzi4Ww,126,UNRANKED,UNRANKED,417,417,358,1.0,0.8585131894484412,1.4292565947242206,1.8585131894484412,0.8181818181818182,71,194,137,0.36597938144329895,0.7061855670103093,0.7190721649484536,1.0721649484536082,0.4117647058823529
M7y9Jub9H-n6unIqdo3w7cn9LENhE5zDvCkYYVsFIlu1HDP-zILoYC04FlLqWtt5zBYsbQUoLswx6Q,59,UNRANKED,UNRANKED,186,306,697,0.6078431372549019,2.2777777777777777,1.7467320261437909,2.8856209150326797,1.1162790697674418,5,44,54,0.11363636363636363,1.2272727272727273,0.7272727272727273,1.3409090909090908,0.2
0DZ_mNa15q28LDH7Y8WISFduZ1BCaHRszXjZtL1gzsaODYomehfxHZdQBSZ2OCNLsSCfcu02wYSsWQ,473,UNRANKED,UNRANKED,6,12,5,0.5,0.4166666666666667,0.7083333333333334,0.9166666666666666,1.0,739,708,719,1.0437853107344632,1.015536723163842,1.551553672316384,2.059322033898305,1.0408163265306123
pmKLecGVAO8Fis471WdXzftFbMZj1RnXsDNgVgTftI0cjEA7hz0A2aWh7xv0vG3xZ0QSFaMf7Ju_uw,118,EMERALD,IV,13,11,26,1.1818181818181819,2.3636363636363638,2.3636363636363638,3.5454545454545454,2.0,912,749,808,1.2176234979973297,1.0787716955941256,1.7570093457943925,2.2963951935914553,1.0408163265306123
FTNWUcgG8V3DVV_xL98aDv0Rgqo5Rh7FlmdeW4Hlh1mUgkJdqvzY1PwTg_0g3LOkbV-zOZU3BGkBaQ,232,UNRANKED,UNRANKED,38,28,18,1.3571428571428572,0.6428571428571429,1.6785714285714286,2.0,1.0,824,642,769,1.2834890965732086,1.1978193146417446,1.882398753894081,2.4813084112149535,1.5
npS6NSY7mvugTv33AKcFDQoD_nBlsq4s4pGNgKNPQpwElBxwR15s-564sZ2DH0QduSVxqSUrafZVtA,663,EMERALD,III,18,13,8,1.3846153846153846,0.6153846153846154,1.6923076923076923,2.0,1.0,675,845,468,0.7988165680473372,0.5538461538461539,1.0757396449704142,1.352662721893491,0.8518518518518519
b5BArqHRV93LUVjmPy41KFRuIhmNrGFSJDYYqIsbJZmJuiD4Gg6N7TuAgBrcnvNkepjVddrjizBKkg,43,GOLD,III,291,260,281,1.1192307692307693,1.0807692307692307,1.6596153846153847,2.2,0.9166666666666666,488,454,437,1.0748898678414096,0.9625550660792952,1.5561674008810573,2.037444933920705,0.8333333333333334
tymdyMRvUU2OfY7RKzCm65nmbuJ2VoDIMjyFo4ngutgZqysVUwR-nMDXOC9g8azqQztHN_Zi-TuljA,209,UNRANKED,UNRANKED,72,65,78,1.1076923076923078,1.2,1.7076923076923076,2.3076923076923075,1.1666666666666667,398,370,593,1.0756756756756756,1.6027027027027028,1.877027027027027,2.6783783783783783,1.3103448275862069
eUOoMjfKcXR5bxrkVk0pUs4we_d79gFOjqsCPnHfuwRVIfodfnIXziM8tJxBnK1lZc9qMQx93C7rZg,186,UNRANKED,UNRANKED,41,34,29,1.2058823529411764,0.8529411764705882,1.6323529411764706,2.0588235294117645,0.42857142857142855,746,435,428,1.7149425287356321,0.9839080459770115,2.206896551724138,2.698850574712644,1.5333333333333334
BFgil1iLpX9cwDrC8mtykQr-E8LlJ0dmgBj_dq90Ch1mvol8bhteae6SHYn_rvyD33LQ0_jV0Hbk0g,44,EMERALD,IV,373,388,257,0.961340206185567,0.6623711340206185,1.2925257731958764,1.6237113402061856,1.0740740740740742,760,661,572,1.1497730711043872,0.8653555219364599,1.5824508320726172,2.0151285930408473,1.0408163265306123
sqKL8OwpVjJc_dhakcP-gdYVIYO62YvOIpxejde0dPQJiA5K4SmD1ZLGrnbONlHdNsCafOsaUei5hg,701,EMERALD,II,225,236,389,0.9533898305084746,1.6483050847457628,1.777542372881356,2.6016949152542375,0.8260869565217391,259,513,1291,0.5048732943469786,2.516569200779727,1.763157894736842,3.021442495126706,0.8518518518518519
OSOmTkw1A6YfShC5-hIH1jDbtJdzj46i0MyBU9QueV9oHwyZN9qgH8EQfFD1cW8zYAXtME_N3Odl6Q,533,UNRANKED,UNRANKED,318,231,364,1.3766233766233766,1.5757575757575757,2.1645021645021645,2.9523809523809526,1.2083333333333333,690,662,579,1.042296072507553,0.8746223564954683,1.479607250755287,1.9169184290030212,0.9607843137254902
YrNjZgW9DxIQ0PWzmUsnXZ_eHDDkAHTfboULgn1taxYCQXlnOxrPVCV5ER6NJZXWEpGcizGqf8Ioaw,771,UNRANKED,UNRANKED,457,427,339,1.0702576112412179,0.7939110070257611,1.4672131147540983,1.864168618266979,1.6071428571428572,599,638,608,0.9388714733542319,0.9529780564263323,1.415360501567398,1.8918495297805642,0.8867924528301887
