matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5247030607,1659,GameComplete,False,False
NA1_5246994567,2093,GameComplete,False,False
NA1_5246783020,1620,GameComplete,False,False
NA1_5246749404,2243,GameComplete,False,False
NA1_5246475400,1713,GameComplete,False,False
NA1_5246447223,2065,GameComplete,False,False
NA1_5246414112,2049,GameComplete,False,False
NA1_5246234330,1199,GameComplete,True,False
NA1_5245930024,1607,GameComplete,False,False
NA1_5245904322,1641,GameComplete,False,False
NA1_5245873442,1852,GameComplete,False,False
NA1_5245749580,1783,GameComplete,False,False
NA1_5245340794,1839,GameComplete,False,False
NA1_5245244951,1563,GameComplete,True,False
NA1_5245217333,1836,GameComplete,True,False
NA1_5245191843,1944,GameComplete,False,False
NA1_5245134205,1915,GameComplete,False,False
NA1_5245123889,1104,GameComplete,False,False
NA1_5244767212,1613,GameComplete,False,False
NA1_5244115467,913,GameComplete,True,False
NA1_5244086269,1841,GameComplete,False,False
NA1_5243225732,1789,GameComplete,False,False
NA1_5243212949,1793,GameComplete,False,False
NA1_5243196894,1677,GameComplete,False,False
NA1_5242319428,1443,GameComplete,True,False
NA1_5242294087,1343,GameComplete,True,False
NA1_5242259687,1773,GameComplete,False,False
NA1_5242233810,1530,GameComplete,True,False
NA1_5242213255,1165,GameComplete,True,False
NA1_5242049921,1550,GameComplete,False,False
NA1_5242034428,921,GameComplete,True,False
NA1_5242018588,1997,GameComplete,False,False
NA1_5241772510,1611,GameComplete,False,False
NA1_5241737014,2715,GameComplete,False,False
NA1_5239071439,2127,GameComplete,False,False
NA1_5239057221,1717,GameComplete,False,False
NA1_5239037268,1772,GameComplete,True,False
NA1_5238715551,1676,GameComplete,False,False
NA1_5238658655,2056,GameComplete,True,False
NA1_5238652853,347,GameComplete,True,False
NA1_5238622312,1656,GameComplete,False,False
NA1_5238597425,1507,GameComplete,False,False
NA1_5238392096,2187,GameComplete,False,False
NA1_5238068369,1807,GameComplete,False,False
NA1_5238039833,1764,GameComplete,True,False
NA1_5238005621,1873,GameComplete,False,False
NA1_5237488113,1924,GameComplete,False,False
NA1_5237404774,1987,GameComplete,False,False
NA1_5236848323,1664,GameComplete,False,False
NA1_5236802298,2140,GameComplete,False,False
NA1_5235941649,1918,GameComplete,False,False
NA1_5233622818,1650,GameComplete,False,False
NA1_5233475448,1789,GameComplete,True,False
NA1_5233338040,2588,GameComplete,False,False
NA1_5233315720,1655,GameComplete,True,False
NA1_5233300991,1664,GameComplete,False,False
NA1_5233281693,1533,GameComplete,True,False
NA1_5232815414,1737,GameComplete,False,False
NA1_5232639247,1130,GameComplete,True,False
NA1_5232601418,2198,GameComplete,True,False
NA1_5232577199,1888,GameComplete,False,False
NA1_5231995658,1689,GameComplete,False,False
NA1_5231959051,2226,GameComplete,True,False
NA1_5231929533,1654,GameComplete,False,False
NA1_5229337746,1926,GameComplete,False,False
NA1_5229319583,1671,GameComplete,True,False
NA1_5229300444,2069,GameComplete,False,False
NA1_5229291949,1581,GameComplete,True,False
NA1_5229017297,1619,GameComplete,False,False
NA1_5228995783,1090,GameComplete,True,False
NA1_5228717737,1912,GameComplete,True,False
NA1_5228694864,2576,GameComplete,False,False
NA1_5228678882,1787,GameComplete,False,False
NA1_5228125708,2609,GameComplete,False,False
NA1_5228101652,1833,GameComplete,False,False
NA1_5228078647,1756,GameComplete,False,False
NA1_5228063482,1456,GameComplete,False,False
NA1_5228049475,1479,GameComplete,False,False
NA1_5228035453,1154,GameComplete,True,False
NA1_5227697405,2120,GameComplete,False,False
NA1_5222624442,1950,GameComplete,False,False
NA1_5221843549,1146,GameComplete,True,False
NA1_5219671864,1890,GameComplete,False,False
NA1_5219638668,1511,GameComplete,False,False
NA1_5219456484,1700,GameComplete,False,False
NA1_5219439630,927,GameComplete,True,False
NA1_5218998653,1747,GameComplete,False,False
NA1_5218746926,1860,GameComplete,False,False
NA1_5218719841,2308,GameComplete,False,False
NA1_5218693048,1542,GameComplete,True,False
NA1_5218324168,1687,GameComplete,False,False
NA1_5218299144,936,GameComplete,True,False
NA1_5218242718,2208,GameComplete,False,False
NA1_5218206095,1407,GameComplete,False,False
NA1_5218180419,1036,GameComplete,True,False
NA1_5218139571,2217,GameComplete,False,False
NA1_5212500046,2158,GameComplete,False,False
NA1_5211769756,2142,GameComplete,False,False
NA1_5211751524,2049,GameComplete,False,False
NA1_5211736398,1958,GameComplete,False,False
NA1_5246793853,965,GameComplete,True,False
NA1_5246770544,1688,GameComplete,False,False
NA1_5246760342,1235,GameComplete,False,False
NA1_5246748130,923,GameComplete,True,False
NA1_5246732089,1621,GameComplete,True,False
NA1_5246679689,2295,GameComplete,False,False
NA1_5246671278,2432,GameComplete,False,False
NA1_5246664736,1790,GameComplete,False,False
NA1_5246469475,1458,GameComplete,True,False
NA1_5246434166,2172,GameComplete,True,False
NA1_5246407077,1568,GameComplete,False,False
NA1_5246381228,1643,GameComplete,False,False
NA1_5246355262,1698,GameComplete,True,False
NA1_5246324369,2125,GameComplete,False,False
NA1_5246300013,2035,GameComplete,False,False
NA1_5246278582,1771,GameComplete,True,False
NA1_5246253517,1641,GameComplete,False,False
NA1_5246235626,1771,GameComplete,False,False
NA1_5246219009,2162,GameComplete,True,False
NA1_5246201532,1658,GameComplete,False,False
NA1_5246161595,1492,GameComplete,False,False
NA1_5246151225,1771,GameComplete,False,False
NA1_5246144166,1432,GameComplete,True,False
NA1_5246101978,1662,GameComplete,False,False
NA1_5245959204,1903,GameComplete,False,False
NA1_5245919872,1886,GameComplete,False,False
NA1_5245895564,1299,GameComplete,True,False
NA1_5245874470,1470,GameComplete,False,False
NA1_5245693103,1793,GameComplete,False,False
NA1_5245677859,1879,GameComplete,False,False
NA1_5243759690,2573,GameComplete,False,False
NA1_5243746841,2038,GameComplete,True,False
NA1_5243733397,1702,GameComplete,False,False
NA1_5243720912,2711,GameComplete,False,False
NA1_5243712207,2009,GameComplete,False,False
NA1_5243174890,2504,GameComplete,False,False
NA1_5243141933,1725,GameComplete,False,False
NA1_5243131158,1304,GameComplete,True,False
NA1_5242566071,1773,GameComplete,False,False
NA1_5242554647,1776,GameComplete,False,False
NA1_5242542434,2568,GameComplete,False,False
NA1_5242008325,1680,GameComplete,False,False
NA1_5241997657,935,GameComplete,True,False
NA1_5241989277,2072,GameComplete,False,False
NA1_5241981771,1433,GameComplete,True,False
NA1_5241965913,1388,GameComplete,True,False
NA1_5241958487,1560,GameComplete,True,False
NA1_5241952989,1737,GameComplete,True,False
NA1_5241938495,1462,GameComplete,False,False
NA1_5241547011,1706,GameComplete,False,False
NA1_5241528889,2462,GameComplete,False,False
NA1_5241514763,1493,GameComplete,True,False
NA1_5241499139,1587,GameComplete,True,False
NA1_5241432507,2148,GameComplete,False,False
NA1_5241425130,1503,GameComplete,False,False
NA1_5241244268,1801,GameComplete,False,False
NA1_5241219867,1182,GameComplete,True,False
NA1_5240960168,104,GameComplete,False,True
NA1_5240946842,1632,GameComplete,False,False
NA1_5240931975,1633,GameComplete,True,False
NA1_5240917812,1528,GameComplete,False,False
NA1_5240691626,2532,GameComplete,False,False
NA1_5240666687,1667,GameComplete,False,False
NA1_5240637786,2086,GameComplete,False,False
NA1_5240584980,1896,GameComplete,False,False
NA1_5240552249,1769,GameComplete,False,False
NA1_5240528363,1147,GameComplete,True,False
NA1_5240274515,1671,GameComplete,False,False
NA1_5240221220,1772,GameComplete,False,False
NA1_5240204514,2100,GameComplete,False,False
NA1_5240195573,1490,GameComplete,True,False
NA1_5240189957,1402,GameComplete,False,False
NA1_5240179027,2104,GameComplete,False,False
NA1_5239990728,2525,GameComplete,False,False
NA1_5239965992,1774,GameComplete,False,False
NA1_5239932602,1833,GameComplete,True,False
NA1_5239558995,1719,GameComplete,False,False
NA1_5239543605,1959,GameComplete,False,False
NA1_5239531217,971,GameComplete,True,False
NA1_5239523019,1686,GameComplete,True,False
NA1_5239319458,2672,GameComplete,False,False
NA1_5239289981,1952,GameComplete,False,False
