matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5247030607,NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,100,597,SOLO,TOP,5,6,3,31,False,False,194,1659,460,DIAMOND,II,17,158637
NA1_5247030607,mKNqNW1gJlwLGO1lfU0pGsdlmTWbQBDTFw9w24zggbkY9qUP-8oGa5ksWOGQotnkn0f1_xqUesAK8Q,100,688,NONE,JUNGLE,7,5,8,254,False,False,122,1659,589,DIAMOND,IV,5,29490
NA1_5247030607,1CNzc46zlZrjmNJldmdMcdqfW_ZHVHlKcir1JBhHsQjIdZ8zy0ZHG5XuzF2xrL9CfUPrlQ7bBTv6Mg,100,425,SOLO,MIDDLE,5,3,3,8,False,False,112,1659,1118,DIAMOND,II,94,1005207
NA1_5247030607,C5YwjVGNo18jt0f3br1gLT4Gi0u5peqXP9hUPKD1eKpYttY_joZRka9kKWrftJAmp4nPMCVYmaT4lw,100,870,CARRY,BOTTOM,3,9,8,498,False,False,245,1659,376,DIAMOND,II,18,209278
NA1_5247030607,Exfe_gDHUURVtpmApHIuIE0fWdWWcQRA1QZF4Ix2q4Ua6ZxIafwbWUdbtkLoBDDxx07UgULBdcqyNA,100,111,SUPPORT,UTILITY,1,11,12,497,False,False,230,1659,272,DIAMOND,III,9,73859
NA1_5247030607,tCvN2imbQqtFfJtKcKlWP6VEph7dlBn2RcvWIY8v45PcNRJQDcPPufBulZ6yF5He7dp9eYikw4JITA,200,278,DUO,TOP,9,4,3,133,True,False,114,1659,718,DIAMOND,I,4,15584
NA1_5247030607,IH5koA1wk6b1h4bv5rzZdBy3YHUAsgFezVSMXoiwGdwGP8PXM0YVrRXyZ-ofmIMAWXkPxd5elodMaw,200,739,NONE,JUNGLE,2,2,16,59,True,False,53,1659,686,DIAMOND,I,17,158716
NA1_5247030607,JLNvkk5ZQoLYasJstcgvxNBpG5Aqlzm2n3LmRq5ve_3_RBRzTnMuXiqJeIEQ3A3j8oD-vH1R0f0bFA,200,421,SOLO,MIDDLE,0,2,9,3,True,False,71,1659,896,DIAMOND,II,6,32675
NA1_5247030607,vS_550iFO7ZzNelMH_rmRQsuzW7682EPZQN3JyH0pSriim8OmVsJL6lT4kKT-UqmKAwxfPqSolryJw,200,99,DUO,BOTTOM,22,6,5,110,True,False,182,1659,376,DIAMOND,IV,3,8068
NA1_5247030607,aXlyMnjTmFyVxf5s1_cfr1v8wnFINNhv71czgx33P0vOAK8N6I-Ok_IzdJgTk0z5O_gpHQj5XAl4qA,200,59,SOLO,UTILITY,1,7,27,26,True,False,148,1659,281,DIAMOND,III,2,4190
NA1_5246994567,4p68YhsFtDooRwWqgbgS0jONgClXRxN1MTYOuu-LuqzyN9leDg4P0YidhecXoKQt4J9uNFvTm2MMEg,100,63,SOLO,TOP,0,4,11,36,True,False,178,2093,1007,PLATINUM,I,1,1875
NA1_5246994567,WSmx1vbRn8Ph4jcnYz9H5OyWUmrhEVtK58S5Rf_g8dPXhdsuAXYr5Q4onNf8myq-XF6ZeTEWAx_uTA,100,176,NONE,JUNGLE,12,5,7,234,True,False,212,2093,1009,DIAMOND,IV,2,2852
NA1_5246994567,IsbQImesDJ7VBVbcke1vQ12sXAONeTaLZaWfrEZZE3o7jggKOlraJTSxe7HXzQV5156_FUTi4V4jzQ,100,1018,SOLO,MIDDLE,5,8,11,245,True,False,356,2093,724,DIAMOND,I,9,65688
NA1_5246994567,WF0_p86TXUwJoCA8GoFJUT3Ttnagc8MSkrA8lBuOLw38b_T6AXXMQgz9qYhJiw13K65qAv_HuMYgoA,100,131,CARRY,BOTTOM,16,7,6,29,True,False,254,2093,533,UNRANKED,UNRANKED,3,10475
NA1_5246994567,uxb8ZNVYvgaKXc-TD2Q1ibxUv9lecBy3yl-duvb3UXyNBCszwwj14kasppK9A8PGTs1SiWrqM5KiIg,100,687,SUPPORT,UTILITY,3,5,17,43,True,False,158,2093,667,SILVER,I,34,392411
NA1_5246994567,NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,200,597,SOLO,TOP,5,3,6,79,False,False,65,2093,1546,DIAMOND,II,3,11456
NA1_5246994567,u60drNMj2_SarAUJWP6mUA5Ydg94FcFJlMCpqNv4HL_80ufHwiLa7Dn743yzHEs3GlzGNJ3iJS6voQ,200,907,NONE,JUNGLE,2,3,13,57,False,False,111,2093,788,MASTER,I,8,60755
NA1_5246994567,A2BabFgK8k3KTniqR6Qpyle8D6CV787rpvu9c7Zm4HJ2-WoxV--seY4QSRdahmkiXaTiRIEzHwTetw,200,840,SOLO,MIDDLE,4,13,12,777,False,False,414,2093,281,EMERALD,II,3,8672
NA1_5246994567,C5YwjVGNo18jt0f3br1gLT4Gi0u5peqXP9hUPKD1eKpYttY_joZRka9kKWrftJAmp4nPMCVYmaT4lw,200,870,CARRY,BOTTOM,15,10,10,222,False,False,306,2093,531,DIAMOND,II,11,94865
NA1_5246994567,myyYaCFPpv8D3b9YOQovUTWZ2Y4ZWyjL7s94psauWBVZI2zt5GClE-aofn1NuM92Ou_DaZDGx953Sg,200,671,SUPPORT,UTILITY,3,7,16,201,False,False,191,2093,852,EMERALD,IV,9,73251
NA1_5246783020,NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,100,597,SOLO,TOP,8,3,5,31,True,False,95,1620,526,DIAMOND,II,17,158637
NA1_5246783020,auQbuTiVVC9pb277jEY3xcfiJTwDLJiBI-xiVgAaFxCYWyxYc_pc2ZuuqwmAi10qWAk7m4dfcr3wCg,100,544,NONE,JUNGLE,6,1,4,62,True,False,32,1620,915,DIAMOND,II,21,204224
NA1_5246783020,73rQijdyEdoO7Dwo9uLjc1e9BNdK8MG7d-RftfJDsNxAjA3jfWyxFboOii6leDgZ7L_yLtxbjl8-Dw,100,121,SOLO,MIDDLE,4,4,4,90,True,False,170,1620,733,DIAMOND,IV,16,151906
NA1_5246783020,MIf4-8ZxJs0FHYtJKXrRTnaRREetWMeRsSEwFGaj3-qKqdm6YGZF3f8aSwi8HIs30fCy1-8-STEkkg,100,919,CARRY,BOTTOM,3,2,6,22,True,False,90,1620,1240,DIAMOND,II,31,319683
NA1_5246783020,lb1NAL3ewaFFLW56Ucbh9f5JbYjuRjtiY5IH-wZKVubhyYnWUN3Nfgwar8ta06LMlIDH493vTBCyOA,100,241,SUPPORT,UTILITY,3,3,12,59,True,False,48,1620,489,DIAMOND,I,30,321376
NA1_5246783020,MLvx1i-MWnffFTgh_xEUzIbBur-p4Qw8GmJpzWSI2SRJRWQDaBe15m2rLuZkc3LeE-J7xhvml0OLMw,200,451,SOLO,TOP,4,7,1,150,False,False,256,1620,363,DIAMOND,IV,17,157306
NA1_5246783020,L0Mn5yTzG28RbSFUtvX36E1iHMq45AJCxrz53AhCxMgsGcmNsC4K6INhhrAwYzyPR2R2p4xcQevyug,200,764,NONE,JUNGLE,6,5,2,56,False,False,165,1620,918,DIAMOND,II,61,646671
NA1_5246783020,FIE6M0CRu9sfLPRWqRK_3ZK1SM1g6xCstp_tlZ0MLAq2oVzWLoHazGaCLVoCU5NF8y_kpj-uZQV1DQ,200,418,SOLO,MIDDLE,0,8,0,799,False,False,203,1620,348,DIAMOND,III,9,71376
NA1_5246783020,gED3sJsl4EaQrr9RDDBqgd967yYbsbWcFOUkzPhIFBFXYqp0uJOzx8jQOHYOOA2rOCSUDEV1-rebEQ,200,939,CARRY,BOTTOM,3,4,1,51,False,False,116,1620,635,DIAMOND,III,93,1014124
NA1_5246783020,mT-OSyS-CjOoKgWaR96JMSyJRT-bG896ZYcjyxp4g_XDGZ_eN6B0xEZHNwaTdeDBSFdWvdHGyFqoAQ,200,1100,SUPPORT,UTILITY,0,4,6,43,False,False,77,1620,779,DIAMOND,I,22,234981
NA1_5246749404,h3-zTxvrQUfOUTDP3LVOSphreyxsOy75AX6Enz1qyZRZF_1cLaA1Kj1HMfeoqVAZdDcShxUNKtHDQQ,100,211,SOLO,TOP,13,6,8,82,True,False,217,2243,800,DIAMOND,II,61,642667
NA1_5246749404,mQxBu5KxuWqQvUZgOQDz3CfrmL8Bqz88exKK452SBU7SxHBnhndmOFxpSn3_BiH9-eabYqiBIfWNUA,100,758,NONE,JUNGLE,4,8,19,59,True,False,307,2243,548,DIAMOND,II,6,37201
NA1_5246749404,8Vq2f-DjVWh4DLXgAvAlxAqICsgRYZahknUvB1DD1523M9xfT0-0VDX1xkAg1Qa3dtpw1XyC6nss1Q,100,419,SOLO,MIDDLE,5,7,10,112,True,False,251,2243,421,DIAMOND,II,40,414980
NA1_5246749404,r38x2jtbzFVNEGFYwTeSvCsql-rklaQNbEqBp8d1wVr-VIHDKh1M6-OgRLXLVJx_yvsZCjTdn-j6EA,100,435,CARRY,BOTTOM,10,8,16,15,True,False,291,2243,441,DIAMOND,II,13,115529
NA1_5246749404,EL5QWLAN9fhcyhRVlhtgWF7_YOrKyDxT2VEXcQTzVcLDqR9nwwl3dufOKxJNM7XsUtw6230CjHXUcA,100,644,SUPPORT,UTILITY,2,9,23,267,True,False,227,2243,308,EMERALD,I,76,829394
NA1_5246749404,NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,200,597,SOLO,TOP,9,5,5,114,False,False,163,2243,585,DIAMOND,II,31,336019
NA1_5246749404,ri3ho1zZxg8Zws8tyBnAZSQ_aNt-b4Z0uDazpCItTeCw8khslejamUuAJ2hooOCI9exDEf350bIb6g,200,986,SUPPORT,JUNGLE,11,6,11,120,False,False,234,2243,820,DIAMOND,III,44,452388
NA1_5246749404,eV0vWN5Q2hO6v5TQW_xv0IStjG3SnmWeQd9cldkHvkQlD6P1RZdM4u2T-YCfoxJ6ad9tUbmIUDbPHg,200,506,CARRY,MIDDLE,11,9,6,517,False,False,365,2243,548,DIAMOND,III,5,31400
NA1_5246749404,H_sUTBbSsKVnYtgZzy_4RATaT_7sEA5mlaDW2OwIPvWaQ5jSv0Wl__gsP2n0oImMKB-N3c2X4TiiMw,200,49,CARRY,BOTTOM,7,7,8,222,False,False,232,2243,789,DIAMOND,III,6,33291
