matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5202765725,892,GameComplete,False,False
NA1_5213105748,1814,GameComplete,True,False
NA1_5212491034,1690,GameComplete,False,False
NA1_5212445429,2537,GameComplete,True,False
NA1_5211188106,1438,GameComplete,False,False
NA1_5211175895,911,GameComplete,True,False
NA1_5211098181,1588,GameComplete,True,False
NA1_5210444483,2189,GameComplete,False,False
NA1_5210351844,1401,GameComplete,False,False
NA1_5210225469,1691,GameComplete,False,False
NA1_5208766762,1370,GameComplete,False,False
NA1_5208546759,1452,GameComplete,False,False
NA1_5208067839,1777,GameComplete,True,False
NA1_5207892041,634,GameComplete,True,False
NA1_5207890783,103,GameComplete,False,True
NA1_5207836691,1921,GameComplete,False,False
NA1_5207810982,1239,GameComplete,False,False
NA1_5207227838,1539,GameComplete,False,False
NA1_5207216077,1458,GameComplete,False,False
NA1_5206736275,2000,GameComplete,False,False
NA1_5206726357,918,GameComplete,True,False
NA1_5206714195,1370,GameComplete,False,False
NA1_5206561577,917,GameComplete,True,False
NA1_5206163396,1644,GameComplete,True,False
NA1_5206081925,971,GameComplete,True,False
NA1_5206057760,1086,GameComplete,False,False
NA1_5205883045,1369,GameComplete,False,False
NA1_5205862505,1965,GameComplete,True,False
NA1_5205833732,1375,GameComplete,True,False
NA1_5205821661,1571,GameComplete,False,False
NA1_5205436341,2112,GameComplete,False,False
NA1_5205381934,1806,GameComplete,False,False
NA1_5205356494,1627,GameComplete,False,False
NA1_5205205378,1779,GameComplete,True,False
NA1_5205055851,1276,GameComplete,True,False
NA1_5204952762,1651,GameComplete,False,False
NA1_5204936934,920,GameComplete,True,False
NA1_5204900350,2085,GameComplete,False,False
NA1_5204359579,1096,GameComplete,True,False
NA1_5204350390,1082,GameComplete,False,False
NA1_5204207321,1182,GameComplete,True,False
NA1_5204196899,1710,GameComplete,False,False
NA1_5204187007,1185,GameComplete,False,False
NA1_5203616898,1518,GameComplete,True,False
NA1_5203592770,1790,GameComplete,False,False
NA1_5203432607,1463,GameComplete,True,False
NA1_5203427660,1350,GameComplete,False,False
NA1_5203425258,1257,GameComplete,False,False
NA1_5203419122,1702,GameComplete,True,False
NA1_5203403905,1201,GameComplete,False,False
NA1_5203392573,1168,GameComplete,True,False
NA1_5202820557,1196,GameComplete,False,False
NA1_5202774722,1774,GameComplete,False,False
NA1_5202753100,1356,GameComplete,False,False
NA1_5202733973,1057,GameComplete,True,False
NA1_5202723820,1383,GameComplete,False,False
NA1_5243359252,1470,GameComplete,False,False
NA1_5206253931,1621,GameComplete,True,False
NA1_5206059162,935,GameComplete,True,False
NA1_5206008750,1453,GameComplete,True,False
NA1_5202778264,1512,GameComplete,True,False
NA1_5202776795,109,GameComplete,False,True
NA1_5202761802,376,GameComplete,True,False
NA1_5202749640,924,GameComplete,True,False
NA1_5202744006,934,GameComplete,True,False
NA1_5202725670,1908,GameComplete,False,False
NA1_5234214505,1388,GameComplete,False,False
NA1_5209188857,1643,GameComplete,True,False
NA1_5207924177,1914,GameComplete,False,False
NA1_5207537647,1802,GameComplete,False,False
NA1_5207113668,2308,GameComplete,False,False
NA1_5207078225,1975,GameComplete,False,False
NA1_5207051347,1497,GameComplete,False,False
NA1_5207013337,1931,GameComplete,False,False
NA1_5206145107,1617,GameComplete,False,False
NA1_5205898553,2086,GameComplete,False,False
NA1_5204466121,1678,GameComplete,False,False
NA1_5204431854,668,GameComplete,True,False
NA1_5203501285,1261,GameComplete,False,False
NA1_5203490925,1281,GameComplete,True,False
NA1_5203205923,2142,GameComplete,False,False
NA1_5212523839,948,GameComplete,True,False
NA1_5202891983,2525,GameComplete,True,False
NA1_5202867145,1933,GameComplete,False,False
NA1_5202685399,1303,GameComplete,True,False
NA1_5202683941,186,GameComplete,False,True
NA1_5248381771,1954,GameComplete,False,False
NA1_5248368060,1384,GameComplete,False,False
NA1_5248352305,1632,GameComplete,False,False
NA1_5248299111,1725,GameComplete,False,False
NA1_5248278773,1679,GameComplete,False,False
NA1_5248229640,1936,GameComplete,False,False
NA1_5248208958,1690,GameComplete,False,False
NA1_5248191143,1010,GameComplete,False,False
NA1_5247113728,1750,GameComplete,False,False
NA1_5246271133,789,GameComplete,True,False
NA1_5246252088,1191,GameComplete,True,False
NA1_5245934774,2084,GameComplete,False,False
NA1_5245898000,1519,GameComplete,False,False
NA1_5245874964,1523,GameComplete,False,False
NA1_5245712311,1194,GameComplete,True,False
NA1_5245698601,1461,GameComplete,False,False
NA1_5245687431,1045,GameComplete,True,False
NA1_5245505775,2010,GameComplete,False,False
NA1_5245495870,1644,GameComplete,False,False
NA1_5245479412,1896,GameComplete,False,False
NA1_5244171791,2029,GameComplete,False,False
NA1_5244144488,1863,GameComplete,False,False
NA1_5242946735,1384,GameComplete,False,False
NA1_5242924395,1498,GameComplete,True,False
NA1_5242280235,1639,GameComplete,False,False
NA1_5241528540,1099,GameComplete,True,False
NA1_5241526021,118,GameComplete,False,True
NA1_5241514796,1589,GameComplete,True,False
NA1_5239390112,1525,GameComplete,False,False
NA1_5237377161,1687,GameComplete,False,False
NA1_5236444774,1670,GameComplete,False,False
NA1_5236428353,1458,GameComplete,True,False
NA1_5236413104,1567,GameComplete,False,False
NA1_5236398319,1169,GameComplete,False,False
NA1_5235580727,1139,GameComplete,True,False
NA1_5235556652,1474,GameComplete,False,False
NA1_5235533379,1497,GameComplete,False,False
NA1_5234302503,927,GameComplete,True,False
NA1_5234277951,1742,GameComplete,False,False
NA1_5234253294,1446,GameComplete,False,False
NA1_5231429888,1709,GameComplete,False,False
NA1_5231401252,1652,GameComplete,False,False
NA1_5231374212,1478,GameComplete,False,False
NA1_5231339655,1695,GameComplete,False,False
NA1_5226454370,1893,GameComplete,False,False
NA1_5222390843,1127,GameComplete,False,False
NA1_5221497210,1860,GameComplete,True,False
NA1_5221474592,1765,GameComplete,False,False
NA1_5221455161,1636,GameComplete,True,False
NA1_5221431345,1532,GameComplete,True,False
NA1_5221411676,1061,GameComplete,True,False
NA1_5219370379,1506,GameComplete,False,False
NA1_5213701116,1909,GameComplete,False,False
NA1_5213690569,418,GameComplete,True,False
NA1_5208142495,1416,GameComplete,False,False
NA1_5208128787,1376,GameComplete,False,False
NA1_5206529829,1718,GameComplete,True,False
NA1_5206518590,1000,GameComplete,True,False
NA1_5206506942,1325,GameComplete,False,False
NA1_5206470633,1421,GameComplete,False,False
NA1_5206450858,1436,GameComplete,False,False
NA1_5206425121,1675,GameComplete,False,False
NA1_5206401522,1169,GameComplete,True,False
NA1_5206382370,1153,GameComplete,True,False
NA1_5206096000,1850,GameComplete,False,False
NA1_5206083293,1049,GameComplete,True,False
NA1_5206065639,1565,GameComplete,True,False
NA1_5206057052,453,GameComplete,True,False
NA1_5206036281,1723,GameComplete,False,False
NA1_5206024003,1013,GameComplete,True,False
NA1_5206019138,142,GameComplete,False,True
NA1_5205237400,1263,GameComplete,False,False
NA1_5204888374,1745,GameComplete,False,False
NA1_5204844719,2288,GameComplete,False,False
NA1_5204817209,1453,GameComplete,False,False
NA1_5204058995,1261,GameComplete,False,False
NA1_5202816182,430,GameComplete,True,False
NA1_5202796556,1314,GameComplete,False,False
NA1_5202773649,1965,GameComplete,False,False
NA1_5247674794,1381,GameComplete,False,False
NA1_5247653930,1399,GameComplete,False,False
NA1_5243297819,1842,GameComplete,False,False
NA1_5237956262,1271,GameComplete,True,False
NA1_5237947550,117,GameComplete,False,True
NA1_5237356014,1261,GameComplete,True,False
NA1_5237337235,1365,GameComplete,False,False
NA1_5236286325,1659,GameComplete,False,False
NA1_5236270768,1032,GameComplete,True,False
NA1_5236246052,1480,GameComplete,False,False
NA1_5236065851,1745,GameComplete,True,False
NA1_5236056317,625,GameComplete,True,False
NA1_5236042519,917,GameComplete,True,False
NA1_5236023043,1675,GameComplete,False,False
NA1_5236007452,1377,GameComplete,True,False
NA1_5235993427,929,GameComplete,True,False
NA1_5235973459,1861,GameComplete,False,False
NA1_5235509810,1438,GameComplete,False,False
NA1_5235492656,117,GameComplete,False,True
NA1_5235475531,1270,GameComplete,False,False
NA1_5235462004,925,GameComplete,True,False
NA1_5235437139,961,GameComplete,True,False
NA1_5227770892,1754,GameComplete,False,False
NA1_5222779361,914,GameComplete,True,False
NA1_5219402679,1680,GameComplete,True,False
NA1_5219390441,1161,GameComplete,False,False
NA1_5213723061,1563,GameComplete,True,False
NA1_5208163930,2298,GameComplete,False,False
NA1_5208161824,149,GameComplete,False,True
NA1_5229326044,1497,GameComplete,False,False
NA1_5212614952,1794,GameComplete,True,False
NA1_5203310068,1401,GameComplete,False,False
NA1_5203292669,973,GameComplete,True,False
NA1_5203813586,1105,GameComplete,True,False
NA1_5228080626,1636,GameComplete,False,False
NA1_5228069752,1309,GameComplete,False,False
NA1_5228047615,1528,GameComplete,False,False
NA1_5227064037,1525,GameComplete,False,False
NA1_5213093580,973,GameComplete,True,False
NA1_5213087812,955,GameComplete,True,False
NA1_5213075853,1485,GameComplete,False,False
NA1_5213069913,1348,GameComplete,False,False
NA1_5212819667,1572,GameComplete,True,False
NA1_5212800246,1213,GameComplete,False,False
NA1_5212771655,1518,GameComplete,False,False
NA1_5212424085,1977,GameComplete,False,False
NA1_5212413212,1414,GameComplete,False,False
NA1_5212392559,2243,GameComplete,True,False
NA1_5211756290,1267,GameComplete,False,False
NA1_5211743472,1646,GameComplete,True,False
NA1_5211730146,1492,GameComplete,False,False
NA1_5211720574,1198,GameComplete,True,False
NA1_5211711146,1698,GameComplete,True,False
NA1_5211508295,1553,GameComplete,True,False
NA1_5211104243,1317,GameComplete,True,False
NA1_5211083592,1675,GameComplete,False,False
NA1_5211033705,1391,GameComplete,True,False
NA1_5211019003,1968,GameComplete,False,False
NA1_5210995725,1547,GameComplete,False,False
NA1_5210264262,1481,GameComplete,False,False
NA1_5209517215,1575,GameComplete,False,False
NA1_5209487274,1261,GameComplete,True,False
NA1_5209470611,1323,GameComplete,False,False
NA1_5207731183,1003,GameComplete,True,False
NA1_5207705744,1546,GameComplete,False,False
NA1_5207678766,1548,GameComplete,True,False
NA1_5207537688,1233,GameComplete,True,False
NA1_5206258165,1177,GameComplete,True,False
NA1_5206225022,1557,GameComplete,False,False
NA1_5205716042,1632,GameComplete,True,False
NA1_5205698343,977,GameComplete,True,False
NA1_5205280074,1690,GameComplete,False,False
NA1_5205255148,1212,GameComplete,True,False
NA1_5203828135,1650,GameComplete,False,False
NA1_5203741010,1546,GameComplete,False,False
