matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5202765725,NA-gCruRwevMF6VFilEOi2KF1tzQjNfvTPSFXWNkQoziBrXrSqf1P1YMbA4oC3ycoDNV-KZmqSD39A,100,581,SUPPORT,TOP,6,1,3,39,True,False,28,892,628,DIAMOND,II,9,77508
NA1_5202765725,C5YwjVGNo18jt0f3br1gLT4Gi0u5peqXP9hUPKD1eKpYttY_joZRka9kKWrftJAmp4nPMCVYmaT4lw,100,843,SUPPORT,JUNGLE,8,0,3,79,True,False,0,892,0,DIAMOND,II,4,16432
NA1_5202765725,GUJgBdA5btFaphbSQNA22CspPRPdavk2boQn3aWT8fLPCUttHZLPlBxjPZU4MYzfUnHNM_JsoLgPbA,100,277,SUPPORT,MIDDLE,4,0,7,8,True,False,0,892,0,BRONZE,I,17,185557
NA1_5202765725,slXwor04HZ0qrObbhSRyrTKuyfW9m5c3CictRNMRfiozVYRHselhNwEuJyhyDNgWN6LvoGI-s5ZaZQ,100,6,SUPPORT,BOTTOM,17,3,2,119,True,False,102,892,531,UNRANKED,UNRANKED,4,16597
NA1_5202765725,M0ss8LtrdxFA4RHObHRfU9HszINRZIIR3NwcXpdwjl3kd4X7uS3nkp5KvXGO5qcxT-rpIUVisU_rSw,100,1047,SUPPORT,UTILITY,5,1,11,235,True,False,12,892,562,SILVER,I,26,285227
NA1_5202765725,xNdMzQTUa_tNRavymBjnvvYYA6Eatz3eFqE1qCn2CmjhsO14QBVcs4LvmQ6sLkq4lXfd77oYIIXncg,200,239,DUO,TOP,1,7,0,122,False,False,143,892,199,IRON,I,5,23464
NA1_5202765725,zbXMvy2QtiMZjIQl6DCpIv-HCv41FrDzrU6JjkAi6DAO-gPWTBwhpw5glvp0XCS_mkmO9_ZagU4ERA,200,41,SUPPORT,JUNGLE,0,8,2,234,False,False,140,892,196,IRON,III,5,40214
NA1_5202765725,_2fFROiePzgycq2sPGHxehbJ90HNHoOAlFGxGueOmbwzcE2lpfSJyY0nO1Q96fCXc2aHxWoanpTShg,200,29,DUO,MIDDLE,0,6,1,711,False,False,156,892,357,IRON,II,0,0
NA1_5202765725,gV9oV1nLbkOOVy7GAvC1xqz9xNjQsrgNYn0_ACWmZrcK8bEG8rB8vftLMeVQptUtxgiVFr7HPzi4Ww,200,126,SUPPORT,BOTTOM,2,10,2,245,False,False,186,892,159,UNRANKED,UNRANKED,16,144046
NA1_5202765725,M7y9Jub9H-n6unIqdo3w7cn9LENhE5zDvCkYYVsFIlu1HDP-zILoYC04FlLqWtt5zBYsbQUoLswx6Q,200,59,SUPPORT,UTILITY,2,9,1,7,False,False,169,892,161,UNRANKED,UNRANKED,3,9994
NA1_5213105748,0DZ_mNa15q28LDH7Y8WISFduZ1BCaHRszXjZtL1gzsaODYomehfxHZdQBSZ2OCNLsSCfcu02wYSsWQ,100,473,SOLO,TOP,6,12,5,887,True,False,463,1814,325,UNRANKED,UNRANKED,12,123804
NA1_5213105748,pmKLecGVAO8Fis471WdXzftFbMZj1RnXsDNgVgTftI0cjEA7hz0A2aWh7xv0vG3xZ0QSFaMf7Ju_uw,100,115,NONE,JUNGLE,5,6,15,14,True,False,199,1814,347,EMERALD,IV,2,3414
