puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,45,DIAMOND,III,121,36,45,3.361111111111111,1.25,3.986111111111111,4.611111111111111,10.0,250,658,1067,0.3799392097264438,1.621580547112462,1.1907294832826747,2.001519756838906,0.8181818181818182
BdF-rVlXaNZ5blU4Bs5c7MScWE_ZOZOHZVli03y17cVKT1FVuXfpW9VuS9pPBUiqoDaeY2Cln1CEwA,734,EMERALD,I,77,75,66,1.0266666666666666,0.88,1.4666666666666666,1.9066666666666667,1.3333333333333333,574,448,838,1.28125,1.8705357142857142,2.216517857142857,3.1517857142857144,0.9607843137254902
vfdOqv3g9YQZ3e6o3enjf1L-hH4DCh920fKuYEHQnJkFAkXw85PU1eWWYQfMQsmB93mOO8ciBP11zA,14,UNRANKED,UNRANKED,28,22,39,1.2727272727272727,1.7727272727272727,2.159090909090909,3.0454545454545454,5.0,0,7,0,0.0,0.0,0.0,0.0,0.0
2QRCP2l8iQP5gWA5EPa_srFTriy9CNSZF3idFrW8aMPmdd8kv8KNMCgziIlaialXWczrb49K7T0Qsg,727,EMERALD,II,264,197,180,1.3401015228426396,0.9137055837563451,1.7969543147208122,2.253807106598985,1.0555555555555556,647,534,597,1.2116104868913857,1.1179775280898876,1.7705992509363295,2.3295880149812733,0.8181818181818182
D_LYniI9lCvrxCrA2c4JWXbbI4OHEIZ2HDgNIQf3rGjXrnjxcei1dTCV_Kb4oeBFcDQ4nfJIBBHjEg,1007,DIAMOND,I,13,7,16,1.8571428571428572,2.2857142857142856,3.0,4.142857142857143,1.0,769,426,644,1.8051643192488263,1.511737089201878,2.5610328638497655,3.316901408450704,1.3255813953488371
h9csYq5zCW-ynHrp7o_l2CixojWXZeYZrY3WWb2KPOt67bmlIVO0rK6mXKaMLMawtJd7md99MWgV8w,99,UNRANKED,UNRANKED,449,273,441,1.6446886446886446,1.6153846153846154,2.4523809523809526,3.26007326007326,1.9047619047619047,1,5,0,0.2,0.0,0.2,0.2,0.0
BJotdRIj9ZCc58VKkDK0mug_SRnfFrwPkcYyEOeub-c2T1dacLnAljf6229yFQaY78WdcY8vN4JjZg,89,DIAMOND,III,644,346,476,1.861271676300578,1.3757225433526012,2.5491329479768785,3.2369942196531793,1.2727272727272727,586,413,605,1.4188861985472154,1.4648910411622276,2.151331719128329,2.883777239709443,1.3255813953488371
-WiGpiP-WcA83xI4vL7s_E5feRRneS4r346tDmgu6Q9zeBPX8LWCLKm4CdImdEaVZkMjZFmh24QlYQ,3,UNRANKED,UNRANKED,453,393,457,1.1526717557251909,1.1628498727735368,1.7340966921119594,2.3155216284987277,1.5151515151515151,,,,,,,,
XzVkoIQJanwsf26aiusBOmINKxJ50MVK8UvXXPp7V538sbsmzRLxS1sNb2QOsOweb4eYgz9SpJR_Zg,120,SILVER,II,0,8,0,0.0,0.0,0.0,0.0,0.0,750,654,730,1.146788990825688,1.1162079510703364,1.7048929663608563,2.2629969418960245,1.127659574468085
4nKPejlktQAg29kJFLug-1ACtJo8bTTUdwpNq4TzIcntfwHst_Ij613rjJC-qefqVBuXIiJhAX_74Q,7,UNRANKED,UNRANKED,137,150,177,0.9133333333333333,1.18,1.5033333333333334,2.0933333333333333,1.625,,,,,,,,
PJnbMne6M0kvQBKddgKvMjlIc1CK5FYi7NP3UyFXxYpnsJn0sq-yB4SjRLSKAuVvhPHR1Nk9ZiumDg,115,UNRANKED,UNRANKED,17,21,28,0.8095238095238095,1.3333333333333333,1.4761904761904763,2.142857142857143,0.5,484,507,555,0.9546351084812623,1.0946745562130178,1.5019723865877712,2.04930966469428,0.9069767441860465
VGV9ElAZVvdD9b6aHBghA77DTar2NCiByX4Y7_fFIrASyUvDxE__MjhSMryZzGTNysZ3HUwCFCm08g,373,SILVER,IV,274,247,192,1.1093117408906883,0.7773279352226721,1.4979757085020242,1.8866396761133604,0.8,613,651,510,0.9416282642089093,0.783410138248848,1.3333333333333333,1.7250384024577572,0.9607843137254902
1O0aoro_EsU0ehjL7ZB7Q1hw0QCFujLG5UshQ95HbqfqDsXYRUuehePsVzMt_uOVGbt6PP8FTGImZw,271,PLATINUM,IV,41,68,63,0.6029411764705882,0.9264705882352942,1.0661764705882353,1.5294117647058822,1.25,317,533,1092,0.5947467166979362,2.048780487804878,1.6191369606003752,2.6435272045028144,1.2222222222222223
64YpZ4nYMkdN8aNSuk_JXg4EAt04FnZqF1Hfk8jUBH7punw3A9BzWwL0R7Ylv_e4j8Z-bD3bBLDbCg,17,UNRANKED,UNRANKED,163,160,317,1.01875,1.98125,2.009375,3.0,0.8571428571428571,,,,,,,,
Sw0vnKdCIW8h8AnbP_tLYoRmCNX1VfDPrZi_HgFDb1VZE5nuSmJ-3l06E5l2lD7gUe36dwWYglMnbQ,542,SILVER,I,163,144,81,1.1319444444444444,0.5625,1.4131944444444444,1.6944444444444444,1.0909090909090908,409,647,1118,0.6321483771251932,1.7279752704791345,1.4961360123647605,2.3601236476043277,1.2222222222222223
QwXwPlqhzklabcUCR6pYtbDEy-OigAoKb-e-2D2B054_8HvU5qBB_gTCH5uZf2XE87foSsagfY6U1A,194,BRONZE,II,447,459,319,0.9738562091503268,0.6949891067538126,1.3213507625272332,1.6688453159041394,1.1612903225806452,670,792,604,0.8459595959595959,0.7626262626262627,1.2272727272727273,1.6085858585858586,0.9607843137254902
