matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5230203344,934,GameComplete,True,False
NA1_5229956122,1813,GameComplete,False,False
NA1_5229949618,1135,GameComplete,True,False
NA1_5229942885,2099,GameComplete,False,False
NA1_5229928726,1867,GameComplete,False,False
NA1_5229921433,1897,GameComplete,False,False
NA1_5229917271,910,GameComplete,True,False
NA1_5229903627,2085,GameComplete,False,False
NA1_5229894403,1645,GameComplete,False,False
NA1_5229879581,2048,GameComplete,False,False
NA1_5229683890,2179,GameComplete,False,False
NA1_5229175444,1640,GameComplete,False,False
NA1_5229143452,2053,GameComplete,False,False
NA1_5229120170,2096,GameComplete,False,False
NA1_5229070356,1595,GameComplete,False,False
NA1_5229034138,1659,GameComplete,False,False
NA1_5228902842,1836,GameComplete,False,False
NA1_5228791722,1593,GameComplete,False,False
NA1_5228766116,2370,GameComplete,False,False
NA1_5228688405,1708,GameComplete,True,False
NA1_5228513803,1420,GameComplete,False,False
NA1_5228497804,2231,GameComplete,True,False
NA1_5228479320,1616,GameComplete,False,False
NA1_5228459805,2089,GameComplete,False,False
NA1_5228435397,1501,GameComplete,False,False
NA1_5228400702,2256,GameComplete,False,False
NA1_5228395907,122,GameComplete,False,True
NA1_5228353123,2173,GameComplete,False,False
NA1_5228297893,1480,GameComplete,False,False
NA1_5228121926,1596,GameComplete,False,False
NA1_5225452168,2106,GameComplete,False,False
NA1_5224888621,1708,GameComplete,False,False
NA1_5224839801,1533,GameComplete,False,False
NA1_5224816683,921,GameComplete,True,False
NA1_5224771450,2399,GameComplete,False,False
NA1_5222455908,1424,GameComplete,True,False
NA1_5222439150,1234,GameComplete,True,False
NA1_5222405406,1961,GameComplete,False,False
NA1_5222018596,1533,GameComplete,False,False
NA1_5221896556,1815,GameComplete,True,False
NA1_5221554712,2184,GameComplete,False,False
NA1_5221548597,1593,GameComplete,False,False
NA1_5221497764,1839,GameComplete,False,False
NA1_5221218622,1493,GameComplete,False,False
NA1_5221183683,1463,GameComplete,True,False
NA1_5221153206,1731,GameComplete,False,False
NA1_5220560476,1510,GameComplete,False,False
NA1_5220482079,2305,GameComplete,True,False
NA1_5219971223,1342,GameComplete,True,False
