matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5230203344,75gcITJuLdYXu7Wsx-JidEF8fG9-3j3S9q-GBAb6kXDAeVY3kpcfAYpyWY_LeS11F1o0jCZkk0WcSw,100,63,SUPPORT,TOP,2,2,3,34,True,False,48,934,412,MASTER,I,32,440720
NA1_5230203344,RzE1LIo1bKWQC1a9zrmbSp-tNqkihHplsBiYb8UAdnfinp2toET2uslLyfV1oFMXVnGPRkV2pjJUbg,100,47,SUPPORT,JUNGLE,7,4,3,254,True,False,73,934,233,DIAMOND,II,2,3614
NA1_5230203344,8_krx7wtRyjWWREXokT20oRZg6IGm1m2oW9eDQM0TqZM6lE3LtjaeVxTUOTLc7w0NRscQde-yBKhGA,100,236,SUPPORT,MIDDLE,12,1,4,55,True,False,20,934,430,DIAMOND,III,46,474353
NA1_5230203344,xplzCIJpZsB63uxTNnXpd8u83WAphaJ95ao3-dPJxkvNrIzvPc5YyjO9SVXZsi6dsO5aQz4lw-67Wg,100,457,SUPPORT,BOTTOM,3,2,10,21,True,False,26,934,227,DIAMOND,I,27,301021
NA1_5230203344,HkIRfPN80Fs0IMYJJc8-fHw0_5nUgOCM_JvZg6OkLcIsJ9ZIJH5rdwgYvHDRpRlYda82Cbse8x7KWA,100,581,SUPPORT,UTILITY,1,5,13,89,True,False,60,934,169,DIAMOND,III,7,42830
NA1_5230203344,4b7lSUoPaHcsv2BDuJXsDvr3akJGKz-h6BdypoilgskrarRrUlEtEvCvND1lEEUEt9yko8cc3Yx0rQ,200,602,SUPPORT,TOP,2,4,4,113,False,False,73,934,469,DIAMOND,I,297,3348523
NA1_5230203344,YJikY2sgBh4cOOqOslWzOlrYvD_IK3oPyfvYHEW6_pWwztWXSqCWs4W4IgBvJRJxaO5yHDV2oOwrdA,200,317,SUPPORT,JUNGLE,7,6,4,56,False,False,83,934,226,DIAMOND,IV,5,24685
NA1_5230203344,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,200,45,SUPPORT,MIDDLE,0,5,2,11,False,False,125,934,412,DIAMOND,III,3,10736
NA1_5230203344,ENqHa9KZBLR99DmS4sF3Tm1exrjEOF7xH8sxxkLcaqgFEYSR6xExsj5Vu0L89KI_XCSyVFclc_AU4Q,200,1235,SUPPORT,BOTTOM,5,5,3,51,False,False,90,934,542,DIAMOND,I,37,384260
NA1_5230203344,59dOZ8MDHS6feia_el2DQQhQK1TrBLJnVdwcoOjrH0uhsmqQISy_Ne_MPWm-3GtcL1C5cqE1DLUo6w,200,356,SUPPORT,UTILITY,0,6,6,267,False,False,74,934,279,DIAMOND,II,25,282013
NA1_5229956122,SWmXlmhofxjhNFtKcgPiyz_WGzkMHahcVyMOO2Eso6ZyLl1eKdecw6GFQwYzWDeTXE1iNAdMwO4_rg,100,542,SOLO,TOP,5,3,1,897,False,False,94,1813,1304,DIAMOND,II,88,1044889
NA1_5229956122,ffpE591YFaISpQrZcs988AF9fvCUPUOZnD7PFL84EykOH7vWfYw-0wQ8MmYaxJRCjkArPO2f7LsoDw,100,1747,NONE,JUNGLE,6,7,3,77,False,False,271,1813,588,EMERALD,I,155,1768371
NA1_5229956122,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,45,SOLO,MIDDLE,2,5,3,11,False,False,151,1813,565,DIAMOND,III,3,10736
NA1_5229956122,QEg_ZQR_o5lkwc-fvuaPAT7vz3ZFE16aLqtGZmY40zrxZBe0iQCVK_F9PF-WSaPUc164AMul7FdGeg,100,874,CARRY,BOTTOM,2,5,2,523,False,False,173,1813,627,DIAMOND,I,22,209325
NA1_5229956122,F-RJn4lckxCWW9jV3mWUT3YO_tsnqLPm64_84UUldtWiMxe_iN_oXzVJrMQQ07Ax6-9uUDAoCzjsCw,100,105,SUPPORT,UTILITY,1,3,5,117,False,False,106,1813,969,DIAMOND,IV,9,71955
NA1_5229956122,xSuzaAtV0AOE45KpWOzW2WgGY-jzoT30eOAA0GfcHg_jFcb0WWefeR9LFQdQ0fMb40JCONJNBS3vmg,200,415,SOLO,TOP,2,7,4,164,True,False,234,1813,431,MASTER,I,13,108769
NA1_5229956122,9m3L_38Pc7LZpKkG7sldIyiB0NhigS7xrp-CxlyTrNiBsu0oqCAiYqdM8XShEI_LDgXDJ8fxGvN2Nw,200,38,NONE,JUNGLE,7,1,9,35,True,False,32,1813,949,DIAMOND,I,2,3913
NA1_5229956122,yc6Gb0doKRrLiMK54F80PS-YiMH4i7AyS0bsgQkbOTL-nmara0bQJgzaye1FCyy6kFSjwOcUYYPTlw,200,480,SOLO,MIDDLE,2,5,5,268,True,False,130,1813,328,DIAMOND,III,4,17097
NA1_5229956122,_XK8NN8BpknLdGrULJ4FsGYMFUK--rda1ta2QL3Jr1v3Ra3yLVTMRDHS1abcyLunbsy7h8ZrPVEe7Q,200,502,CARRY,BOTTOM,10,1,7,21,True,False,0,1813,1803,DIAMOND,III,13,116197
NA1_5229956122,YAUIUJ22VKhg7wOtSn0k7KQeS0dactwaAps2BQlTIr3USAGDKEaES3bT7bLOAZ0gUoDPW4fsIA2Waw,200,216,SUPPORT,UTILITY,2,2,11,412,True,False,79,1813,1508,EMERALD,I,12,107850
NA1_5229949618,SWmXlmhofxjhNFtKcgPiyz_WGzkMHahcVyMOO2Eso6ZyLl1eKdecw6GFQwYzWDeTXE1iNAdMwO4_rg,100,542,SUPPORT,TOP,3,2,5,897,True,False,44,1135,379,DIAMOND,II,88,1044889
NA1_5229949618,_F2B6acpxIMaK93KzHsIJ1ZmOulsNuVEYyW9EPV_L-0ivFkokLCHIiVAks6ZM7816gNe9RR_pTyNyw,100,1187,SUPPORT,JUNGLE,3,0,7,82,True,False,0,1135,0,DIAMOND,III,16,180284
NA1_5229949618,cNRF4SJhGECmEmZwW0L9TEWr7nV5Sj3VNMzU9if3fTl0V9yBGXewszRM5x_Fre9nPO-6lrfjr0n6Ew,100,294,SUPPORT,MIDDLE,5,2,5,157,True,False,32,1135,775,MASTER,I,37,376604
NA1_5229949618,2bxc0DXs3lEynIkdqztRSRj3dDquji6BA4R_qFZswrvQ-i1FHGzMEDW5n9TkNcaTSa5shf00mnJ9AQ,100,110,DUO,BOTTOM,2,0,1,42,True,False,0,1135,0,MASTER,I,9,69818
NA1_5229949618,Nwnu5lkHGkn221PCp3kF08B_QWux39JlBb_uFdqlFd_5_qfB-11zGV8UOKftAFjiMzjoW83V4Dndug,100,403,SUPPORT,UTILITY,3,1,5,101,True,False,20,1135,791,DIAMOND,II,6,39478
NA1_5229949618,t3JzQm4jCBCUDbLyAyStwVfjjqrSNLbiG8fjSd9DwaLwXnl5UT_sWLbyGEYT3HNfDZe8hp1juCjGKA,200,36,SUPPORT,TOP,2,4,1,114,False,False,128,1135,437,EMERALD,IV,8,55446
NA1_5229949618,0spCJ7pnTOmF5El5eqR2mh75HxmnJHij28-jF5yqRUKxrT8LXiz-0pdoE4zc-pCl6My2nurIFO9J6Q,200,321,SUPPORT,JUNGLE,1,5,2,131,False,False,98,1135,490,DIAMOND,I,19,179725
NA1_5229949618,ffpE591YFaISpQrZcs988AF9fvCUPUOZnD7PFL84EykOH7vWfYw-0wQ8MmYaxJRCjkArPO2f7LsoDw,200,1747,SUPPORT,MIDDLE,1,2,1,43,False,False,48,1135,490,EMERALD,I,10,82950
NA1_5229949618,_XK8NN8BpknLdGrULJ4FsGYMFUK--rda1ta2QL3Jr1v3Ra3yLVTMRDHS1abcyLunbsy7h8ZrPVEe7Q,200,502,SUPPORT,BOTTOM,1,0,0,51,False,False,0,1135,0,DIAMOND,III,32,326616
NA1_5229949618,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,200,45,SUPPORT,UTILITY,0,5,1,12,False,False,83,1135,487,DIAMOND,III,2,5646
NA1_5229942885,qsO23RoooG-RqxF9nqikLzhguQVCZz8PxoQpVEYEQBVMPiKtDG5RI3ldt4fCYEykkjEI7VRQK3H9Jg,100,199,SOLO,TOP,8,2,17,68,True,False,81,2099,1167,DIAMOND,II,52,593880
NA1_5229942885,1urVDLIjM8VD5k33tC_dN0wNLN3wWoNb4rNonl-h15f6WflqSkm2K2GDdhxNr3QCGRhrb3pJUqhZww,100,1243,NONE,JUNGLE,9,7,13,876,True,False,289,2099,569,DIAMOND,IV,22,246740
NA1_5229942885,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,44,SOLO,MIDDLE,4,7,8,11,True,False,233,2099,599,DIAMOND,III,3,10736
NA1_5229942885,vYB3iqE6mI_ZEuagYp3BJo8PfB5n-GyMi-OoqJ2qeFEuvo-XQngyz1lfcaMKw_XaJMlSnm5WWl23OQ,100,496,CARRY,BOTTOM,15,4,15,51,True,False,135,2099,1182,DIAMOND,III,20,189535
NA1_5229942885,6lQ0zBX9jbryzmwDPRWDvhdk9roO4idPtE_R_8Sj09jBBJh6CLPtT8ugP0sY98icmAcqKjnguLRbVw,100,237,SUPPORT,UTILITY,12,3,22,80,True,False,121,2099,1163,MASTER,I,20,192425
NA1_5229942885,xoGK1LqCb_jUu2h-7NtZJSFJx_rqSjVgt8YHcDIzBdWxLg_KrCWYnDX7IzcFRNzEjxfMyC7kosKIBA,200,169,CARRY,TOP,5,6,6,126,False,False,279,2099,1011,DIAMOND,III,2,4295
NA1_5229942885,wh71SCyRvGCY7-wb2oCJCb7cVVInWPuqEC4jLmnQAV0aeZuiobkQSAbc5kAnL6ndcmo0E1qqt-GDkw,200,455,NONE,JUNGLE,4,12,12,32,False,False,444,2099,571,DIAMOND,IV,21,225506
NA1_5229942885,_Vb2WcOmYyNx9hqEDftmAvMoUOsk5CGaTS2PpfOID5zW9RVB-y47bb9QTEyvQcAIGxwOJ99PWmWq6A,200,84,SOLO,MIDDLE,8,8,6,31,False,False,276,2099,585,EMERALD,II,60,714011
NA1_5229942885,UhGmzsTMfCmZoJnu7rObwhBqFE8dr-gnJ495Hj5aU5J4KpTQw1Z8qMJM0whdmvdjw_WfuElXdfOcBQ,200,436,SOLO,BOTTOM,3,10,5,145,False,False,388,2099,798,DIAMOND,III,11,89327
NA1_5229942885,Nwnu5lkHGkn221PCp3kF08B_QWux39JlBb_uFdqlFd_5_qfB-11zGV8UOKftAFjiMzjoW83V4Dndug,200,403,SUPPORT,UTILITY,3,12,7,35,False,False,394,2099,546,DIAMOND,II,37,412186
NA1_5229928726,T8-Vu1S34rJRWoVQYym11SN4frBpjJ4AiGNqwT0dTg_F32wIJLPY81pj2Lj-LCfhhhcSAILmp2g00Q,100,372,SOLO,TOP,3,9,6,897,False,False,264,1867,500,EMERALD,I,9,75354
NA1_5229928726,hSDWhnz268ROZ9wzZHLbPh4Itb21x2tDl-YNngh4Rq_yWksIzL6_BCrsWpvNaEjkE1q2l71ziCk6ig,100,844,NONE,JUNGLE,9,5,12,131,False,False,155,1867,934,EMERALD,I,11,90721
NA1_5229928726,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,44,SOLO,MIDDLE,1,10,11,43,False,False,297,1867,348,DIAMOND,III,4,14200
