matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5247422126,1344,GameComplete,True,False
NA1_5209494605,1042,GameComplete,True,False
NA1_5209473259,1608,GameComplete,True,False
NA1_5209459433,1186,GameComplete,True,False
NA1_5209454215,513,GameComplete,True,False
NA1_5209425109,1132,GameComplete,False,False
NA1_5209413775,1568,GameComplete,False,False
NA1_5209398292,1096,GameComplete,True,False
NA1_5209391012,1350,GameComplete,False,False
NA1_5209384467,798,GameComplete,True,False
NA1_5209378978,967,GameComplete,True,False
NA1_5247479512,1823,GameComplete,False,False
NA1_5247456685,1731,GameComplete,False,False
NA1_5247436569,1745,GameComplete,False,False
NA1_5234257920,1420,GameComplete,True,False
NA1_5211282614,1821,GameComplete,False,False
NA1_5211167419,1495,GameComplete,False,False
NA1_5210272756,1761,GameComplete,True,False
NA1_5210260366,669,GameComplete,True,False
NA1_5210247607,944,GameComplete,True,False
NA1_5209919770,1574,GameComplete,False,False
NA1_5209889328,1438,GameComplete,False,False
NA1_5209866753,1320,GameComplete,False,False
NA1_5209542386,1586,GameComplete,True,False
NA1_5247453074,1450,GameComplete,True,False
NA1_5246798841,1496,GameComplete,False,False
NA1_5246241045,1551,GameComplete,False,False
NA1_5245178883,1263,GameComplete,True,False
NA1_5245161377,986,GameComplete,False,False
NA1_5248792495,1481,GameComplete,True,False
NA1_5248773480,982,GameComplete,True,False
NA1_5248750796,1479,GameComplete,False,False
NA1_5244048110,1408,GameComplete,False,False
NA1_5244020439,1501,GameComplete,True,False
NA1_5217023745,120,GameComplete,False,True
NA1_5216963471,1574,GameComplete,False,False
NA1_5215965925,1821,GameComplete,False,False
NA1_5215941445,1046,GameComplete,True,False
NA1_5215225223,2107,GameComplete,False,False
NA1_5214850382,1888,GameComplete,True,False
NA1_5214837064,1153,GameComplete,False,False
NA1_5214567743,1474,GameComplete,False,False
NA1_5214062341,1539,GameComplete,False,False
NA1_5214043330,1346,GameComplete,False,False
NA1_5213358901,1585,GameComplete,False,False
NA1_5210029802,1610,GameComplete,True,False
NA1_5209159486,1398,GameComplete,False,False
NA1_5209140190,948,GameComplete,True,False
NA1_5208970511,1425,GameComplete,False,False
NA1_5208948208,1340,GameComplete,False,False
NA1_5208897380,1746,GameComplete,False,False
NA1_5208573371,1327,GameComplete,False,False
NA1_5208455220,1550,GameComplete,True,False
NA1_5208389735,2531,GameComplete,True,False
NA1_5206902376,1751,GameComplete,True,False
NA1_5206064119,1581,GameComplete,True,False
NA1_5205506376,2262,GameComplete,False,False
NA1_5205489818,1019,GameComplete,False,False
NA1_5205431565,944,GameComplete,True,False
NA1_5205417748,996,GameComplete,True,False
NA1_5204214359,1641,GameComplete,False,False
NA1_5204200546,1996,GameComplete,False,False
NA1_5203936156,1520,GameComplete,False,False
NA1_5203698613,1545,GameComplete,True,False
NA1_5202893629,1370,GameComplete,False,False
NA1_5204060075,943,GameComplete,True,False
NA1_5247562390,1545,GameComplete,False,False
NA1_5247411668,822,GameComplete,True,False
NA1_5247403927,915,GameComplete,True,False
NA1_5247382814,1439,GameComplete,False,False
NA1_5247363264,1602,GameComplete,False,False
NA1_5247286662,1917,GameComplete,False,False
NA1_5247273552,1639,GameComplete,True,False
NA1_5247254316,345,GameComplete,True,False
NA1_5247247731,912,GameComplete,True,False
NA1_5247240584,1386,GameComplete,True,False
NA1_5247233736,1420,GameComplete,False,False
NA1_5247225345,1252,GameComplete,True,False
NA1_5246992209,1512,GameComplete,False,False
NA1_5246981058,768,GameComplete,True,False
NA1_5246766053,1001,GameComplete,True,False
NA1_5246756819,1151,GameComplete,True,False
NA1_5246737584,1891,GameComplete,False,False
NA1_5246734788,1240,GameComplete,False,False
NA1_5246723092,1399,GameComplete,True,False
NA1_5246705802,1655,GameComplete,False,False
NA1_5246684741,1265,GameComplete,False,False
NA1_5246683133,114,GameComplete,False,True
NA1_5246359881,1295,GameComplete,False,False
NA1_5246339982,1490,GameComplete,False,False
NA1_5246283741,1404,GameComplete,False,False
NA1_5246265059,1768,GameComplete,False,False
NA1_5246253862,1388,GameComplete,False,False
NA1_5246176428,1416,GameComplete,False,False
NA1_5246168074,1624,GameComplete,False,False
NA1_5246124789,1968,GameComplete,False,False
NA1_5246112380,1870,GameComplete,False,False
NA1_5246109408,915,GameComplete,True,False
NA1_5246101024,1564,GameComplete,True,False
NA1_5246096893,1868,GameComplete,False,False
NA1_5245674960,108,GameComplete,False,True
NA1_5245103886,1524,GameComplete,True,False
NA1_5245090999,1918,GameComplete,True,False
NA1_5245084261,570,GameComplete,True,False
NA1_5245075073,1475,GameComplete,False,False
NA1_5244609287,1714,GameComplete,False,False
NA1_5244590741,1437,GameComplete,True,False
NA1_5243817624,880,GameComplete,True,False
NA1_5243795594,1630,GameComplete,False,False
NA1_5243776632,1880,GameComplete,False,False
NA1_5243254118,1173,GameComplete,True,False
NA1_5243249736,423,GameComplete,True,False
NA1_5243245776,104,GameComplete,False,True
NA1_5243187339,960,GameComplete,True,False
NA1_5243176945,1472,GameComplete,False,False
NA1_5243145742,1988,GameComplete,False,False
NA1_5243131997,1648,GameComplete,False,False
NA1_5242925419,1843,GameComplete,False,False
NA1_5242909704,1042,GameComplete,False,False
NA1_5242899123,917,GameComplete,True,False
NA1_5242875597,1531,GameComplete,False,False
NA1_5242858720,1036,GameComplete,True,False
NA1_5242838461,1445,GameComplete,True,False
NA1_5242716312,1056,GameComplete,True,False
NA1_5242704197,1211,GameComplete,False,False
NA1_5249011627,1400,GameComplete,True,False
NA1_5248999541,1562,GameComplete,False,False
NA1_5248934077,1951,GameComplete,False,False
NA1_5248809898,1547,GameComplete,True,False
NA1_5248580641,1437,GameComplete,False,False
NA1_5248563333,1551,GameComplete,False,False
NA1_5247795280,1135,GameComplete,False,False
NA1_5247195675,1530,GameComplete,False,False
