matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5247422126,BdF-rVlXaNZ5blU4Bs5c7MScWE_ZOZOHZVli03y17cVKT1FVuXfpW9VuS9pPBUiqoDaeY2Cln1CEwA,100,734,DUO,TOP,1,3,6,76,True,False,74,1344,336,EMERALD,I,6,32161
NA1_5247422126,vfdOqv3g9YQZ3e6o3enjf1L-hH4DCh920fKuYEHQnJkFAkXw85PU1eWWYQfMQsmB93mOO8ciBP11zA,100,17,NONE,JUNGLE,9,2,8,29,True,False,75,1344,707,UNRANKED,UNRANKED,1,1231
NA1_5247422126,2QRCP2l8iQP5gWA5EPa_srFTriy9CNSZF3idFrW8aMPmdd8kv8KNMCgziIlaialXWczrb49K7T0Qsg,100,727,DUO,MIDDLE,5,5,8,238,True,False,164,1344,375,EMERALD,II,46,525743
NA1_5247422126,D_LYniI9lCvrxCrA2c4JWXbbI4OHEIZ2HDgNIQf3rGjXrnjxcei1dTCV_Kb4oeBFcDQ4nfJIBBHjEg,100,1007,SOLO,BOTTOM,9,2,10,222,True,False,82,1344,927,DIAMOND,I,26,261975
NA1_5247422126,h9csYq5zCW-ynHrp7o_l2CixojWXZeYZrY3WWb2KPOt67bmlIVO0rK6mXKaMLMawtJd7md99MWgV8w,100,104,NONE,UTILITY,8,3,11,80,True,False,108,1344,841,UNRANKED,UNRANKED,8,59557
NA1_5247422126,BJotdRIj9ZCc58VKkDK0mug_SRnfFrwPkcYyEOeub-c2T1dacLnAljf6229yFQaY78WdcY8vN4JjZg,200,88,DUO,TOP,5,1,2,799,False,False,49,1344,1206,DIAMOND,III,3,7558
NA1_5247422126,-WiGpiP-WcA83xI4vL7s_E5feRRneS4r346tDmgu6Q9zeBPX8LWCLKm4CdImdEaVZkMjZFmh24QlYQ,200,26,SOLO,JUNGLE,5,5,2,14,False,False,191,1344,710,UNRANKED,UNRANKED,2,5296
NA1_5247422126,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,200,45,DUO,MIDDLE,5,9,2,11,False,False,230,1344,385,DIAMOND,III,3,10736
NA1_5247422126,XzVkoIQJanwsf26aiusBOmINKxJ50MVK8UvXXPp7V538sbsmzRLxS1sNb2QOsOweb4eYgz9SpJR_Zg,200,120,CARRY,BOTTOM,0,8,0,81,False,False,149,1344,429,SILVER,II,6,34039
NA1_5247422126,4nKPejlktQAg29kJFLug-1ACtJo8bTTUdwpNq4TzIcntfwHst_Ij613rjJC-qefqVBuXIiJhAX_74Q,200,18,SUPPORT,UTILITY,0,9,2,57,False,False,170,1344,307,UNRANKED,UNRANKED,2,3733
NA1_5209494605,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,30,DUO,TOP,8,3,3,92,True,False,72,1042,578,DIAMOND,III,8,62977
NA1_5209494605,PJnbMne6M0kvQBKddgKvMjlIc1CK5FYi7NP3UyFXxYpnsJn0sq-yB4SjRLSKAuVvhPHR1Nk9ZiumDg,100,115,SUPPORT,JUNGLE,7,0,5,33,True,False,0,1042,0,UNRANKED,UNRANKED,8,56438
NA1_5209494605,VGV9ElAZVvdD9b6aHBghA77DTar2NCiByX4Y7_fFIrASyUvDxE__MjhSMryZzGTNysZ3HUwCFCm08g,100,364,SUPPORT,MIDDLE,6,4,5,245,True,False,112,1042,321,SILVER,IV,24,274746
NA1_5209494605,1O0aoro_EsU0ehjL7ZB7Q1hw0QCFujLG5UshQ95HbqfqDsXYRUuehePsVzMt_uOVGbt6PP8FTGImZw,100,271,SUPPORT,BOTTOM,2,4,10,901,True,False,92,1042,353,PLATINUM,IV,3,6576
NA1_5209494605,64YpZ4nYMkdN8aNSuk_JXg4EAt04FnZqF1Hfk8jUBH7punw3A9BzWwL0R7Ylv_e4j8Z-bD3bBLDbCg,100,18,SUPPORT,UTILITY,6,1,9,875,True,False,14,1042,356,UNRANKED,UNRANKED,2,2493
NA1_5209494605,Sw0vnKdCIW8h8AnbP_tLYoRmCNX1VfDPrZi_HgFDb1VZE5nuSmJ-3l06E5l2lD7gUe36dwWYglMnbQ,200,540,SUPPORT,TOP,1,7,0,31,False,False,125,1042,221,SILVER,I,1,1753
NA1_5209494605,QwXwPlqhzklabcUCR6pYtbDEy-OigAoKb-e-2D2B054_8HvU5qBB_gTCH5uZf2XE87foSsagfY6U1A,200,170,SUPPORT,JUNGLE,2,4,3,121,False,False,74,1042,437,BRONZE,II,4,16684
NA1_5209494605,q1eTJ9nvgkVni-DGkLS_s1PHvAPfHZGbB-DojkIXclD1ocZiSrZgAfMXEn2HUmI_D0Pn6RZ2jPCqaw,200,324,DUO,MIDDLE,2,5,0,166,False,False,137,1042,292,SILVER,II,19,184693
NA1_5209494605,yXyzYsOlxXXhBiqtcrynLgWerqEpXgxE18l-6sYzWS9qeVARBqWR_AiAl1RvK0KRVuva29X_ccL3wA,200,305,SUPPORT,BOTTOM,3,7,3,21,False,False,156,1042,316,UNRANKED,UNRANKED,13,130237
NA1_5209494605,WQHvSQGcu_DPsOsBbnuo5NdYRgBDV5muN8Zdci-Wg85GQI34JV7smR5bbkUTsO1Mb6IA-mcu2v5HVQ,200,485,SUPPORT,UTILITY,4,6,1,223,False,False,148,1042,316,BRONZE,III,6,38302
NA1_5209473259,qL8OoqDDuCTBxQMyQc9lyiU27ya6dOp01O1A9w5zb2hEKiyEz39mATVhpUfqGBy68iJdHPtCvXgPVg,100,85,SOLO,TOP,6,8,3,113,False,False,192,1608,419,SILVER,III,7,43517
NA1_5209473259,LlkHfw-EeATpB9y1l7qb4HIO1smN0FCBz1lEiihqo4FbPRggirZofr6AAJEXMrAGFE-2jSma2PLhrw,100,259,NONE,JUNGLE,9,6,5,233,False,False,232,1608,385,SILVER,IV,4,19157
NA1_5209473259,ChXBSmqlHgCOixR4UtJRdzhPXEdle2r-g4EAEb9jKiBTVgb8r_dvYCJdRJO2uZiFxSNMJdppJNnvZg,100,224,SOLO,MIDDLE,5,7,4,45,False,False,222,1608,650,SILVER,IV,4,17271
NA1_5209473259,FPuAV7VGCDxQAD3sqobEo_jW5DT6LoiDfQ7IZwruE4FJDoCLgb03ku6d8ZVJxmVNfWlQDHfjlSAtbw,100,9,CARRY,BOTTOM,1,5,3,21,False,False,164,1608,649,UNRANKED,UNRANKED,5,24994
NA1_5209473259,QMqm1GOwa8fBzHf0Kugr7bq2zPKYElQL3-9Qumq4B5H86s2ZCLKnk4q_9DQhV18MKzA8r8p_igHPwQ,100,535,SUPPORT,UTILITY,1,4,10,40,False,False,105,1608,785,UNRANKED,UNRANKED,12,146185
NA1_5209473259,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,200,30,NONE,TOP,11,6,10,92,True,False,265,1608,588,DIAMOND,III,8,62977
NA1_5209473259,9jNw8xr5JZeZ5OI5I4KQ1XTGfHfSOj2sb6kSla4fY4q0983cgAOouRKX2Gxtzl_bFQIiWScKbidiLw,200,644,NONE,JUNGLE,3,4,7,245,True,False,128,1608,415,UNRANKED,UNRANKED,4,19438
NA1_5209473259,SQb2gN3poeAj2jjcL2xuFcLiDk1nOKsScUfG3nxTLRfM3EWhcIG-FX1DUxJ2HFQcsbj353vvqtMHeQ,200,127,SOLO,MIDDLE,7,5,10,8,True,False,234,1608,945,BRONZE,II,3,8177
NA1_5209473259,SQ23ns0t6MNTQBKLUMu8Hy-66Zr579S2_BPwA909um4KmuDpDLT0-_TznuDvJdk_ispUGK7HlzX6kQ,200,553,CARRY,BOTTOM,6,3,12,15,True,False,147,1608,983,UNRANKED,UNRANKED,6,34104
NA1_5209473259,lTD6zKYkpACKkIQz8WyVuCJdD2g9twyvdHKVkvUmU1Bd9GpqKrOnH__kPY2Pl-lj15qoZTFPw9Z6-A,200,436,SUPPORT,UTILITY,3,4,17,37,True,False,194,1608,992,UNRANKED,UNRANKED,11,94627
NA1_5209459433,cOP15Be1NaZa2j8QxSEazyHCg4w8Yp9tEoYt63l_8OEsdf0iGE1fOZ1QEA5j9lZ5xXF_RDtuL6SNiw,100,44,SUPPORT,TOP,5,3,5,86,True,False,48,1186,191,UNRANKED,UNRANKED,13,114239
NA1_5209459433,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,30,SUPPORT,JUNGLE,11,1,7,245,True,False,32,1186,663,DIAMOND,III,2,3343
NA1_5209459433,8Ub3nl53cQtBmdnJDGW5ADXgSbg86ycp3ZPyc4yC9oLFwHpeZN2nPDIpOJ77aMRuV78FKe9sGrgUIQ,100,293,SUPPORT,MIDDLE,2,2,4,69,True,False,49,1186,746,UNRANKED,UNRANKED,6,36131
NA1_5209459433,JDcHOeF0m2dMSP62ZIO_UEqpbbvm6oSlxpOch_hKUwCj_fKcSCrxKhgmg8AE8s_9tmWcZKCEF8a87Q,100,140,SUPPORT,BOTTOM,1,4,8,51,True,False,77,1186,268,IRON,II,7,48061
NA1_5209459433,JqE1iliQ26JhTrt33mHme0EYYv3TSGa8Tk64Ooqx1fbjvueQ3p87FggdUb6JQ1Aqq9iXE_bfNEuEQA,100,545,SUPPORT,UTILITY,6,2,4,99,True,False,49,1186,487,GOLD,IV,11,93565
NA1_5209459433,YLxHT0c8-dynIecsmKFoMbX7TCWuRPkYpLc6zy6P7r6SLrR3-zWXr_v845yy2CHRz0yGOqK6Dtwwcw,200,78,DUO,TOP,3,6,0,58,False,False,163,1186,381,SILVER,II,2,5072
NA1_5209459433,cpQFTyrsCh30QiegwdKR8xiuiI2KZtrRqvcrQCsBtIpBRScjpgv-X4sndo0CrC-2uKz755aehRH5oQ,200,312,SUPPORT,JUNGLE,0,4,2,799,False,False,88,1186,461,SILVER,II,2,2471
NA1_5209459433,Y7h7Dm3j4hWBRJvPS4ITZQGgqUqwT_QG3Lsnl_aTzDB9Mes-fjzhS2fzXoEtciPaQ8ZGKRHuaXI6sw,200,138,SUPPORT,BOTTOM,6,3,0,157,False,False,94,1186,657,SILVER,IV,27,266266
NA1_5209459433,LBv_29NOJyXDd9F7wZNWWIglGIhxoAIc7KCDmSusx5-mmlJRVzW39rMKFcKm5AlcnXBCryxaD1h24Q,200,66,SUPPORT,MIDDLE,2,7,2,55,False,False,205,1186,215,SILVER,I,3,11534
NA1_5209459433,l_8AfgwtuZqq6gEJGo0uRS5nTVz5xbV-zzU98-4kXSMlI7vy-VwNKp3VuqicpJSE43msQULlBins5g,200,278,SUPPORT,UTILITY,1,5,3,902,False,False,145,1186,387,UNRANKED,UNRANKED,7,52807
NA1_5209454215,y6IwTv81bq75sHmy9gB2rTP-2GJHnyRrbL3S6jrPQApung4igJFnvKkXuLNKyAXZCqebc2lB9We0Rw,100,30,SUPPORT,TOP,6,0,0,92,True,False,0,513,0,DIAMOND,III,8,62977
NA1_5209454215,LlkHfw-EeATpB9y1l7qb4HIO1smN0FCBz1lEiihqo4FbPRggirZofr6AAJEXMrAGFE-2jSma2PLhrw,100,259,SUPPORT,JUNGLE,0,0,1,233,True,False,0,513,0,SILVER,IV,4,19157
NA1_5209454215,CONiIWCs_ee775qBpowaasUDc9GSSkE9ftxIyT44CokIGEmKTtAm865wWSu6QJhJRxwSmxmB6pn4-Q,100,191,SUPPORT,MIDDLE,1,1,2,157,True,False,20,513,423,IRON,II,10,79192
NA1_5209454215,v0efjx3CLeSFq1SFLGcv0Df6dY0Jf6M1DvzemOwenX3Kh5xf-7kNwT881It19XfU30IQe489frRAew,100,324,SUPPORT,BOTTOM,5,2,2,202,True,False,32,513,267,UNRANKED,UNRANKED,17,213170
NA1_5209454215,gOCqhWwEeqOTqHCWW5w6v4rai9ruRLPV4GwWc1JAUuoyG_gl9qfrIxBcxf36VH2wG54ttfLG3QXTxw,100,27,SUPPORT,UTILITY,3,2,6,875,True,False,22,513,138,UNRANKED,UNRANKED,5,29912
NA1_5209454215,VNpK7IdZT9JYo7-8tnIVZQ2YyGWEYQvfDr0VXCvnB_bXJSBowezuMBeF9QIPOkuKLpjSqp5oxtSdOg,200,34,SUPPORT,TOP,0,5,1,150,False,False,58,513,128,IRON,I,4,12685
NA1_5209454215,G5S9iUNReP5aYKV3Mw0UudC0CpHUflIzIgNIWjpppBKkAeOpv8dp0wF7PWbh0KZYJlGxyON4kXPJQQ,200,67,SUPPORT,JUNGLE,0,3,2,33,False,False,26,513,274,IRON,IV,5,24567
