puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
LF-Br8RntZlhmcI9BlazGokFOcAfU8aQavQMVRRXNB-IvWM0COFCTfEr-a2z5mi7rpZ7SX_3r7LmSg,699,DIAMOND,IV,24,18,24,1.3333333333333333,1.3333333333333333,2.0,2.6666666666666665,4.0,703,521,409,1.3493282149712091,0.7850287907869482,1.7418426103646834,2.1343570057581576,1.5
ItlDWuZDgMYlEtYOZEpFeO2X9TD7AdXq5M7HXrHDf9IgFYkZPXxVn3Z-cckZvuVOLZ0ABVs7NW3uwg,465,DIAMOND,I,22,17,28,1.2941176470588236,1.6470588235294117,2.1176470588235294,2.9411764705882355,2.0,632,522,678,1.210727969348659,1.2988505747126438,1.8601532567049808,2.5095785440613025,1.5
9pCT__m0Ol5MV3TO-Iff355rdS1oHbJQbxwxmHfU26M6jkFUPFNgFDVPHbyLfZJExfCzzqrJkaf90A,1053,DIAMOND,IV,68,32,46,2.125,1.4375,2.84375,3.5625,2.0,766,530,738,1.4452830188679244,1.3924528301886792,2.141509433962264,2.8377358490566036,1.127659574468085
7UIozC5kx734N5pMNz3VejgPUnS_bs59gHGovTb2WYvXl7liDh13FD-fTlsBJDGn76HaYR_U_brFjg,119,PLATINUM,II,281,246,169,1.1422764227642277,0.6869918699186992,1.4857723577235773,1.829268292682927,0.9583333333333334,605,536,589,1.1287313432835822,1.0988805970149254,1.6781716417910448,2.2276119402985075,1.0
xzlZx-P4LFxBcGuCaSBo4nhsjRStSL04m_lZw9gg_7V-rULOZo3okroVE1U0e1s0SrMIk2znCPB8Ng,426,UNRANKED,UNRANKED,1,4,16,0.25,4.0,2.25,4.25,1.0,110,169,210,0.650887573964497,1.242603550295858,1.272189349112426,1.893491124260355,0.8571428571428571
FMrc0DIRU4mbpccDWMvOQWTjTsZa-t6gQbRzMNooxptv7fvvbTsSGhHmpaR510TGD0ZM7rkJkmADDQ,513,UNRANKED,UNRANKED,519,714,433,0.726890756302521,0.6064425770308123,1.030112044817927,1.3333333333333333,0.86,673,786,738,0.8562340966921119,0.9389312977099237,1.3256997455470738,1.7951653944020356,0.7543859649122807
mYy3ZuF-L4WT6Vn1x0Vopon1n-QgPIk7Xk-oXBXzQinoec4faKBad_CJouXICnb2l2b7kowg2i3jrQ,415,UNRANKED,UNRANKED,643,352,390,1.8267045454545454,1.1079545454545454,2.3806818181818183,2.934659090909091,0.9743589743589743,363,448,382,0.8102678571428571,0.8526785714285714,1.2366071428571428,1.6629464285714286,0.725
DldCJCrDhFAmtrUBNtUn4AvMCHm0kcxtyWle-B-ylj-qhrLf0JwzQftJCquO4vJchqeasCuAKqyWOg,29,SILVER,I,123,206,175,0.5970873786407767,0.8495145631067961,1.0218446601941749,1.4466019417475728,1.0,410,730,664,0.5616438356164384,0.9095890410958904,1.0164383561643835,1.4712328767123288,0.7543859649122807
Ijyyd2s-Jgq6f9LKm2jdXROoOvCt0hDykeopZB1udWiI36dWB_Nh4187ERtWo190kJUPl0chTKddtQ,213,PLATINUM,IV,137,71,79,1.9295774647887325,1.1126760563380282,2.4859154929577465,3.0422535211267605,2.2,597,560,797,1.0660714285714286,1.4232142857142858,1.7776785714285714,2.4892857142857143,0.8518518518518519
DqUPwNAJLUjYj-xPMM-x_yTAnLcOdAgaaudvWxmTb1y6UJz7ve2rtfx5_3OBHG8JIxzdT4T2R_sLXw,73,UNRANKED,UNRANKED,321,149,231,2.1543624161073827,1.5503355704697988,2.9295302013422817,3.704697986577181,2.4444444444444446,41,76,186,0.5394736842105263,2.4473684210526314,1.763157894736842,2.986842105263158,1.3333333333333333
R3ifVNRsMNH1bhGvzoayqwjACBL3z26jl8pjPDwTDcnFDG2xskprRejwULAPkBy-U98Z8amF7ZJydQ,271,PLATINUM,I,11,6,13,1.8333333333333333,2.1666666666666665,2.9166666666666665,4.0,1.0,807,613,717,1.3164763458401305,1.169657422512235,1.901305057096248,2.4861337683523654,1.2222222222222223
h1c9G8TDRVofPvT7BZfreWPk_gK5BywsWI9H_sz4aUkTxKIDtwDvn_E4hH1pGNHh20MVl3w5wj4hxA,264,EMERALD,IV,12,14,12,0.8571428571428571,0.8571428571428571,1.2857142857142858,1.7142857142857142,2.0,445,489,497,0.9100204498977505,1.016359918200409,1.418200408997955,1.9263803680981595,0.8181818181818182
rFWNkIJRn5GH0a40RbCJapb9Xpq76ijpg4FZBiPHHchmFKlcz4nhTaCt7jkgEKacgdj5pbJjKIrxLA,314,PLATINUM,IV,10,14,11,0.7142857142857143,0.7857142857142857,1.1071428571428572,1.5,2.0,594,572,810,1.0384615384615385,1.416083916083916,1.7465034965034965,2.4545454545454546,1.127659574468085
