matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5249411151,1052,GameComplete,True,False
NA1_5249375593,2130,GameComplete,False,False
NA1_5239164775,2286,GameComplete,False,False
NA1_5238424911,2192,GameComplete,False,False
NA1_5238409734,1205,GameComplete,True,False
NA1_5238079491,1841,GameComplete,False,False
NA1_5237896255,1388,GameComplete,True,False
NA1_5237875380,1715,GameComplete,False,False
NA1_5237857093,1913,GameComplete,False,False
NA1_5237816599,1677,GameComplete,False,False
NA1_5237803499,1703,GameComplete,True,False
NA1_5237797343,553,GameComplete,True,False
NA1_5237769845,1151,GameComplete,False,False
NA1_5237348330,1458,GameComplete,True,False
NA1_5236952906,1813,GameComplete,False,False
NA1_5236943626,104,GameComplete,False,True
NA1_5236808539,1686,GameComplete,True,False
NA1_5236783181,1689,GameComplete,False,False
NA1_5236756906,1264,GameComplete,True,False
NA1_5236665049,1806,GameComplete,False,False
NA1_5236651688,929,GameComplete,True,False
NA1_5236175659,2292,GameComplete,False,False
NA1_5236172893,106,GameComplete,False,True
NA1_5235415918,1708,GameComplete,False,False
NA1_5235394372,1504,GameComplete,False,False
NA1_5235376075,1612,GameComplete,True,False
NA1_5235258864,1507,GameComplete,False,False
NA1_5234985247,1420,GameComplete,False,False
NA1_5234958886,1657,GameComplete,False,False
NA1_5234931077,1363,GameComplete,False,False
NA1_5234584441,1445,GameComplete,True,False
NA1_5234545143,2199,GameComplete,False,False
NA1_5234345291,2134,GameComplete,False,False
NA1_5234310994,1765,GameComplete,True,False
NA1_5234284044,1501,GameComplete,True,False
NA1_5234255301,1621,GameComplete,False,False
NA1_5232870647,1382,GameComplete,True,False
NA1_5232814752,1677,GameComplete,False,False
NA1_5231732255,2096,GameComplete,False,False
NA1_5231710315,1695,GameComplete,False,False
NA1_5231686241,1296,GameComplete,True,False
NA1_5231419502,1910,GameComplete,False,False
NA1_5231380665,2281,GameComplete,False,False
NA1_5231342532,1712,GameComplete,False,False
NA1_5231143459,926,GameComplete,True,False
NA1_5230836324,1631,GameComplete,False,False
NA1_5230818145,1736,GameComplete,False,False
NA1_5230407888,1408,GameComplete,False,False
NA1_5230380236,1113,GameComplete,True,False
NA1_5230348594,1760,GameComplete,False,False
NA1_5230193454,1475,GameComplete,True,False
NA1_5229402507,1716,GameComplete,False,False
NA1_5229380328,1874,GameComplete,False,False
NA1_5229361281,1650,GameComplete,False,False
NA1_5229341730,1712,GameComplete,False,False
NA1_5229293324,1849,GameComplete,False,False
NA1_5229278520,1752,GameComplete,False,False
NA1_5229265363,1119,GameComplete,True,False
NA1_5229258320,1360,GameComplete,True,False
NA1_5229248905,1516,GameComplete,True,False
NA1_5229013948,1673,GameComplete,False,False
NA1_5228976079,1861,GameComplete,False,False
NA1_5228359255,1802,GameComplete,False,False
NA1_5228319820,1741,GameComplete,False,False
NA1_5228292450,965,GameComplete,True,False
NA1_5228259090,2048,GameComplete,False,False
NA1_5228239108,941,GameComplete,True,False
NA1_5228205730,1369,GameComplete,False,False
NA1_5228011086,1750,GameComplete,False,False
NA1_5227994390,949,GameComplete,True,False
NA1_5227979792,1660,GameComplete,True,False
NA1_5227960315,1829,GameComplete,True,False
NA1_5227511735,1190,GameComplete,False,False
NA1_5227469955,1896,GameComplete,False,False
NA1_5227384067,1833,GameComplete,False,False
NA1_5227307734,1478,GameComplete,False,False
NA1_5227281958,1813,GameComplete,False,False
NA1_5227266779,2567,GameComplete,False,False
NA1_5227258758,1741,GameComplete,False,False
NA1_5227015880,2097,GameComplete,False,False
NA1_5226910319,1657,GameComplete,False,False
NA1_5226861167,3051,GameComplete,False,False
NA1_5226761474,2730,GameComplete,False,False
NA1_5225640789,1796,GameComplete,False,False
NA1_5225610317,1356,GameComplete,False,False
NA1_5225583157,1439,GameComplete,False,False
NA1_5225523488,1593,GameComplete,True,False
NA1_5225252349,1949,GameComplete,False,False
NA1_5225185219,1403,GameComplete,False,False
NA1_5225157267,1855,GameComplete,False,False
NA1_5224847438,2447,GameComplete,False,False
NA1_5224768084,2587,GameComplete,False,False
NA1_5224669565,1125,GameComplete,True,False
NA1_5224086105,1805,GameComplete,False,False
NA1_5223836496,1541,GameComplete,False,False
NA1_5223816399,1544,GameComplete,False,False
NA1_5223388262,964,GameComplete,True,False
NA1_5223340174,1840,GameComplete,True,False
NA1_5222530265,1900,GameComplete,False,False
NA1_5222508864,1670,GameComplete,False,False
NA1_5244268113,1140,GameComplete,True,False
NA1_5243291508,2324,GameComplete,False,False
NA1_5243144092,1428,GameComplete,False,False
NA1_5242793903,1634,GameComplete,False,False
NA1_5242000544,1642,GameComplete,False,False
NA1_5241708142,1734,GameComplete,False,False
NA1_5241670340,2006,GameComplete,True,False
NA1_5241648572,1300,GameComplete,True,False
NA1_5241551911,1704,GameComplete,False,False
NA1_5238172112,1701,GameComplete,True,False
NA1_5238137072,1625,GameComplete,False,False
NA1_5237883733,1767,GameComplete,False,False
NA1_5237874066,1147,GameComplete,True,False
NA1_5236341173,1663,GameComplete,False,False
NA1_5231746335,1602,GameComplete,False,False
NA1_5231727341,1718,GameComplete,False,False
NA1_5228739228,2074,GameComplete,False,False
NA1_5228174415,1397,GameComplete,False,False
NA1_5228108982,1304,GameComplete,False,False
NA1_5228088185,1720,GameComplete,False,False
NA1_5228033272,2672,GameComplete,False,False
NA1_5228019088,1681,GameComplete,False,False
NA1_5227717917,1772,GameComplete,False,False
NA1_5227689988,1347,GameComplete,False,False
NA1_5227671961,958,GameComplete,True,False
NA1_5227543604,2218,GameComplete,False,False
NA1_5227522901,1301,GameComplete,True,False
NA1_5227031132,1411,GameComplete,True,False
NA1_5227000962,1718,GameComplete,False,False
NA1_5226752427,1330,GameComplete,True,False
NA1_5226734540,1578,GameComplete,False,False
NA1_5226703669,1705,GameComplete,False,False
NA1_5226696924,911,GameComplete,True,False
NA1_5225682662,2036,GameComplete,False,False
NA1_5225354596,2011,GameComplete,False,False
NA1_5225326159,1480,GameComplete,False,False
NA1_5225070219,1614,GameComplete,True,False
NA1_5225059971,1574,GameComplete,False,False
NA1_5224900608,1924,GameComplete,False,False
NA1_5224490201,2510,GameComplete,False,False
NA1_5223793813,2283,GameComplete,False,False
NA1_5223785248,112,GameComplete,False,True
NA1_5223156788,1888,GameComplete,False,False
NA1_5223135411,1343,GameComplete,False,False
NA1_5223072052,1542,GameComplete,False,False
NA1_5222783652,2013,GameComplete,False,False
NA1_5221345447,2056,GameComplete,False,False
NA1_5221305717,1741,GameComplete,False,False
NA1_5218713780,1823,GameComplete,False,False
NA1_5213410009,2156,GameComplete,False,False
NA1_5213160500,1774,GameComplete,False,False
NA1_5212041596,1387,GameComplete,False,False
NA1_5212007345,2062,GameComplete,False,False
NA1_5211157593,1749,GameComplete,False,False
NA1_5211132716,1692,GameComplete,True,False
NA1_5208264752,912,GameComplete,True,False
NA1_5208239824,1556,GameComplete,True,False
NA1_5208217389,1366,GameComplete,True,False
NA1_5208190200,1500,GameComplete,False,False
NA1_5207841536,915,GameComplete,True,False
NA1_5207830890,916,GameComplete,True,False
NA1_5207618575,2584,GameComplete,False,False
NA1_5207594741,1404,GameComplete,False,False
NA1_5206207069,1592,GameComplete,False,False
NA1_5206178235,1729,GameComplete,False,False
NA1_5206163109,930,GameComplete,True,False
NA1_5206114907,332,GameComplete,True,False
NA1_5206086636,2179,GameComplete,False,False
NA1_5206064652,1806,GameComplete,False,False
NA1_5206047441,1570,GameComplete,True,False
NA1_5203889651,2115,GameComplete,False,False
NA1_5203854297,1892,GameComplete,True,False
NA1_5192659765,1913,GameComplete,True,False
NA1_5189665241,1502,GameComplete,False,False
NA1_5188436193,1783,GameComplete,True,False
NA1_5181174405,1625,GameComplete,False,False
NA1_5181076897,1448,GameComplete,True,False
NA1_5179221061,1741,GameComplete,False,False
NA1_5179202369,1717,GameComplete,False,False
NA1_5178945286,1546,GameComplete,False,False
NA1_5178910730,1696,GameComplete,False,False
NA1_5178122564,1607,GameComplete,False,False
NA1_5175348266,1862,GameComplete,False,False
NA1_5175292056,2191,GameComplete,False,False
NA1_5175178558,2441,GameComplete,False,False
NA1_5174634796,1988,GameComplete,False,False
NA1_5174403375,1846,GameComplete,True,False
NA1_5174370114,1668,GameComplete,True,False
NA1_5174342736,1536,GameComplete,False,False
NA1_5173356013,1381,GameComplete,False,False
NA1_5172380313,2071,GameComplete,False,False
NA1_5166204219,1554,GameComplete,True,False
NA1_5166023158,2391,GameComplete,False,False
NA1_5166003147,1493,GameComplete,False,False
NA1_5162020123,2178,GameComplete,False,False
NA1_5161021993,2161,GameComplete,False,False
NA1_5160969818,1759,GameComplete,False,False
NA1_5160850034,2547,GameComplete,True,False
NA1_5160820350,1410,GameComplete,False,False
NA1_5160811685,104,GameComplete,False,True
NA1_5249287779,1741,GameComplete,False,False
NA1_5249264745,1704,GameComplete,False,False
NA1_5249237515,1518,GameComplete,False,False
NA1_5249218070,1598,GameComplete,False,False
NA1_5248809465,1506,GameComplete,False,False
NA1_5248650030,2193,GameComplete,True,False
NA1_5248623902,1116,GameComplete,False,False
NA1_5248598337,1984,GameComplete,True,False
NA1_5248155961,1040,GameComplete,True,False
NA1_5248127319,1704,GameComplete,False,False
NA1_5248121164,106,GameComplete,False,True
NA1_5248095690,1769,GameComplete,True,False
NA1_5248065035,1710,GameComplete,False,False
NA1_5248004700,524,GameComplete,True,False
NA1_5247986576,1649,GameComplete,False,False
NA1_5247969961,1734,GameComplete,False,False
NA1_5247911920,2191,GameComplete,False,False
NA1_5246522955,1675,GameComplete,False,False
NA1_5246500660,1138,GameComplete,True,False
NA1_5246468640,1685,GameComplete,False,False
NA1_5246443444,1833,GameComplete,False,False
NA1_5246263108,1255,GameComplete,True,False
NA1_5246175646,1899,GameComplete,False,False
NA1_5246163512,1681,GameComplete,False,False
NA1_5246123347,1667,GameComplete,True,False
NA1_5245977881,1954,GameComplete,False,False
NA1_5245949980,1941,GameComplete,True,False
NA1_5245817082,2305,GameComplete,False,False
NA1_5245788181,2159,GameComplete,False,False
NA1_5245761737,1719,GameComplete,False,False
NA1_5245651396,2787,GameComplete,False,False
NA1_5245626296,1414,GameComplete,True,False
NA1_5245320402,2480,GameComplete,False,False
NA1_5245251429,1438,GameComplete,False,False
NA1_5244452433,2236,GameComplete,False,False
NA1_5244232387,2319,GameComplete,False,False
NA1_5243580387,2537,GameComplete,False,False
NA1_5243562765,1508,GameComplete,True,False
NA1_5243529043,1529,GameComplete,False,False
NA1_5243502776,1367,GameComplete,False,False
NA1_5243470548,1763,GameComplete,False,False
NA1_5243404482,2076,GameComplete,False,False
NA1_5243377382,1750,GameComplete,False,False
NA1_5243351652,947,GameComplete,True,False
NA1_5242070590,1322,GameComplete,False,False
NA1_5241987113,1604,GameComplete,True,False
NA1_5241775960,2115,GameComplete,False,False
NA1_5241522034,1731,GameComplete,False,False
NA1_5241225949,1615,GameComplete,False,False
NA1_5241195342,1760,GameComplete,False,False
NA1_5241151484,2789,GameComplete,False,False
NA1_5241107204,1971,GameComplete,False,False
NA1_5240966005,1875,GameComplete,True,False
NA1_5240932458,2088,GameComplete,False,False
NA1_5240653051,1917,GameComplete,True,False
NA1_5240343339,1822,GameComplete,False,False
NA1_5239951670,1513,GameComplete,False,False
NA1_5239678547,2160,GameComplete,False,False
NA1_5239664309,1477,GameComplete,False,False
NA1_5239642778,2421,GameComplete,False,False
NA1_5239292253,2118,GameComplete,True,False
NA1_5239255578,2042,GameComplete,False,False
NA1_5239236888,1169,GameComplete,True,False
NA1_5239179925,2559,GameComplete,False,False
NA1_5239156056,1656,GameComplete,True,False
NA1_5238898556,1668,GameComplete,False,False
NA1_5238237008,2046,GameComplete,False,False
NA1_5238216227,2226,GameComplete,True,False
NA1_5238198090,1517,GameComplete,False,False
NA1_5237425590,2010,GameComplete,True,False
NA1_5237346972,2580,GameComplete,False,False
NA1_5237013283,1337,GameComplete,True,False
NA1_5236731537,1628,GameComplete,False,False
NA1_5236634012,1631,GameComplete,False,False
NA1_5236617924,2067,GameComplete,False,False
