matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5249411151,6thFzeiweylAUAYs0hZTRAuEe0Zzg6F_a2a7I7JwzgTnRdWgq2kjf45TErZ5AkswpX9JV_z2NPKprQ,100,814,SUPPORT,TOP,3,3,1,54,False,False,75,1052,460,EMERALD,II,10,84703
NA1_5249411151,LF-Br8RntZlhmcI9BlazGokFOcAfU8aQavQMVRRXNB-IvWM0COFCTfEr-a2z5mi7rpZ7SX_3r7LmSg,100,711,SUPPORT,JUNGLE,3,6,2,2,False,False,129,1052,321,DIAMOND,IV,30,301181
NA1_5249411151,TJ5WylwV94r_-Wnm8Zs9la9Qg7DaYy0qGAUIApMBXhcPFtQ7n_Ei2ND4oiB7FH9RWvMVS1xcm9ZWaA,100,410,SUPPORT,MIDDLE,2,6,2,50,False,False,138,1052,498,DIAMOND,III,26,295172
NA1_5249411151,9pCT__m0Ol5MV3TO-Iff355rdS1oHbJQbxwxmHfU26M6jkFUPFNgFDVPHbyLfZJExfCzzqrJkaf90A,100,1075,SUPPORT,BOTTOM,1,4,0,18,False,False,77,1052,395,DIAMOND,IV,12,100283
NA1_5249411151,Ikl5wR8b3bh0IG6bfw8g1xGbMD9aBDpko4AR1aWE6d1-EsPaQVgj5Y3RBxFTCQ8Mr52wYUv3w5J9Eg,100,314,SUPPORT,UTILITY,0,5,1,12,False,False,76,1052,632,EMERALD,I,4,16751
NA1_5249411151,GaGcpGYY8FJO7bLJS5UKvpEyfPRJgcB_zhtAIVJkIwVAdA16RBJvtYuC95W4CEy7IIrjY3l_vR7Egg,200,175,SUPPORT,TOP,1,4,5,126,True,False,84,1052,269,GOLD,II,4,13725
NA1_5249411151,kc4-aMyj5BYY9ZUCaUF9RdWqRQTI3n8bcbVfJ2Ezp1q9WhAQfBAD9uorsunW-OWx_Xy9hI8drn7dww,200,780,SUPPORT,JUNGLE,6,1,6,80,True,False,28,1052,748,DIAMOND,I,3,12143
NA1_5249411151,dhbCiCowopusmaeyxJhiYId4DJyZY1PAVLariKrN-KDppFV77jogcPW-ZUpVZPx96PTEkiiaHsLF5w,200,257,SUPPORT,MIDDLE,8,3,4,517,True,False,58,1052,294,DIAMOND,III,35,361294
NA1_5249411151,QyJ9A62NldjZcwrzYPvfHPZYOhyKNH1LFqFJcUxWHg3ah1qCBDHcAT2EEyQ6KtsU4_fi1aoOGWPkWw,200,166,DUO,BOTTOM,7,0,5,21,True,False,0,1052,0,GOLD,II,10,85579
NA1_5249411151,KIhlmolCPYmFkWd4axcVkAB7YLbomt29Pyf8qXYb1oQmSCc-yaAhczfBPnn7dAeHEkRwUGdm-fKlwg,200,719,SUPPORT,UTILITY,2,1,14,526,True,False,25,1052,852,GOLD,II,3,11938
