matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5222824814,1627,GameComplete,False,False
NA1_5213194674,703,GameComplete,True,False
NA1_5202852108,1519,GameComplete,False,False
NA1_5202838505,923,GameComplete,True,False
NA1_5207666081,1527,GameComplete,False,False
NA1_5209505815,1375,GameComplete,False,False
NA1_5208762586,1288,GameComplete,False,False
NA1_5208745463,1920,GameComplete,False,False
NA1_5208736148,893,GameComplete,True,False
NA1_5242702715,1621,GameComplete,False,False
NA1_5242692424,990,GameComplete,True,False
NA1_5242681369,1232,GameComplete,False,False
NA1_5242666040,1874,GameComplete,False,False
NA1_5223110733,1943,GameComplete,False,False
NA1_5222841016,1423,GameComplete,False,False
NA1_5222657889,1741,GameComplete,True,False
NA1_5222624402,1250,GameComplete,False,False
NA1_5222603469,1221,GameComplete,True,False
NA1_5222585906,1236,GameComplete,False,False
NA1_5222544508,1870,GameComplete,False,False
NA1_5221934719,2064,GameComplete,False,False
NA1_5221799749,1417,GameComplete,False,False
NA1_5221755524,108,GameComplete,False,True
NA1_5221532883,966,GameComplete,True,False
NA1_5221487099,1443,GameComplete,False,False
NA1_5221467819,2069,GameComplete,True,False
NA1_5221452107,1169,GameComplete,True,False
NA1_5221444049,439,GameComplete,True,False
NA1_5217467811,1585,GameComplete,False,False
NA1_5217248111,936,GameComplete,True,False
NA1_5215221059,2278,GameComplete,True,False
NA1_5215195641,1055,GameComplete,True,False
NA1_5214917945,1878,GameComplete,False,False
NA1_5214173770,1663,GameComplete,True,False
NA1_5213502250,2024,GameComplete,False,False
NA1_5213455258,2111,GameComplete,True,False
NA1_5213424196,1453,GameComplete,True,False
NA1_5213388437,1595,GameComplete,False,False
NA1_5213357269,1181,GameComplete,False,False
NA1_5213306819,2006,GameComplete,False,False
NA1_5213283347,1475,GameComplete,False,False
NA1_5213263119,1372,GameComplete,False,False
NA1_5213252853,579,GameComplete,True,False
NA1_5213246775,104,GameComplete,False,True
NA1_5213219155,1949,GameComplete,False,False
NA1_5213196511,1569,GameComplete,False,False
NA1_5212879795,1927,GameComplete,False,False
NA1_5212856338,1506,GameComplete,False,False
NA1_5212832656,1521,GameComplete,True,False
NA1_5212756350,1605,GameComplete,True,False
NA1_5212734157,1494,GameComplete,False,False
NA1_5212708731,1427,GameComplete,False,False
NA1_5212080160,1989,GameComplete,True,False
NA1_5212048396,1720,GameComplete,True,False
NA1_5211446789,2141,GameComplete,False,False
NA1_5248705907,1560,GameComplete,True,False
NA1_5244130989,1427,GameComplete,True,False
NA1_5243409758,1918,GameComplete,False,False
NA1_5235291060,1498,GameComplete,False,False
NA1_5235278241,986,GameComplete,True,False
NA1_5235229196,1697,GameComplete,False,False
NA1_5234987492,1435,GameComplete,True,False
NA1_5234960610,1882,GameComplete,False,False
NA1_5234931037,1775,GameComplete,True,False
NA1_5234635292,1273,GameComplete,True,False
NA1_5234294354,1952,GameComplete,False,False
NA1_5232871771,1901,GameComplete,True,False
NA1_5232828600,1948,GameComplete,False,False
NA1_5232807369,1181,GameComplete,False,False
NA1_5232738085,1819,GameComplete,False,False
NA1_5232712310,990,GameComplete,True,False
NA1_5232525660,1349,GameComplete,False,False
NA1_5232273826,1056,GameComplete,True,False
NA1_5232227443,1867,GameComplete,False,False
NA1_5232202873,1675,GameComplete,False,False
NA1_5231955747,1058,GameComplete,True,False
NA1_5231935756,1296,GameComplete,False,False
NA1_5231353743,1085,GameComplete,True,False
NA1_5231283475,1259,GameComplete,False,False
NA1_5231261590,948,GameComplete,True,False
NA1_5231015424,1512,GameComplete,False,False
NA1_5231004025,918,GameComplete,True,False
NA1_5230435412,1869,GameComplete,True,False
NA1_5230313462,1825,GameComplete,False,False
NA1_5230186284,1415,GameComplete,True,False
NA1_5229485061,1326,GameComplete,False,False
NA1_5229068163,916,GameComplete,True,False
NA1_5228969872,1995,GameComplete,False,False
NA1_5228669227,1406,GameComplete,True,False
