puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
y5lWZLZPutAIT9MeZt5rfXVeP5-caaiTJ2TUFFEtPqCiAa2lQe_twnuOmMGeW_jqBTMTX9MoxBWziw,572,EMERALD,I,1,2,0,0.5,0.0,0.5,0.5,0.0,892,586,510,1.522184300341297,0.8703071672354948,1.9573378839590443,2.3924914675767917,1.631578947368421
VHt1PUpckKBlqtR-rViFOA3FX9kfCKxy55a6kRy3igCUiWK7SnrIr907_kA8FrZcLr-JMsbjncBdAA,270,EMERALD,I,68,44,46,1.5454545454545454,1.0454545454545454,2.0681818181818183,2.590909090909091,2.0,432,651,1245,0.663594470046083,1.912442396313364,1.619815668202765,2.576036866359447,0.7543859649122807
4cPIuMMZkVAoDbvj0lEQ4A6o9oin5Xpkk12NdkN--W8cmcommCYyEZKgO1kLqbYjgxaTMHuBs63cwQ,338,GOLD,III,27,22,13,1.2272727272727273,0.5909090909090909,1.5227272727272727,1.8181818181818181,1.5,646,576,916,1.1215277777777777,1.5902777777777777,1.9166666666666667,2.7118055555555554,1.2727272727272727
x3Sg9bbB8KRQNrmX0jAQhk0ET2coNbhLz-CzsJrhlNtx9kL764ryhSjOAxR6D7SVW_fQ1aduV4OPyg,470,UNRANKED,UNRANKED,15,1,9,15.0,9.0,19.5,24.0,2.0,504,470,664,1.0723404255319149,1.4127659574468086,1.778723404255319,2.4851063829787234,1.2972972972972974
5U7-eZ4mQ5BjXsi1RMS2whpA38TpnaW_nOx2pMBoPRzLVXCWyuh3cYZSv-FFK0E1qM7ac3YhH46H0Q,456,SILVER,IV,479,236,328,2.0296610169491527,1.3898305084745763,2.7245762711864407,3.419491525423729,1.2333333333333334,540,436,700,1.238532110091743,1.6055045871559632,2.041284403669725,2.8440366972477062,0.8518518518518519
iOvp3Oq7CR4Su8ptEsVr0YgbFbFaJExVW5vUDoC0kKpAQudFkpKmt8lv09wH2cz_72Nv_h-I0TWUpA,359,UNRANKED,UNRANKED,218,380,406,0.5736842105263158,1.068421052631579,1.1078947368421053,1.6421052631578947,1.2222222222222223,,,,,,,,
7-l8dvAjE5whOScR8gMDu4GWRml358qDiUR_MeJI0_EcRJtijIKcetMbJvxNJi_teWiuZvV37pquyA,348,UNRANKED,UNRANKED,714,559,598,1.2772808586762074,1.069767441860465,1.81216457960644,2.3470483005366725,1.2727272727272727,84,54,67,1.5555555555555556,1.2407407407407407,2.175925925925926,2.7962962962962963,1.5
q4GwEXf15v0B6ZobyuHVyO2ICa6MdRGDpTbL-DAse-cYLhxTNeps0KP3AN4w4JUo_SyQQjYcCAPOcQ,123,IRON,II,29,63,30,0.4603174603174603,0.47619047619047616,0.6984126984126984,0.9365079365079365,0.5714285714285714,728,742,616,0.9811320754716981,0.8301886792452831,1.3962264150943395,1.8113207547169812,1.0408163265306123
qTUqfTqDE2ShMxLtEKrhUe7e3kmy-Oz7HIWxMiWQZ2vwNKoDRWr8ZzWFWtY_c8yAtypObM6q1BVycQ,124,UNRANKED,UNRANKED,148,102,85,1.4509803921568627,0.8333333333333334,1.8676470588235294,2.284313725490196,0.5625,45,31,32,1.4516129032258065,1.032258064516129,1.967741935483871,2.4838709677419355,1.5
6BoxQDs1xjtm9fdowTkBdOwDhZoHb186FAwgnCkWYUgZDycV0pizPgGlo9kY5FBi_-m7Cj4i7FQsEA,461,IRON,IV,174,235,125,0.7404255319148936,0.5319148936170213,1.0063829787234042,1.2723404255319148,0.6538461538461539,792,583,570,1.3584905660377358,0.9777015437392796,1.8473413379073755,2.3361921097770155,0.7857142857142857
qKyYRTKz2-v2Lk2_UVGfUXrto-enkDxC8jpseJQJ23mCimy5xHnJO3N9E8X6n573av9POpfcW-YzYA,6,UNRANKED,UNRANKED,421,307,329,1.3713355048859934,1.0716612377850163,1.9071661237785016,2.44299674267101,1.0263157894736843,,,,,,,,
BtkB46YvCQkUZH4QXsedAaBbJ2Jbws0pX21inw2M-AcnSRbY4o1BvLv06XTA9HIGCLM9OARWnVFKSQ,264,MASTER,I,9,4,7,2.25,1.75,3.125,4.0,1.0,468,436,424,1.073394495412844,0.9724770642201835,1.5596330275229358,2.0458715596330275,0.7857142857142857
LD8I01j0v9Dg6BV7sVQ9s2Jvt9QP2OScYKPRm8tB4pZwV6hFPiZNXb4XZrQaJjLqXADpbx2DkKz4Zw,121,DIAMOND,I,60,36,26,1.6666666666666667,0.7222222222222222,2.0277777777777777,2.388888888888889,2.5,825,544,570,1.5165441176470589,1.0477941176470589,2.0404411764705883,2.5643382352941178,0.8867924528301887
