matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5249671072,2064,GameComplete,True,False
NA1_5249511852,2148,GameComplete,False,False
NA1_5249497109,992,GameComplete,True,False
NA1_5249182875,2113,GameComplete,False,False
NA1_5249119473,1378,GameComplete,True,False
NA1_5249114246,933,GameComplete,True,False
NA1_5249106478,912,GameComplete,True,False
NA1_5249097566,1517,GameComplete,False,False
NA1_5248180503,1705,GameComplete,False,False
NA1_5248061511,1989,GameComplete,False,False
NA1_5248049476,960,GameComplete,True,False
NA1_5248034393,1360,GameComplete,False,False
NA1_5247926167,2105,GameComplete,False,False
NA1_5247907083,2323,GameComplete,False,False
NA1_5247762719,1755,GameComplete,False,False
NA1_5247661132,2077,GameComplete,True,False
NA1_5247632396,1953,GameComplete,False,False
NA1_5247598944,1909,GameComplete,False,False
NA1_5247550234,1982,GameComplete,False,False
NA1_5247349184,1693,GameComplete,True,False
NA1_5247331130,1863,GameComplete,True,False
NA1_5247308716,2389,GameComplete,True,False
NA1_5247267492,1236,GameComplete,False,False
NA1_5247157277,1987,GameComplete,False,False
NA1_5247146240,1227,GameComplete,True,False
NA1_5247131440,1364,GameComplete,False,False
NA1_5247111014,2137,GameComplete,False,False
NA1_5247009510,1629,GameComplete,False,False
NA1_5246975226,2243,GameComplete,False,False
NA1_5246800458,1911,GameComplete,False,False
NA1_5246782135,1745,GameComplete,False,False
NA1_5246315693,1917,GameComplete,True,False
NA1_5246295240,1967,GameComplete,True,False
NA1_5245982203,2452,GameComplete,False,False
NA1_5245114524,1866,GameComplete,True,False
NA1_5245091080,1426,GameComplete,False,False
NA1_5244860094,2233,GameComplete,False,False
NA1_5244412732,1630,GameComplete,False,False
NA1_5243307356,1951,GameComplete,False,False
NA1_5243296151,941,GameComplete,True,False
NA1_5243285306,709,GameComplete,True,False
NA1_5243262677,2347,GameComplete,False,False
NA1_5242654780,2342,GameComplete,True,False
NA1_5242391349,1794,GameComplete,False,False
NA1_5242158121,1835,GameComplete,True,False
NA1_5242140434,1551,GameComplete,False,False
NA1_5242124194,1317,GameComplete,True,False
NA1_5242109152,1302,GameComplete,True,False
NA1_5242096178,1169,GameComplete,False,False
NA1_5239945564,1689,GameComplete,False,False
NA1_5237789242,1536,GameComplete,True,False
NA1_5237780988,1109,GameComplete,True,False
NA1_5237760685,2922,GameComplete,False,False
NA1_5237756807,915,GameComplete,True,False
NA1_5237638220,1736,GameComplete,False,False
NA1_5237620132,2001,GameComplete,True,False
NA1_5237595247,2195,GameComplete,False,False
NA1_5237573322,1653,GameComplete,False,False
NA1_5237189661,2433,GameComplete,False,False
NA1_5237174438,1963,GameComplete,False,False
NA1_5235893318,1918,GameComplete,False,False
NA1_5235886287,944,GameComplete,True,False
NA1_5235871619,2141,GameComplete,True,False
NA1_5234815487,1664,GameComplete,False,False
NA1_5234782137,2064,GameComplete,False,False
NA1_5233367082,2178,GameComplete,True,False
NA1_5233342447,1903,GameComplete,False,False
NA1_5233233157,1444,GameComplete,True,False
NA1_5230379319,2037,GameComplete,False,False
NA1_5230138849,1503,GameComplete,False,False
NA1_5230101535,1686,GameComplete,False,False
NA1_5230073500,2215,GameComplete,False,False
NA1_5230059144,1387,GameComplete,True,False
NA1_5230049346,536,GameComplete,True,False
NA1_5229838487,2170,GameComplete,False,False
NA1_5229818789,1785,GameComplete,False,False
NA1_5229782152,1967,GameComplete,True,False
NA1_5229734988,1747,GameComplete,False,False
NA1_5229035260,2179,GameComplete,False,False
NA1_5228186066,1599,GameComplete,False,False
NA1_5228156053,1891,GameComplete,False,False
NA1_5228124880,2331,GameComplete,True,False
NA1_5228099327,1894,GameComplete,False,False
NA1_5228081761,983,GameComplete,True,False
NA1_5224760490,1687,GameComplete,True,False
NA1_5224729807,1584,GameComplete,True,False
NA1_5224699917,1295,GameComplete,False,False
NA1_5224675531,1031,GameComplete,True,False
NA1_5203890938,1484,GameComplete,False,False
NA1_5202872388,1855,GameComplete,False,False
NA1_5202842035,2110,GameComplete,False,False
NA1_5202833422,103,GameComplete,False,True
NA1_5202811505,1647,GameComplete,True,False
NA1_5202789595,1573,GameComplete,False,False
NA1_5202544966,1833,GameComplete,True,False
NA1_5202501249,2488,GameComplete,False,False
NA1_5200947272,1988,GameComplete,False,False
NA1_5200229758,1778,GameComplete,False,False
NA1_5199534077,1588,GameComplete,False,False
NA1_5199494930,1852,GameComplete,False,False
NA1_5250482432,1681,GameComplete,False,False
NA1_5250225529,1826,GameComplete,False,False
NA1_5250079067,2312,GameComplete,False,False
NA1_5250054479,2090,GameComplete,False,False
NA1_5249689601,2060,GameComplete,False,False
NA1_5249678630,1796,GameComplete,False,False
NA1_5249471159,1813,GameComplete,True,False
NA1_5249434333,2710,GameComplete,True,False
NA1_5249410198,1727,GameComplete,True,False
NA1_5249206299,1543,GameComplete,True,False
NA1_5249196112,1029,GameComplete,True,False
NA1_5248126419,2491,GameComplete,False,False
NA1_5247983139,2617,GameComplete,False,False
NA1_5247294824,2432,GameComplete,False,False
NA1_5246737623,1146,GameComplete,True,False
NA1_5246713933,1470,GameComplete,True,False
NA1_5246695602,2237,GameComplete,False,False
NA1_5246313710,2052,GameComplete,False,False
NA1_5245953659,1740,GameComplete,False,False
NA1_5245883878,1778,GameComplete,False,False
NA1_5245754630,2405,GameComplete,False,False
NA1_5245734319,1466,GameComplete,False,False
NA1_5245044493,1565,GameComplete,False,False
NA1_5245018780,1933,GameComplete,False,False
NA1_5244649303,1431,GameComplete,True,False
NA1_5232196178,2413,GameComplete,False,False
NA1_5231935013,1723,GameComplete,True,False
NA1_5231875298,1629,GameComplete,False,False
NA1_5231652214,2477,GameComplete,False,False
NA1_5231476643,1793,GameComplete,True,False
NA1_5231463321,915,GameComplete,True,False
NA1_5228759525,1685,GameComplete,False,False
NA1_5210539431,1819,GameComplete,False,False
NA1_5205519450,1802,GameComplete,False,False
NA1_5191483807,1595,GameComplete,False,False
NA1_5191439335,2119,GameComplete,False,False
NA1_5188754254,2005,GameComplete,True,False
NA1_5178898719,1784,GameComplete,True,False
NA1_5178859937,1627,GameComplete,True,False
NA1_5178839962,128,GameComplete,False,True
NA1_5174902031,1449,GameComplete,True,False
NA1_5173430244,1543,GameComplete,False,False
NA1_5165515324,1489,GameComplete,True,False
NA1_5165445605,2581,GameComplete,False,False
NA1_5158192434,1990,GameComplete,False,False
NA1_5158154217,1953,GameComplete,False,False
NA1_5158077407,971,GameComplete,True,False
NA1_5158042928,1561,GameComplete,False,False
NA1_5157836226,1638,GameComplete,False,False
NA1_5157776124,1741,GameComplete,False,False
NA1_5157388655,1307,GameComplete,True,False
NA1_5157320472,1626,GameComplete,False,False
NA1_5157258432,1508,GameComplete,False,False
NA1_5157116468,1343,GameComplete,False,False
NA1_5157075156,1948,GameComplete,False,False
NA1_5156876382,2850,GameComplete,False,False
NA1_5155790564,1623,GameComplete,False,False
NA1_5155626722,1742,GameComplete,False,False
NA1_5155515752,1413,GameComplete,False,False
NA1_5155362334,2046,GameComplete,False,False
NA1_5155341082,1201,GameComplete,True,False
NA1_5155332325,107,GameComplete,False,True
NA1_5153959444,1170,GameComplete,True,False
NA1_5153926748,1857,GameComplete,False,False
NA1_5153882684,2248,GameComplete,False,False
NA1_5153325160,1027,GameComplete,True,False
NA1_5153290973,2061,GameComplete,False,False
NA1_5153251380,2205,GameComplete,False,False
NA1_5153218562,1518,GameComplete,True,False
NA1_5153193338,1171,GameComplete,True,False
NA1_5152515937,1274,GameComplete,True,False
NA1_5152478216,1740,GameComplete,False,False
NA1_5151620998,1750,GameComplete,False,False
NA1_5151583894,1657,GameComplete,False,False
NA1_5137360727,2799,GameComplete,False,False
NA1_5137287277,1657,GameComplete,False,False
NA1_5132198530,1265,GameComplete,True,False
NA1_5120765228,2251,GameComplete,False,False
NA1_5106049407,1608,GameComplete,False,False
NA1_5102554959,2136,GameComplete,False,False
NA1_5102307301,1691,GameComplete,False,False
NA1_5101707532,1483,GameComplete,True,False
NA1_5101674081,1536,GameComplete,True,False
NA1_5061184264,2173,GameComplete,False,False
NA1_5059439730,915,GameComplete,True,False
NA1_5052566117,2035,GameComplete,False,False
