matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5249671072,zk_E1Le3lynXXahjdxkTuM8WIDubkdcDhWYr0F8BLIv7z3ihn7sPFpDkCtcpIDS_yTdK7jM6Cz90Dw,100,276,SOLO,TOP,4,6,11,266,True,False,247,2064,460,EMERALD,I,7,46333
NA1_5249671072,kBxPGE0ijbr_oOXQXL_k4J5cTHwRf1W2Cf9XI78GeHIx_CzckJ7bL55HOrum3uyTFElQx-yM4IDC-A,100,213,NONE,JUNGLE,19,5,9,234,True,False,126,2064,326,EMERALD,II,45,538776
NA1_5249671072,DuKAFLSPmo8vra57lFxIeupfZeCZ05GY3KC38DHSZ5b-YCDerUV58aRQHKqEMfyMZCVt7xnrUNS65Q,100,639,SOLO,MIDDLE,3,4,15,112,True,False,136,2064,501,DIAMOND,IV,46,473848
NA1_5249671072,51QEs-1U_ga3LpD-hG3wc133n2Wjq7W_DpKp2Uge6o-NcY97edfyCG4u3KFzKlp1UQBfTCh8_iicBg,100,1535,CARRY,BOTTOM,9,9,16,235,True,False,230,2064,542,EMERALD,I,8,57469
NA1_5249671072,2E4BLdOKs-8-SjyJxOQJ02bDGZuUJ5tAe9iidrJFSBfL5qAKbHLy5aOeJxajQguXQon3cz075hAhHw,100,36,SUPPORT,UTILITY,4,4,24,412,True,False,82,2064,798,EMERALD,III,12,100731
NA1_5249671072,y5lWZLZPutAIT9MeZt5rfXVeP5-caaiTJ2TUFFEtPqCiAa2lQe_twnuOmMGeW_jqBTMTX9MoxBWziw,200,581,SOLO,TOP,1,9,6,62,False,False,332,2064,885,EMERALD,I,7,51469
NA1_5249671072,VtDin7rJ_yZ7VvDbrQcv3qgSg4ct34mCGZcTLoI3t7O2uApWSW-hbkkNxIqo-XwwQB5ly_MC_yAchQ,200,44,SUPPORT,JUNGLE,4,9,11,203,False,False,281,2064,632,EMERALD,II,7,48339
NA1_5249671072,2hwdZDowvbRbNpF927LU3yi32Tm83FdqdW7ViWWyHfyQ2ejVblNIPnE6PMvw93_qzQvNBDoQ3wm1KQ,200,818,CARRY,MIDDLE,7,6,4,3,False,False,239,2064,577,EMERALD,III,4,21469
NA1_5249671072,G-nbHrmd7IaDpBcdKHmTJfNmU7irfPxm2r8q6eTaBFoojuq-6_LSDX6uOEpz_v6xedFGtXojhwFmew,200,139,SOLO,BOTTOM,14,8,4,145,False,False,248,2064,346,EMERALD,III,4,19493
NA1_5249671072,1mBhZzTsZ2D5ey19eHpgifNKoysz5Upg7nZiAnpoav63cSSLaFf-frxdnOvfqm7dCPvoOYNjkJJV7A,200,365,SUPPORT,UTILITY,2,7,15,111,False,False,201,2064,648,EMERALD,II,4,14402
NA1_5249511852,y5lWZLZPutAIT9MeZt5rfXVeP5-caaiTJ2TUFFEtPqCiAa2lQe_twnuOmMGeW_jqBTMTX9MoxBWziw,100,581,SOLO,TOP,8,10,8,133,False,False,351,2148,479,EMERALD,I,1,1477
NA1_5249511852,XEHeQBUXmwvYih1LHodyaALtqmnsW2Ae49a95pwzq4pA00skb18b98OE8cqRI87lDUcV-yhhFufM0A,100,321,NONE,JUNGLE,10,10,9,887,False,False,323,2148,496,EMERALD,II,25,250222
