matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5202780490,947,GameComplete,True,False
NA1_5228752298,439,GameComplete,True,False
NA1_5228260106,1606,GameComplete,False,False
NA1_5227759512,1400,GameComplete,False,False
NA1_5227743965,936,GameComplete,True,False
NA1_5202817562,1099,GameComplete,True,False
NA1_5202805743,912,GameComplete,True,False
NA1_5202763623,1525,GameComplete,False,False
NA1_5202741194,1989,GameComplete,False,False
NA1_5237472023,1190,GameComplete,False,False
NA1_5237452411,1181,GameComplete,False,False
NA1_5204554506,1315,GameComplete,True,False
NA1_5203289290,1551,GameComplete,True,False
NA1_5202757104,1218,GameComplete,False,False
NA1_5249323187,1910,GameComplete,False,False
NA1_5248772431,2065,GameComplete,False,False
NA1_5248716499,1741,GameComplete,False,False
NA1_5247510756,1371,GameComplete,True,False
NA1_5247337263,1572,GameComplete,False,False
NA1_5246694840,1956,GameComplete,False,False
NA1_5246462570,1271,GameComplete,True,False
NA1_5246246683,1998,GameComplete,False,False
NA1_5246131909,1253,GameComplete,True,False
NA1_5245624314,152,GameComplete,False,True
NA1_5245598680,1308,GameComplete,False,False
NA1_5244736187,2016,GameComplete,False,False
NA1_5243263942,1297,GameComplete,True,False
NA1_5243180434,942,GameComplete,True,False
NA1_5241465066,1464,GameComplete,True,False
NA1_5241444837,1564,GameComplete,True,False
NA1_5241175592,957,GameComplete,True,False
NA1_5240840561,912,GameComplete,True,False
NA1_5239938767,1439,GameComplete,False,False
NA1_5238682644,1312,GameComplete,False,False
NA1_5238660342,1549,GameComplete,False,False
NA1_5236542098,896,GameComplete,True,False
NA1_5234142109,1106,GameComplete,True,False
NA1_5234121990,1239,GameComplete,True,False
NA1_5234041674,1992,GameComplete,False,False
NA1_5234034808,911,GameComplete,True,False
NA1_5233976611,988,GameComplete,True,False
NA1_5233249407,1833,GameComplete,False,False
NA1_5233193206,1222,GameComplete,False,False
NA1_5231254775,116,GameComplete,False,True
NA1_5231234806,918,GameComplete,True,False
NA1_5230364963,1487,GameComplete,False,False
NA1_5229455982,329,GameComplete,True,False
NA1_5228978598,1466,GameComplete,False,False
NA1_5228724619,1677,GameComplete,False,False
NA1_5228635606,911,GameComplete,True,False
NA1_5228615897,1890,GameComplete,False,False
NA1_5228108722,1202,GameComplete,True,False
