matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5202780490,VHt1PUpckKBlqtR-rViFOA3FX9kfCKxy55a6kRy3igCUiWK7SnrIr907_kA8FrZcLr-JMsbjncBdAA,100,267,DUO,TOP,5,2,3,141,True,False,44,947,373,EMERALD,I,3,8814
NA1_5202780490,4cPIuMMZkVAoDbvj0lEQ4A6o9oin5Xpkk12NdkN--W8cmcommCYyEZKgO1kLqbYjgxaTMHuBs63cwQ,100,328,SUPPORT,JUNGLE,7,1,2,876,True,False,36,947,781,GOLD,III,33,339513
NA1_5202780490,x3Sg9bbB8KRQNrmX0jAQhk0ET2coNbhLz-CzsJrhlNtx9kL764ryhSjOAxR6D7SVW_fQ1aduV4OPyg,100,470,SUPPORT,MIDDLE,5,1,2,131,True,False,36,947,827,UNRANKED,UNRANKED,72,825862
NA1_5202780490,5U7-eZ4mQ5BjXsi1RMS2whpA38TpnaW_nOx2pMBoPRzLVXCWyuh3cYZSv-FFK0E1qM7ac3YhH46H0Q,100,443,SUPPORT,BOTTOM,3,5,2,245,True,False,96,947,414,SILVER,IV,17,171616
NA1_5202780490,iOvp3Oq7CR4Su8ptEsVr0YgbFbFaJExVW5vUDoC0kKpAQudFkpKmt8lv09wH2cz_72Nv_h-I0TWUpA,100,356,SUPPORT,UTILITY,1,3,5,40,True,False,53,947,337,UNRANKED,UNRANKED,12,101045
NA1_5202780490,y5lWZLZPutAIT9MeZt5rfXVeP5-caaiTJ2TUFFEtPqCiAa2lQe_twnuOmMGeW_jqBTMTX9MoxBWziw,200,572,SUPPORT,TOP,1,2,0,41,False,False,37,947,336,EMERALD,I,3,9080
NA1_5202780490,7-l8dvAjE5whOScR8gMDu4GWRml358qDiUR_MeJI0_EcRJtijIKcetMbJvxNJi_teWiuZvV37pquyA,200,344,SUPPORT,JUNGLE,4,5,1,245,False,False,107,947,413,UNRANKED,UNRANKED,5,27560
NA1_5202780490,q4GwEXf15v0B6ZobyuHVyO2ICa6MdRGDpTbL-DAse-cYLhxTNeps0KP3AN4w4JUo_SyQQjYcCAPOcQ,200,120,SUPPORT,MIDDLE,0,5,1,112,False,False,78,947,449,IRON,II,5,24713
NA1_5202780490,qTUqfTqDE2ShMxLtEKrhUe7e3kmy-Oz7HIWxMiWQZ2vwNKoDRWr8ZzWFWtY_c8yAtypObM6q1BVycQ,200,124,SUPPORT,BOTTOM,4,5,3,523,False,False,132,947,430,UNRANKED,UNRANKED,6,38523
NA1_5202780490,6BoxQDs1xjtm9fdowTkBdOwDhZoHb186FAwgnCkWYUgZDycV0pizPgGlo9kY5FBi_-m7Cj4i7FQsEA,200,449,SUPPORT,UTILITY,3,4,5,99,False,False,98,947,440,IRON,IV,7,51768
NA1_5228752298,qKyYRTKz2-v2Lk2_UVGfUXrto-enkDxC8jpseJQJ23mCimy5xHnJO3N9E8X6n573av9POpfcW-YzYA,100,29,SUPPORT,TOP,1,0,1,57,True,False,0,439,0,UNRANKED,UNRANKED,2,3504
NA1_5228752298,BtkB46YvCQkUZH4QXsedAaBbJ2Jbws0pX21inw2M-AcnSRbY4o1BvLv06XTA9HIGCLM9OARWnVFKSQ,100,264,SUPPORT,JUNGLE,3,0,0,64,True,False,0,439,0,MASTER,I,6,37150
NA1_5228752298,LD8I01j0v9Dg6BV7sVQ9s2Jvt9QP2OScYKPRm8tB4pZwV6hFPiZNXb4XZrQaJjLqXADpbx2DkKz4Zw,100,121,SUPPORT,MIDDLE,4,0,1,166,True,False,0,439,0,DIAMOND,I,40,406944
NA1_5228752298,VHt1PUpckKBlqtR-rViFOA3FX9kfCKxy55a6kRy3igCUiWK7SnrIr907_kA8FrZcLr-JMsbjncBdAA,100,270,SUPPORT,BOTTOM,0,1,0,800,True,False,12,439,257,EMERALD,I,2,4227
NA1_5228752298,bB_o7kV3UwHNjsEIUZqIEAP8varFbDByibtm7eNDe4K-rvW495am0ugrzBALUK_7QXP1UH_3rsrINw,100,668,SUPPORT,UTILITY,0,3,0,50,True,False,36,439,148,DIAMOND,IV,9,72080
NA1_5228752298,GTOTHRKZONee7CB_LxG4xxdOK-bYVRA6RprMk2DDqqJ8o7xOERwt0B9BQsi7FafanDA5DsNyxWznhg,200,573,SUPPORT,TOP,0,2,0,17,False,False,26,439,230,UNRANKED,UNRANKED,147,1625012
NA1_5228752298,nkG_E2Q5dnNI2_Dlv2gEGOb0Quv849Mbid4K2bYpv8QKwRnp9i6Xcqvs2OPeEHjX3ABPLojCmvDDbQ,200,596,SUPPORT,JUNGLE,0,2,0,14,False,False,22,439,263,UNRANKED,UNRANKED,72,774081
NA1_5228752298,LrOgDWYM_TE1SyMwku_AkO1YV8DZfIHVMNySSZi0Vz3YHO5sogl--WVSP7ucNpbAHBZtsFGDhHS5Ww,200,352,SUPPORT,MIDDLE,0,3,0,133,False,False,34,439,150,MASTER,I,4,18895
NA1_5228752298,1XS7Z-cjLufTVx-eQCBdYP-XiYtwYCvxZgumrPUjJ7JmBUZYWwouMOjB7PSYD5RMCFD_Zl_tS_BFlA,200,59,SUPPORT,BOTTOM,2,0,1,29,False,False,0,439,0,DIAMOND,IV,4,21390
NA1_5228752298,0m4y41Du_yeBCQbfAVBZixxHCQGvaRraje0DA3N3-qWnbu2WQTnRRA1FwSTRgGvnuw5Xlx9yahna8Q,200,26,SUPPORT,UTILITY,2,1,2,518,False,False,12,439,293,DIAMOND,II,11,95572
NA1_5228260106,XPSOa0Z_p_jqr2SMn4eMk_4Ix9CNGnpQo4emj6xeILwHhHHMx5fFpTkVe89qTsWKfxjBVeBb1_ZMVg,100,586,SOLO,TOP,14,6,3,518,False,False,200,1606,443,DIAMOND,III,3,9479
NA1_5228260106,2Ic7h-0x7wbW7C8bvcnKkNNpr5PzDdC0bCAw80wF69InzKmOqnY6bsObTNgJ__FWO4yLRrMdA3PZQg,100,389,NONE,JUNGLE,3,7,10,33,False,False,281,1606,440,UNRANKED,UNRANKED,110,1251342
NA1_5228260106,PkDaJNajW3wLNjNMf-Vfjsw276jMQdO1jSYS6E0yzLqU-k1_HrptSClLjKk4TavHjX2zeWyg8DH5Fw,100,17,SOLO,MIDDLE,6,7,5,67,False,False,296,1606,437,UNRANKED,UNRANKED,5,26980
