matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5251471111,2109,GameComplete,False,False
NA1_5251452842,1694,GameComplete,False,False
NA1_5251434827,1857,GameComplete,False,False
NA1_5251300374,2320,GameComplete,False,False
NA1_5251290998,2064,GameComplete,False,False
NA1_5251282038,1934,GameComplete,False,False
NA1_5250954690,1583,GameComplete,False,False
NA1_5250939195,1285,GameComplete,True,False
NA1_5250916537,2006,GameComplete,False,False
NA1_5241883959,2349,GameComplete,True,False
NA1_5241862599,2155,GameComplete,False,False
NA1_5237856438,1657,GameComplete,False,False
NA1_5237836667,1975,GameComplete,False,False
NA1_5237482503,1569,GameComplete,True,False
NA1_5237450148,2063,GameComplete,False,False
NA1_5237306986,1366,GameComplete,True,False
NA1_5237288506,1573,GameComplete,False,False
NA1_5237252728,1924,GameComplete,False,False
NA1_5236278393,104,GameComplete,False,True
NA1_5236073957,1682,GameComplete,False,False
NA1_5236051299,1419,GameComplete,False,False
NA1_5236030564,1391,GameComplete,True,False
NA1_5236010513,1301,GameComplete,True,False
NA1_5235991055,1514,GameComplete,False,False
NA1_5233394624,1813,GameComplete,False,False
NA1_5232915306,2700,GameComplete,False,False
NA1_5210101231,1282,GameComplete,True,False
NA1_5210092596,1557,GameComplete,True,False
NA1_5210093785,132,GameComplete,False,True
NA1_5210076181,1942,GameComplete,False,False
NA1_5210056660,1969,GameComplete,False,False
NA1_5210033593,1684,GameComplete,True,False
NA1_5209887699,1952,GameComplete,False,False
NA1_5203767312,725,GameComplete,True,False
NA1_5203303807,2409,GameComplete,False,False
NA1_5203269683,1703,GameComplete,False,False
NA1_5203134132,1931,GameComplete,False,False
NA1_5203095602,1710,GameComplete,True,False
NA1_5203067136,1339,GameComplete,False,False
NA1_5200181042,1706,GameComplete,False,False
NA1_5200142151,1795,GameComplete,True,False
NA1_5196793340,1589,GameComplete,False,False
NA1_5196767315,1349,GameComplete,False,False
NA1_5196744967,1679,GameComplete,False,False
NA1_5190504786,1618,GameComplete,True,False
NA1_5190485386,1270,GameComplete,True,False
NA1_5190480950,106,GameComplete,False,True
NA1_5190461763,1688,GameComplete,False,False
NA1_5189876890,1776,GameComplete,False,False
NA1_5189683212,1625,GameComplete,False,False
NA1_5189658480,1478,GameComplete,False,False
NA1_5189613083,1204,GameComplete,True,False
NA1_5189090214,1441,GameComplete,True,False
NA1_5092362145,1857,GameComplete,False,False
NA1_5019495987,1322,GameComplete,False,False
NA1_5019488089,1335,GameComplete,False,False
NA1_5019483117,1067,GameComplete,False,False
NA1_5019475192,1336,GameComplete,False,False
NA1_5018937963,1319,Abort_Unexpected,False,False
NA1_5018932871,1301,Abort_Unexpected,False,False
NA1_5017570605,914,GameComplete,True,False
NA1_5017560694,2132,GameComplete,False,False
NA1_5014538246,1292,GameComplete,False,False
NA1_5013843031,1252,GameComplete,False,False
NA1_5013819714,1235,GameComplete,False,False
NA1_5013239087,1236,GameComplete,False,False
NA1_5013207469,1287,GameComplete,False,False
NA1_5012262727,1295,GameComplete,False,False
NA1_5012247088,1325,GameComplete,False,False
NA1_5010873455,1272,GameComplete,False,False
NA1_5010853961,1278,GameComplete,False,False
NA1_5010383256,961,GameComplete,True,False
NA1_5010358066,1467,GameComplete,False,False
NA1_5010343375,1270,GameComplete,False,False
NA1_5010330901,1275,GameComplete,False,False
NA1_5009508171,1633,GameComplete,False,False
NA1_5009465173,1996,GameComplete,False,False
