matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5251471111,nQKEDe2Kv5u5uXN9KgvnST0l6zJsP_np06cmoJUaMzYkARR4kOYAZuTVIL6t8p5pFHSQEeFtlkNDUA,100,556,SOLO,TOP,8,12,12,266,False,False,388,2109,302,EMERALD,II,40,425139
NA1_5251471111,9sFLkUYs9srkQQorNBa7LVPVvwCd_lHbwXAZbXrkS721lCQLpJVJfsUuH7S1I6Xk-uSH8HgawjeuVg,100,242,NONE,JUNGLE,15,11,7,234,False,False,311,2109,336,EMERALD,II,3,6474
NA1_5251471111,VIAcj-1mTZ7sS-XNdSaYNJf4klFY9etStxOQkwO_2-ajMHduoL7cf3eb4uJa7T9Qhw9g2mSNe6kzoQ,100,243,SOLO,MIDDLE,7,7,12,154,False,False,283,2109,901,EMERALD,II,75,970654
NA1_5251471111,tL4ixODFSYiy5vl1F7T_mZ0nbFl3Ujzh1TgOvuesl_kZdk3QBMSGOjSrH0NPtuAibHECejQg3SivUA,100,190,CARRY,BOTTOM,4,8,9,51,False,False,263,2109,627,EMERALD,I,11,96394
NA1_5251471111,xFiKS-Boymr69-FevMnr4HtOyCNS7mpWa1-kPc_PJGTPffjpe3QXImzDVaWeNYSya_BS2nVB_Ph4gQ,100,819,SUPPORT,UTILITY,4,4,19,43,False,False,134,2109,1438,EMERALD,III,12,102305
NA1_5251471111,B6QxPPTyvPoc6BhOnIH4KtkHDWn9noOSNf5b5xJy1Bea_yCCmkEZF9CRLzo9QbVwCxa7VSn4wS_5jQ,200,530,DUO,TOP,9,7,9,82,True,False,259,2109,535,DIAMOND,IV,19,229187
NA1_5251471111,BfO9s9fh6YI6OTAtbrUkW_qElIDriAbNKJoxGk9s3v3yvfbWUEYb0k64gNM6QPbTPnwWTeWgUCOCKA,200,638,NONE,JUNGLE,9,7,12,950,True,False,228,2109,593,DIAMOND,IV,3,10729
NA1_5251471111,lrvYjKaIvY8sHwOiT-IXjE0TWPUg1I7hF-4hTMLysnuluQ6O9GRSZCXMW711XNi4I73VE0BcdL6rEg,200,158,DUO,MIDDLE,8,8,4,23,True,False,370,2109,640,EMERALD,II,48,498051
NA1_5251471111,i-QHOaFRLGE5xnezrTvPy8CttM__UFP1Nt7amm5uiOYFTsYoOkCmNFe-PjfvcWCYD7GZD5V-SKnhWw,200,76,CARRY,BOTTOM,16,5,2,119,True,False,186,2109,679,EMERALD,I,3,10839
NA1_5251471111,Y9IGJ-jzXgWS-_Km2irA2sE7KhFhQxYQgMHu974xQh5SkACb446mfPFrejvcgvPLntm6Jwgav1putw,200,39,SUPPORT,UTILITY,0,11,18,89,True,False,293,2109,441,EMERALD,IV,3,7498
NA1_5251452842,nQKEDe2Kv5u5uXN9KgvnST0l6zJsP_np06cmoJUaMzYkARR4kOYAZuTVIL6t8p5pFHSQEeFtlkNDUA,100,556,SOLO,TOP,3,8,2,10,True,False,283,1694,589,EMERALD,II,4,18297
