matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5208494967,1853,GameComplete,True,False
NA1_5251212859,1095,GameComplete,True,False
NA1_5251200244,1499,GameComplete,False,False
NA1_5251176059,223,GameComplete,True,False
NA1_5251170740,220,GameComplete,True,False
NA1_5251155988,1412,GameComplete,False,False
NA1_5251143113,1174,GameComplete,False,False
NA1_5251123593,1405,GameComplete,False,False
NA1_5247117263,1462,GameComplete,False,False
NA1_5247022270,1386,GameComplete,False,False
NA1_5246024140,1571,GameComplete,False,False
NA1_5246000029,1946,GameComplete,False,False
NA1_5242459688,1488,GameComplete,False,False
NA1_5242452546,1344,GameComplete,False,False
NA1_5242035592,1770,GameComplete,False,False
NA1_5242025249,1570,GameComplete,True,False
NA1_5238219952,1475,GameComplete,False,False
NA1_5233943765,1344,GameComplete,True,False
NA1_5233939283,113,GameComplete,False,True
NA1_5233770130,1817,GameComplete,False,False
NA1_5233759111,1140,GameComplete,True,False
NA1_5233007082,1795,GameComplete,False,False
NA1_5210406612,1440,GameComplete,False,False
NA1_5210370587,1694,GameComplete,False,False
NA1_5210353072,1295,GameComplete,False,False
NA1_5208573371,1327,GameComplete,False,False
NA1_5208536273,1715,GameComplete,False,False
NA1_5208519866,1626,GameComplete,False,False
NA1_5208472621,1294,GameComplete,False,False
NA1_5208443990,1894,GameComplete,True,False
NA1_5206809513,2173,GameComplete,True,False
NA1_5206794013,1348,GameComplete,False,False
NA1_5206777283,1526,GameComplete,True,False
NA1_5206758516,1713,GameComplete,True,False
NA1_5206745801,1509,GameComplete,False,False
NA1_5206734861,1170,GameComplete,True,False
NA1_5206720292,1470,GameComplete,False,False
NA1_5206708835,1676,GameComplete,False,False
NA1_5206695521,1451,GameComplete,False,False
NA1_5206686297,981,GameComplete,True,False
NA1_5206668695,1743,GameComplete,False,False
NA1_5206580831,2024,GameComplete,False,False
NA1_5206571879,102,GameComplete,False,True
NA1_5206563924,1891,GameComplete,False,False
NA1_5206557831,1493,GameComplete,False,False
NA1_5206547328,1502,GameComplete,True,False
NA1_5206540158,1346,GameComplete,True,False
NA1_5206530120,1100,GameComplete,False,False
NA1_5206518013,1592,GameComplete,False,False
NA1_5206502936,1655,GameComplete,False,False
NA1_5204964288,2191,GameComplete,False,False
NA1_5204935751,1921,GameComplete,False,False
NA1_5204908875,1576,GameComplete,False,False
NA1_5204166109,1794,GameComplete,False,False
NA1_5204148415,1499,GameComplete,False,False
NA1_5243153984,1358,GameComplete,True,False
NA1_5243137728,1600,GameComplete,False,False
NA1_5211044289,1531,GameComplete,True,False
NA1_5211036784,142,GameComplete,False,True
NA1_5208627638,1361,GameComplete,False,False
NA1_5208074635,1361,GameComplete,True,False
NA1_5208067018,1344,GameComplete,False,False
NA1_5208050704,1419,GameComplete,True,False
NA1_5205369364,957,GameComplete,True,False
NA1_5205349466,1264,GameComplete,False,False
NA1_5205325948,1726,GameComplete,False,False
NA1_5205297096,1926,GameComplete,False,False
NA1_5208539858,1327,GameComplete,True,False
NA1_5208516173,1573,GameComplete,False,False
NA1_5207004035,1981,GameComplete,False,False
NA1_5206979541,1189,GameComplete,False,False
NA1_5206960212,1188,GameComplete,True,False
NA1_5206931440,1516,GameComplete,True,False
NA1_5203381723,1021,GameComplete,True,False
NA1_5203370817,1549,GameComplete,False,False
NA1_5203358082,1296,GameComplete,True,False
