puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
OR5tE3mA5x1b8_CHUYbUpqIurQtK1gGJULPb4tbMSHorQtI5msi_IOg9uj9SU45x__EI5aS6WwcOYA,171,EMERALD,III,25,12,13,2.0833333333333335,1.0833333333333333,2.625,3.1666666666666665,3.0,876,572,432,1.5314685314685315,0.7552447552447552,1.9090909090909092,2.2867132867132867,1.0
1Ed8aaQrj2UxEztGRHKKv4Av45asUdk9TJY0FPlUAxXeXqvmHRNC8Iku9bxFT2knAEyR4RV05Md3Og,37,GOLD,II,90,88,77,1.0227272727272727,0.875,1.4602272727272727,1.8977272727272727,0.7857142857142857,109,85,173,1.2823529411764707,2.0352941176470587,2.3,3.3176470588235296,1.4285714285714286
1mFdsGmV3tzfM2uinknd93N75VZlDWt1RT0Cw2OZ4p7S5JsqKW2dGD4EiHWiEM4uDLIBWuyABnw5Gw,277,UNRANKED,UNRANKED,572,417,395,1.3717026378896882,0.947242206235012,1.8453237410071943,2.3189448441247,1.0810810810810811,848,565,743,1.5008849557522124,1.3150442477876105,2.1584070796460177,2.815929203539823,1.0833333333333333
-zQpLUyimm0StvUpp7zfsNfJNaAQPX0BKE5L7ww-uCCwIiGzWlYd9Z8ai6hMAZ4h1hqlhkFlYUukMQ,590,UNRANKED,UNRANKED,158,129,139,1.2248062015503876,1.0775193798449612,1.7635658914728682,2.302325581395349,1.0714285714285714,412,260,465,1.5846153846153845,1.7884615384615385,2.478846153846154,3.373076923076923,1.826086956521739
k4QSOhwgYDcgHZCr7pJCSuJuyAZwQCgPi5aPDHei9bLIuRCb1ULNZAiE4OvJUWsaLffTipIX__9njA,515,UNRANKED,UNRANKED,179,125,183,1.432,1.464,2.164,2.896,1.0714285714285714,422,395,943,1.0683544303797468,2.3873417721518986,2.2620253164556963,3.4556962025316458,1.4390243902439024
4idn03RTSsYcDmDG_Loxw_e6ADTL7RZk3qqb0ay8U93OSuqkqHDqFb1R7jbRcWeYrawyzpDkNLs2Ew,764,UNRANKED,UNRANKED,23,27,36,0.8518518518518519,1.3333333333333333,1.5185185185185186,2.185185185185185,1.5,405,385,1066,1.051948051948052,2.7688311688311686,2.4363636363636365,3.8207792207792206,2.772727272727273
oYqri90-k8zgYieqrIpZ6wxqTpeiticA1yWpP_bcltBGayt67pHE54kFzJHzv9u3LhAq9zBi4l1LKQ,138,UNRANKED,UNRANKED,605,555,607,1.09009009009009,1.0936936936936936,1.6369369369369369,2.1837837837837837,1.0833333333333333,,,,,,,,
Iv2JsDxpGcl48PwYSo6mWDT4dd3-PPcWlgV4eWwSQohnaPzCL6r-LhNgfwOJoLVPqFSWgMO68nEU8A,412,DIAMOND,IV,433,262,432,1.6526717557251909,1.6488549618320612,2.4770992366412212,3.301526717557252,1.1666666666666667,745,488,579,1.526639344262295,1.1864754098360655,2.119877049180328,2.7131147540983607,1.0408163265306123
V-Nwr8ASbmwGran_jpw2lZrxrcXocHMP3c3pHDeo_lgpYkJwPk8cCk1iP8mUizjreRGyf_EF-bCB8w,865,UNRANKED,UNRANKED,90,66,82,1.3636363636363635,1.2424242424242424,1.9848484848484849,2.606060606060606,0.8333333333333334,170,281,824,0.604982206405694,2.9323843416370106,2.0711743772241995,3.5373665480427046,1.380952380952381
x7-m8CLk4Kiw_ifopsGWB9Ory_6eqBkQ8QGYH9P3WsFJeaJiK22dBZBmXI8Iq8hURoJeRqv8wkuviA,1450,UNRANKED,UNRANKED,469,514,855,0.9124513618677043,1.6634241245136188,1.7441634241245136,2.575875486381323,1.127659574468085,248,687,1365,0.3609898107714702,1.9868995633187774,1.3544395924308588,2.3478893740902476,1.7027027027027026
Un8b66REvUBLryL16MNmGJWAKYPbDNTl-S296tNQxSU04Qp3qTCZAEbwO_fEhhw9GQsq05IRiy5HBw,139,UNRANKED,UNRANKED,129,98,179,1.316326530612245,1.8265306122448979,2.229591836734694,3.142857142857143,1.875,188,143,213,1.3146853146853146,1.4895104895104896,2.0594405594405596,2.804195804195804,1.3846153846153846
9BKk4-zI3zWZ_-tXKLrgLExc4kYiup7Qg_rnmz1UCAff5HTHvOEL0RKGCQwq7XVmrLbpKP0NtNENrQ,560,PLATINUM,IV,242,190,216,1.2736842105263158,1.1368421052631579,1.8421052631578947,2.4105263157894736,1.3333333333333333,828,452,839,1.831858407079646,1.8561946902654867,2.7599557522123894,3.688053097345133,1.631578947368421
j_r6CX77hU-8pkhqE1IjvabHzB5ZXNbtPyJZ-80SC3NvlkWGWbjzESRUPUY5tRVcesJ4QeyyUSQbNA,535,UNRANKED,UNRANKED,13,11,16,1.1818181818181819,1.4545454545454546,1.9090909090909092,2.6363636363636362,0.5,691,578,599,1.1955017301038062,1.0363321799307958,1.7136678200692042,2.2318339100346023,1.0408163265306123
ie1x8tL97Epofs-SiL3_W7-Ev2xLIYsjo0E-oWIPpyVvBpUxjqrw6kkTxT-qwAZFbGR5g5PLlrdG-A,25,EMERALD,IV,254,196,449,1.2959183673469388,2.2908163265306123,2.441326530612245,3.586734693877551,0.8461538461538461,333,342,853,0.9736842105263158,2.4941520467836256,2.2207602339181287,3.4678362573099415,1.1081081081081081
TUtrJpnXjT0aKb7P4eR4rpSrLBJs4hyNFnkJ6gSzvFuep3NGSN5A_RyDpsSBHzOLNJA65__BFqm41w,443,UNRANKED,UNRANKED,213,239,254,0.891213389121339,1.0627615062761506,1.4225941422594142,1.9539748953974896,1.0,623,604,750,1.031456953642384,1.2417218543046358,1.6523178807947019,2.2731788079470197,1.0408163265306123
bL8ivw5BbAIS6TBK0XDTybCffVaps70Gtapb5R8uHhFHdvlKBgCdv161Pn09g4nfQR656uK_vxt8wQ,32,EMERALD,IV,129,177,534,0.7288135593220338,3.016949152542373,2.23728813559322,3.7457627118644066,1.2857142857142858,332,438,1354,0.7579908675799086,3.0913242009132422,2.3036529680365296,3.8493150684931505,0.9230769230769231
P7IuY2YFcaLcU5hKSTfwGhphEmBruPl5S0Q-5D6P4mihHIHmgarAd-rFfUHvmGnlOVyXGfBbKAKblQ,489,GOLD,III,27,32,19,0.84375,0.59375,1.140625,1.4375,0.4,733,608,597,1.205592105263158,0.9819078947368421,1.696546052631579,2.1875,1.5
