matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5228879015,2289,GameComplete,False,False
NA1_5225166780,727,GameComplete,True,False
NA1_5225102677,1744,GameComplete,False,False
NA1_5224788276,1527,GameComplete,False,False
NA1_5223968057,511,GameComplete,True,False
NA1_5223089151,1684,GameComplete,False,False
NA1_5222014882,1910,GameComplete,False,False
NA1_5221259385,1892,GameComplete,False,False
NA1_5220858406,1765,GameComplete,False,False
NA1_5220840853,2322,GameComplete,False,False
NA1_5220526225,1576,GameComplete,True,False
NA1_5220391641,1750,GameComplete,True,False
NA1_5220111408,1382,GameComplete,False,False
NA1_5220047717,2018,GameComplete,False,False
NA1_5218002338,1690,GameComplete,False,False
NA1_5217976513,1839,GameComplete,True,False
NA1_5216116156,1456,GameComplete,False,False
NA1_5215107676,1637,GameComplete,False,False
NA1_5214753270,1983,GameComplete,False,False
NA1_5214731356,2033,GameComplete,False,False
NA1_5214473469,990,GameComplete,False,False
NA1_5214433234,2013,GameComplete,False,False
NA1_5213466771,1705,GameComplete,False,False
NA1_5213381223,1568,GameComplete,False,False
NA1_5213081807,2354,GameComplete,False,False
NA1_5213018808,1687,GameComplete,False,False
NA1_5213009328,1765,GameComplete,False,False
NA1_5212663680,2050,GameComplete,False,False
NA1_5212644144,1186,GameComplete,True,False
NA1_5212549893,1562,GameComplete,False,False
NA1_5212528316,1631,GameComplete,False,False
NA1_5212512683,1349,GameComplete,False,False
NA1_5211016701,1682,GameComplete,False,False
NA1_5210504164,1305,GameComplete,True,False
NA1_5207522765,701,GameComplete,True,False
NA1_5207441797,1682,GameComplete,False,False
NA1_5207419135,1624,GameComplete,False,False
NA1_5207004719,1873,GameComplete,False,False
NA1_5200496545,1599,GameComplete,False,False
NA1_5200489994,2271,GameComplete,True,False
NA1_5199903075,974,GameComplete,True,False
NA1_5199452125,1274,GameComplete,True,False
NA1_5199331777,1414,GameComplete,False,False
NA1_5199293442,1721,GameComplete,False,False
NA1_5199252699,2184,GameComplete,False,False
NA1_5198961912,3250,GameComplete,False,False
NA1_5198519701,1878,GameComplete,False,False
NA1_5198483569,1641,GameComplete,False,False
NA1_5198455664,1232,GameComplete,True,False
