matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5228879015,g3j_4qsNLEBzd_BRwbfrhQtXbhuDyIysUdFSb6KyfTN5FwIWkaa0Uf39PqFXupD76SibQgmmTJxdhQ,100,53,SOLO,TOP,5,4,6,150,True,False,153,2289,833,EMERALD,I,4,21460
NA1_5228879015,iP-pT4aDZIpYrr2XjOjGRUjEW0FvB35F2lWVJg-DehdOGYFn9WTLPrmMNWLZwqz1tAFc1LWVV-vOsQ,100,712,NONE,JUNGLE,8,7,7,62,True,False,206,2289,696,EMERALD,III,147,1656351
NA1_5228879015,At8jY0sEDWlLA2xARU8bzv-ktYSnfeJNvtscCo90abGho8lpSddMSKl4s0imU9sAYYgH3o4zC70kuQ,100,486,SOLO,MIDDLE,2,3,12,112,True,False,91,2289,731,PLATINUM,III,60,639046
NA1_5228879015,fWq0keOaWO6XDIjHndjBw1EJ0N4xKKjuOFuKqRLcxXliLiwpMfN0MCPhw5Gb5iKdS-2267vs3YVfRQ,100,895,CARRY,BOTTOM,6,4,5,800,True,False,83,2289,911,DIAMOND,IV,5,23207
NA1_5228879015,Y2Cxpilw2q8m3iWthkt3EfruAMeoNJ0sskW3ii4nyiMIKULb3zmzBRcDjPYlySQG8jBmBZl1H3OQ6Q,100,273,SUPPORT,UTILITY,5,4,11,161,True,False,54,2289,284,DIAMOND,IV,34,342816
NA1_5228879015,OR5tE3mA5x1b8_CHUYbUpqIurQtK1gGJULPb4tbMSHorQtI5msi_IOg9uj9SU45x__EI5aS6WwcOYA,200,174,SOLO,TOP,3,5,1,122,False,False,189,2289,613,EMERALD,III,10,76352
NA1_5228879015,X7cYMfqs0QhmSSnWQJ902-_SqFSbXkKKiSCElstGfX1xkl3dgRoGqtpwtYsWtzxjuSUkrKFbVpkWAg,200,406,NONE,JUNGLE,8,4,6,143,False,False,151,2289,1299,EMERALD,I,9,65602
NA1_5228879015,Lf-4P1m8ogpvt-FZfpuijfVkOkv06ncJ66UAWRokaUpDlAGqbUUXoLVx9u1L8QkE53Y8Fy6SvZkp6Q,200,46,SOLO,MIDDLE,4,9,4,39,False,False,333,2289,755,EMERALD,III,6,40939
NA1_5228879015,7tUYWnIOVtApCtvQ19NYTeM5h-BgjIhYl1L4P_9uo5WJuST_fa6gqT2gb_ZtB3EDv7LjFaX9ReR9kQ,200,829,CARRY,BOTTOM,6,4,6,222,False,False,92,2289,938,DIAMOND,I,19,182863
NA1_5228879015,XtYILkCswLgcmZtDHp91iv1OZmFVrxPTLM1wYLI_sVr8FtoQyeax4pARM5_UbJBxHEtd_GeZvf3O8Q,200,140,SUPPORT,UTILITY,1,4,14,201,False,False,116,2289,1326,EMERALD,III,6,38326
NA1_5225166780,OR5tE3mA5x1b8_CHUYbUpqIurQtK1gGJULPb4tbMSHorQtI5msi_IOg9uj9SU45x__EI5aS6WwcOYA,100,174,SUPPORT,TOP,0,7,0,14,False,False,86,727,175,EMERALD,III,4,17845
NA1_5225166780,FCzqNXTmaZ2n6S44dd_idNOkoBirSXPVt2dlIhxLPOx6xIBL9CNKLTdXkD86O0KBrqRhnWIxPJPwYQ,100,111,SUPPORT,JUNGLE,0,3,1,30,False,False,51,727,273,EMERALD,II,2,4627
NA1_5225166780,z5AaDG9i_M8zEybkTf_f3MASNkFde7yXInVs7xXJHFXcwmVNo4N0U95AOGJXhEOdhJl4DOdMPc4ccg,100,107,SUPPORT,MIDDLE,1,3,0,800,False,False,64,727,370,EMERALD,II,4,16728
NA1_5225166780,d-V_7L-xxxN1ksxJcci_DrZ3vv0xGEnr61ITYB9DbHIyS_fUhoqEiGuti5ZKvI8fxuSttwdzHaRDDg,100,233,DUO,BOTTOM,1,0,1,202,False,False,0,727,0,EMERALD,II,9,65521
NA1_5225166780,ey-64LQ8Mz3nJTYJLQcbOenCLEIP-epcR4WvXhm5MpABjBVlJs4IELj-agpdeGXpNCmTjJrImlZ8OQ,100,40,SUPPORT,UTILITY,0,0,1,902,False,False,0,727,0,EMERALD,I,4,18808
NA1_5225166780,MwkMwKE1ahJcmoAKA-nxMdSH6dieVCWcU6HafOlrRVzGNa7ri7P06TlvXSjn60nZiXHRrqcLjSo7jw,200,366,SUPPORT,TOP,6,0,1,5,True,False,0,727,0,DIAMOND,IV,52,585223
NA1_5225166780,JZI5WYzujj4Axd4fRmgzxIuBGsn0ApOI9Q2-967mvGuJ0j8DJx8INSiV24mTgUJcMP3leZOfFCUEEw,200,156,SUPPORT,JUNGLE,3,1,2,131,True,False,12,727,226,EMERALD,II,4,19529
NA1_5225166780,QQbBGNlHYyythjnKg_9otuIMx7EvyZXiSSVyE_DAez8aZ6B2xdXJjlNj0qO9Xiz6EFBUjLNdmaadPA,200,998,SUPPORT,MIDDLE,3,0,0,238,True,False,0,727,0,EMERALD,II,99,1062367
NA1_5225166780,JuZfnVIFzk4iLqbs9HAaeSG4hkNfjoRDOLy3lxuwwu_9gSw2SAIyuD6ERQUvf1GR5BwId5quVIirJA,200,950,SUPPORT,BOTTOM,1,1,0,360,True,False,20,727,654,EMERALD,II,84,892757
NA1_5225166780,bOa3eCHMFRKm5e3yDEF5UwQhOMRq0Ua8kdRzeH75BLwMDCJvfPMlXDOjiYF1vYbbKQRVbnHKu6aGhw,200,327,SUPPORT,UTILITY,0,0,4,40,True,False,0,727,0,EMERALD,II,34,405563
NA1_5225102677,OR5tE3mA5x1b8_CHUYbUpqIurQtK1gGJULPb4tbMSHorQtI5msi_IOg9uj9SU45x__EI5aS6WwcOYA,100,174,SOLO,TOP,9,4,7,122,False,False,96,1744,765,EMERALD,III,10,76352
NA1_5225102677,xPEsXX5_wsD9uOk1AI_mEr5x-_dG6fIjzUxEK8usWD3r1r2HYr8jSJBRAJUHmZBzyF-rAyv7AYHEMg,100,537,NONE,JUNGLE,7,6,7,32,False,False,178,1744,467,EMERALD,IV,3,12324
NA1_5225102677,y9fPk3AFoNUUZ4xY0602JoEep7HzTQREOMfzRLnz-jNx8-oDL_17SCa5UNhABaB1s3lynPsQEawdsg,100,113,SOLO,MIDDLE,9,9,4,268,False,False,201,1744,335,EMERALD,III,15,140397
NA1_5225102677,P4SIP61blqLr1Kr3OSF3AmCj0TkX60ej-m3efxs2lCpRYW2lpQz2LHh7vr85lmUx79xr0n5dcYfi8g,100,829,CARRY,BOTTOM,5,6,6,360,False,False,215,1744,600,EMERALD,II,20,190950
NA1_5225102677,yz4QvP6E724uuHNUFc5fvnwR1jdaEEB1G9A_javpoCHOIUwB6M4eRM-6To0QsfXp2c96E4mc_ewktA,100,729,SUPPORT,UTILITY,0,2,14,902,False,False,56,1744,1453,EMERALD,II,20,193890
