matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5206979541,1189,GameComplete,False,False
NA1_5206693083,1290,GameComplete,False,False
NA1_5205501891,1697,GameComplete,True,False
NA1_5207715511,1258,GameComplete,True,False
NA1_5207688746,1517,GameComplete,False,False
NA1_5207667638,937,GameComplete,True,False
NA1_5207279490,999,GameComplete,True,False
NA1_5207039059,1133,GameComplete,True,False
NA1_5207005918,1620,GameComplete,True,False
NA1_5206962138,956,GameComplete,True,False
NA1_5206938655,1130,GameComplete,True,False
NA1_5206794412,1649,GameComplete,False,False
NA1_5206778041,1534,GameComplete,False,False
NA1_5206755876,1516,GameComplete,True,False
NA1_5206740591,1206,GameComplete,False,False
NA1_5206726197,1542,GameComplete,True,False
NA1_5206707036,2139,GameComplete,False,False
NA1_5206703998,226,GameComplete,True,False
NA1_5206694863,1249,GameComplete,False,False
NA1_5206677545,1621,GameComplete,True,False
NA1_5206670141,1359,GameComplete,True,False
NA1_5206657333,1413,GameComplete,False,False
NA1_5206647215,1201,GameComplete,True,False
NA1_5206327232,823,GameComplete,True,False
NA1_5206245353,104,GameComplete,False,True
NA1_5206212218,1388,GameComplete,False,False
NA1_5206188393,1440,GameComplete,False,False
NA1_5233813711,958,GameComplete,True,False
NA1_5213787549,1515,GameComplete,True,False
NA1_5213787304,110,GameComplete,False,True
NA1_5213777763,1684,GameComplete,True,False
NA1_5213768260,1522,GameComplete,False,False
NA1_5213294882,1300,GameComplete,True,False
NA1_5213266812,1571,GameComplete,True,False
NA1_5209031206,979,GameComplete,True,False
NA1_5209005911,1196,GameComplete,True,False
NA1_5208972715,1558,GameComplete,True,False
NA1_5208951901,1426,GameComplete,True,False
NA1_5208929251,1526,GameComplete,False,False
NA1_5208590167,1585,GameComplete,False,False
NA1_5208581057,1520,GameComplete,False,False
NA1_5208573371,1327,GameComplete,False,False
NA1_5208337413,411,GameComplete,True,False
NA1_5208308368,1553,GameComplete,False,False
NA1_5208283262,1546,GameComplete,False,False
NA1_5208201691,1772,GameComplete,False,False
NA1_5208179213,1777,GameComplete,True,False
NA1_5208164211,1311,GameComplete,True,False
NA1_5207676973,1274,GameComplete,True,False
NA1_5207647784,1617,GameComplete,False,False
NA1_5207615431,1651,GameComplete,True,False
NA1_5207585912,2104,GameComplete,True,False
NA1_5207565074,1212,GameComplete,False,False
NA1_5207260913,1557,GameComplete,False,False
NA1_5207251669,1468,GameComplete,True,False
NA1_5207248081,1373,GameComplete,False,False
NA1_5207244038,622,GameComplete,True,False
NA1_5207235983,1706,GameComplete,False,False
NA1_5207227181,1487,GameComplete,False,False
NA1_5207218843,1203,GameComplete,False,False
NA1_5207203580,1562,GameComplete,False,False
NA1_5206873421,1480,GameComplete,False,False
NA1_5206858258,1171,GameComplete,True,False
NA1_5206837622,1532,GameComplete,False,False
