matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5253892443,1442,GameComplete,True,False
NA1_5253837741,924,GameComplete,True,False
NA1_5253769150,2595,GameComplete,False,False
NA1_5253752660,1714,GameComplete,False,False
NA1_5252853657,1858,GameComplete,False,False
NA1_5252825111,1662,GameComplete,False,False
NA1_5252785976,2438,GameComplete,True,False
NA1_5252735766,1984,GameComplete,False,False
NA1_5252711979,1943,GameComplete,True,False
NA1_5252164525,1100,GameComplete,True,False
NA1_5252123709,1990,GameComplete,False,False
NA1_5252098825,2010,GameComplete,False,False
NA1_5252044034,2133,GameComplete,False,False
NA1_5252038153,276,GameComplete,True,False
NA1_5252009604,2549,GameComplete,False,False
NA1_5251045985,1776,GameComplete,False,False
NA1_5251016142,2021,GameComplete,False,False
NA1_5250836144,1376,GameComplete,True,False
NA1_5250817497,1736,GameComplete,False,False
NA1_5250767639,1816,GameComplete,False,False
NA1_5250759356,1382,GameComplete,False,False
NA1_5250752251,1605,GameComplete,True,False
NA1_5250524859,1770,GameComplete,False,False
NA1_5250488382,1688,GameComplete,False,False
NA1_5250463468,1654,GameComplete,False,False
NA1_5250441962,1797,GameComplete,False,False
NA1_5250416844,1761,GameComplete,False,False
NA1_5250386686,1891,GameComplete,True,False
NA1_5250304793,1902,GameComplete,False,False
NA1_5249864725,2108,GameComplete,False,False
NA1_5249811146,1971,GameComplete,False,False
NA1_5248748351,2191,GameComplete,True,False
NA1_5248720000,2016,GameComplete,False,False
NA1_5248580555,1652,GameComplete,True,False
NA1_5247313353,2098,GameComplete,False,False
NA1_5247291003,2160,GameComplete,False,False
NA1_5247267634,1703,GameComplete,False,False
NA1_5246194261,1479,GameComplete,False,False
NA1_5246166682,1883,GameComplete,True,False
NA1_5246144130,1801,GameComplete,True,False
NA1_5231553053,1864,GameComplete,True,False
NA1_5231537265,1295,GameComplete,False,False
NA1_5231522695,1540,GameComplete,False,False
NA1_5219482226,1732,GameComplete,False,False
NA1_5219467666,682,GameComplete,True,False
NA1_5209655329,1877,GameComplete,False,False
NA1_5202072850,2072,GameComplete,True,False
NA1_5202055391,1716,GameComplete,False,False
NA1_5190145109,1618,GameComplete,False,False
NA1_5187559738,1781,GameComplete,False,False
NA1_5185807411,1618,GameComplete,False,False
NA1_5183201933,1791,GameComplete,False,False
NA1_5182896105,1864,GameComplete,False,False
NA1_5182866101,1946,GameComplete,False,False
NA1_5182837613,1534,GameComplete,False,False
NA1_5182826328,692,GameComplete,True,False
NA1_5182287824,1640,GameComplete,False,False
NA1_5182263828,912,GameComplete,True,False
NA1_5181358979,1792,GameComplete,False,False
NA1_5180758110,1626,GameComplete,False,False
NA1_5179929502,1186,GameComplete,True,False
