matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5206863200,1677,GameComplete,True,False
NA1_5206847776,1125,GameComplete,True,False
NA1_5206832202,993,GameComplete,True,False
NA1_5206816081,1186,GameComplete,False,False
NA1_5206794412,1649,GameComplete,False,False
NA1_5253253488,1938,GameComplete,False,False
NA1_5204311136,1541,GameComplete,False,False
NA1_5204306658,165,GameComplete,False,True
NA1_5203917782,1620,GameComplete,False,False
NA1_5203911214,125,GameComplete,False,True
NA1_5203618823,1542,GameComplete,True,False
NA1_5203602625,1055,GameComplete,True,False
NA1_5202994005,2058,GameComplete,False,False
NA1_5202987172,103,GameComplete,False,True
NA1_5206912747,1713,GameComplete,True,False
NA1_5206887205,1560,GameComplete,True,False
NA1_5206850201,1019,GameComplete,True,False
NA1_5206826204,1739,GameComplete,True,False
NA1_5205857441,1444,GameComplete,True,False
NA1_5205850640,952,GameComplete,True,False
NA1_5205840603,1487,GameComplete,False,False
NA1_5253433288,1618,GameComplete,False,False
NA1_5253306508,1137,GameComplete,False,False
NA1_5226746652,1773,GameComplete,False,False
NA1_5214287473,1495,GameComplete,False,False
NA1_5214263126,1178,GameComplete,True,False
NA1_5213731191,1532,GameComplete,False,False
NA1_5213714746,1860,GameComplete,False,False
NA1_5213533277,1872,GameComplete,False,False
NA1_5213502741,1585,GameComplete,True,False
NA1_5207590180,1611,GameComplete,False,False
NA1_5206924895,1271,GameComplete,False,False
NA1_5206892862,2064,GameComplete,False,False
NA1_5206849801,1201,GameComplete,False,False
NA1_5206828527,1443,GameComplete,False,False
NA1_5206811929,1716,GameComplete,True,False
NA1_5205723497,1794,GameComplete,False,False
NA1_5205704104,1229,GameComplete,True,False
NA1_5205670811,1873,GameComplete,False,False
NA1_5205623033,2145,GameComplete,True,False
NA1_5205599183,1318,GameComplete,False,False
NA1_5204915964,1470,GameComplete,False,False
NA1_5204872941,1845,GameComplete,False,False
NA1_5204842511,1372,GameComplete,True,False
NA1_5204812376,1454,GameComplete,True,False
NA1_5204777609,1076,GameComplete,True,False
NA1_5204749970,1609,GameComplete,True,False
NA1_5204726177,1128,GameComplete,False,False
NA1_5204638795,1337,GameComplete,True,False
NA1_5203915564,1593,GameComplete,True,False
NA1_5203892494,1156,GameComplete,False,False
NA1_5203870436,1221,GameComplete,True,False
NA1_5203104423,1369,GameComplete,False,False
NA1_5207929286,1477,GameComplete,False,False
NA1_5207923276,1903,GameComplete,True,False
NA1_5207917568,1150,GameComplete,False,False
NA1_5207912053,1733,GameComplete,True,False
NA1_5207906848,1274,GameComplete,False,False
NA1_5207895308,1661,GameComplete,True,False
NA1_5207888892,1131,GameComplete,False,False
NA1_5207872862,1852,GameComplete,True,False
NA1_5207856990,1516,GameComplete,True,False
NA1_5207842967,1349,GameComplete,True,False
NA1_5207817382,1866,GameComplete,False,False
NA1_5207261352,1770,GameComplete,False,False
NA1_5207206960,1654,GameComplete,False,False
NA1_5207186929,2258,GameComplete,False,False
NA1_5207168329,1686,GameComplete,True,False
NA1_5207150699,1366,GameComplete,False,False
NA1_5207129264,1237,GameComplete,True,False
NA1_5207104281,1645,GameComplete,False,False
NA1_5207069440,1411,GameComplete,False,False
NA1_5207044637,1341,GameComplete,False,False
NA1_5207023365,1174,GameComplete,True,False
NA1_5206846019,1193,GameComplete,True,False
NA1_5206607805,2115,GameComplete,True,False
NA1_5206597522,1475,GameComplete,False,False
NA1_5206594148,1392,GameComplete,False,False
NA1_5206584874,1209,GameComplete,False,False
NA1_5206579141,1356,GameComplete,False,False
NA1_5206572506,1272,GameComplete,False,False
NA1_5206534744,1362,GameComplete,False,False
NA1_5206521649,823,GameComplete,True,False
NA1_5206513119,1433,GameComplete,True,False
NA1_5206499727,1110,GameComplete,True,False
NA1_5206489591,962,GameComplete,True,False
NA1_5206449274,1622,GameComplete,True,False
NA1_5206421061,1770,GameComplete,False,False
NA1_5206390266,1941,GameComplete,False,False
NA1_5205929317,1892,GameComplete,False,False
NA1_5205923872,1436,GameComplete,False,False
NA1_5205918135,1232,GameComplete,True,False
NA1_5205909736,1873,GameComplete,False,False
NA1_5205903432,932,GameComplete,True,False
NA1_5205873892,1054,GameComplete,True,False
NA1_5205864302,2091,GameComplete,False,False
NA1_5215215831,720,GameComplete,True,False
NA1_5215016850,1515,GameComplete,True,False
NA1_5214033905,1469,GameComplete,True,False
NA1_5213238288,1408,GameComplete,True,False
NA1_5213208059,1301,GameComplete,False,False
NA1_5213186722,1095,GameComplete,True,False
NA1_5213171152,1413,GameComplete,True,False
