matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5207183857,oRLhpoapz3X3vKMeaz26kATbT3h6bwUAO4v-helkX6Yk8whWClZKVL0NTNui1nhNgUy5DTHhu-T1qQ,100,218,DUO,TOP,1,4,1,777,False,False,151,1489,635,UNRANKED,UNRANKED,18,167672
NA1_5207183857,X23dwJkyB4EeXiMJTWb7fxItnDPFjhycK-kLI-9EU86AB3AQRimM_gwS6jUKVb7VfzZCaVJhj1-8Mg,100,301,NONE,JUNGLE,4,6,2,11,False,False,193,1489,711,BRONZE,I,26,291033
NA1_5207183857,bwqxxScwvp3q78wVbcprwrSOv8zazhUoBMqdbzxYJVkmRlDcrZx1_LJfyaXESFK0YSS2h25O1bSuDA,100,174,DUO,MIDDLE,0,8,2,136,False,False,280,1489,562,BRONZE,IV,7,52624
NA1_5207183857,XxFgT4tiNEgaB_QgBrhdKfOR2JLDlpsaR0-L4oUapAFQv7ELePl2VO6VWB8d4bGz-ftfzNn6KA5wvg,100,564,CARRY,BOTTOM,1,3,5,21,False,False,107,1489,998,UNRANKED,UNRANKED,6,42297
NA1_5207183857,f2neozcgmByUepTzm9inrUbkK4KGbZWNqeTR7tKWykLl_UN7ZtlKKgSnMWByTSGQJDhkLzIZLKoHrw,100,284,SUPPORT,UTILITY,2,2,4,235,False,False,99,1489,1351,PLATINUM,III,12,105633
NA1_5207183857,SYxgG9shm1c5h2C326l4Tk1y6Bxty_xxZq9cxxY4i9eTGTx_JGv2ibJkkjO31lDN4C8orPRHHJciqg,200,472,SOLO,TOP,4,1,11,58,True,False,45,1489,1030,SILVER,III,5,22387
NA1_5207183857,6FbqQf5Ym8Rc2RbVur293J-pmb1_T-0y946B14LTwJCl3RrhMPfyTywdFTNQdSOCO7jq1ytI9c38kg,200,133,NONE,JUNGLE,7,1,8,106,True,False,20,1489,579,IRON,II,15,131530
NA1_5207183857,0BMzC1lhTxcTsUAkujrHHGvjNzkbZ3d_DdMuKhfEgBnGzxC2JBUUYbqLmPFiwWwlvxDF5ic2mwfYOQ,200,257,SOLO,MIDDLE,7,0,6,901,True,False,0,1489,0,IRON,III,6,37501
NA1_5207183857,lwEA_84LnkSAfa6-ACy7u6ukE1AjVZgROLpc-xFxWFfqMUEZ1vHNzvIYbv4FlrmGV4w7_j_X3_OgcA,200,367,NONE,BOTTOM,2,5,5,119,True,False,173,1489,422,SILVER,II,6,41370
NA1_5207183857,qwpTx8dqPymiZ4GGxtfFmJCdHcbQ1rJYcf5Kh92AyC4jIwIkx0D58no4Iga4rKSJoLlWxcTQ1uCfIw,200,463,SOLO,UTILITY,3,1,13,412,True,False,28,1489,712,GOLD,I,7,49564
NA1_5203436873,73O-40Orva9U4A-9CRmy4oBdLFrhrzx8o3ATUdk_1rAXrnUKDFnAhXP3jOupC3tbPcvTPTHkQ4TILw,100,403,SUPPORT,TOP,3,4,0,799,False,False,99,1172,414,UNRANKED,UNRANKED,3,7760
NA1_5203436873,IW40Xut4vQcEO6AHUq1toPD3P5dWvPfgFuNF1IhLwxegl7vLNdBsvCBwPzsd16_TqKht-L2RhKdlBg,100,28,SUPPORT,JUNGLE,5,5,2,19,False,False,119,1172,403,IRON,IV,24,352249
NA1_5203436873,_bfd-8aZi6A8d11UM1XE8Nj7NivsTV26MhkMiZ8hoTYRgFfsskt2HCJ54UppYhuZwp9x6M3XqbDoXA,100,309,SUPPORT,MIDDLE,1,7,1,131,False,False,203,1172,286,UNRANKED,UNRANKED,102,1196630
NA1_5203436873,lwEA_84LnkSAfa6-ACy7u6ukE1AjVZgROLpc-xFxWFfqMUEZ1vHNzvIYbv4FlrmGV4w7_j_X3_OgcA,100,366,DUO,BOTTOM,3,3,1,119,False,False,102,1172,692,SILVER,II,6,41370
NA1_5203436873,qwpTx8dqPymiZ4GGxtfFmJCdHcbQ1rJYcf5Kh92AyC4jIwIkx0D58no4Iga4rKSJoLlWxcTQ1uCfIw,100,462,SUPPORT,UTILITY,0,2,4,412,False,False,66,1172,850,GOLD,I,7,49564
NA1_5203436873,nKKmQNZRkq4CjhyQde14WfZT_lhonSTDfZN4N3HBDO4jzjEnie2XYi6_rziFwVhlwDRNxldPp2JJrQ,200,274,DUO,TOP,5,3,3,111,True,False,66,1172,346,UNRANKED,UNRANKED,6,35264
NA1_5203436873,2B-SdWy6AwuUEigV4_baNHr6s6S_hGu4k_7bzmh5N0ERFZi05uZ0hWjCBiMkZh_0PwUf2TcTxTpdHQ,200,490,SUPPORT,JUNGLE,5,1,4,19,True,False,14,1172,443,BRONZE,I,63,899604
NA1_5203436873,CAr5dqkccxSNZ0VP1YJ3IR9_9LAB0E6J792Oc1L8T9i59zb3J5FdME0CB0LI7lMRsdY0hKjL5TSuiA,200,277,SUPPORT,MIDDLE,7,4,4,112,True,False,129,1172,495,PLATINUM,IV,7,49298
NA1_5203436873,V-t6KAWb8B8Hr_WrIrbSIpmVYmIXTBwnNCl5uO2nW29WwmuHSiw8XUZbXblV5JqVpLKPeB898bxlAw,200,100,SUPPORT,BOTTOM,4,2,4,29,True,False,34,1172,375,BRONZE,IV,28,452415
NA1_5203436873,ZWE8dRFL0E7qYNx95bTISYIR3kUljKJgZ5LWpZJHC4nX8FYTVltC9Hu76c05gF8RfG9fuFpfJdR2IA,200,23,SUPPORT,UTILITY,0,2,5,17,True,False,22,1172,151,UNRANKED,UNRANKED,3,6293
NA1_5207183857,oRLhpoapz3X3vKMeaz26kATbT3h6bwUAO4v-helkX6Yk8whWClZKVL0NTNui1nhNgUy5DTHhu-T1qQ,100,218,DUO,TOP,1,4,1,777,False,False,151,1489,635,UNRANKED,UNRANKED,18,167672
NA1_5252912571,rKq89hj6O-9KKQUD-L5KsdLsA3W8xZRO27UBXpYu_l5UhZe63-1gd2I8EtlbnlCgckdeKgNKwUCQQg,100,25,SOLO,TOP,14,3,5,10,True,False,86,1610,641,UNRANKED,UNRANKED,2,4728
NA1_5252912571,oRLhpoapz3X3vKMeaz26kATbT3h6bwUAO4v-helkX6Yk8whWClZKVL0NTNui1nhNgUy5DTHhu-T1qQ,100,274,NONE,JUNGLE,9,6,6,19,True,False,168,1610,387,UNRANKED,UNRANKED,6,33807
NA1_5252912571,Dw_9J06clCr2fXBY0nHgcmDDwRrzAHhbnz41p2lzvCXQv8qGpjh327MIeaUMVaCErZBJmeDdwM_Mkw,100,309,SOLO,MIDDLE,1,4,10,233,True,False,90,1610,615,IRON,IV,1,1260
NA1_5252912571,WCAJjSB5dLVZKKecUn4owYpdXYybZU2jDtXLkxs5L9EY2a388AEMT77mxrmRHcl_Y2d7XFoskeUcCg,100,243,CARRY,BOTTOM,11,12,12,29,True,False,378,1610,325,IRON,II,7,50869
NA1_5252912571,BogDtby5TRs5aIShgNg-SzG4pQnV4ZfuLRC1-5GKR0NMVEvb7nCe9Wjk_SuBhDCqMvHj3i5QHlF1bQ,100,29,SUPPORT,UTILITY,2,3,27,350,True,False,82,1610,433,UNRANKED,UNRANKED,7,43862
NA1_5252912571,Yud6QRh_PbTXgO9hTVBUG5Ng8g8hw6WecrTRK5SPoIrNkLPq2KtUXiD1RKNmjzOORpciY3Em1TkMlQ,200,599,SOLO,TOP,3,8,2,114,False,False,274,1610,458,GOLD,IV,6,32044
NA1_5252912571,40xoaL2GV5MqivIeq2jOJxLEYLT6k9BncM05K50TB0EUIFvPWTEw92I71AqsBIRmyHY86Ryrzmoanw,200,70,NONE,JUNGLE,7,5,6,19,False,False,154,1610,739,UNRANKED,UNRANKED,7,50396
NA1_5252912571,TC9rRDWuWCmNfNWAtVCZEWAo9kTMZwhe3IGQF4Noj467ogEjusoH9jmTcDZL_ynPYMR_6KUz_rRymQ,200,797,SOLO,MIDDLE,7,4,10,51,False,False,171,1610,937,SILVER,III,58,658596
NA1_5252912571,3LAIM0YhBXOxkmk2kukpvIbhaDLmPMkcRYfv2oOqChLU76pNB9S5Z1BK_JIQiYYUVLX_qVJwFJao0Q,200,397,CARRY,BOTTOM,6,11,7,18,False,False,347,1610,318,UNRANKED,UNRANKED,8,62928
NA1_5252912571,ujdIMgcqS9BnZKM-ZGnPxpjXRr94I4v6M9bdxGcnx7H1FIipLfl68I53pei__9bQE3YAlUHYZyqAvQ,200,104,SUPPORT,UTILITY,5,9,9,25,False,False,197,1610,314,UNRANKED,UNRANKED,10,88398
NA1_5252390115,oRLhpoapz3X3vKMeaz26kATbT3h6bwUAO4v-helkX6Yk8whWClZKVL0NTNui1nhNgUy5DTHhu-T1qQ,100,274,DUO,TOP,20,2,4,122,True,False,70,1838,828,UNRANKED,UNRANKED,16,147451
NA1_5252390115,6qLW4hZqF_sY1Xrm6pbGfDIocRlp5oEN6zD5GHZRoVXsdjzVw2ZFZZOBNtDtQ1yCi9Bi-25VAeftYg,100,122,NONE,JUNGLE,3,2,14,25,True,False,53,1838,691,UNRANKED,UNRANKED,7,50653
