matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5250028059,1782,GameComplete,False,False
NA1_5253584887,2057,GameComplete,False,False
NA1_5252604290,2141,GameComplete,False,False
NA1_5251978512,1483,GameComplete,True,False
NA1_5251959102,2235,GameComplete,False,False
NA1_5251937949,2205,GameComplete,False,False
NA1_5251136978,1780,GameComplete,False,False
NA1_5250008934,1729,GameComplete,False,False
NA1_5249988336,1278,GameComplete,True,False
NA1_5249952829,2313,GameComplete,False,False
NA1_5249525753,1630,GameComplete,False,False
NA1_5248702956,1870,GameComplete,False,False
NA1_5248678220,1979,GameComplete,True,False
NA1_5244804366,2806,GameComplete,True,False
NA1_5244774728,1853,GameComplete,False,False
NA1_5244746911,1979,GameComplete,False,False
NA1_5244714690,1792,GameComplete,False,False
NA1_5244690088,1750,GameComplete,False,False
NA1_5244682010,107,GameComplete,False,True
NA1_5244301125,1750,GameComplete,False,False
NA1_5244276848,1877,GameComplete,False,False
NA1_5244250065,2260,GameComplete,False,False
NA1_5244217665,2531,GameComplete,False,False
NA1_5244050791,2154,GameComplete,False,False
NA1_5240373564,2454,GameComplete,False,False
NA1_5240353548,1748,GameComplete,False,False
NA1_5239896578,1768,GameComplete,False,False
NA1_5239870127,1682,GameComplete,False,False
NA1_5238694471,2232,GameComplete,False,False
NA1_5238247700,2008,GameComplete,False,False
NA1_5238215872,1795,GameComplete,True,False
NA1_5237666965,1714,GameComplete,True,False
NA1_5235603325,1742,GameComplete,False,False
NA1_5235573201,1851,GameComplete,False,False
NA1_5233751284,2548,GameComplete,False,False
NA1_5233730612,1475,GameComplete,True,False
NA1_5233710935,1644,GameComplete,False,False
NA1_5232017183,2234,GameComplete,False,False
NA1_5231988923,1323,GameComplete,True,False
NA1_5231278385,1245,GameComplete,True,False
NA1_5231232613,2317,GameComplete,False,False
NA1_5230494118,2444,GameComplete,False,False
NA1_5230456882,1842,GameComplete,False,False
NA1_5212448934,1378,GameComplete,False,False
NA1_5212438780,1209,GameComplete,True,False
NA1_5212371305,1291,GameComplete,True,False
NA1_5212360722,2158,GameComplete,True,False
NA1_5212359034,1159,GameComplete,True,False
NA1_5211777356,1702,GameComplete,False,False
NA1_5211756421,2614,GameComplete,True,False
NA1_5211692356,2501,GameComplete,False,False
NA1_5211684990,1697,GameComplete,False,False
NA1_5197612229,1726,GameComplete,False,False
NA1_5196651066,1965,GameComplete,False,False
NA1_5195016268,1130,GameComplete,True,False
NA1_5194456005,2572,GameComplete,False,False
NA1_5193613560,1521,GameComplete,False,False
NA1_5193594848,1356,GameComplete,False,False
NA1_5193404847,2601,GameComplete,False,False
NA1_5192068131,2071,GameComplete,False,False
NA1_5191761929,2477,GameComplete,False,False
NA1_5191279379,2142,GameComplete,True,False
NA1_5191004200,950,GameComplete,True,False
NA1_5190990085,2527,GameComplete,False,False
NA1_5190438303,2135,GameComplete,False,False
NA1_5190260016,1976,GameComplete,False,False
NA1_5190248707,1379,GameComplete,True,False
NA1_5190240075,1508,GameComplete,True,False
NA1_5189567648,1216,GameComplete,True,False
NA1_5189543383,1975,GameComplete,False,False
