matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5252737997,964,GameComplete,True,False
NA1_5252711052,2034,GameComplete,False,False
NA1_5252684714,2164,GameComplete,False,False
NA1_5252661422,2020,GameComplete,False,False
NA1_5225223281,2020,GameComplete,False,False
NA1_5223919285,1043,GameComplete,True,False
NA1_5223888414,1865,GameComplete,False,False
NA1_5223298425,2397,GameComplete,False,False
NA1_5222017318,3120,GameComplete,False,False
NA1_5221434468,1218,GameComplete,False,False
NA1_5221411789,1564,GameComplete,False,False
NA1_5182213068,2380,GameComplete,False,False
NA1_5182177761,1656,GameComplete,False,False
NA1_5182134755,2194,GameComplete,False,False
NA1_5169245817,2106,GameComplete,False,False
NA1_5169233448,332,GameComplete,True,False
NA1_5160038309,2752,GameComplete,False,False
NA1_5159988378,1723,GameComplete,False,False
NA1_5128159036,2657,GameComplete,False,False
NA1_5128130751,2159,GameComplete,False,False
NA1_5127296773,2145,GameComplete,False,False
NA1_5127287272,226,GameComplete,True,False
NA1_5126404533,2166,GameComplete,True,False
NA1_5126376074,2857,GameComplete,False,False
NA1_5126091633,2705,GameComplete,False,False
NA1_5125461058,2695,GameComplete,False,False
NA1_5125422650,2650,GameComplete,False,False
NA1_5124767440,1722,GameComplete,False,False
NA1_5121668745,2286,GameComplete,False,False
NA1_5121645620,2160,GameComplete,False,False
NA1_5121630921,2447,GameComplete,False,False
NA1_5121604676,2019,GameComplete,False,False
NA1_5121299901,2390,GameComplete,False,False
NA1_5121269677,1733,GameComplete,False,False
NA1_5121248071,2328,GameComplete,False,False
NA1_5121223586,1386,GameComplete,False,False
NA1_5121203427,1847,GameComplete,False,False
NA1_5121184357,1894,GameComplete,False,False
NA1_5121171258,1264,GameComplete,False,False
NA1_5121160030,1684,GameComplete,False,False
NA1_5110773157,1296,GameComplete,False,False
NA1_5096696575,1519,GameComplete,False,False
NA1_5088072712,1241,GameComplete,False,False
NA1_5088059918,1286,GameComplete,False,False
NA1_5088033955,1310,GameComplete,False,False
NA1_5088010830,1376,GameComplete,False,False
NA1_5087975399,1292,GameComplete,False,False
NA1_5087954806,1342,GameComplete,False,False
NA1_5087919601,1477,GameComplete,False,False
NA1_5087796182,1270,GameComplete,False,False
NA1_5087770406,1302,GameComplete,False,False
