matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5238227774,1570,GameComplete,False,False
NA1_5238210842,1830,GameComplete,False,False
NA1_5238187695,1671,GameComplete,False,False
NA1_5238074579,1876,GameComplete,False,False
NA1_5237427541,1319,GameComplete,True,False
NA1_5237013667,1245,GameComplete,True,False
NA1_5237003427,918,GameComplete,True,False
NA1_5236977397,1860,GameComplete,False,False
NA1_5236957996,1343,GameComplete,False,False
NA1_5236932203,1526,GameComplete,False,False
NA1_5236006080,1891,GameComplete,False,False
NA1_5234247584,1359,GameComplete,False,False
NA1_5233613810,1888,GameComplete,False,False
NA1_5233591644,953,GameComplete,True,False
NA1_5232813549,1380,GameComplete,True,False
NA1_5232231719,1726,GameComplete,False,False
NA1_5229142819,1463,GameComplete,False,False
NA1_5229129777,1291,GameComplete,True,False
NA1_5228354748,1246,GameComplete,False,False
NA1_5227768060,1613,GameComplete,False,False
NA1_5227751589,1028,GameComplete,False,False
NA1_5227736090,1219,GameComplete,False,False
NA1_5227728752,380,GameComplete,True,False
NA1_5204787834,1533,GameComplete,True,False
NA1_5203030110,1007,GameComplete,True,False
NA1_5252983100,1423,GameComplete,False,False
NA1_5252979090,136,GameComplete,False,True
NA1_5252748184,1325,GameComplete,False,False
NA1_5252556485,1401,GameComplete,False,False
NA1_5252424068,1396,GameComplete,False,False
NA1_5252418092,769,GameComplete,True,False
NA1_5252408545,1399,GameComplete,False,False
NA1_5251932187,1585,GameComplete,False,False
NA1_5251903197,1724,GameComplete,False,False
NA1_5251880782,1576,GameComplete,True,False
NA1_5251323835,1814,GameComplete,False,False
NA1_5251302329,1486,GameComplete,False,False
NA1_5251249972,1849,GameComplete,False,False
NA1_5251203675,2059,GameComplete,False,False
NA1_5250908522,1391,GameComplete,False,False
NA1_5250895722,1158,GameComplete,True,False
NA1_5250791914,2080,GameComplete,False,False
NA1_5250785672,145,GameComplete,False,True
NA1_5250021072,2026,GameComplete,False,False
NA1_5250000561,1456,GameComplete,False,False
NA1_5249985322,1085,GameComplete,True,False
NA1_5249829683,1920,GameComplete,False,False
NA1_5249803408,1962,GameComplete,False,False
NA1_5249533967,1703,GameComplete,False,False
NA1_5249521527,926,GameComplete,True,False
NA1_5249265607,1595,GameComplete,False,False
NA1_5249234975,1095,GameComplete,True,False
NA1_5249212444,1499,GameComplete,False,False
NA1_5249113052,1924,GameComplete,False,False
NA1_5248915074,1786,GameComplete,False,False
NA1_5248890581,1341,GameComplete,True,False
NA1_5248873825,1422,GameComplete,False,False
NA1_5248788897,1822,GameComplete,False,False
NA1_5248514489,1768,GameComplete,False,False
NA1_5248414486,1601,GameComplete,False,False
NA1_5247151161,1425,GameComplete,False,False
NA1_5247138527,1193,GameComplete,True,False
NA1_5247078274,2492,GameComplete,False,False
NA1_5247036934,2180,GameComplete,False,False
NA1_5247003293,2030,GameComplete,False,False
NA1_5246562614,1478,GameComplete,False,False
NA1_5246530211,1589,GameComplete,False,False
NA1_5246519767,1104,GameComplete,False,False
NA1_5246493234,1525,GameComplete,False,False
NA1_5246462091,1879,GameComplete,False,False
NA1_5246433814,1389,GameComplete,True,False
NA1_5246189087,962,GameComplete,True,False
NA1_5245527521,1335,GameComplete,False,False
NA1_5245522444,1793,GameComplete,False,False
NA1_5245470672,1451,GameComplete,True,False
NA1_5245461252,1260,GameComplete,True,False
NA1_5245446849,1755,GameComplete,False,False
NA1_5245429976,1336,GameComplete,False,False
NA1_5245401073,1507,GameComplete,False,False
NA1_5244863834,1328,GameComplete,False,False
NA1_5244835689,2015,GameComplete,False,False
NA1_5244639675,2244,GameComplete,False,False
NA1_5244615087,1406,GameComplete,True,False
NA1_5244534030,1076,GameComplete,False,False
NA1_5244494586,2130,GameComplete,False,False
NA1_5244472543,1145,GameComplete,True,False
NA1_5244400876,1088,GameComplete,True,False
NA1_5244392633,1050,GameComplete,True,False
NA1_5244247779,1902,GameComplete,False,False
NA1_5244223172,1988,GameComplete,False,False
NA1_5244196169,1951,GameComplete,False,False
NA1_5244183798,1130,GameComplete,False,False
NA1_5243986197,1728,GameComplete,False,False
NA1_5243960290,1847,GameComplete,False,False
NA1_5243945965,1560,GameComplete,False,False
NA1_5243850723,922,GameComplete,True,False
NA1_5243828009,1763,GameComplete,False,False
NA1_5243818356,929,GameComplete,True,False
NA1_5243797680,2066,GameComplete,False,False
NA1_5243790024,964,GameComplete,True,False
NA1_5243721172,1643,GameComplete,False,False
NA1_5243498415,1471,GameComplete,False,False
NA1_5243481645,1035,GameComplete,True,False
NA1_5243459076,1551,GameComplete,False,False
NA1_5243426852,1968,GameComplete,False,False
NA1_5243321591,1227,GameComplete,True,False
NA1_5243308079,1450,GameComplete,False,False
NA1_5243226460,1260,GameComplete,False,False
NA1_5243180665,1966,GameComplete,False,False
NA1_5243172488,812,GameComplete,True,False
NA1_5243048593,1543,GameComplete,True,False
NA1_5243043150,1246,GameComplete,True,False
NA1_5243007695,1874,GameComplete,False,False
NA1_5242975614,1526,GameComplete,False,False
NA1_5242945157,1746,GameComplete,False,False
NA1_5241289215,1849,GameComplete,False,False
NA1_5241153039,1952,GameComplete,False,False
NA1_5240963441,1277,GameComplete,False,False
NA1_5240953886,1209,GameComplete,True,False
NA1_5240926228,1918,GameComplete,False,False
NA1_5240897038,1869,GameComplete,False,False
NA1_5240776614,1345,GameComplete,False,False
NA1_5240773425,931,GameComplete,True,False
NA1_5240759150,1497,GameComplete,True,False
NA1_5239658379,1559,GameComplete,False,False
NA1_5247265053,2344,GameComplete,False,False
NA1_5247259938,974,GameComplete,True,False
NA1_5247247823,2064,GameComplete,False,False
NA1_5247199642,1491,GameComplete,False,False
NA1_5247200780,1319,GameComplete,False,False
NA1_5246732381,1820,GameComplete,False,False
NA1_5246719456,1029,GameComplete,True,False
NA1_5246707609,1881,GameComplete,False,False
NA1_5246195181,1913,GameComplete,False,False
NA1_5245578497,1002,GameComplete,True,False
NA1_5245464225,1998,GameComplete,False,False
NA1_5245128112,1921,GameComplete,False,False
NA1_5245123943,189,GameComplete,False,True
NA1_5242614519,1331,GameComplete,True,False
NA1_5242025540,1265,GameComplete,True,False
NA1_5242011762,1783,GameComplete,True,False
NA1_5241999516,1915,GameComplete,False,False
NA1_5241989372,2030,GameComplete,False,False
NA1_5240745363,1953,GameComplete,False,False
NA1_5240729598,1748,GameComplete,False,False
NA1_5240712471,1932,GameComplete,False,False
NA1_5240696792,1610,GameComplete,True,False
NA1_5240115617,1614,GameComplete,False,False
NA1_5240105516,1642,GameComplete,False,False
NA1_5240096044,1563,GameComplete,False,False
NA1_5240080771,1932,GameComplete,False,False
NA1_5239432966,1727,GameComplete,False,False
NA1_5239416278,1865,GameComplete,False,False
NA1_5239402842,1545,GameComplete,False,False
NA1_5239379651,1814,GameComplete,False,False
NA1_5239361874,1658,GameComplete,False,False
NA1_5238260530,1437,GameComplete,False,False
NA1_5238251861,1554,GameComplete,False,False
NA1_5238241275,1415,GameComplete,True,False
NA1_5238214268,1245,GameComplete,True,False
NA1_5237050901,1965,GameComplete,False,False
NA1_5237034256,1773,GameComplete,False,False
NA1_5237012985,996,GameComplete,True,False
NA1_5236995768,1419,GameComplete,True,False
NA1_5236987266,435,GameComplete,True,False
NA1_5236987817,103,GameComplete,False,True
NA1_5236967563,1297,GameComplete,False,False
NA1_5236494128,1770,GameComplete,False,False
NA1_5236488361,1337,GameComplete,False,False
NA1_5236482702,1398,GameComplete,True,False
NA1_5235796994,1274,GameComplete,False,False
NA1_5235781162,1703,GameComplete,False,False
NA1_5235773414,962,GameComplete,True,False
NA1_5235764138,1431,GameComplete,False,False
NA1_5235751986,1793,GameComplete,True,False
NA1_5235730615,1865,GameComplete,False,False
NA1_5235065733,1665,GameComplete,False,False
NA1_5235061871,988,GameComplete,True,False
NA1_5235049206,1371,GameComplete,False,False
NA1_5235027067,1964,GameComplete,False,False
NA1_5234347658,1222,GameComplete,True,False
NA1_5234326479,1564,GameComplete,True,False
NA1_5234311021,1416,GameComplete,False,False
NA1_5234285194,1876,GameComplete,False,False
NA1_5233977086,1503,GameComplete,True,False
NA1_5233961074,1654,GameComplete,False,False
NA1_5233946873,1945,GameComplete,False,False
NA1_5233876422,1414,GameComplete,False,False
NA1_5233873436,915,GameComplete,True,False
NA1_5233851704,1865,GameComplete,False,False
