matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5238227774,gAbHoHx6WpKKHfi5N2297sbx8lVTlSpV405PN-oh8YnOd3Hyq2Fa9Rzr0RaNvYAQAnu8tTL0XUGHsQ,100,213,SOLO,TOP,1,6,7,83,True,False,160,1570,583,UNRANKED,UNRANKED,30,365317
NA1_5238227774,rwdmlTy5H1ZaVRQ2fi-J50KhN_VO0dVNT9kDEUtJnH42KTypKovE_LUpHPajWLO5hCeEyO-HTgVEkw,100,29,NONE,JUNGLE,5,4,3,107,True,False,81,1570,925,SILVER,IV,14,210960
NA1_5238227774,_94s4FMLLmjiVDTQHbILn0NkuBrgf8-sHUjKF466cx8_dW0Ps66pi4eO1O_OJksfl77Cly3inCvGhg,100,465,SOLO,MIDDLE,10,4,8,21,True,False,128,1570,901,IRON,II,13,112789
NA1_5238227774,4Uo6Hye89uQMqOLQB0p9dm9ZYrgvHGuOOIc5pbnIXRH8gQvr4kxgUptDBbLeN4Q_3yPnLJCE30DFtw,100,236,CARRY,BOTTOM,16,4,4,51,True,False,176,1570,855,IRON,I,20,245255
NA1_5238227774,wCgfV-6I7n2AyaklhC0VRMdPMxN-PAzfLP1cz8IVwwzizDPbRWAUOqOhLV5-deeorgRIcsWks8Yq8g,100,376,SUPPORT,UTILITY,0,3,25,526,True,False,102,1570,724,BRONZE,IV,7,46625
NA1_5238227774,nkvTz4N4adcIsgUZvhwKXJmVJu-xzroXibXQ8v7ItpjG5g7apnoLe9RNugu97CtpZWvpV7fuyTLaTA,200,135,CARRY,TOP,5,4,3,122,False,False,133,1570,869,UNRANKED,UNRANKED,32,327806
NA1_5238227774,W3ypjkFsfqsgddbyc4e9gfPTYcfp1aN2TOEPI7857OmyZJXIjxnnQxYwAmviHReeaPUEoaFp-md3Nw,200,34,NONE,JUNGLE,4,7,2,19,False,False,188,1570,371,UNRANKED,UNRANKED,6,32276
NA1_5238227774,_G-KXgQNMYy5rGxikCFKU82WZmAZiyHUs2hk2OV140XJTemSFw0DCHk_uVqbaCsDPBzSk12wG6enUA,200,190,SOLO,MIDDLE,7,5,5,50,False,False,139,1570,502,UNRANKED,UNRANKED,3,9601
NA1_5238227774,H4HZ5wFFyNBPt4lTS3mLQ6QnIYQrjyIAyMrVHBtmGjeI5_pO_1rsHZhmmNLzVnusCYY65qzzdiltFw,200,11,SUPPORT,BOTTOM,1,9,4,81,False,False,200,1570,334,UNRANKED,UNRANKED,3,6570
NA1_5238227774,1fZ-J4XulYOmBafBoaJKMm4yj2yv4HGxaxh6Tij9vkQ3oJEfA4Cc9VPNafGfMdON_WDAwPivAUA3iw,200,32,SOLO,UTILITY,3,7,4,80,False,False,182,1570,398,UNRANKED,UNRANKED,3,7576
NA1_5238210842,6Q4fGxhOT6Mviv-pvRJ8qu2lvrVemQE6JUq_3YL2fvetf8ennjIrJGo_h0jrLvirC55hH9SMULeatg,100,364,DUO,TOP,11,10,6,887,False,False,294,1830,495,SILVER,I,4,12834
NA1_5238210842,2S9JhdWO67c6KefAJnzE_QjW2R1Y5gm0Fji9Ih_MRbqg2Q3NXlyS4mHqbLspFhfisBfzDiHA_eaorw,100,268,NONE,JUNGLE,6,12,14,11,False,False,432,1830,360,UNRANKED,UNRANKED,8,63410
NA1_5238210842,6gn8N8zwWFKExPDwoWdbB2kT2Lo2PRecKaer6dY3tq5V7cYkCyBsCFwLim7_XycPU45SjZvIpUc_qQ,100,577,DUO,MIDDLE,9,6,9,238,False,False,323,1830,1135,GOLD,IV,6,35749
