puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
j6JC09bNtBqutQ4Cqvr5mC_s5_mKIDd7eiJygoqPwyrhRXtobFfLYMHRjdqGhf2CR-UojzETOiOkJw,348,IRON,II,10,11,6,0.9090909090909091,0.5454545454545454,1.1818181818181819,1.4545454545454546,2.0,470,787,667,0.5972045743329097,0.8475222363405337,1.0209656925031767,1.4447268106734434,0.6129032258064516
LlV_hfBuvws854hu_32yK_XNcHtETzIc6mxpBD4NOBgZG8uqXX12gC1TlCjfrackNd1wWUqwEA6ekg,18,UNRANKED,UNRANKED,290,308,311,0.9415584415584416,1.0097402597402598,1.4464285714285714,1.9512987012987013,0.5531914893617021,,,,,,,,
xDIPKgLOhWROqwQGBFlqdOaQ_-Hb726R59Lj3LRbdaf6Ro88YptuE4EeWaQBsk6WEPGsyPNaR_OVpQ,19,UNRANKED,UNRANKED,50,65,58,0.7692307692307693,0.8923076923076924,1.2153846153846153,1.6615384615384616,0.3333333333333333,,,,,,,,
m8wA8EICjGGyZ4C4vHLJ9LeFAApnnxdn3P6Xs4YQQSBbg05z_4WCZ6Xjny--W0LL1Md1h1a4pNs8Tg,787,SILVER,III,345,260,600,1.3269230769230769,2.3076923076923075,2.480769230769231,3.6346153846153846,0.918918918918919,10,17,86,0.5882352941176471,5.0588235294117645,3.1176470588235294,5.647058823529412,0.5
CF0vcu0-v_7lX0G9TbiRupyg5goeb_1HnLBE-kJEkQqgh2Rum3Gi8HN6Sd7Q8Krjqa4mqchT5vr6qA,805,UNRANKED,UNRANKED,59,72,147,0.8194444444444444,2.0416666666666665,1.8402777777777777,2.861111111111111,0.6363636363636364,15,22,63,0.6818181818181818,2.8636363636363638,2.1136363636363638,3.5454545454545454,1.0
VM8i5_pEI-EVq5yMFW9JjTiPFN652VRKAhpojVumvcDOHt9dkfYTGipBsHWQv79xfMAXYuqjZVXf9w,469,PLATINUM,IV,344,473,1081,0.7272727272727273,2.285412262156448,1.8699788583509513,3.0126849894291756,1.564102564102564,159,667,1440,0.2383808095952024,2.158920539730135,1.31784107946027,2.3973013493253372,1.2727272727272727
7gMV7EYdl8s9OP8L7RhW3uimoEFZqX_XhzSbGbeJjjBg97BNVrduQNj2RH4Fk2G1hz-cJyL-i5tupA,56,UNRANKED,UNRANKED,120,98,119,1.2244897959183674,1.2142857142857142,1.8316326530612246,2.438775510204082,1.7777777777777777,50,41,106,1.2195121951219512,2.5853658536585367,2.5121951219512195,3.8048780487804876,1.6666666666666667
bnXMw-G5B_qlfBye-wxPeUyWVj5vmNlNSbVIRcTma6GA9S3Wd9d31C21_lumYIqSyUw6GgnOScFyFA,521,UNRANKED,UNRANKED,781,774,499,1.0090439276485788,0.6447028423772609,1.3313953488372092,1.6537467700258397,1.5,247,224,122,1.1026785714285714,0.5446428571428571,1.375,1.6473214285714286,1.0666666666666667
4eN-MwsSpCNlAhOJvw0FA17i2MYk97G-ZIZ7pvoD2zVvvDfWwmDgdi29oEl21q2cFWzwqisI_lZjCg,503,GOLD,II,303,175,248,1.7314285714285715,1.417142857142857,2.44,3.1485714285714286,1.0526315789473684,672,611,745,1.099836333878887,1.2193126022913257,1.7094926350245498,2.3191489361702127,1.0408163265306123
AzTpeGmvSR7ixNyzvwYo1okCJu6iik_bmkIogHMWYi473dXqfoIzbsJOeoYv_NVI3Pq8SbWaIcfSPA,44,UNRANKED,UNRANKED,142,147,302,0.9659863945578231,2.054421768707483,1.9931972789115646,3.020408163265306,0.625,1,10,3,0.1,0.3,0.25,0.4,0.0
G7FuTIvYD8qwncv4jnYVKZCcRA3rtiKSVlP4KHDdxpiP2pzizMvuZtyuSAyFEgt_e7cURxJo6XwpzA,114,GOLD,III,94,53,69,1.7735849056603774,1.3018867924528301,2.4245283018867925,3.0754716981132075,0.8333333333333334,593,635,900,0.9338582677165355,1.4173228346456692,1.6425196850393702,2.351181102362205,1.8571428571428572
IGvx1N6dMB4R2yuJkAoqjTwLjAkHf-9bxNbAASuZZzur5UGLNH2282a_Z4dgMPuRobK60UcREQRu_Q,11,UNRANKED,UNRANKED,269,246,222,1.0934959349593496,0.9024390243902439,1.5447154471544715,1.9959349593495934,0.76,,,,,,,,
FCg6k0FN1-newmaIKF7WotgVpzE5SrUX1pll94Gl967Pdhzwk79fXjPwyUVKM8-4jaeMDksRPop_9Q,31,UNRANKED,UNRANKED,403,393,383,1.025445292620865,0.9745547073791349,1.5127226463104326,2.0,1.127659574468085,,,,,,,,
s_J-6lONmk4IvoME8urhkhA6B83dsba9-XRsCpqKrAzooGqt58ZIJzi37l25bwpjHRVyKFkOGTi_dg,346,UNRANKED,UNRANKED,289,207,305,1.396135265700483,1.4734299516908214,2.132850241545894,2.869565217391304,1.1111111111111112,71,63,98,1.126984126984127,1.5555555555555556,1.9047619047619047,2.6825396825396823,4.0
AXe8SjLy5Q23Cc3HdEmNkB92oxc_dYvMV-EZThYz7GZA9gNimc3KZe894AoJhn0TNBIqFzCrmN_9Xw,30,SILVER,IV,27,71,57,0.38028169014084506,0.8028169014084507,0.7816901408450704,1.1830985915492958,0.6666666666666666,180,262,177,0.6870229007633588,0.6755725190839694,1.0248091603053435,1.3625954198473282,0.4583333333333333
udRNETE5tMEHssMfxJelM-rhiYl14bmIPcppILIFeGauXzkwlWHuaIy41Vrz9QjQaGxfGqjHn6AeNg,66,GOLD,III,57,46,56,1.2391304347826086,1.2173913043478262,1.8478260869565217,2.4565217391304346,0.8,758,506,808,1.4980237154150198,1.5968379446640317,2.2964426877470356,3.0948616600790513,1.7027027027027026
qmFIwaqUabjPjxUfuJIdJVOZttLBiQS4cOtWZ6Y7wjZ509wAucOZ4FeULVTWpKxgCXV1GOQaqpZT8A,35,GOLD,I,135,52,53,2.5961538461538463,1.0192307692307692,3.105769230769231,3.6153846153846154,3.0,489,437,450,1.1189931350114417,1.0297482837528604,1.633867276887872,2.148741418764302,1.4230769230769231
LudjaZqjxfPuJPLMeCH3vvsu3QEzSXhkUMr_6i3RNvUoucsLsrE4MvUZgrSHWpfNNpQdD6YqnUcTGg,253,BRONZE,III,52,36,52,1.4444444444444444,1.4444444444444444,2.1666666666666665,2.888888888888889,1.0,523,343,661,1.5247813411078717,1.9271137026239067,2.488338192419825,3.4518950437317786,0.8867924528301887
6kxdS_mCx5xwHONhQIxFDhqbYoWmR2QQopqqekDDXA2_VBFVcHdD4cQJX7QGc_2oN8ctffNgJrrBGA,140,SILVER,II,266,189,217,1.4074074074074074,1.1481481481481481,1.9814814814814814,2.5555555555555554,2.6363636363636362,477,306,356,1.5588235294117647,1.1633986928104576,2.1405228758169934,2.7222222222222223,2.388888888888889
JL9a4zIHLsWIFqChQQeBEwFW-6FFem4-pRKI-wEDQ27rj9qRrse-OvldVCmU9knaUmLwb7aM3T6zzw,418,UNRANKED,UNRANKED,511,702,524,0.7279202279202279,0.7464387464387464,1.101139601139601,1.4743589743589745,0.8181818181818182,,,,,,,,
n0yK8SLiyp_TRb0WjJ7Q32e1P3xgVHxSlMU22HYxKbI1UqflT8z2R5SE6gY9MQm0-0Nqk4N6SVoGEw,524,GOLD,III,403,258,266,1.562015503875969,1.0310077519379846,2.0775193798449614,2.5930232558139537,1.2962962962962963,641,503,473,1.2743538767395626,0.9403578528827038,1.7445328031809144,2.2147117296222665,1.0
YoGfWOs7OCl2I6GWRU62JVpny0I756-JM_AfPzhSDJBszMDwhRPF66kdza8mINrPz3If3-BtZ_uNvw,240,SILVER,III,258,170,183,1.5176470588235293,1.076470588235294,2.0558823529411763,2.5941176470588236,1.9090909090909092,740,644,772,1.1490683229813665,1.1987577639751552,1.7484472049689441,2.347826086956522,0.9607843137254902
