matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5253360369,1525,GameComplete,False,False
NA1_5253345037,1011,GameComplete,True,False
NA1_5253308627,2841,GameComplete,False,False
NA1_5253011572,2865,GameComplete,True,False
NA1_5252978362,1441,GameComplete,False,False
NA1_5252957075,1918,GameComplete,True,False
NA1_5252931023,2003,GameComplete,False,False
NA1_5252914521,1068,GameComplete,True,False
NA1_5251552253,1754,GameComplete,False,False
NA1_5251519629,2215,GameComplete,False,False
NA1_5251498671,1515,GameComplete,True,False
NA1_5251470569,2130,GameComplete,False,False
NA1_5250012019,911,GameComplete,True,False
NA1_5249987378,1587,GameComplete,True,False
NA1_5249966275,1236,GameComplete,True,False
NA1_5249957581,113,GameComplete,False,True
NA1_5240422492,1817,GameComplete,False,False
NA1_5221295318,3231,GameComplete,False,False
NA1_5221250990,2318,GameComplete,False,False
NA1_5221227036,1090,GameComplete,True,False
NA1_5219618220,1687,GameComplete,False,False
NA1_5219573362,2301,GameComplete,False,False
NA1_5219546490,1724,GameComplete,False,False
NA1_5219460913,1953,GameComplete,True,False
NA1_5214538781,1156,GameComplete,True,False
NA1_5214513095,1442,GameComplete,False,False
NA1_5214478435,1871,GameComplete,False,False
NA1_5205250061,1568,GameComplete,False,False
NA1_5205228930,1499,GameComplete,True,False
NA1_5205206262,1769,GameComplete,False,False
NA1_5200357850,1925,GameComplete,False,False
NA1_5200312052,2654,GameComplete,False,False
NA1_5197786953,1686,GameComplete,False,False
NA1_5197108585,1787,GameComplete,True,False
NA1_5197010676,2440,GameComplete,False,False
NA1_5196971819,2068,GameComplete,False,False
NA1_5196949847,931,GameComplete,True,False
NA1_5195804410,277,GameComplete,True,False
NA1_5195544483,1737,GameComplete,False,False
NA1_5195508966,1875,GameComplete,False,False
NA1_5195057368,2156,GameComplete,False,False
NA1_5194200978,1696,GameComplete,True,False
NA1_5194182383,2189,GameComplete,False,False
NA1_5193343029,2015,GameComplete,False,False
NA1_5193313629,3062,GameComplete,False,False
NA1_5191709740,2429,GameComplete,False,False
NA1_5191393421,1851,GameComplete,False,False
NA1_5190974211,2017,GameComplete,False,False
NA1_5190969007,1610,GameComplete,False,False
NA1_5190643810,2070,GameComplete,False,False
NA1_5190216184,1901,GameComplete,False,False
NA1_5190212783,1265,GameComplete,True,False
NA1_5190201411,1912,GameComplete,False,False
NA1_5190114075,2592,GameComplete,False,False
NA1_5190095331,565,GameComplete,True,False
NA1_5190065157,1805,GameComplete,False,False
NA1_5190027074,1950,GameComplete,False,False
NA1_5188292340,974,GameComplete,True,False
NA1_5188248387,2247,GameComplete,False,False
NA1_5182904879,2050,GameComplete,False,False
NA1_5181988546,2146,GameComplete,False,False
NA1_5181967718,931,GameComplete,True,False
NA1_5181865112,3057,GameComplete,False,False
NA1_5181300260,2121,GameComplete,False,False
NA1_5181259511,1710,GameComplete,False,False
NA1_5181221258,1993,GameComplete,False,False
NA1_5178269537,1778,GameComplete,False,False
NA1_5176444524,988,GameComplete,True,False
NA1_5176428016,970,GameComplete,True,False
NA1_5176388128,1829,GameComplete,False,False
NA1_5176342321,2306,GameComplete,False,False
NA1_5163140092,2741,GameComplete,False,False
NA1_5163101833,1720,GameComplete,False,False
NA1_5143328236,1331,GameComplete,True,False
NA1_5139309207,2041,GameComplete,True,False
NA1_5138619454,1302,GameComplete,True,False
NA1_5138602350,2308,GameComplete,False,False
NA1_5138148211,1655,GameComplete,True,False
NA1_5137358537,1727,GameComplete,False,False
NA1_5137333152,2011,GameComplete,False,False
NA1_5137316129,1448,GameComplete,True,False
NA1_5137285614,1878,GameComplete,False,False
NA1_5137272887,1729,GameComplete,False,False
NA1_5137248667,1562,GameComplete,True,False
NA1_5137228827,2111,GameComplete,False,False
NA1_5137217790,1230,GameComplete,True,False
NA1_5137211138,104,GameComplete,False,True
NA1_5137195582,1232,GameComplete,False,False
NA1_5137189816,1850,GameComplete,False,False
NA1_5137087446,1522,GameComplete,False,False
NA1_5137078886,1571,GameComplete,False,False
NA1_5137067750,972,GameComplete,True,False
NA1_5137046455,951,GameComplete,True,False
NA1_5131328361,2014,GameComplete,False,False
NA1_5131311807,1273,GameComplete,False,False
NA1_5131287193,1870,GameComplete,False,False
NA1_5130015542,2258,GameComplete,False,False
NA1_5129084223,1870,GameComplete,False,False
NA1_5129066942,1293,GameComplete,True,False
NA1_5129024676,1780,GameComplete,True,False
NA1_5233249438,1874,GameComplete,False,False
NA1_5233225731,1922,GameComplete,False,False
NA1_5233211011,2177,GameComplete,False,False
NA1_5233172001,2391,GameComplete,True,False
NA1_5233162711,858,GameComplete,True,False
NA1_5215942788,1793,GameComplete,False,False
NA1_5109696104,1672,GameComplete,False,False
NA1_5109685900,1793,GameComplete,False,False
NA1_5109675851,1330,GameComplete,True,False
NA1_5108963987,1584,GameComplete,False,False
NA1_5108949009,1898,GameComplete,False,False
NA1_5088219155,1319,GameComplete,False,False
NA1_5249609040,1731,GameComplete,False,False
NA1_5249601461,920,GameComplete,True,False
NA1_5249593261,1737,GameComplete,False,False
NA1_5249576376,2961,GameComplete,False,False
NA1_5249562715,1556,GameComplete,False,False
NA1_5249493047,2267,GameComplete,False,False
NA1_5249465749,2106,GameComplete,True,False
NA1_5248891019,1928,GameComplete,False,False
NA1_5248853677,2419,GameComplete,False,False
NA1_5248824176,2186,GameComplete,True,False
NA1_5248409770,2640,GameComplete,False,False
NA1_5247049810,1993,GameComplete,True,False
NA1_5247030080,1184,GameComplete,False,False
NA1_5245496299,1604,GameComplete,True,False
NA1_5245481265,2335,GameComplete,False,False
NA1_5245464898,2151,GameComplete,False,False
NA1_5245444229,1712,GameComplete,False,False
NA1_5245383525,1766,GameComplete,True,False
NA1_5245365432,949,GameComplete,True,False
NA1_5232584856,1624,GameComplete,False,False
NA1_5232561228,2175,GameComplete,True,False
NA1_5232346421,1907,GameComplete,False,False
NA1_5232335155,1625,GameComplete,True,False
NA1_5232321336,1708,GameComplete,False,False
NA1_5232301423,2028,GameComplete,False,False
NA1_5232282718,1733,GameComplete,False,False
NA1_5232258623,1908,GameComplete,False,False
