matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5205076383,1349,GameComplete,False,False
NA1_5205031601,1811,GameComplete,True,False
NA1_5220599300,976,GameComplete,True,False
NA1_5220523056,2008,GameComplete,True,False
NA1_5220498853,1362,GameComplete,False,False
NA1_5220475266,1223,GameComplete,False,False
NA1_5220381573,1668,GameComplete,True,False
NA1_5220360713,1315,GameComplete,True,False
NA1_5220338180,1668,GameComplete,True,False
NA1_5219952427,1678,GameComplete,False,False
NA1_5219944783,2056,GameComplete,False,False
NA1_5219931636,1736,GameComplete,True,False
NA1_5219925127,1348,GameComplete,True,False
NA1_5219914222,1317,GameComplete,False,False
NA1_5219910728,107,GameComplete,False,True
NA1_5219907874,614,GameComplete,True,False
NA1_5219895858,1337,GameComplete,True,False
NA1_5219876078,1796,GameComplete,False,False
NA1_5217125790,1744,GameComplete,False,False
NA1_5217078814,1948,GameComplete,False,False
NA1_5215542850,1716,GameComplete,False,False
NA1_5215526544,1623,GameComplete,False,False
NA1_5215506803,1362,GameComplete,False,False
NA1_5215496107,1349,GameComplete,False,False
NA1_5215488144,1220,GameComplete,False,False
NA1_5215469315,1627,GameComplete,False,False
NA1_5215454966,1335,GameComplete,False,False
NA1_5215439996,1137,GameComplete,True,False
NA1_5215422027,1341,GameComplete,True,False
NA1_5215388971,2099,GameComplete,True,False
NA1_5215287093,734,GameComplete,True,False
NA1_5215248420,1749,GameComplete,False,False
NA1_5215097747,972,GameComplete,True,False
NA1_5215074954,1260,GameComplete,True,False
NA1_5214677449,1297,GameComplete,False,False
NA1_5214670807,2335,GameComplete,False,False
NA1_5214617696,964,GameComplete,True,False
NA1_5214609694,1293,GameComplete,False,False
NA1_5214599358,1592,GameComplete,False,False
NA1_5214590933,1106,GameComplete,True,False
NA1_5214580515,1094,GameComplete,True,False
NA1_5213812089,1642,GameComplete,False,False
NA1_5213804239,1461,GameComplete,False,False
NA1_5213796409,1721,GameComplete,True,False
NA1_5213790315,1473,GameComplete,False,False
