matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5205076383,LlV_hfBuvws854hu_32yK_XNcHtETzIc6mxpBD4NOBgZG8uqXX12gC1TlCjfrackNd1wWUqwEA6ekg,100,18,SOLO,TOP,2,3,2,45,False,False,104,1349,704,UNRANKED,UNRANKED,5,26018
NA1_5205076383,xDIPKgLOhWROqwQGBFlqdOaQ_-Hb726R59Lj3LRbdaf6Ro88YptuE4EeWaQBsk6WEPGsyPNaR_OVpQ,100,19,NONE,JUNGLE,2,12,6,11,False,False,319,1349,244,UNRANKED,UNRANKED,1,1421
NA1_5205076383,m8wA8EICjGGyZ4C4vHLJ9LeFAApnnxdn3P6Xs4YQQSBbg05z_4WCZ6Xjny--W0LL1Md1h1a4pNs8Tg,100,759,SOLO,MIDDLE,5,6,1,28,False,False,155,1349,312,SILVER,III,7,43454
NA1_5205076383,CF0vcu0-v_7lX0G9TbiRupyg5goeb_1HnLBE-kJEkQqgh2Rum3Gi8HN6Sd7Q8Krjqa4mqchT5vr6qA,100,805,CARRY,BOTTOM,3,7,5,901,False,False,178,1349,255,UNRANKED,UNRANKED,6,37685
NA1_5205076383,VM8i5_pEI-EVq5yMFW9JjTiPFN652VRKAhpojVumvcDOHt9dkfYTGipBsHWQv79xfMAXYuqjZVXf9w,100,447,SUPPORT,UTILITY,5,8,4,50,False,False,219,1349,418,PLATINUM,IV,13,117239
NA1_5205076383,j6JC09bNtBqutQ4Cqvr5mC_s5_mKIDd7eiJygoqPwyrhRXtobFfLYMHRjdqGhf2CR-UojzETOiOkJw,200,348,SUPPORT,TOP,4,4,5,799,True,False,63,1349,533,IRON,II,2,4913
NA1_5205076383,7gMV7EYdl8s9OP8L7RhW3uimoEFZqX_XhzSbGbeJjjBg97BNVrduQNj2RH4Fk2G1hz-cJyL-i5tupA,200,56,NONE,JUNGLE,6,0,6,104,True,False,0,1349,1345,UNRANKED,UNRANKED,4,17628
NA1_5205076383,bnXMw-G5B_qlfBye-wxPeUyWVj5vmNlNSbVIRcTma6GA9S3Wd9d31C21_lumYIqSyUw6GgnOScFyFA,200,521,CARRY,MIDDLE,11,10,6,39,True,False,282,1349,329,UNRANKED,UNRANKED,17,157825
NA1_5205076383,4eN-MwsSpCNlAhOJvw0FA17i2MYk97G-ZIZ7pvoD2zVvvDfWwmDgdi29oEl21q2cFWzwqisI_lZjCg,200,488,CARRY,BOTTOM,8,2,9,63,True,False,39,1349,333,GOLD,II,10,80517
NA1_5205076383,AzTpeGmvSR7ixNyzvwYo1okCJu6iik_bmkIogHMWYi473dXqfoIzbsJOeoYv_NVI3Pq8SbWaIcfSPA,200,45,SUPPORT,UTILITY,7,2,14,99,True,False,50,1349,567,UNRANKED,UNRANKED,7,46705
NA1_5205031601,G7FuTIvYD8qwncv4jnYVKZCcRA3rtiKSVlP4KHDdxpiP2pzizMvuZtyuSAyFEgt_e7cURxJo6XwpzA,100,92,CARRY,TOP,13,4,8,223,False,False,143,1811,469,GOLD,III,7,50717
NA1_5205031601,IGvx1N6dMB4R2yuJkAoqjTwLjAkHf-9bxNbAASuZZzur5UGLNH2282a_Z4dgMPuRobK60UcREQRu_Q,100,14,SUPPORT,JUNGLE,10,10,8,121,False,False,367,1811,383,UNRANKED,UNRANKED,2,5485
NA1_5205031601,FCg6k0FN1-newmaIKF7WotgVpzE5SrUX1pll94Gl967Pdhzwk79fXjPwyUVKM8-4jaeMDksRPop_9Q,100,32,SOLO,MIDDLE,2,10,4,45,False,False,391,1811,253,UNRANKED,UNRANKED,10,98112
NA1_5205031601,s_J-6lONmk4IvoME8urhkhA6B83dsba9-XRsCpqKrAzooGqt58ZIJzi37l25bwpjHRVyKFkOGTi_dg,100,347,CARRY,BOTTOM,10,7,11,236,False,False,333,1811,481,UNRANKED,UNRANKED,6,33514
NA1_5205031601,AXe8SjLy5Q23Cc3HdEmNkB92oxc_dYvMV-EZThYz7GZA9gNimc3KZe894AoJhn0TNBIqFzCrmN_9Xw,100,30,SUPPORT,UTILITY,9,7,17,99,False,False,289,1811,337,SILVER,IV,2,2045
NA1_5205031601,j6JC09bNtBqutQ4Cqvr5mC_s5_mKIDd7eiJygoqPwyrhRXtobFfLYMHRjdqGhf2CR-UojzETOiOkJw,200,347,SUPPORT,TOP,6,7,1,122,True,False,227,1811,438,IRON,II,6,36299
NA1_5205031601,udRNETE5tMEHssMfxJelM-rhiYl14bmIPcppILIFeGauXzkwlWHuaIy41Vrz9QjQaGxfGqjHn6AeNg,200,54,SUPPORT,JUNGLE,13,10,9,30,True,False,445,1811,298,GOLD,III,3,6767
NA1_5205031601,qmFIwaqUabjPjxUfuJIdJVOZttLBiQS4cOtWZ6Y7wjZ509wAucOZ4FeULVTWpKxgCXV1GOQaqpZT8A,200,30,DUO,MIDDLE,15,8,6,62,True,False,377,1811,366,GOLD,I,5,28704
NA1_5205031601,LudjaZqjxfPuJPLMeCH3vvsu3QEzSXhkUMr_6i3RNvUoucsLsrE4MvUZgrSHWpfNNpQdD6YqnUcTGg,200,252,CARRY,BOTTOM,3,9,14,910,True,False,340,1811,301,BRONZE,III,3,7194
NA1_5205031601,6kxdS_mCx5xwHONhQIxFDhqbYoWmR2QQopqqekDDXA2_VBFVcHdD4cQJX7QGc_2oN8ctffNgJrrBGA,200,133,SUPPORT,UTILITY,1,10,8,99,True,False,371,1811,281,SILVER,II,3,12352
NA1_5220599300,JL9a4zIHLsWIFqChQQeBEwFW-6FFem4-pRKI-wEDQ27rj9qRrse-OvldVCmU9knaUmLwb7aM3T6zzw,100,409,SUPPORT,TOP,3,3,0,45,False,False,69,976,383,UNRANKED,UNRANKED,61,897877
NA1_5220599300,LlV_hfBuvws854hu_32yK_XNcHtETzIc6mxpBD4NOBgZG8uqXX12gC1TlCjfrackNd1wWUqwEA6ekg,100,25,SUPPORT,JUNGLE,0,2,0,11,False,False,57,976,704,UNRANKED,UNRANKED,7,50162
NA1_5220599300,n0yK8SLiyp_TRb0WjJ7Q32e1P3xgVHxSlMU22HYxKbI1UqflT8z2R5SE6gY9MQm0-0Nqk4N6SVoGEw,100,521,SUPPORT,MIDDLE,2,1,0,7,False,False,36,976,793,GOLD,III,11,87182
NA1_5220599300,YoGfWOs7OCl2I6GWRU62JVpny0I756-JM_AfPzhSDJBszMDwhRPF66kdza8mINrPz3If3-BtZ_uNvw,100,235,SUPPORT,BOTTOM,2,4,1,67,False,False,63,976,464,SILVER,III,7,48947
NA1_5220599300,lHWYxc24c13irR4fNgP9ztBov9a2LPovJY_TkluRGWLgDv6qP7zcVj9tPGPzrlQkpq1ez60qmx8nxg,100,280,SUPPORT,UTILITY,1,2,2,50,False,False,48,976,608,SILVER,IV,30,296287
NA1_5220599300,eWcWWW3oAgMfneCC0g40vB1wAXz2qjORYwvieNoxcU0EbYCxexo_QQvCg97nXDBV9wZdNMdTEa0hYg,200,21,SUPPORT,TOP,1,2,1,122,True,False,32,976,377,UNRANKED,UNRANKED,8,58168
