puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
xtwsHa6hjREV4UzOv89SW5j7W-_LsmajcigVf5EJA6AAPDYM9HM3ug8y-4Op6cwVq8UkhupY0om1-g,388,IRON,III,1,4,2,0.25,0.5,0.5,0.75,0.0,561,523,786,1.0726577437858509,1.502868068833652,1.8240917782026769,2.575525812619503,0.8181818181818182
GUASObSw9-3lBktYc1oV3RIzA_9_xd_JBEjK7qB6grMIAUcuS77vDJuHOb_7xENMIdP85ICwwlB0lQ,81,SILVER,IV,559,551,502,1.014519056261343,0.911070780399274,1.47005444646098,1.925589836660617,1.069767441860465,1103,687,802,1.6055312954876273,1.1673944687045124,2.1892285298398835,2.7729257641921397,1.2222222222222223
GbIZxTWQozHpk-6kGrbU-4ZhHJALJzNFKIq-VONkiwmuIyi5wRz22VP37KPHtjSMuAm4X_OLsPH7ww,4,UNRANKED,UNRANKED,139,388,200,0.3582474226804124,0.5154639175257731,0.615979381443299,0.8737113402061856,0.5581395348837209,,,,,,,,
AKNkpdSNCV1BfPQiVvjXxJ5AK4i7ByOrIFzP6x49PzXf_ZFmWakUyedsJIoRBNEiU04h5aJpLyWMSg,108,BRONZE,II,443,473,765,0.9365750528541226,1.6173361522198733,1.745243128964059,2.553911205073996,1.380952380952381,433,636,1202,0.6808176100628931,1.889937106918239,1.6257861635220126,2.5707547169811322,1.564102564102564
DW12OoklzNg85qbvv9zURs6FqG3ivRjbpTOKR628zNIyy6MBMqmiakQeqNdElK-QOI5P_mwlRnJGhg,14,UNRANKED,UNRANKED,92,126,126,0.7301587301587301,1.0,1.2301587301587302,1.7301587301587302,1.0,,,,,,,,
viX24pfuspiwFRW_Iz-MzhW0ASouEjRkBDIt4628QXdx8jG529t4LkPcRMkJM4EJ1bmB-ohmqbKWSw,87,IRON,I,183,157,158,1.1656050955414012,1.0063694267515924,1.6687898089171975,2.171974522292994,1.0909090909090908,753,718,671,1.0487465181058495,0.9345403899721448,1.516016713091922,1.9832869080779945,1.0
NQDTXmyPcLsla1-cryRvkZghB-o898bM6dyE5iVE-RmykZ1RbbRi59BcCZAzffR2HVQFKWkTZnuvBg,310,IRON,I,334,182,242,1.835164835164835,1.3296703296703296,2.5,3.1648351648351647,0.95,730,715,623,1.020979020979021,0.8713286713286713,1.4566433566433565,1.8923076923076922,0.8181818181818182
wosGIfLCY0yUkKQJThYWDn9bilb9Y7H9QRqBj2KwnyTKuoEbti0HHcofIzWeRYKliOVmsE3nKMXYxw,7,UNRANKED,UNRANKED,44,86,48,0.5116279069767442,0.5581395348837209,0.7906976744186046,1.069767441860465,0.375,,,,,,,,
3BNrmFuIliKC41MEnOnypQnKzyX7qj90GMijhN9xMz0afUOti81lXGATR7jDyq917DNsGb5WCYpLjQ,167,SILVER,IV,193,166,336,1.1626506024096386,2.0240963855421685,2.174698795180723,3.1867469879518073,1.0588235294117647,539,522,577,1.0325670498084292,1.1053639846743295,1.5852490421455938,2.1379310344827585,1.173913043478261
zjB4tvgYqLrlnbKZAbuaGWRrNHtI9B6qIUOpRNWDVnw-3uZ-xXT57q91PV0Cz_GS-p897YIwnwI6Jg,424,UNRANKED,UNRANKED,166,110,97,1.509090909090909,0.8818181818181818,1.95,2.390909090909091,1.0,406,346,305,1.1734104046242775,0.8815028901734104,1.6141618497109826,2.054913294797688,1.0714285714285714
m3K-Eeiu2Zr3LMvIoaQcamcc9xN0TMBJqUWBE4BzLVPRmzN-oZn3sT3St0IXl4sEQLYlrtlSWW_vUA,84,UNRANKED,UNRANKED,84,76,118,1.105263157894737,1.5526315789473684,1.881578947368421,2.6578947368421053,0.9,18,51,50,0.35294117647058826,0.9803921568627451,0.8431372549019608,1.3333333333333333,1.3333333333333333
ONGvkANxWjAB6nmgKImBjol4X-smCkMK5hbD-86A44w98gDm3lr3PGDTd_gpjf7sRd6bxF_AX9ND7w,414,UNRANKED,UNRANKED,96,70,97,1.3714285714285714,1.3857142857142857,2.0642857142857145,2.757142857142857,1.0,395,295,293,1.3389830508474576,0.9932203389830508,1.835593220338983,2.3322033898305086,0.7096774193548387
SJIizlZuARpRRMizE7RLTxRHVjut8bxLus-wpMSpfiWWKI3YB5q_vsIASE0xL-cssV3CfgB4ufFQxg,149,UNRANKED,UNRANKED,118,108,262,1.0925925925925926,2.425925925925926,2.3055555555555554,3.5185185185185186,1.8,70,150,408,0.4666666666666667,2.72,1.8266666666666667,3.1866666666666665,1.4545454545454546
