matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5225150438,2115,GameComplete,False,False
NA1_5225131686,1764,GameComplete,False,False
NA1_5225090234,2876,GameComplete,False,False
NA1_5225077054,1573,GameComplete,False,False
NA1_5224378757,1704,GameComplete,False,False
NA1_5213942320,1810,GameComplete,False,False
NA1_5211365666,2401,GameComplete,False,False
NA1_5208973545,1178,GameComplete,True,False
NA1_5208764323,1514,GameComplete,True,False
NA1_5207613806,2178,GameComplete,False,False
NA1_5202322570,3132,GameComplete,False,False
NA1_5190330188,2100,GameComplete,False,False
NA1_5188173092,2831,GameComplete,True,False
NA1_5188153151,1062,GameComplete,True,False
NA1_5186439268,2051,GameComplete,False,False
NA1_5184844732,1738,GameComplete,False,False
NA1_5184034023,2289,GameComplete,True,False
NA1_5182682844,1726,GameComplete,False,False
NA1_5180934290,2994,GameComplete,False,False
NA1_5180811985,2269,GameComplete,False,False
NA1_5180252511,1763,GameComplete,False,False
NA1_5178473472,1747,GameComplete,False,False
NA1_5178408102,3262,GameComplete,False,False
NA1_5176841524,1089,GameComplete,True,False
NA1_5168174030,2049,GameComplete,False,False
NA1_5168164898,113,GameComplete,False,True
NA1_5147255283,1285,GameComplete,True,False
NA1_5136802304,1250,GameComplete,True,False
NA1_5136686505,1482,GameComplete,True,False
NA1_5135427664,2104,GameComplete,False,False
NA1_5135403786,1986,GameComplete,False,False
NA1_5135112081,1108,GameComplete,True,False
NA1_5134178732,1873,GameComplete,False,False
NA1_5133902067,2397,GameComplete,False,False
NA1_5133540512,1479,GameComplete,False,False
NA1_5133212245,2000,GameComplete,False,False
NA1_5132219734,1742,GameComplete,False,False
NA1_5132131816,1918,GameComplete,False,False
NA1_5131432005,1383,GameComplete,False,False
NA1_5131142682,2378,GameComplete,False,False
NA1_5130661778,1931,GameComplete,False,False
NA1_5130512144,2250,GameComplete,False,False
NA1_5129540489,2404,GameComplete,True,False
NA1_5129498063,2330,GameComplete,True,False
NA1_5128889420,2439,GameComplete,False,False
NA1_5128785815,1902,GameComplete,True,False
NA1_5128655417,1962,GameComplete,False,False
NA1_5128290245,1901,GameComplete,False,False
NA1_5127917968,2428,GameComplete,False,False
NA1_5127907224,974,GameComplete,True,False
NA1_5127289138,2518,GameComplete,False,False
NA1_5127272068,1321,GameComplete,True,False
NA1_5127251900,2286,GameComplete,False,False
NA1_5127180545,1991,GameComplete,False,False
NA1_5126922542,2035,GameComplete,True,False
NA1_5126894662,1364,GameComplete,True,False
NA1_5126624082,1479,GameComplete,True,False
NA1_5126577910,1980,GameComplete,False,False
NA1_5126555701,1761,GameComplete,True,False
NA1_5126532664,1383,GameComplete,True,False
NA1_5126488595,1930,GameComplete,True,False
NA1_5126145266,2412,GameComplete,False,False
NA1_5126056423,2266,GameComplete,False,False
NA1_5125223945,2103,GameComplete,False,False
NA1_5124611514,2473,GameComplete,False,False
NA1_5124247906,2209,GameComplete,False,False
NA1_5123961802,1983,GameComplete,False,False
NA1_5123562171,2047,GameComplete,False,False
NA1_5123275454,1985,GameComplete,False,False
NA1_5122899428,987,GameComplete,True,False
NA1_5122656771,2017,GameComplete,False,False
NA1_5122206001,1583,GameComplete,False,False
NA1_5122169504,1686,GameComplete,False,False
NA1_5121825332,1630,GameComplete,False,False
NA1_5121418140,2797,GameComplete,False,False
NA1_5121381604,1394,GameComplete,True,False
NA1_5121349432,1799,GameComplete,False,False
NA1_5120069282,2074,GameComplete,False,False
NA1_5120040903,1776,GameComplete,False,False
NA1_5119353796,2263,GameComplete,False,False
NA1_5118644312,2312,GameComplete,False,False
NA1_5118394829,1392,GameComplete,False,False
NA1_5118335377,2274,GameComplete,False,False
NA1_5118217185,1723,GameComplete,False,False
NA1_5117904686,1392,GameComplete,False,False
NA1_5117071717,2008,GameComplete,False,False
NA1_5116756817,2270,GameComplete,False,False
NA1_5116075559,1776,GameComplete,False,False
NA1_5115567043,2659,GameComplete,False,False
NA1_5114584249,1715,GameComplete,False,False
NA1_5114039744,2379,GameComplete,False,False
NA1_5113290478,1312,GameComplete,False,False
NA1_5113039865,1779,GameComplete,False,False
NA1_5113009865,2122,GameComplete,False,False
NA1_5112133057,2196,GameComplete,False,False
NA1_5112040472,2297,GameComplete,False,False
NA1_5112030652,918,GameComplete,True,False
NA1_5112016724,1735,GameComplete,False,False
NA1_5112005572,2000,GameComplete,True,False
NA1_5111325572,969,GameComplete,True,False
NA1_5254918473,2242,GameComplete,False,False
NA1_5253881946,1159,GameComplete,True,False
NA1_5253577266,2126,GameComplete,False,False
NA1_5251839389,149,GameComplete,False,True
NA1_5251833673,1691,GameComplete,False,False
NA1_5251827616,2048,GameComplete,False,False
NA1_5251823611,1080,GameComplete,True,False
NA1_5249558758,2226,GameComplete,False,False
NA1_5249550837,106,GameComplete,False,True
NA1_5249528601,1366,GameComplete,True,False
NA1_5249477500,1723,GameComplete,True,False
NA1_5249452599,1740,GameComplete,False,False
NA1_5249433028,1516,GameComplete,False,False
NA1_5248639724,2169,GameComplete,False,False
NA1_5248607143,2350,GameComplete,False,False
NA1_5248581228,1868,GameComplete,False,False
NA1_5248560137,1645,GameComplete,False,False
NA1_5247577877,2136,GameComplete,False,False
NA1_5247546552,1490,GameComplete,True,False
NA1_5247521609,1473,GameComplete,False,False
NA1_5247492171,2373,GameComplete,False,False
NA1_5247461547,1899,GameComplete,False,False
NA1_5247419405,1590,GameComplete,True,False
NA1_5247402585,1618,GameComplete,True,False
NA1_5247389239,1211,GameComplete,True,False
NA1_5246852583,1622,GameComplete,True,False
NA1_5246830562,2386,GameComplete,True,False
NA1_5246812395,1338,GameComplete,False,False
NA1_5246390750,1730,GameComplete,False,False
NA1_5246361061,1654,GameComplete,False,False
NA1_5246341781,1302,GameComplete,True,False
NA1_5245893675,1801,GameComplete,False,False
NA1_5245861916,2414,GameComplete,False,False
NA1_5245836929,1781,GameComplete,True,False
NA1_5245813136,1472,GameComplete,False,False
NA1_5245790949,1719,GameComplete,False,False
NA1_5245157649,1199,GameComplete,True,False
NA1_5244650227,1751,GameComplete,False,False
NA1_5244618025,2055,GameComplete,False,False
NA1_5241627556,1732,GameComplete,False,False
NA1_5241576480,1899,GameComplete,False,False
NA1_5241154188,2455,GameComplete,False,False
NA1_5241108207,1647,GameComplete,True,False
NA1_5241080202,2032,GameComplete,False,False
NA1_5239943639,1782,GameComplete,True,False
NA1_5239924361,1197,GameComplete,True,False
NA1_5237415418,1387,GameComplete,True,False
NA1_5237381436,1786,GameComplete,False,False
NA1_5235603104,1693,GameComplete,True,False
NA1_5235280835,3050,GameComplete,False,False
NA1_5235258096,1717,GameComplete,True,False
NA1_5235240114,1775,GameComplete,False,False
NA1_5234744046,1189,GameComplete,True,False
NA1_5234707094,1875,GameComplete,True,False
NA1_5234683791,1926,GameComplete,False,False
NA1_5234661033,1397,GameComplete,True,False
NA1_5233475754,2412,GameComplete,False,False
NA1_5233438599,1889,GameComplete,False,False
NA1_5232803476,1987,GameComplete,False,False
NA1_5232762708,2049,GameComplete,True,False
NA1_5232729635,1765,GameComplete,False,False
NA1_5231761815,2211,GameComplete,False,False
NA1_5231555470,1699,GameComplete,False,False
NA1_5231544287,1532,GameComplete,False,False
NA1_5230963774,2681,GameComplete,False,False
NA1_5230943655,1026,GameComplete,True,False
NA1_5230916588,1194,GameComplete,True,False
NA1_5230895045,1537,GameComplete,True,False
NA1_5230868450,1394,GameComplete,True,False
NA1_5230215978,2343,GameComplete,False,False
NA1_5230193947,1668,GameComplete,False,False
NA1_5229370835,2217,GameComplete,True,False
NA1_5229347342,2215,GameComplete,True,False
NA1_5229162596,3409,GameComplete,False,False
NA1_5229146996,1715,GameComplete,False,False
NA1_5229126576,1706,GameComplete,False,False
NA1_5229104177,1669,GameComplete,True,False
NA1_5229094666,110,GameComplete,False,True
NA1_5228159092,2451,GameComplete,False,False
NA1_5227586879,1715,GameComplete,True,False
NA1_5227555341,1611,GameComplete,False,False
