matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5225150438,cODtaabJYbrseItSebtozCr_kU9s25nnwWmK0UFd-s0rEtj1zL01ZU-oIKnlvr9up7iJ9P7TekY4gQ,100,129,DUO,TOP,15,4,7,517,True,False,179,2115,1011,SILVER,IV,3,6325
NA1_5225150438,P8AiStvII6ubRqffKGxvEANf-nvS1y92SdKAZIKws_DZ3OyOtiv1teD9ml52TPrgQWIKTk19pxsBpw,100,372,NONE,JUNGLE,9,6,10,64,True,False,230,2115,816,BRONZE,III,16,176251
NA1_5225150438,E4YsNqemlYSRdp6DmkBbTK6M_ua8tpEVRt0P4T0WORyQxHwKtNfBPoUHQaIh4GcBFWLnkPfjw-cFrA,100,287,DUO,MIDDLE,3,7,9,24,True,False,206,2115,542,SILVER,III,24,293995
NA1_5225150438,F2-unB67yDG---GhCvVL4ZmUvZDAwTVq7-2EymlfVFYGYHSlORGn_5-b88YVQeVgSQzQNZdcjUgGUQ,100,512,CARRY,BOTTOM,5,6,8,202,True,False,181,2115,701,IRON,II,10,107931
NA1_5225150438,xtwsHa6hjREV4UzOv89SW5j7W-_LsmajcigVf5EJA6AAPDYM9HM3ug8y-4Op6cwVq8UkhupY0om1-g,100,389,SUPPORT,UTILITY,6,4,15,101,True,False,134,2115,775,IRON,III,48,571417
NA1_5225150438,unTOTlvUuBNmJObxUzpRQruh5SxQ2-L3t1S-Eh_ws2pkSPNOgAj-_f8o6Z1WxnuN5YbXCcU-qMbukw,200,433,SOLO,TOP,7,8,3,31,False,False,294,2115,359,IRON,II,2,5105
NA1_5225150438,XVOcTkFyctqxt83pa7lWY8oYIELti-bH5OWgMnV8442_uZ8s-DhYeiV5k6a5Xp-oZnJCicE68Eq4jA,200,145,NONE,JUNGLE,5,7,11,106,False,False,294,2115,544,IRON,II,7,43134
NA1_5225150438,IWngUSi2VHb1btZbF-o-apGwF-G4X2_b4XdkbWeSQo9T575OhdzbNBpAkSKET_0mi567cO66Grc41w,200,181,SOLO,MIDDLE,4,6,10,43,False,False,227,2115,715,BRONZE,III,5,24632
NA1_5225150438,L5f5Q8cUdyV_tclzOxe8Hm_ElDObO6Vrb0owXyWx1bPer4QIhmrAhxViEuR9y8ki-5_acNSNfmM_UA,200,243,CARRY,BOTTOM,11,6,3,21,False,False,202,2115,726,BRONZE,II,12,104204
NA1_5225150438,n4Ev8fLBclZJwdMt_zfp6XZo0lGvgq0qsBytEJ_TiB6nQRTq-STOZa7CG-lLkNDFvFvr-Of1wWF0Zg,200,127,SUPPORT,UTILITY,0,11,15,16,False,False,344,2115,563,BRONZE,IV,3,7476
