matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5206232251,1470,GameComplete,True,False
NA1_5239982553,1003,GameComplete,True,False
NA1_5231181518,1875,GameComplete,False,False
NA1_5231147139,1945,GameComplete,False,False
NA1_5231127581,917,GameComplete,True,False
NA1_5231106152,1552,GameComplete,False,False
NA1_5230381970,1727,GameComplete,False,False
NA1_5230356483,1332,GameComplete,True,False
NA1_5229333776,1559,GameComplete,True,False
NA1_5229318628,1297,GameComplete,True,False
NA1_5228227117,1136,GameComplete,True,False
NA1_5228199300,1626,GameComplete,False,False
NA1_5227733782,1597,GameComplete,False,False
NA1_5227709354,1500,GameComplete,False,False
NA1_5227532529,1324,GameComplete,True,False
NA1_5227526895,359,GameComplete,True,False
NA1_5227500645,1521,GameComplete,False,False
NA1_5227081035,921,GameComplete,True,False
NA1_5226979447,1469,GameComplete,False,False
NA1_5226957966,1224,GameComplete,False,False
NA1_5216037219,1528,GameComplete,True,False
NA1_5216001246,1402,GameComplete,False,False
NA1_5215882792,1820,GameComplete,False,False
NA1_5215841937,1658,GameComplete,True,False
NA1_5215820286,917,GameComplete,True,False
NA1_5215262199,1879,GameComplete,False,False
NA1_5214986749,1724,GameComplete,False,False
NA1_5214953567,1840,GameComplete,False,False
NA1_5214937063,1098,GameComplete,True,False
NA1_5213454751,1919,GameComplete,False,False
NA1_5213403538,2387,GameComplete,False,False
NA1_5212806893,1448,GameComplete,False,False
NA1_5212726597,1364,GameComplete,True,False
NA1_5212709812,1164,GameComplete,False,False
NA1_5212673554,1840,GameComplete,False,False
NA1_5212163261,1403,GameComplete,False,False
NA1_5211421802,1478,GameComplete,True,False
NA1_5211395964,1294,GameComplete,True,False
NA1_5210858979,1391,GameComplete,False,False
NA1_5210574553,1826,GameComplete,False,False
NA1_5210548592,1642,GameComplete,True,False
NA1_5209291433,1432,GameComplete,False,False
NA1_5209274695,1615,GameComplete,False,False
NA1_5209259652,1324,GameComplete,True,False
NA1_5209236336,2304,GameComplete,True,False
NA1_5209218958,1252,GameComplete,True,False
NA1_5209188408,1994,GameComplete,False,False
NA1_5209169071,1199,GameComplete,False,False
NA1_5209144732,1139,GameComplete,False,False
NA1_5209122511,1261,GameComplete,False,False
NA1_5209098624,1371,GameComplete,True,False
NA1_5209032136,1664,GameComplete,False,False
NA1_5209016320,924,GameComplete,True,False
NA1_5207660781,1407,GameComplete,False,False
NA1_5206928773,2457,GameComplete,False,False
NA1_5206919696,124,GameComplete,False,True
NA1_5206907647,107,GameComplete,False,True
NA1_5206872137,2346,GameComplete,False,False
NA1_5206862637,431,GameComplete,True,False
NA1_5206836303,2003,GameComplete,False,False
NA1_5206823841,1190,GameComplete,False,False
NA1_5206394164,1352,GameComplete,False,False
NA1_5206385713,109,GameComplete,False,True
NA1_5206349279,938,GameComplete,True,False
NA1_5206325176,1241,GameComplete,True,False
NA1_5206287291,1648,GameComplete,False,False
NA1_5206265760,1372,GameComplete,False,False
NA1_5206212138,986,GameComplete,True,False
NA1_5206179575,1348,GameComplete,False,False
NA1_5206167614,109,GameComplete,False,True
NA1_5204750803,1543,GameComplete,False,False
NA1_5204716465,1751,GameComplete,False,False
NA1_5204696091,1220,GameComplete,True,False
NA1_5204653661,2120,GameComplete,False,False
NA1_5204614481,2338,GameComplete,False,False
NA1_5204267757,1409,GameComplete,False,False
NA1_5204258475,1671,GameComplete,False,False
NA1_5204254449,1309,GameComplete,False,False
NA1_5204251769,1289,GameComplete,False,False
NA1_5204244416,1984,GameComplete,False,False
NA1_5204238987,2429,GameComplete,False,False
NA1_5204227362,2971,GameComplete,False,False
NA1_5204221267,1263,GameComplete,False,False
NA1_5204216027,1404,GameComplete,False,False
NA1_5204047995,1297,GameComplete,False,False
NA1_5204024267,1275,GameComplete,False,False
