matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5206232251,GUASObSw9-3lBktYc1oV3RIzA_9_xd_JBEjK7qB6grMIAUcuS77vDJuHOb_7xENMIdP85ICwwlB0lQ,100,47,SOLO,TOP,8,11,4,39,False,False,393,1470,319,SILVER,IV,6,38561
NA1_5206232251,e4TSuzZYoemkmqRlu8tHbc7AbvmuhyJmVc5zmBBeAQrARqEyiO5Gndxdmdph0cVkAafPl2uX3QUTsg,100,28,NONE,JUNGLE,3,7,1,32,False,False,196,1470,524,IRON,III,10,78408
NA1_5206232251,xtwsHa6hjREV4UzOv89SW5j7W-_LsmajcigVf5EJA6AAPDYM9HM3ug8y-4Op6cwVq8UkhupY0om1-g,100,388,SOLO,MIDDLE,1,4,2,101,False,False,174,1470,758,IRON,III,48,571417
NA1_5206232251,GbIZxTWQozHpk-6kGrbU-4ZhHJALJzNFKIq-VONkiwmuIyi5wRz22VP37KPHtjSMuAm4X_OLsPH7ww,100,9,CARRY,BOTTOM,0,5,1,222,False,False,133,1470,556,UNRANKED,UNRANKED,6,39855
NA1_5206232251,AKNkpdSNCV1BfPQiVvjXxJ5AK4i7ByOrIFzP6x49PzXf_ZFmWakUyedsJIoRBNEiU04h5aJpLyWMSg,100,52,SUPPORT,UTILITY,3,6,0,25,False,False,177,1470,713,BRONZE,II,22,211093
NA1_5206232251,DW12OoklzNg85qbvv9zURs6FqG3ivRjbpTOKR628zNIyy6MBMqmiakQeqNdElK-QOI5P_mwlRnJGhg,200,16,SOLO,TOP,3,9,6,82,True,False,225,1470,165,UNRANKED,UNRANKED,6,35059
NA1_5206232251,viX24pfuspiwFRW_Iz-MzhW0ASouEjRkBDIt4628QXdx8jG529t4LkPcRMkJM4EJ1bmB-ohmqbKWSw,200,70,SUPPORT,JUNGLE,13,1,6,234,True,False,36,1470,824,IRON,I,13,119314
NA1_5206232251,NQDTXmyPcLsla1-cryRvkZghB-o898bM6dyE5iVE-RmykZ1RbbRi59BcCZAzffR2HVQFKWkTZnuvBg,200,296,CARRY,MIDDLE,3,2,6,90,True,False,58,1470,498,BRONZE,IV,5,26748
NA1_5206232251,wosGIfLCY0yUkKQJThYWDn9bilb9Y7H9QRqBj2KwnyTKuoEbti0HHcofIzWeRYKliOVmsE3nKMXYxw,200,11,CARRY,BOTTOM,5,2,2,51,True,False,81,1470,919,UNRANKED,UNRANKED,3,8332
NA1_5206232251,3BNrmFuIliKC41MEnOnypQnKzyX7qj90GMijhN9xMz0afUOti81lXGATR7jDyq917DNsGb5WCYpLjQ,200,147,SUPPORT,UTILITY,9,2,16,98,True,False,24,1470,234,SILVER,IV,5,27240
NA1_5239982553,zjB4tvgYqLrlnbKZAbuaGWRrNHtI9B6qIUOpRNWDVnw-3uZ-xXT57q91PV0Cz_GS-p897YIwnwI6Jg,100,425,DUO,TOP,8,1,0,75,True,False,35,1003,671,UNRANKED,UNRANKED,9,80080
NA1_5239982553,m3K-Eeiu2Zr3LMvIoaQcamcc9xN0TMBJqUWBE4BzLVPRmzN-oZn3sT3St0IXl4sEQLYlrtlSWW_vUA,100,94,SUPPORT,JUNGLE,3,1,3,32,True,False,28,1003,709,UNRANKED,UNRANKED,9,69118
NA1_5239982553,ONGvkANxWjAB6nmgKImBjol4X-smCkMK5hbD-86A44w98gDm3lr3PGDTd_gpjf7sRd6bxF_AX9ND7w,100,415,SUPPORT,MIDDLE,5,0,2,950,True,False,0,1003,0,UNRANKED,UNRANKED,11,92920
NA1_5239982553,SJIizlZuARpRRMizE7RLTxRHVjut8bxLus-wpMSpfiWWKI3YB5q_vsIASE0xL-cssV3CfgB4ufFQxg,100,153,SUPPORT,BOTTOM,1,2,4,147,True,False,40,1003,434,UNRANKED,UNRANKED,3,8137
NA1_5239982553,Ge8RkAx-2tmOns6PU-oxFE767S6M7wGTH8nXprfg8IWQo0mzYoDODQ7pFmYeLCAZOMcRjJN_1v9Jgg,100,742,SUPPORT,UTILITY,3,4,6,25,True,False,81,1003,259,UNRANKED,UNRANKED,101,1281738
NA1_5239982553,IT9-H1IrmvJ6fFsdjU0xIt-EUGFSiJsRNoKLLsmtpmrQXz8noiW8J9CcPVwj9obNIWGSsPedAi4Blw,200,22,SUPPORT,TOP,1,6,0,17,False,False,139,1003,238,UNRANKED,UNRANKED,1,358
NA1_5239982553,GUASObSw9-3lBktYc1oV3RIzA_9_xd_JBEjK7qB6grMIAUcuS77vDJuHOb_7xENMIdP85ICwwlB0lQ,200,81,SUPPORT,JUNGLE,0,6,3,233,False,False,151,1003,376,SILVER,IV,50,522897
NA1_5239982553,FjGopI1UX0-JkRkR7DBA0rzxFGGqy5esdx49EoRNY2c72LMNgVDqCyzRqJk0OZXSL0F8DxKT8QTX7Q,200,23,DUO,MIDDLE,1,1,2,8,False,False,0,1003,984,UNRANKED,UNRANKED,12,102620
NA1_5239982553,N7pzyzArcAAhzahwiEgRRi_-RCj-KfHeUp9vSCbLD4b2JiSDuEQGsec9FDuWy5l-84z5w7ppIfqRFw,200,411,SUPPORT,BOTTOM,6,5,1,64,False,False,136,1003,544,UNRANKED,UNRANKED,30,305894
NA1_5239982553,4OeZ2VYTl9r5y-jU5LFHkRnySI6weytzWcEL6VOy0oHHnY55YUYMiCf6gnWlwyQ3lm6kUgIEdA0gEA,200,45,SUPPORT,UTILITY,0,2,5,117,False,False,66,1003,700,UNRANKED,UNRANKED,3,9248
NA1_5231181518,fhLUIun_FlgpWCPDfheeHphsG9qebuByvZLlm5G6QdVdkMJ_Mu5Th15zqqhhw67WZOWanQxh32gmwA,100,78,SOLO,TOP,5,7,5,887,False,False,227,1875,502,IRON,IV,3,8020
NA1_5231181518,rCAaRKfeqHA_LipD6f81m_24B9CxZ8WMQNaarc4FftiUPjCrFMiqW-G2LchUXZqcgplM5-U2e9Nyzw,100,51,NONE,JUNGLE,16,6,8,35,False,False,257,1875,903,UNRANKED,UNRANKED,13,112173
NA1_5231181518,7fdexkVAL0FSo7-cRrFi-xxbY63wUk6HljUM0hXbDelyYoJ6JmfhXWwTHYHK26UAUPIc1di7YHGPUQ,100,66,SOLO,MIDDLE,4,11,9,517,False,False,376,1875,303,IRON,II,2,5294
