puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
ymmBhK0MvYJ2TALnYYz0aQYosx7BV6iyT-9ATYp7tSJCxyyHaweLFq1Io11lnwEKZnTiTUQkYuOjYg,32,IRON,IV,10,4,0,2.5,0.0,2.5,2.5,0.0,91,91,119,1.0,1.3076923076923077,1.6538461538461537,2.3076923076923075,0.7
9CbZCCbRdOXMG6_FYss-8RTvssZoeoGN5qxknOp3Cx9ddtesp-Rqn-HWs6oB4jCt5dezHbfZ_J7g0Q,11,UNRANKED,UNRANKED,177,549,303,0.3224043715846995,0.5519125683060109,0.5983606557377049,0.8743169398907104,0.6428571428571429,,,,,,,,
1lsJkeke0WswQaSw346YxbWHrTpPz4fD_MBVY268ukPOoqmO2jFjt2xIC5DcWUwO5QHHojzN5RH6zA,11,UNRANKED,UNRANKED,20,147,73,0.1360544217687075,0.4965986394557823,0.3843537414965986,0.6326530612244898,0.6428571428571429,,,,,,,,
UCOn_hvChI0H1AHoJ9WQ8369eYOcGufIdUaPVYTn1qbsme2-lscRZsHVbO9nfm5I5jgnw0vWqLhXHA,14,UNRANKED,UNRANKED,71,76,68,0.9342105263157895,0.8947368421052632,1.381578947368421,1.8289473684210527,0.8181818181818182,,,,,,,,
SOynE2gt93RPGWiwF7hV9qgXM4s08lmsADBemCsRWFOinq_3ouc0GxLOnPvqAjb3HGbD396vpHiAmw,35,UNRANKED,UNRANKED,237,721,713,0.3287101248266297,0.9889042995839112,0.8231622746185853,1.317614424410541,0.6666666666666666,,,,,,,,
-U9TkUdzZmUEJPvWZCwfXOhsJ7mMf8Smix1Mn-66iiJa0IjeXx82BBU2eXk37yyeIxovavRta3mGPg,267,UNRANKED,UNRANKED,333,271,274,1.2287822878228782,1.011070110701107,1.7343173431734318,2.2398523985239853,0.9615384615384616,216,230,259,0.9391304347826087,1.126086956521739,1.5021739130434784,2.0652173913043477,1.375
UBT522BuhyREZuzL9VWCV-LinrbwbJXJFFCXJIUhbqVh_AiYAhWJy1RjuwPpAHEr5Z8dM0M22g6SvQ,342,IRON,I,365,380,320,0.9605263157894737,0.8421052631578947,1.381578947368421,1.8026315789473684,0.9607843137254902,468,530,562,0.8830188679245283,1.060377358490566,1.4132075471698113,1.9433962264150944,0.4925373134328358
MypHienLl89UvrLIaqRPsLV_Tka-UxqYVQe91yX9SelfStRCvYYk5fcraRdk7syEWa0UCuUCinFT0Q,254,UNRANKED,UNRANKED,31,15,17,2.066666666666667,1.1333333333333333,2.6333333333333333,3.2,0.3333333333333333,555,587,581,0.9454855195911414,0.989778534923339,1.440374787052811,1.9352640545144804,0.8867924528301887
EKianbvaiLQjOvkhYeDJhKq2KpJM6JOdEvfHqTmJBr0ImejsfTldMm2WL57nS2fI4Mtgd6bw8-wJqw,32,UNRANKED,UNRANKED,539,402,658,1.3407960199004976,1.63681592039801,2.1592039800995027,2.9776119402985075,1.0833333333333333,,,,,,,,
7qZOTNdzrh00g_ikMpiQKwYM9OGqMV-FgWwo1rmhtxZQo4JSGGTvKY7fcVUUTpCsE6HE90Vs17MKdg,53,BRONZE,IV,426,410,507,1.0390243902439025,1.2365853658536585,1.6573170731707316,2.2756097560975608,1.0408163265306123,181,348,723,0.5201149425287356,2.0775862068965516,1.5589080459770115,2.5977011494252875,0.8
pV8h9SVcPojKJQ14x5axLiOwIIgPEYqYFR4h1sNBkPxOczFep33b4uLQ5KwQP6hRBLMiThtSKQgBfQ,13,UNRANKED,UNRANKED,272,539,309,0.5046382189239332,0.5732838589981447,0.7912801484230055,1.077922077922078,0.4098360655737705,,,,,,,,
zUY1q_TxMEDLZSTs1IMyWjNHcAcJgWSbvgJJ7xxVJkuJAV4PdL9yKpIVEj-GsLaEo70x0emGCUvN3w,18,UNRANKED,UNRANKED,306,935,217,0.32727272727272727,0.2320855614973262,0.44331550802139036,0.5593582887700534,0.4492753623188406,,,,,,,,
