matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5217444136,1826,GameComplete,False,False
NA1_5216483416,1539,GameComplete,False,False
NA1_5216462422,2143,GameComplete,False,False
NA1_5215063486,2104,GameComplete,False,False
NA1_5215029093,1760,GameComplete,False,False
NA1_5215010052,985,GameComplete,True,False
NA1_5214964580,2816,GameComplete,False,False
NA1_5214184912,1771,GameComplete,False,False
NA1_5214108096,2080,GameComplete,False,False
NA1_5214089921,971,GameComplete,True,False
NA1_5214063392,1177,GameComplete,True,False
NA1_5212838078,2225,GameComplete,False,False
NA1_5212249001,476,GameComplete,True,False
NA1_5211476773,2078,GameComplete,False,False
NA1_5211429996,2769,GameComplete,False,False
NA1_5210720098,2034,GameComplete,False,False
NA1_5210398847,2648,GameComplete,False,False
NA1_4994137232,1351,GameComplete,False,False
NA1_4994130002,1303,GameComplete,False,False
NA1_4992883622,1431,GameComplete,False,False
NA1_4992879867,1278,GameComplete,False,False
NA1_4992865230,1227,GameComplete,False,False
NA1_4992849526,1177,GameComplete,False,False
NA1_4989849263,1222,GameComplete,False,False
NA1_4989836057,1217,GameComplete,False,False
NA1_4989819581,1404,GameComplete,False,False
NA1_4989809459,1448,GameComplete,False,False
NA1_4884442942,900,,False,False
NA1_4884422840,914,,False,False
NA1_4884402947,933,,False,False
NA1_4884380329,1229,,False,False
NA1_4884367866,959,,False,False
NA1_4884351769,969,,False,False
NA1_4884322656,1203,,False,False
NA1_4884243375,1036,,False,False
NA1_4884229534,765,,False,False
NA1_4884221931,1005,,False,False
NA1_4884200570,893,,False,False
NA1_4882133447,1164,,False,False
NA1_4882126879,903,,False,False
NA1_4882115955,1014,,False,False
NA1_4882099278,858,,False,False
NA1_4882086902,1003,,False,False
NA1_4879619736,805,,False,False
NA1_4879587301,1036,,False,False
NA1_4878808439,886,,False,False
NA1_4878798796,1050,,False,False
NA1_4878778985,1013,,False,False
NA1_4878753533,1189,,False,False
NA1_4877836545,977,,False,False
NA1_4818721115,1520,,True,False
NA1_4818681405,959,,True,False
NA1_4818656056,1896,,True,False
NA1_4818087461,2164,,False,False
NA1_4805299959,2339,,True,False
NA1_5241600683,1408,GameComplete,True,False
NA1_5241042723,2368,GameComplete,False,False
NA1_5241018112,2088,GameComplete,False,False
NA1_5240998371,1638,GameComplete,False,False
NA1_5240819996,1713,GameComplete,False,False
NA1_5240502389,1289,GameComplete,True,False
NA1_5240456620,2987,GameComplete,False,False
NA1_5240439580,942,GameComplete,True,False
NA1_5240180664,1640,GameComplete,False,False
NA1_5240173119,1874,GameComplete,False,False
NA1_5240163973,2436,GameComplete,False,False
NA1_5240160855,991,GameComplete,True,False
NA1_5239651466,1805,GameComplete,False,False
NA1_5239054536,2157,GameComplete,False,False
NA1_5238924801,1432,GameComplete,True,False
NA1_5238516297,1929,GameComplete,False,False
NA1_5238453198,1361,GameComplete,False,False
NA1_5238440354,1416,GameComplete,True,False
NA1_5238310965,1974,GameComplete,False,False
NA1_5238300418,2405,GameComplete,False,False
NA1_5237920216,2951,GameComplete,True,False
NA1_5237882682,1710,GameComplete,False,False
NA1_5237791476,2790,GameComplete,False,False
NA1_5237713208,1972,GameComplete,False,False
