matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5217444136,ZrmORFEGCEkPY8uzKscJv9x41MmS6n2ii98XTwUunZdcCaF-OHgocSbnF7jOWLA8U67zXBWvHy8v_g,100,57,SOLO,TOP,1,13,4,77,False,False,381,1826,262,BRONZE,III,3,9437
NA1_5217444136,jgWWzP9lYY9zR_-DNdnZwL9QCHn1PFwWI_48-zc_VMFrdoauQaM4caKMu07cXiDymqLtYB-TkipzxA,100,108,NONE,JUNGLE,3,6,4,5,False,False,152,1826,528,IRON,III,5,39045
NA1_5217444136,PcvR_8QL6ntnAVClwyJ-TUanegfQWy5VsEVP0gW9hd-Ex3uib0baiBxBJROn3vWM4Bp_n6vq3eAodA,100,38,SOLO,MIDDLE,4,7,2,45,False,False,220,1826,546,IRON,III,4,13565
NA1_5217444136,-Cs57Ox3EUM3FqxqPvsG7It3AIudpHu7W53dT1zxAOoSlnU3_KhNgauZnAH8rbCel4W4sUwhKZ5nFA,100,825,CARRY,BOTTOM,4,5,3,222,False,False,184,1826,987,BRONZE,IV,22,273056
NA1_5217444136,aOhN7PxLVKLc2JFVfR4QiyL27y9DQn3xhmegXtBRDcpyEYapLfsoxRu6zbZpALR1NvBcCtpgMQYZ4A,100,109,SUPPORT,UTILITY,6,9,4,800,False,False,232,1826,491,BRONZE,III,6,34500
NA1_5217444136,m3jZCfzsvw6RWCzPbxUMl5sQfHatmYibCPJ6QmAMeff90CN6YMPORErhZcyc_LJUI1S7wZtAqHj-9g,200,221,NONE,JUNGLE,6,5,15,32,True,False,139,1826,445,BRONZE,IV,3,9463
NA1_5217444136,-c4orUsqUlQgFcAHEHunK84Nk1dk5J5HjS867FWs3AvwjaJIdgJEmNYky_pEE3NtRHH7T9z4eptCTA,200,290,SOLO,TOP,14,2,4,39,True,False,63,1826,1223,SILVER,III,17,156404
NA1_5217444136,A8CpsRxdvWBEe70Q83vq5jcNWQSioSJ7eutRVVbPoKDDFL_BeNTQUh4oQ61imI5NAPLEww21m1Sf2Q,200,170,SOLO,MIDDLE,7,1,6,238,True,False,52,1826,1617,BRONZE,IV,4,17403
NA1_5217444136,ymmBhK0MvYJ2TALnYYz0aQYosx7BV6iyT-9ATYp7tSJCxyyHaweLFq1Io11lnwEKZnTiTUQkYuOjYg,200,39,CARRY,BOTTOM,11,5,8,81,True,False,141,1826,460,IRON,IV,6,33527
NA1_5217444136,21eYCS_MoH2_U1iKCylKG8J0p0RIXHu1voJs8A_cTypStZI68h8kciTYokMao4qBt6P7YFk1G7ZLPg,200,45,SUPPORT,UTILITY,2,5,16,53,True,False,160,1826,712,BRONZE,III,3,9907
NA1_5216483416,T5pfxVPQ2xg5lNmIRlKkhVPKUUMWDSs1r4JzWyZxI5fXx3Wo2WKctUMBZpx5J4xvF4yk9K4GapfK9A,100,581,DUO,TOP,9,4,5,6,True,False,72,1539,1098,SILVER,IV,145,1747574
NA1_5216483416,LlzY-Ny2ERby4qrbQU-yTC_qJaWSOB9r6hMwcW-xDqrhvJe0OrIxFbnead5rNciaj9plizcD66_qrQ,100,156,NONE,JUNGLE,12,2,13,876,True,False,62,1539,1021,UNRANKED,UNRANKED,9,80421
NA1_5216483416,T1pCcHVPPoSzeEGmAh2ew4RbzETvaxgTmVoolHLVIusInuodm6_YylH_ybE68AVb05TSkT5fl_snbQ,100,312,DUO,MIDDLE,2,2,9,99,True,False,84,1539,1095,IRON,I,13,114301
NA1_5216483416,ymmBhK0MvYJ2TALnYYz0aQYosx7BV6iyT-9ATYp7tSJCxyyHaweLFq1Io11lnwEKZnTiTUQkYuOjYg,100,38,SOLO,BOTTOM,7,6,9,51,True,False,140,1539,466,IRON,IV,4,14573
