matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5211879562,1343,GameComplete,True,False
NA1_5254088377,1696,GameComplete,False,False
NA1_5254074115,1464,GameComplete,False,False
NA1_5254052677,1451,GameComplete,True,False
NA1_5254034247,1724,GameComplete,False,False
NA1_5254010012,1897,GameComplete,False,False
NA1_5227985818,1996,GameComplete,False,False
NA1_5227971716,1493,GameComplete,False,False
NA1_5223158538,1757,GameComplete,False,False
NA1_5223138828,1961,GameComplete,False,False
NA1_5223112841,1209,GameComplete,True,False
NA1_5223107973,137,GameComplete,False,True
NA1_5223097326,911,GameComplete,True,False
NA1_5223072445,1698,GameComplete,False,False
NA1_5223062838,1213,GameComplete,True,False
NA1_5219560634,1423,GameComplete,False,False
NA1_5219455071,1465,GameComplete,False,False
NA1_5219439159,1137,GameComplete,False,False
NA1_5219425900,1308,GameComplete,True,False
NA1_5213243128,1384,GameComplete,True,False
NA1_5213145544,1163,GameComplete,True,False
NA1_5211896264,1550,GameComplete,True,False
NA1_5211865255,1512,GameComplete,True,False
NA1_5211849766,1551,GameComplete,True,False
NA1_5211836511,946,GameComplete,True,False
NA1_5211819370,1194,GameComplete,True,False
NA1_5211805718,973,GameComplete,True,False
NA1_5211795983,1479,GameComplete,True,False
NA1_5211785214,1136,GameComplete,True,False
NA1_5211774151,1098,GameComplete,True,False
NA1_5211750342,2008,GameComplete,True,False
NA1_5211737350,2037,GameComplete,False,False
NA1_5211449863,1741,GameComplete,True,False
NA1_5211426517,1081,GameComplete,True,False
NA1_5211404948,1313,GameComplete,False,False
NA1_5211373950,1505,GameComplete,True,False
NA1_5211341622,1446,GameComplete,False,False
NA1_5211335289,137,GameComplete,False,True
NA1_5211308629,1466,GameComplete,False,False
NA1_5211238215,1844,GameComplete,False,False
NA1_5211210520,1368,GameComplete,False,False
NA1_5211193315,1145,GameComplete,True,False
NA1_5211175632,901,GameComplete,True,False
NA1_5210540638,1825,GameComplete,False,False
NA1_5210388463,1578,GameComplete,False,False
NA1_5208438885,1345,GameComplete,True,False
NA1_5208411804,1714,GameComplete,False,False
NA1_5208369534,1625,GameComplete,False,False
NA1_5208127791,1395,GameComplete,False,False
NA1_5208106471,1947,GameComplete,True,False
NA1_5208059653,986,GameComplete,True,False
NA1_5208052201,1361,GameComplete,True,False
NA1_5208028423,2002,GameComplete,True,False
NA1_5208020106,1306,GameComplete,False,False
NA1_5208010449,1120,GameComplete,True,False
NA1_5208004023,1126,GameComplete,True,False
NA1_5207791122,269,GameComplete,True,False
NA1_5207587857,1838,GameComplete,False,False
NA1_5207406785,1844,GameComplete,True,False
NA1_5207365462,2229,GameComplete,False,False
NA1_5207351036,1739,GameComplete,False,False
NA1_5207341944,1098,GameComplete,False,False
NA1_5207330228,1646,GameComplete,True,False
NA1_5206665925,1611,GameComplete,False,False
NA1_5206658286,884,GameComplete,False,False
NA1_5206649433,1220,GameComplete,False,False
NA1_5206411588,1344,GameComplete,False,False
NA1_5206395936,1080,GameComplete,True,False
NA1_5206372492,1247,GameComplete,True,False
NA1_5212074424,1016,GameComplete,True,False
NA1_5211920541,1478,GameComplete,True,False
NA1_5211900955,1656,GameComplete,True,False
NA1_5211893615,146,GameComplete,False,True
NA1_5211874831,680,GameComplete,True,False
NA1_5211823067,1646,GameComplete,True,False
NA1_5211802205,2182,GameComplete,False,False
NA1_5207700397,1708,GameComplete,True,False
NA1_5207441931,1777,GameComplete,False,False
NA1_5207428906,1237,GameComplete,True,False
NA1_5207415199,1565,GameComplete,False,False
NA1_5207401784,1780,GameComplete,True,False
NA1_5207388257,1228,GameComplete,True,False
NA1_5207370238,1760,GameComplete,True,False
NA1_5203075411,1734,GameComplete,False,False
NA1_5203045558,1463,GameComplete,False,False
NA1_5202800282,1124,GameComplete,False,False
NA1_5202780110,1973,GameComplete,False,False
NA1_5202769735,1176,GameComplete,True,False
NA1_5202743018,1370,GameComplete,True,False
NA1_5202717505,1504,GameComplete,False,False
NA1_5202712927,1149,GameComplete,True,False
NA1_5229119403,1898,GameComplete,False,False
NA1_5229104235,1190,GameComplete,False,False
NA1_5229087306,1135,GameComplete,True,False
NA1_5225667509,1939,GameComplete,False,False
NA1_5225646298,1459,GameComplete,False,False
NA1_5223493226,1537,GameComplete,False,False
NA1_5223478347,1361,GameComplete,False,False
NA1_5223463913,1237,GameComplete,False,False
NA1_5220392341,122,GameComplete,False,True
NA1_5219792373,2071,GameComplete,False,False
NA1_5219785421,105,GameComplete,False,True
NA1_5219755192,1702,GameComplete,True,False
NA1_5212085756,1155,GameComplete,True,False
NA1_5212058673,1423,GameComplete,False,False
NA1_5211636385,1084,GameComplete,False,False
NA1_5211630079,1042,GameComplete,True,False
NA1_5210789383,1561,GameComplete,False,False
NA1_5210458187,913,GameComplete,True,False
NA1_5210035794,1951,GameComplete,False,False
NA1_5252110475,1407,GameComplete,False,False
NA1_5252091298,1706,GameComplete,False,False
NA1_5252070161,1518,GameComplete,True,False
NA1_5252053235,1765,GameComplete,False,False
NA1_5252041251,996,GameComplete,False,False
NA1_5252022680,1551,GameComplete,False,False
NA1_5252012033,1390,GameComplete,False,False
NA1_5251987853,1720,GameComplete,False,False
NA1_5251969322,1636,GameComplete,False,False
NA1_5251958127,1176,GameComplete,False,False
NA1_5249290616,2302,GameComplete,False,False
NA1_5249271617,1462,GameComplete,False,False
NA1_5249260326,1343,GameComplete,False,False
NA1_5249236821,1633,GameComplete,False,False
NA1_5248720181,1631,GameComplete,False,False
NA1_5248702165,1359,GameComplete,False,False
NA1_5248675614,1911,GameComplete,False,False
NA1_5248660917,1301,GameComplete,False,False
NA1_5248640985,1697,GameComplete,False,False
NA1_5248628383,1031,GameComplete,True,False
NA1_5248614038,1354,GameComplete,False,False
NA1_5248592525,1654,GameComplete,False,False
NA1_5248572123,2031,GameComplete,False,False
NA1_5248339895,1697,GameComplete,False,False
NA1_5248320006,1567,GameComplete,False,False
NA1_5248287242,1586,GameComplete,False,False
NA1_5248268156,1496,GameComplete,False,False
NA1_5248109832,1629,GameComplete,False,False
NA1_5248052255,1178,GameComplete,False,False
NA1_5248028342,1720,GameComplete,False,False
NA1_5248015146,1091,GameComplete,False,False
NA1_5247998912,1753,GameComplete,False,False
NA1_5247983446,1175,GameComplete,True,False
NA1_5247966255,1687,GameComplete,False,False
NA1_5247951048,1559,GameComplete,False,False
NA1_5247304591,1522,GameComplete,True,False
NA1_5246695688,2030,GameComplete,False,False
NA1_5246690954,1567,GameComplete,False,False
