matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5211879562,9CbZCCbRdOXMG6_FYss-8RTvssZoeoGN5qxknOp3Cx9ddtesp-Rqn-HWs6oB4jCt5dezHbfZ_J7g0Q,100,19,SOLO,TOP,2,8,1,82,False,False,199,1343,289,UNRANKED,UNRANKED,2,3105
NA1_5211879562,1lsJkeke0WswQaSw346YxbWHrTpPz4fD_MBVY268ukPOoqmO2jFjt2xIC5DcWUwO5QHHojzN5RH6zA,100,16,NONE,JUNGLE,1,9,1,233,False,False,234,1343,386,UNRANKED,UNRANKED,4,17814
NA1_5211879562,UCOn_hvChI0H1AHoJ9WQ8369eYOcGufIdUaPVYTn1qbsme2-lscRZsHVbO9nfm5I5jgnw0vWqLhXHA,100,15,SOLO,MIDDLE,1,8,1,910,False,False,200,1343,227,UNRANKED,UNRANKED,3,9489
NA1_5211879562,ymmBhK0MvYJ2TALnYYz0aQYosx7BV6iyT-9ATYp7tSJCxyyHaweLFq1Io11lnwEKZnTiTUQkYuOjYg,100,32,CARRY,BOTTOM,10,4,0,81,False,False,99,1343,698,IRON,IV,6,33527
NA1_5211879562,SOynE2gt93RPGWiwF7hV9qgXM4s08lmsADBemCsRWFOinq_3ouc0GxLOnPvqAjb3HGbD396vpHiAmw,100,31,SUPPORT,UTILITY,0,7,7,147,False,False,187,1343,289,UNRANKED,UNRANKED,16,158488
NA1_5211879562,-U9TkUdzZmUEJPvWZCwfXOhsJ7mMf8Smix1Mn-66iiJa0IjeXx82BBU2eXk37yyeIxovavRta3mGPg,200,269,SOLO,TOP,11,2,3,24,True,False,84,1343,612,UNRANKED,UNRANKED,4,20870
NA1_5211879562,UBT522BuhyREZuzL9VWCV-LinrbwbJXJFFCXJIUhbqVh_AiYAhWJy1RjuwPpAHEr5Z8dM0M22g6SvQ,200,314,SUPPORT,JUNGLE,11,3,6,35,True,False,64,1343,349,IRON,I,14,124973
NA1_5211879562,MypHienLl89UvrLIaqRPsLV_Tka-UxqYVQe91yX9SelfStRCvYYk5fcraRdk7syEWa0UCuUCinFT0Q,200,256,DUO,MIDDLE,8,1,7,157,True,False,25,1343,502,UNRANKED,UNRANKED,12,99668
NA1_5211879562,EKianbvaiLQjOvkhYeDJhKq2KpJM6JOdEvfHqTmJBr0ImejsfTldMm2WL57nS2fI4Mtgd6bw8-wJqw,200,9,SUPPORT,BOTTOM,1,4,3,238,True,False,115,1343,497,UNRANKED,UNRANKED,3,8943
NA1_5211879562,7qZOTNdzrh00g_ikMpiQKwYM9OGqMV-FgWwo1rmhtxZQo4JSGGTvKY7fcVUUTpCsE6HE90Vs17MKdg,200,28,SUPPORT,UTILITY,5,4,8,99,True,False,104,1343,395,BRONZE,IV,6,40863
NA1_5254088377,pV8h9SVcPojKJQ14x5axLiOwIIgPEYqYFR4h1sNBkPxOczFep33b4uLQ5KwQP6hRBLMiThtSKQgBfQ,100,26,CARRY,TOP,7,8,8,39,False,False,258,1696,489,UNRANKED,UNRANKED,6,37350
NA1_5254088377,zUY1q_TxMEDLZSTs1IMyWjNHcAcJgWSbvgJJ7xxVJkuJAV4PdL9yKpIVEj-GsLaEo70x0emGCUvN3w,100,27,SUPPORT,JUNGLE,5,12,4,51,False,False,427,1696,459,UNRANKED,UNRANKED,8,85396
NA1_5254088377,HKPiedt10_Je_2RVtWFo41jhPmWVFiYp7q5Fo-6Pd_dnlJ4oRx9ltNf45R7G1QGeL_aS2BxgA07h5w,100,53,CARRY,MIDDLE,5,9,8,517,False,False,310,1696,351,BRONZE,IV,3,11496
NA1_5254088377,9CbZCCbRdOXMG6_FYss-8RTvssZoeoGN5qxknOp3Cx9ddtesp-Rqn-HWs6oB4jCt5dezHbfZ_J7g0Q,100,27,SOLO,BOTTOM,6,8,8,901,False,False,289,1696,616,UNRANKED,UNRANKED,5,26446
NA1_5254088377,6Ffj2xXRvdOCa045F_KdS4iYFz7AhJotVBVv0S7DcdvelIdv6hxbNALRrxnXBkG8S9Zenkwb_W1OAg,100,117,SUPPORT,UTILITY,5,7,10,25,False,False,178,1696,361,UNRANKED,UNRANKED,27,275072
NA1_5254088377,ts80r-zKRjO1O9u4oykTQyAFbldh_UHBtW2oqyahcg-MDsH8VauWC8_JZOBjjHLQV-j7gFyruTCtow,200,25,SOLO,TOP,12,3,7,86,True,False,74,1696,322,UNRANKED,UNRANKED,10,88457
NA1_5254088377,H5zbsesdni8wTibLER8W-9qEFHTnL2G3RlAbqnZ6lVxKO8gBGXexScbg7EmS6Jce1J3r68pr2SHCHA,200,40,NONE,JUNGLE,11,4,10,82,True,False,104,1696,490,UNRANKED,UNRANKED,18,198628
