matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5250058150,2096,GameComplete,False,False
NA1_5250019840,1817,GameComplete,False,False
NA1_5249996818,1556,GameComplete,False,False
NA1_5248315385,1835,GameComplete,False,False
NA1_5248294043,1874,GameComplete,False,False
NA1_5248272560,1189,GameComplete,True,False
NA1_5248248910,1823,GameComplete,True,False
NA1_5247663216,1714,GameComplete,False,False
NA1_5247641144,1486,GameComplete,True,False
NA1_5247606737,2622,GameComplete,False,False
NA1_5246546108,2079,GameComplete,False,False
NA1_5246529379,1147,GameComplete,True,False
NA1_5246493178,2711,GameComplete,False,False
NA1_5246464685,1579,GameComplete,True,False
NA1_5246432439,2022,GameComplete,False,False
NA1_5246396516,2248,GameComplete,False,False
NA1_5245231200,1610,GameComplete,False,False
NA1_5245208287,1808,GameComplete,False,False
NA1_5245179087,2523,GameComplete,False,False
NA1_5244807215,2065,GameComplete,False,False
NA1_5244784265,1324,GameComplete,True,False
NA1_5244762409,1182,GameComplete,True,False
NA1_5244226352,1964,GameComplete,False,False
NA1_5244201151,2060,GameComplete,True,False
NA1_5244151536,1496,GameComplete,False,False
NA1_5243552930,1734,GameComplete,True,False
NA1_5243526030,1718,GameComplete,False,False
NA1_5243502845,1541,GameComplete,True,False
NA1_5242147295,1927,GameComplete,False,False
NA1_5242135439,930,GameComplete,True,False
NA1_5242112967,1609,GameComplete,False,False
NA1_5239379851,1050,GameComplete,True,False
NA1_5239354639,1657,GameComplete,False,False
NA1_5239339910,950,GameComplete,True,False
NA1_5239306981,2217,GameComplete,False,False
NA1_5234257534,1138,GameComplete,True,False
NA1_5234228252,1748,GameComplete,False,False
NA1_5234192689,1926,GameComplete,False,False
NA1_5234167017,1747,GameComplete,True,False
NA1_5233651365,1990,GameComplete,True,False
NA1_5233631568,947,GameComplete,True,False
NA1_5233590477,2286,GameComplete,False,False
NA1_5230587314,1561,GameComplete,True,False
NA1_5230557612,1750,GameComplete,False,False
NA1_5230516288,2473,GameComplete,False,False
NA1_5230480215,1865,GameComplete,False,False
NA1_5228081853,2207,GameComplete,False,False
NA1_5224895215,2951,GameComplete,True,False
NA1_5224870759,1678,GameComplete,False,False
NA1_5224845586,1165,GameComplete,True,False
NA1_5224815331,1734,GameComplete,False,False
NA1_5220626222,952,GameComplete,True,False
NA1_5220588462,2125,GameComplete,True,False
NA1_5220540992,2711,GameComplete,False,False
NA1_5219750019,1774,GameComplete,False,False
NA1_5219729849,916,GameComplete,True,False
NA1_5218738251,1653,GameComplete,True,False
NA1_5218718749,1795,GameComplete,True,False
NA1_5218699470,1217,GameComplete,True,False
NA1_5216927005,1405,GameComplete,False,False
NA1_5215318097,1680,GameComplete,False,False
NA1_5215277891,1956,GameComplete,True,False
NA1_5214441755,2428,GameComplete,True,False
NA1_5214387592,2196,GameComplete,False,False
NA1_5214340590,2107,GameComplete,False,False
NA1_5210699039,1680,GameComplete,False,False
NA1_5210006027,1837,GameComplete,False,False
NA1_5209980447,1549,GameComplete,True,False
NA1_5209950692,1688,GameComplete,False,False
NA1_5209931676,914,GameComplete,True,False
NA1_5209223359,1176,GameComplete,True,False
NA1_5209203237,1296,GameComplete,True,False
NA1_5209172967,1986,GameComplete,False,False
NA1_5209143119,1581,GameComplete,True,False
NA1_5207733900,3194,GameComplete,True,False
NA1_5207703885,1692,GameComplete,True,False
NA1_5207675908,1575,GameComplete,True,False
NA1_5206424390,1904,GameComplete,True,False
NA1_5206392977,1956,GameComplete,True,False
NA1_5206364310,1380,GameComplete,True,False
NA1_5205722879,1242,GameComplete,True,False
NA1_5205660225,2759,GameComplete,True,False
NA1_5203861359,1927,GameComplete,True,False
NA1_5203619839,2089,GameComplete,False,False
NA1_5202981629,1788,GameComplete,True,False
NA1_5202964362,792,GameComplete,True,False
NA1_5202936752,1652,GameComplete,False,False
NA1_5202476539,925,GameComplete,True,False
