matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5231060697,1908,GameComplete,False,False
NA1_5231027078,2291,GameComplete,True,False
NA1_5230874267,2548,GameComplete,True,False
NA1_5230852097,1757,GameComplete,False,False
NA1_5217244828,1695,GameComplete,False,False
NA1_5203481773,2156,GameComplete,False,False
NA1_5202742021,1688,GameComplete,False,False
NA1_5202723634,1869,GameComplete,False,False
NA1_5202711566,1474,GameComplete,False,False
NA1_5202697779,1914,GameComplete,True,False
NA1_5160843200,1856,GameComplete,False,False
NA1_5133002809,1587,GameComplete,False,False
NA1_5132967975,1942,GameComplete,False,False
NA1_5097995029,2076,GameComplete,False,False
NA1_5097950184,1649,GameComplete,False,False
NA1_5090896297,964,GameComplete,True,False
NA1_5090888446,110,GameComplete,False,True
NA1_4934283929,1974,GameComplete,False,False
NA1_4934240059,1641,GameComplete,False,False
NA1_4934208901,1806,GameComplete,False,False
NA1_4934184798,1270,GameComplete,False,False
NA1_4934127181,2227,GameComplete,False,False
NA1_4934092660,2033,GameComplete,True,False
NA1_4934073363,1859,GameComplete,False,False
NA1_4860546748,1895,,False,False
NA1_4860513191,1371,,False,False
NA1_4859655380,1333,,True,False
NA1_5236328419,2276,GameComplete,False,False
NA1_5236308995,1226,GameComplete,True,False
NA1_5236279127,1711,GameComplete,False,False
NA1_5236250412,1582,GameComplete,True,False
NA1_5236217651,1941,GameComplete,True,False
NA1_5236185973,1717,GameComplete,False,False
NA1_5236150281,2275,GameComplete,False,False
NA1_5235699519,2303,GameComplete,False,False
NA1_5235669459,2193,GameComplete,False,False
NA1_5235639511,1890,GameComplete,False,False
NA1_5235602877,2355,GameComplete,False,False
NA1_5235570504,1648,GameComplete,False,False
NA1_5235538690,1818,GameComplete,True,False
NA1_5234807400,1871,GameComplete,False,False
NA1_5234783961,1338,GameComplete,False,False
NA1_5234739277,2024,GameComplete,False,False
NA1_5234717204,1466,GameComplete,False,False
NA1_5234156253,2132,GameComplete,False,False
NA1_5233416054,1942,GameComplete,False,False
NA1_5228340959,1896,GameComplete,False,False
NA1_5228301900,1777,GameComplete,False,False
NA1_5226413810,1862,GameComplete,False,False
NA1_5226381264,1840,GameComplete,False,False
NA1_5226353121,1687,GameComplete,True,False
NA1_5226319386,1685,GameComplete,False,False
NA1_5226287212,1926,GameComplete,False,False
NA1_5226238677,1787,GameComplete,True,False
NA1_5226122629,1464,GameComplete,False,False
NA1_5226101327,1672,GameComplete,False,False
NA1_5225652709,1951,GameComplete,False,False
NA1_5225614723,2133,GameComplete,False,False
NA1_5225598370,912,GameComplete,True,False
NA1_5225561715,1742,GameComplete,False,False
NA1_5225518147,2380,GameComplete,True,False
NA1_5225483702,1481,GameComplete,True,False
NA1_5225441261,2195,GameComplete,False,False
NA1_5224712198,1897,GameComplete,False,False
NA1_5224677900,1765,GameComplete,False,False
NA1_5224639197,2091,GameComplete,False,False
NA1_5224602084,1974,GameComplete,False,False
NA1_5224567516,2156,GameComplete,False,False
NA1_5224535707,1941,GameComplete,False,False
NA1_5224437304,1752,GameComplete,False,False
NA1_5224416455,2153,GameComplete,False,False
NA1_5223019846,1599,GameComplete,True,False
NA1_5222792658,1866,GameComplete,False,False
NA1_5222770325,1343,GameComplete,False,False
NA1_5222518431,2106,GameComplete,False,False
NA1_5222496673,1447,GameComplete,False,False
NA1_5222398317,1786,GameComplete,True,False
NA1_5222370719,1686,GameComplete,False,False
NA1_5221959859,1783,GameComplete,False,False
NA1_5221934287,933,GameComplete,True,False
NA1_5221912809,968,GameComplete,True,False
NA1_5221865574,1868,GameComplete,False,False
NA1_5221830624,2116,GameComplete,False,False
NA1_5221700805,1830,GameComplete,False,False
NA1_5221683735,1632,GameComplete,False,False
NA1_5221626764,1647,GameComplete,False,False
NA1_5219674061,2050,GameComplete,False,False
NA1_5219632685,1988,GameComplete,False,False
NA1_5219587360,2370,GameComplete,False,False
NA1_5219579530,103,GameComplete,False,True
NA1_5218619461,1509,GameComplete,False,False
NA1_5218604046,1830,GameComplete,False,False
