matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5251975038,2580,GameComplete,True,False
NA1_5251929558,1482,GameComplete,True,False
NA1_5251899638,2186,GameComplete,False,False
NA1_5251394154,1507,GameComplete,True,False
NA1_5251361699,2340,GameComplete,False,False
NA1_5251295199,2219,GameComplete,False,False
NA1_5250892963,1774,GameComplete,False,False
NA1_5250185307,1986,GameComplete,False,False
NA1_5247331697,1251,GameComplete,True,False
NA1_5246699761,2207,GameComplete,False,False
NA1_5245736324,1558,GameComplete,False,False
NA1_5245622222,1807,GameComplete,False,False
NA1_5245608834,2179,GameComplete,False,False
NA1_5245348743,1732,GameComplete,True,False
NA1_5245196367,1668,GameComplete,False,False
NA1_5242766960,1943,GameComplete,True,False
NA1_5242651250,1783,GameComplete,True,False
NA1_5242593382,1483,GameComplete,False,False
NA1_5241546876,1720,GameComplete,True,False
NA1_5241454387,1214,GameComplete,True,False
NA1_5241452735,105,GameComplete,False,True
NA1_5241427480,1066,GameComplete,True,False
NA1_5241210507,1614,GameComplete,False,False
NA1_5241203162,102,GameComplete,False,True
NA1_5241165320,2409,GameComplete,False,False
NA1_5241146279,1027,GameComplete,True,False
NA1_5240262592,1641,GameComplete,False,False
NA1_5240246500,1862,GameComplete,False,False
NA1_5240238920,930,GameComplete,True,False
NA1_5240201480,1723,GameComplete,True,False
NA1_5240191494,1660,GameComplete,False,False
NA1_5239790805,2128,GameComplete,False,False
NA1_5239551091,1378,GameComplete,False,False
NA1_5239194761,1506,GameComplete,True,False
NA1_5239143015,1450,GameComplete,False,False
NA1_5239124849,1326,GameComplete,False,False
NA1_5239109165,913,GameComplete,True,False
NA1_5238422864,1406,GameComplete,False,False
NA1_5238384474,1983,GameComplete,False,False
NA1_5238350444,2491,GameComplete,False,False
NA1_5238338551,1954,GameComplete,True,False
NA1_5238126130,2187,GameComplete,False,False
NA1_5237842158,1958,GameComplete,False,False
NA1_5237192783,1927,GameComplete,False,False
NA1_5237177585,1760,GameComplete,True,False
NA1_5237170761,1876,GameComplete,False,False
NA1_5237155390,1640,GameComplete,False,False
NA1_5237148348,1987,GameComplete,False,False
NA1_5237141166,1741,GameComplete,True,False
NA1_5236902740,2085,GameComplete,False,False
NA1_5236863759,2411,GameComplete,False,False
NA1_5236854142,104,GameComplete,False,True
NA1_5236827441,1285,GameComplete,True,False
NA1_5236802352,1707,GameComplete,False,False
NA1_5236766602,2318,GameComplete,False,False
NA1_5234841336,769,GameComplete,True,False
NA1_5234811955,1659,GameComplete,False,False
NA1_5234782374,1751,GameComplete,False,False
NA1_5233606534,2077,GameComplete,False,False
NA1_5233425192,1885,GameComplete,False,False
NA1_5233404975,1419,GameComplete,False,False
NA1_5233340117,2208,GameComplete,False,False
NA1_5233315713,1720,GameComplete,False,False
NA1_5233271367,1246,GameComplete,True,False
NA1_5232816316,1974,GameComplete,False,False
NA1_5232774993,2046,GameComplete,False,False
NA1_5232731638,1532,GameComplete,True,False
NA1_5232705906,1926,GameComplete,False,False
NA1_5232661309,1949,GameComplete,False,False
NA1_5232497687,1862,GameComplete,False,False
NA1_5232484235,1693,GameComplete,False,False
NA1_5230154619,911,GameComplete,True,False
NA1_5230046413,2060,GameComplete,False,False
NA1_5229625427,1573,GameComplete,True,False
NA1_5229601215,1523,GameComplete,False,False
NA1_5229574887,1718,GameComplete,False,False
NA1_5225444666,1624,GameComplete,False,False
NA1_5224661554,1654,GameComplete,False,False
NA1_5219586202,2270,GameComplete,True,False
NA1_5219440151,1541,GameComplete,True,False
