matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5205333532,1668,GameComplete,True,False
NA1_5202968225,2172,GameComplete,True,False
NA1_5202661702,2019,GameComplete,False,False
NA1_5202660745,1312,GameComplete,True,False
NA1_5251536411,1179,GameComplete,True,False
NA1_5251515398,1551,GameComplete,False,False
NA1_5251495475,1469,GameComplete,False,False
NA1_5248907710,1925,GameComplete,False,False
NA1_5248894774,1210,GameComplete,False,False
NA1_5248851647,1563,GameComplete,False,False
NA1_5248274339,1973,GameComplete,False,False
NA1_5248250697,1537,GameComplete,False,False
NA1_5248230903,1482,GameComplete,False,False
NA1_5248056673,1719,GameComplete,False,False
NA1_5248033488,2387,GameComplete,False,False
NA1_5247988013,1750,GameComplete,False,False
NA1_5247693311,1782,GameComplete,False,False
NA1_5247676169,1578,GameComplete,False,False
NA1_5247466523,1495,GameComplete,False,False
NA1_5247452859,1290,GameComplete,False,False
NA1_5247429532,1491,GameComplete,False,False
NA1_5247375558,928,GameComplete,True,False
NA1_5247364375,1285,GameComplete,True,False
NA1_5244518513,1046,GameComplete,True,False
NA1_5244503155,1348,GameComplete,True,False
NA1_5244481444,1736,GameComplete,False,False
NA1_5239752117,1014,GameComplete,True,False
NA1_5239687725,1671,GameComplete,False,False
NA1_5239116733,1822,GameComplete,False,False
NA1_5239104257,106,GameComplete,False,True
NA1_5236022974,1574,GameComplete,False,False
NA1_5235999594,1824,GameComplete,True,False
NA1_5234897004,1061,GameComplete,True,False
NA1_5210460389,1760,GameComplete,True,False
NA1_5209960704,1627,GameComplete,False,False
NA1_5209932606,1537,GameComplete,True,False
NA1_5209907354,1308,GameComplete,True,False
NA1_5209901812,173,GameComplete,False,True
NA1_5208816778,1700,GameComplete,False,False
NA1_5206127653,969,GameComplete,True,False
NA1_5205642648,1709,GameComplete,False,False
NA1_5205615256,1706,GameComplete,False,False
NA1_5205581649,1736,GameComplete,True,False
NA1_5205556068,1495,GameComplete,False,False
NA1_5205527633,1294,GameComplete,False,False
NA1_5205501390,1728,GameComplete,False,False
NA1_5205496075,106,GameComplete,False,True
NA1_5205379992,1963,GameComplete,False,False
NA1_5205302730,2244,GameComplete,False,False
NA1_5205288845,1278,GameComplete,False,False
NA1_5205266491,1548,GameComplete,True,False
NA1_5205249878,1540,GameComplete,True,False
NA1_5205206218,1007,GameComplete,True,False
NA1_5205192488,1159,GameComplete,True,False
NA1_5205180336,1394,GameComplete,True,False
NA1_5205167514,1061,GameComplete,True,False
NA1_5205157852,1509,GameComplete,False,False
NA1_5204945345,1681,GameComplete,False,False
NA1_5203984275,1599,GameComplete,False,False
NA1_5203955926,1395,GameComplete,True,False
NA1_5207679959,2101,GameComplete,False,False
NA1_5206366981,1624,GameComplete,True,False
NA1_5206346380,1017,GameComplete,True,False
NA1_5206318404,1594,GameComplete,False,False
NA1_5206286990,1716,GameComplete,True,False
NA1_5206181179,1478,GameComplete,True,False
NA1_5205718426,1184,GameComplete,True,False
NA1_5205693707,1317,GameComplete,True,False
NA1_5205671057,1455,GameComplete,True,False
NA1_5205646585,1305,GameComplete,True,False
NA1_5205622057,1492,GameComplete,False,False
NA1_5205593796,1511,GameComplete,True,False
NA1_5205562155,1489,GameComplete,True,False
NA1_5205508689,942,GameComplete,True,False
NA1_5205318758,1253,GameComplete,True,False
NA1_5204953001,1289,GameComplete,True,False
NA1_5204937211,922,GameComplete,True,False
NA1_5204901384,2147,GameComplete,False,False
NA1_5204882683,914,GameComplete,True,False
NA1_5204815812,1547,GameComplete,True,False
NA1_5204779723,1387,GameComplete,True,False
NA1_5204745766,1785,GameComplete,False,False
NA1_5204694453,1712,GameComplete,True,False
NA1_5204673425,1345,GameComplete,False,False
NA1_5204655498,1062,GameComplete,True,False
NA1_5204628866,1663,GameComplete,False,False
NA1_5204605368,1581,GameComplete,True,False
NA1_5204189396,1859,GameComplete,False,False
NA1_5204161428,1350,GameComplete,False,False
NA1_5204130213,1889,GameComplete,True,False
NA1_5230973174,1407,GameComplete,True,False
NA1_5210762369,1198,GameComplete,True,False
NA1_5210733962,1674,GameComplete,False,False
NA1_5208244627,1991,GameComplete,False,False
NA1_5208226958,1191,GameComplete,True,False
NA1_5206905593,1683,GameComplete,False,False
NA1_5205365124,1959,GameComplete,True,False
NA1_5205358026,533,GameComplete,True,False
NA1_5204867873,2139,GameComplete,False,False
NA1_5203854040,1409,GameComplete,False,False
NA1_5203832223,1156,GameComplete,True,False
NA1_5203810383,1465,GameComplete,False,False
NA1_5253038963,1233,GameComplete,True,False
NA1_5253033245,912,GameComplete,True,False
NA1_5253028815,1255,GameComplete,True,False
NA1_5253016045,1631,GameComplete,False,False
NA1_5251543107,2115,GameComplete,True,False
NA1_5251094608,2096,GameComplete,False,False
NA1_5251025463,1849,GameComplete,False,False
NA1_5251011846,976,GameComplete,True,False
NA1_5250991702,1052,GameComplete,False,False
NA1_5250938635,1871,GameComplete,True,False
NA1_5211001380,1411,GameComplete,False,False
NA1_5209484453,2932,GameComplete,True,False
NA1_5209469552,1420,GameComplete,True,False
NA1_5205383947,1847,GameComplete,False,False
NA1_5205362798,1544,GameComplete,False,False
NA1_5205316164,1394,GameComplete,True,False
NA1_5205272650,1324,GameComplete,True,False
NA1_5205256968,1487,GameComplete,False,False
NA1_5205176798,1679,GameComplete,True,False
NA1_5205157693,1441,GameComplete,False,False
NA1_5205151944,1138,GameComplete,True,False
NA1_5205134618,1644,GameComplete,False,False
NA1_5205125916,1906,GameComplete,False,False
NA1_5205119792,1492,GameComplete,False,False
NA1_5205109157,1836,GameComplete,True,False
NA1_5202873450,923,GameComplete,True,False
NA1_5202857799,1004,GameComplete,True,False
NA1_5202831838,1944,GameComplete,True,False
NA1_5202803083,2061,GameComplete,True,False
