matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5249238189,1218,GameComplete,False,False
NA1_5252185536,1873,GameComplete,False,False
NA1_5252112843,1977,GameComplete,False,False
NA1_5252094111,1334,GameComplete,True,False
NA1_5252076743,1888,GameComplete,False,False
NA1_5250954919,1230,GameComplete,False,False
NA1_5250945518,425,GameComplete,True,False
NA1_5250920636,1256,GameComplete,True,False
NA1_5250496165,965,GameComplete,True,False
NA1_5250468540,1320,GameComplete,False,False
NA1_5250457477,996,GameComplete,True,False
NA1_5249255049,874,GameComplete,True,False
NA1_5249248479,166,GameComplete,False,True
NA1_5249235951,110,GameComplete,False,True
NA1_5248787932,1846,GameComplete,False,False
NA1_5248651191,1422,GameComplete,True,False
NA1_5248470864,1638,GameComplete,False,False
NA1_5248465533,633,GameComplete,True,False
NA1_5248090051,1422,GameComplete,False,False
NA1_5248072385,1549,GameComplete,False,False
NA1_5252191475,1625,GameComplete,False,False
NA1_5252175522,1307,GameComplete,False,False
NA1_5252159543,1322,GameComplete,False,False
NA1_5252141471,1332,GameComplete,False,False
NA1_5252130845,1171,GameComplete,False,False
NA1_5252008838,1585,GameComplete,True,False
NA1_5251989678,1683,GameComplete,False,False
NA1_5251976447,1522,GameComplete,False,False
NA1_5251257099,1700,GameComplete,False,False
NA1_5251252500,1122,GameComplete,False,False
NA1_5251249790,1339,GameComplete,False,False
NA1_5251247403,237,GameComplete,True,False
NA1_5251244741,1390,GameComplete,True,False
NA1_5251239758,1880,GameComplete,False,False
NA1_5250984100,1317,GameComplete,True,False
NA1_5250960459,1971,GameComplete,False,False
NA1_5250870764,1531,GameComplete,False,False
NA1_5250850117,2107,GameComplete,False,False
NA1_5250836196,1879,GameComplete,False,False
NA1_5250786093,1361,GameComplete,True,False
NA1_5250153923,1178,GameComplete,False,False
NA1_5250146901,1846,GameComplete,False,False
NA1_5250141354,1551,GameComplete,False,False
NA1_5250133379,1721,GameComplete,False,False
NA1_5250125434,1537,GameComplete,True,False
NA1_5250113523,2029,GameComplete,False,False
NA1_5249678642,1419,GameComplete,True,False
NA1_5249673925,1429,GameComplete,True,False
NA1_5249359067,1969,GameComplete,False,False
NA1_5249344304,964,GameComplete,True,False
NA1_5249333258,768,GameComplete,True,False
NA1_5249312780,1975,GameComplete,False,False
NA1_5249298141,1113,GameComplete,True,False
NA1_5249222190,1829,GameComplete,False,False
NA1_5249209805,1837,GameComplete,False,False
NA1_5249192269,1721,GameComplete,True,False
NA1_5249187460,113,GameComplete,False,True
NA1_5249141674,2006,GameComplete,False,False
NA1_5249139822,1082,GameComplete,True,False
NA1_5249132625,131,GameComplete,False,True
NA1_5249128894,1213,GameComplete,True,False
NA1_5249118667,1253,GameComplete,False,False
NA1_5249112179,1501,GameComplete,False,False
NA1_5249112027,104,GameComplete,False,True
NA1_5249102622,1551,GameComplete,False,False
NA1_5249086560,1943,GameComplete,False,False
NA1_5249081387,1550,GameComplete,False,False
NA1_5249034907,1617,GameComplete,True,False
NA1_5249027510,1061,GameComplete,True,False
NA1_5249020401,1520,GameComplete,False,False
NA1_5249017922,1061,GameComplete,True,False
NA1_5249007914,1791,GameComplete,True,False
NA1_5248994904,1821,GameComplete,False,False
NA1_5248981711,1395,GameComplete,True,False
NA1_5248974833,1077,GameComplete,False,False
NA1_5248965856,1061,GameComplete,False,False
NA1_5248515720,2284,GameComplete,False,False
NA1_5248507049,1497,GameComplete,True,False
NA1_5240760147,1933,GameComplete,False,False
NA1_5240749625,1225,GameComplete,True,False
NA1_5227688756,1907,GameComplete,False,False
NA1_5227670348,1019,GameComplete,True,False
NA1_5227643111,1644,GameComplete,True,False
NA1_5227107989,1797,GameComplete,False,False
NA1_5227083689,1736,GameComplete,False,False
NA1_5226514311,1487,GameComplete,False,False
NA1_5226499348,1441,GameComplete,False,False
NA1_5226487864,1522,GameComplete,False,False
NA1_5225744960,1112,GameComplete,True,False
NA1_5225733146,921,GameComplete,True,False
NA1_5225714493,1399,GameComplete,False,False
NA1_5225688937,1837,GameComplete,False,False
NA1_5225648479,1644,GameComplete,False,False
NA1_5225619761,1732,GameComplete,False,False
NA1_5225592751,1537,GameComplete,False,False
NA1_5225227863,1361,GameComplete,False,False
NA1_5225205669,1456,GameComplete,False,False
NA1_5225189150,1551,GameComplete,True,False
NA1_5221615165,1484,GameComplete,True,False
NA1_5221604625,1433,GameComplete,False,False
NA1_5221597489,1520,GameComplete,True,False
NA1_5221591418,1363,GameComplete,False,False
NA1_5221564172,2044,GameComplete,False,False
NA1_5220927195,2131,GameComplete,False,False
NA1_5220920822,480,GameComplete,True,False
NA1_5220904703,1112,GameComplete,False,False
NA1_5220887669,1658,GameComplete,False,False
NA1_5220867399,1411,GameComplete,False,False
NA1_5220856275,1174,GameComplete,True,False
NA1_5219391979,1425,GameComplete,False,False
NA1_5219375592,1433,GameComplete,False,False
NA1_5218777541,1326,GameComplete,False,False
NA1_5218778884,102,GameComplete,False,True
NA1_5217826051,1919,GameComplete,False,False
NA1_5217818505,1863,GameComplete,True,False
NA1_5217811656,1461,GameComplete,False,False
NA1_5217345841,168,GameComplete,False,True
NA1_5217321997,2045,GameComplete,True,False
NA1_5215961979,2749,GameComplete,True,False
NA1_5252035271,1597,GameComplete,True,False
NA1_5251877210,1502,GameComplete,True,False
NA1_5250234069,1887,GameComplete,False,False
NA1_5250198383,911,GameComplete,True,False
NA1_5250188322,1707,GameComplete,False,False
NA1_5250187182,1148,GameComplete,True,False
NA1_5249825512,1759,GameComplete,True,False
NA1_5249818737,1101,GameComplete,True,False
NA1_5249712138,938,GameComplete,True,False
NA1_5249704066,714,GameComplete,True,False
NA1_5249665306,1105,GameComplete,True,False
NA1_5249283062,1919,GameComplete,False,False
NA1_5249251879,1977,GameComplete,False,False
NA1_5249214669,1611,GameComplete,False,False
NA1_5249191295,1312,GameComplete,True,False
NA1_5253894517,1049,GameComplete,False,False
NA1_5253877808,1717,GameComplete,False,False
NA1_5253834161,1464,GameComplete,False,False
NA1_5253819218,1816,GameComplete,False,False
NA1_5253740830,1455,GameComplete,False,False
NA1_5253310143,2076,GameComplete,False,False
NA1_5253178882,1620,GameComplete,False,False
NA1_5253003532,1716,GameComplete,False,False
NA1_5252996015,941,GameComplete,True,False
NA1_5252791329,934,GameComplete,True,False
NA1_5252757165,1480,GameComplete,False,False
NA1_5252737427,1474,GameComplete,False,False
NA1_5252539934,1543,GameComplete,False,False
NA1_5252526728,1494,GameComplete,True,False
NA1_5252062594,1598,GameComplete,True,False
NA1_5251996184,1691,GameComplete,False,False
NA1_5251473112,1611,GameComplete,False,False
NA1_5251445483,1175,GameComplete,False,False
NA1_5250902673,1254,GameComplete,True,False
NA1_5250586032,1886,GameComplete,False,False
NA1_5249894736,1645,GameComplete,False,False
NA1_5249810292,1949,GameComplete,False,False
NA1_5249770817,1770,GameComplete,True,False
NA1_5249760681,915,GameComplete,True,False
NA1_5249704990,1759,GameComplete,False,False
NA1_5249695151,1318,GameComplete,False,False
NA1_5249688248,1192,GameComplete,False,False
NA1_5248769982,1453,GameComplete,False,False
NA1_5248630202,1395,GameComplete,False,False
NA1_5247993038,2078,GameComplete,True,False
NA1_5247897517,1010,GameComplete,True,False
NA1_5247897797,329,GameComplete,True,False
NA1_5247379962,1230,GameComplete,True,False
NA1_5247282346,1690,GameComplete,True,False
NA1_5246904996,1069,GameComplete,True,False
NA1_5246812178,1316,GameComplete,False,False
NA1_5246794379,1486,GameComplete,True,False
NA1_5246651234,1258,GameComplete,False,False
NA1_5246421081,1197,GameComplete,False,False
NA1_5246366436,1099,GameComplete,False,False
NA1_5246270217,1885,GameComplete,False,False
NA1_5246265684,246,GameComplete,True,False
NA1_5246218449,1391,GameComplete,True,False
NA1_5246205978,1676,GameComplete,False,False
NA1_5245892321,1590,GameComplete,True,False
