matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5249238189,1NRgUcqr7cGw-Oksm5frj4BtEcHivW8259hni3PTodBP83N5FROsZpakUi5liBezf9QJDPkCVOTgcQ,100,13,DUO,TOP,11,2,8,517,True,False,45,1218,640,UNRANKED,UNRANKED,2,4427
NA1_5249238189,QHlZEFf3-OJxlq2khFXaLaO0N-4Qom764QilFZVI1sTAnzAjtcFOn9nQAysyN6dm1X2Gc_MVJPsQCg,100,29,NONE,JUNGLE,6,2,6,80,True,False,34,1218,428,SILVER,I,8,58452
NA1_5249238189,-aXYtJUlsoFiv97QXecDhXasNbc5VtTUVxAjhp5FBN6fJjP3yj2x2IkSviZjb_Yay7_vGOPbdMQ-Aw,100,355,DUO,MIDDLE,6,0,13,54,True,False,0,1218,1215,UNRANKED,UNRANKED,5,27523
NA1_5249238189,h336C-WOnl7d9swF0FCoTf6nsYx9WJcShiNqq_gtldVRypImD-3EyZxEDquhCqzLSuBUNN7QOsr1nA,100,611,SOLO,BOTTOM,10,5,7,202,True,False,111,1218,351,PLATINUM,IV,14,121366
NA1_5249238189,pbkn-hl-BRGWmXd80IKyWZY2r5vqs4mbYOkaacIgkYMz0HJhsKHnrsXVGtRXgUuvcWzCAPrg8FN2zg,100,141,SOLO,UTILITY,7,7,11,555,True,False,151,1218,304,PLATINUM,IV,2,1872
NA1_5249238189,eTBWjsrY6QCH3VQ2xhIl4zjMzb9tVgj4woI2y_UHfolStCPE3KF2jcGLEN68vY3DehiTJnQYuv64Vw,200,33,DUO,TOP,1,9,1,67,False,False,266,1218,325,BRONZE,II,1,417
NA1_5249238189,csB3M1TO8Pe63L_oR8JdO5irzBlviI6Bd7Cg6UJCmoQx4GlyoVfBSN8EWiPH3Owehi2Sa80IV9EZGQ,200,304,SOLO,JUNGLE,5,6,2,233,False,False,181,1218,395,UNRANKED,UNRANKED,4,13454
NA1_5249238189,-gS0aC707b2LKj3rT6cpUr5Qkl8jCrQMuF97IH-Oa8z15gKooJ_BTHOQOqPj0SkBOqr1xyMfyIzTUA,200,599,DUO,MIDDLE,2,7,4,133,False,False,155,1218,332,GOLD,II,4,18472
NA1_5249238189,49g-ziYsfP1fisi4IZO6ZXb40P3zF1U2why1ANJtd26AN4IPRuDKZjLyzv_zMwiDeU0l0djNwph96Q,200,146,CARRY,BOTTOM,4,8,7,22,False,False,198,1218,359,UNRANKED,UNRANKED,3,12338
NA1_5249238189,El5UFT06rwLX1P4nx2j3JM4LlZ4bmZ_ch7rXv4KI4WxIuRQiGTufJEnB60WJmwjatpZ4bKbVWtZ42w,200,309,SUPPORT,UTILITY,4,10,7,76,False,False,240,1218,252,UNRANKED,UNRANKED,203,2620987
NA1_5252185536,irukTJub5eOeNftv8eSqMlDP9wnZXuB1Esgo6Cigd_MGZ_iGCTU71rktEjdferfsRzkJwc3yC86emA,100,662,DUO,TOP,5,6,0,84,False,False,219,1873,788,GOLD,III,12,103643
NA1_5252185536,5qQvK5FPQgLHgC3rHI_-FBim_gIVOAoy_V3QD-qTsGTiPEIOcr6PHPR-08_fgyNlq8BU1UHIqAv1dg,100,485,NONE,JUNGLE,10,9,8,35,False,False,302,1873,516,SILVER,II,13,114145
