matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5250058150,g52gkNu03n-1bV0piYaY8aBQqauHqAOrv3ghfok-d47o6jXaQYZkw3KPSy5hckf6VjmYuuNyKTn5eg,100,251,SOLO,TOP,9,3,5,41,False,False,102,2096,1175,EMERALD,I,46,494819
NA1_5250058150,t0aOBF94JThG5cMFPX-muypjbh5U3GOYL2KSiR5u7ziDJtwZ67CgiDRgXtxlxyoLnNNYc2EPbZziPg,100,614,NONE,JUNGLE,4,8,10,106,False,False,216,2096,383,EMERALD,III,15,158613
NA1_5250058150,_c7oWGQEdzXwWj6lfdDVmM2Z3iM-CdoA7tKELYhGC3et2Pcki7mkmu4QKeloA4a_xLdvvbCixORCig,100,261,CARRY,MIDDLE,13,7,4,8,False,False,236,2096,395,PLATINUM,I,9,66016
NA1_5250058150,jJrWagb7PollF_o0LU7zCBI2-Aipsov8wLeGisxTVfLUBk7Bx0_5BRN9o0Z_UwBoJcsfrZLTVNyU0A,100,209,SOLO,BOTTOM,1,7,7,21,False,False,256,2096,614,EMERALD,IV,5,22247
NA1_5250058150,X9CadZdA8RhYn-mLoBbvcrBYsMUXDg_aFx0DWtrnVkgPMY_H7JZ7xJqHPT9v79PvF5PAt0DEsNwNtQ,100,703,SUPPORT,UTILITY,1,10,14,267,False,False,255,2096,447,EMERALD,IV,45,576095
NA1_5250058150,X0T_gn2NeCnUkNNg5WgvCBWjej7CWh-QIrOv104rUjXi6zgZ9zeWj4h85B_Ut4bAX4tqPdC2YMPYcg,200,82,CARRY,TOP,4,6,4,887,True,False,158,2096,570,EMERALD,III,2,2801
NA1_5250058150,YZ2PuRYgpQPg-fmCmxNnuOA2JNubE_S6uWMwnb9s5MLyfLeaHqKs99O607yfg3mlKoHQ7itAEPkGoQ,200,96,SUPPORT,JUNGLE,12,6,10,254,True,False,149,2096,830,PLATINUM,I,3,9602
NA1_5250058150,HICOgdeULmOEFNvSVORm5Y-b-piPami9HCcMBOEBwghi-nvJ_3bvYXNMauNwCdRKVJe0Q5a4d2W_zg,200,592,SOLO,MIDDLE,5,10,9,10,True,False,325,2096,374,EMERALD,III,5,22535
NA1_5250058150,-Ol0nKsekv3BtSN5SQWeHIl5qXagsD7JIoGU543FAQO4qA9e2ferlvNQO1xocs2GWCscmxd9yvphEQ,200,295,CARRY,BOTTOM,10,3,11,110,True,False,95,2096,953,EMERALD,IV,7,45038
NA1_5250058150,EUR1do8iUcd1oKFC8jPY5gJyac1zN9zcXtAF5JYUme3SBDdZV1Plb2TUJGPRz-iUs7dw5po5LIjI1w,200,360,SUPPORT,UTILITY,4,3,19,143,True,False,93,2096,918,EMERALD,III,103,1120435
NA1_5250019840,GY55dRqtP5Kj_vAcUCcG8pVkvTN2EGV4WhzMV6-4N4ytO8IpfiVH7B7sTs1YEPGjgcDeT7zxD3YyAA,100,37,SOLO,TOP,1,4,1,114,False,False,114,1817,777,PLATINUM,II,8,57757
