matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5203692346,1232,GameComplete,True,False
NA1_5203672587,1550,GameComplete,False,False
NA1_5203086326,1622,GameComplete,False,False
NA1_5203017177,743,GameComplete,True,False
NA1_5203961657,1375,GameComplete,False,False
NA1_5203800960,1175,GameComplete,False,False
NA1_5203782492,967,GameComplete,True,False
NA1_5203736098,1271,GameComplete,False,False
NA1_5203720275,916,GameComplete,True,False
NA1_5203667421,1032,GameComplete,True,False
NA1_5203641838,1589,GameComplete,False,False
NA1_5203615230,1537,GameComplete,True,False
NA1_5203675456,1381,GameComplete,True,False
NA1_5203657247,1101,GameComplete,True,False
NA1_5246078263,960,GameComplete,True,False
NA1_5246068650,1609,GameComplete,True,False
NA1_5245709262,1136,GameComplete,False,False
NA1_5245583362,1398,GameComplete,False,False
NA1_5245551162,1500,GameComplete,False,False
NA1_5245544386,970,GameComplete,True,False
NA1_5245515486,1470,GameComplete,False,False
NA1_5245509156,1705,GameComplete,False,False
NA1_5245504297,917,GameComplete,True,False
NA1_5245147543,1362,GameComplete,False,False
NA1_5244981304,1830,GameComplete,False,False
NA1_5244975775,2241,GameComplete,False,False
NA1_5244950066,1804,GameComplete,False,False
NA1_5244948144,109,GameComplete,False,True
NA1_5243789787,1268,GameComplete,False,False
NA1_5243738015,1437,GameComplete,True,False
NA1_5243725292,1523,GameComplete,False,False
NA1_5243625044,1713,GameComplete,False,False
NA1_5243212530,1764,GameComplete,False,False
NA1_5243135689,1497,GameComplete,False,False
NA1_5243105074,2081,GameComplete,False,False
NA1_5243076699,1898,GameComplete,False,False
NA1_5243076023,669,GameComplete,True,False
NA1_5243063623,1491,GameComplete,True,False
NA1_5243057148,1300,GameComplete,False,False
NA1_5243015274,1690,GameComplete,True,False
NA1_5242678584,1394,GameComplete,False,False
NA1_5242660552,1953,GameComplete,False,False
NA1_5242477538,1506,GameComplete,False,False
NA1_5242469610,1451,GameComplete,False,False
NA1_5242436550,1637,GameComplete,False,False
NA1_5241990850,983,GameComplete,True,False
NA1_5241984424,1123,GameComplete,True,False
NA1_5241943101,1580,GameComplete,False,False
NA1_5241932790,1273,GameComplete,False,False
NA1_5241910965,933,GameComplete,True,False
NA1_5241904420,1492,GameComplete,True,False
NA1_5241897817,1335,GameComplete,True,False
NA1_5241885983,1064,GameComplete,False,False
NA1_5241423943,1490,GameComplete,False,False
NA1_5241418389,983,GameComplete,True,False
NA1_5241411784,1725,GameComplete,True,False
NA1_5241401762,1120,GameComplete,True,False
NA1_5241393886,1792,GameComplete,False,False
NA1_5241373189,1098,GameComplete,True,False
NA1_5241336378,1676,GameComplete,False,False
NA1_5238424072,1327,GameComplete,False,False
NA1_5237785457,1818,GameComplete,False,False
NA1_5237202464,1915,GameComplete,False,False
NA1_5237199443,549,GameComplete,True,False
NA1_5237196391,105,GameComplete,False,True
NA1_5237173832,1858,GameComplete,False,False
NA1_5237143241,1390,GameComplete,False,False
NA1_5237138194,1362,GameComplete,False,False
NA1_5237131424,1330,GameComplete,True,False
NA1_5237128537,1158,GameComplete,True,False
NA1_5236649160,1708,GameComplete,False,False
NA1_5236557359,929,GameComplete,True,False
NA1_5236547596,1550,GameComplete,False,False
NA1_5236522632,1670,GameComplete,False,False
NA1_5236515108,1503,GameComplete,True,False
NA1_5236511738,1722,GameComplete,False,False
NA1_5236490824,1911,GameComplete,False,False
NA1_5234414994,1900,GameComplete,False,False
NA1_5234378566,1613,GameComplete,False,False
NA1_5233953363,495,GameComplete,True,False
NA1_5233912316,1594,GameComplete,False,False
NA1_5233875128,1473,GameComplete,False,False
NA1_5233868599,1386,GameComplete,False,False
NA1_5233834587,1771,GameComplete,False,False
NA1_5233832662,1291,GameComplete,False,False
NA1_5233829932,1352,GameComplete,False,False
NA1_5233828801,106,GameComplete,False,True
NA1_5233816568,1797,GameComplete,False,False
NA1_5233811419,1728,GameComplete,False,False
NA1_5231698616,1774,GameComplete,False,False
NA1_5231623901,1760,GameComplete,False,False
NA1_5231608314,940,GameComplete,True,False
NA1_5231602342,1135,GameComplete,True,False
NA1_5231591112,1587,GameComplete,False,False
NA1_5231579602,1690,GameComplete,False,False
NA1_5231569745,1214,GameComplete,True,False
NA1_5231546450,1698,GameComplete,False,False
NA1_5231522834,1996,GameComplete,False,False
NA1_5231505635,1622,GameComplete,False,False
NA1_5230868553,1645,GameComplete,False,False
NA1_5230854403,939,GameComplete,True,False
NA1_5227936958,1688,GameComplete,False,False
NA1_5227927338,1578,GameComplete,False,False
NA1_5227892728,1690,GameComplete,False,False
NA1_5227887409,1899,GameComplete,False,False
NA1_5227818171,1000,GameComplete,True,False
NA1_5227351737,923,GameComplete,True,False
NA1_5226611638,1638,GameComplete,False,False
NA1_5226601373,1797,GameComplete,True,False
NA1_5226590732,1812,GameComplete,False,False
NA1_5226531893,1180,GameComplete,False,False
NA1_5226509512,1357,GameComplete,True,False
NA1_5226501007,1211,GameComplete,False,False
NA1_5226482725,1493,GameComplete,False,False
NA1_5246083182,1765,GameComplete,False,False
NA1_5246066477,1333,GameComplete,True,False
NA1_5250129441,106,GameComplete,False,True
NA1_5250119345,1524,GameComplete,False,False
NA1_5250109904,1558,GameComplete,False,False
NA1_5249636349,1570,GameComplete,False,False
NA1_5249614220,1159,GameComplete,True,False
NA1_5249605151,1599,GameComplete,True,False
NA1_5249602301,284,GameComplete,True,False
NA1_5249593639,1531,GameComplete,False,False
NA1_5249585035,2084,GameComplete,False,False
NA1_5249312948,1347,GameComplete,False,False
NA1_5249295611,1061,GameComplete,True,False
NA1_5249030045,1219,GameComplete,False,False
NA1_5249013311,1251,GameComplete,True,False
NA1_5248926926,105,GameComplete,False,True
NA1_5248913794,1096,GameComplete,True,False
NA1_5248891207,1409,GameComplete,False,False
NA1_5248867321,1332,GameComplete,False,False
NA1_5248862411,112,GameComplete,False,True
NA1_5248406017,142,GameComplete,False,True
NA1_5248400046,1816,GameComplete,False,False
NA1_5248386894,1669,GameComplete,False,False
NA1_5248376770,1221,GameComplete,False,False
NA1_5248001994,120,GameComplete,False,True
NA1_5247990035,840,GameComplete,True,False
NA1_5247925717,1988,GameComplete,False,False
NA1_5247915550,1193,GameComplete,True,False
NA1_5247838622,597,GameComplete,True,False
NA1_5247831097,1677,GameComplete,False,False
NA1_5247803701,2021,GameComplete,False,False
NA1_5247758530,1590,GameComplete,False,False
NA1_5247749199,1712,GameComplete,False,False
NA1_5247269222,1126,GameComplete,True,False
NA1_5247178098,1843,GameComplete,False,False
NA1_5246657923,972,GameComplete,True,False
NA1_5246649564,1193,GameComplete,False,False
NA1_5246611278,1735,GameComplete,True,False
NA1_5246604195,915,GameComplete,True,False
NA1_5246082623,1471,GameComplete,False,False
NA1_5246072041,1697,GameComplete,False,False
NA1_5245503598,116,GameComplete,False,True
NA1_5245497229,1494,GameComplete,False,False
NA1_5244951816,1926,GameComplete,False,False
NA1_5244944273,1553,GameComplete,False,False
NA1_5244934678,1730,GameComplete,False,False
NA1_5244932485,103,GameComplete,False,True
NA1_5244929693,105,GameComplete,False,True
NA1_5244922275,1373,GameComplete,False,False
NA1_5244707472,1097,GameComplete,True,False
NA1_5244497625,1612,GameComplete,False,False
NA1_5244476537,470,GameComplete,True,False
NA1_5244310666,1316,GameComplete,False,False
