matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5203692346,-W8yNfM2lKp80tkQN_xquHhFucf_7syGcdnI692au_a2l8QyfE3nSAdbA98QSyGmUn-hILMvsh0lZg,100,347,SOLO,TOP,5,3,1,41,False,False,61,1232,893,EMERALD,I,18,198252
NA1_5203692346,Pu3iF-jlEsHvXBCFJnoByufUEAeBW8vFpgHhmNd9dI092lCDnyrVAMHALqPwGGfv7Jiy3LErlB0thw,100,52,NONE,JUNGLE,4,4,1,77,False,False,101,1232,536,EMERALD,III,1,517
NA1_5203692346,0Xc-1vVaP0QreO5qPRQz1lmS5f9M6TajL1he6J8Y1MJDZxEohcbZG6ekxlGa0381ZgoMpTH21byEYQ,100,613,SOLO,MIDDLE,3,3,2,55,False,False,69,1232,694,UNRANKED,UNRANKED,30,312103
NA1_5203692346,eSLVUmEDLZe7AdD82kdV8DofGqN8sSvqW-VFv63uyhD-q_v62HKyNrkOhklKPrzy18E2yICFJoBYyg,100,523,CARRY,BOTTOM,2,6,4,901,False,False,127,1232,301,BRONZE,I,5,30966
NA1_5203692346,Kon8LBRC67MDuwK2GMMcbBjWSfM2FOxWJGPG24BJdVg2GT39c4vsAkanAHHYszVdeUtayNUWWdPuVQ,100,855,SUPPORT,UTILITY,2,7,2,43,False,False,104,1232,256,PLATINUM,II,35,372135
NA1_5203692346,YZ2PuRYgpQPg-fmCmxNnuOA2JNubE_S6uWMwnb9s5MLyfLeaHqKs99O607yfg3mlKoHQ7itAEPkGoQ,200,88,SOLO,TOP,3,8,4,27,True,False,157,1232,103,PLATINUM,I,3,8954
NA1_5203692346,CvswZAnbd4qkm0lW-5UXQEPp0zdmzD2ki2RphWb-ZPaozvf_o_PTVfoZ3IebG0QY_9rX04Si_bQ8QA,200,469,NONE,JUNGLE,5,1,8,427,True,False,12,1232,210,EMERALD,II,139,1695456
NA1_5203692346,r0UayWHwB5--xwj_qGXhQLwUAtM7lnFnTY_BpbAdinycm6agRzQM_4BORGoyiEw85o6sdPlYpTUbbA,200,621,SOLO,MIDDLE,4,4,1,518,True,False,142,1232,410,EMERALD,IV,8,63140
NA1_5203692346,WZNttgvb5L6leCjai4b73fh57JI3D2tLdcZ3JE499h144h5XNLjf6rEoEvdVCgEL5NJ0m2RyNXN1Yg,200,1353,CARRY,BOTTOM,10,3,7,96,True,False,55,1232,515,UNRANKED,UNRANKED,7,48239
NA1_5203692346,8oJoz9ZpvqXX3paORtmhp3gLcMGJzmMPwc_-PR0L6gENweNpQZ6mJ8l3WMNOIwjurMMt6dOqQElAFQ,200,854,SUPPORT,UTILITY,1,1,16,902,True,False,28,1232,767,EMERALD,I,4,13490
NA1_5203672587,qEVnFl3DKCPte_l80xQgMU_b4C0DjqF3cjcbiVSd1AHXMLwYtnlx12FbPwAAXp0R8Xbj78uwjfsJ4w,100,774,DUO,TOP,5,5,11,126,True,False,201,1550,354,UNRANKED,UNRANKED,8,62170
NA1_5203672587,hYrGpGIhYBR4KTh-b2xW6Ohtj7X4lrMev_FFMqU2UByO0371iGT3SQ28-1rRVxiCqr0RBsGlHl9LDg,100,74,NONE,JUNGLE,14,3,7,64,True,False,141,1550,771,UNRANKED,UNRANKED,3,7788
NA1_5203672587,YxLidgPsTGCajamCnEQWd70ZCgNt5rqkI1TxMrl6gxOOo43uzG79FCdvOguZRv_jjvp1H_sRolA70A,100,747,DUO,MIDDLE,9,0,16,99,True,False,0,1550,1546,UNRANKED,UNRANKED,22,243972
NA1_5203672587,L0MO_Vb8zE_NvXs87wkLxM7TvFU7grazeBJ1WitvEQuq8QnQV8n8iwEGQtuzHTE9w_DdLIuy3_uDHA,100,455,CARRY,BOTTOM,10,10,13,39,True,False,323,1550,360,UNRANKED,UNRANKED,11,95712
NA1_5203672587,FUwY-W-NZCR6Kda1x74SBPLYiUjly7PisL1Qk1980NwSlhvgc2BX8tc0Zx3D6ub_EP0ccoNevKwy3Q,100,555,SUPPORT,UTILITY,6,3,25,432,True,False,121,1550,717,UNRANKED,UNRANKED,14,120068
NA1_5203672587,Ib8ufxWLt3ptgTRL-Chhzo3t0H2vRSKmH19zFRXKohP5U-v0F6yTEtLOZ7WDrxKIA64uc9PVvmbk0g,200,308,SOLO,TOP,7,5,5,68,False,False,155,1550,542,EMERALD,IV,8,57678
NA1_5203672587,DyoqHOHT5yVOPVa2j-e6FZM0-ZYW6GoerGQBKzS4iWd03oPEU0CNomgKIvA-B2ggDn7O-C6GJa1Cmw,200,584,NONE,JUNGLE,1,11,3,11,False,False,360,1550,705,IRON,I,224,3015747
NA1_5203672587,YZ2PuRYgpQPg-fmCmxNnuOA2JNubE_S6uWMwnb9s5MLyfLeaHqKs99O607yfg3mlKoHQ7itAEPkGoQ,200,88,SOLO,MIDDLE,3,8,8,51,False,False,288,1550,625,PLATINUM,I,6,31632
NA1_5203672587,PaBcWkiojCWdxWj2IrH9jdDxlh5U8xqnbqVR-u8GlpWzaW7YwZqUbbzcHourlPNI5OMhntLNBILduA,200,842,CARRY,BOTTOM,7,9,8,910,False,False,220,1550,231,UNRANKED,UNRANKED,10,82577
NA1_5203672587,wKaEgYAKlJXKymIQFDV17BSjOBRRwzUc07PDyRzN-tJBEwHBqaFr7nuDq8VrolMcOjRuEFDkvLsEXA,200,281,SUPPORT,UTILITY,3,11,11,143,False,False,306,1550,187,PLATINUM,IV,3,9921
NA1_5203086326,AHyw-WpdWF67qGfk1ZMabCyPyIdfD9gY1lLcs_iRBYuC2h3RIaI3tWu1veAdVfQ-cqAfqOmrEeocjg,100,101,SOLO,TOP,2,3,3,58,True,False,147,1622,685,GOLD,III,4,17948
NA1_5203086326,ZWcY5ZC09kMTxb3scsZ9PojJBHfnvJ9mGcXmC77fnGvfTo7OV41yp6fFDpl4hNutrQE2yQGLVQAZ4g,100,282,NONE,JUNGLE,9,9,11,19,True,False,293,1622,311,IRON,I,5,23623
NA1_5203086326,DzcIk_OgW2sRZIDzsC9BgUT9la1LlIVRsU4mjv1JAEdp4-ydnFI99Ehxodf93r53vMY50GQICRSGJg,100,381,DUO,MIDDLE,24,4,4,55,True,False,99,1622,542,PLATINUM,III,187,2023033
NA1_5203086326,YZ2PuRYgpQPg-fmCmxNnuOA2JNubE_S6uWMwnb9s5MLyfLeaHqKs99O607yfg3mlKoHQ7itAEPkGoQ,100,88,DUO,BOTTOM,5,5,16,901,True,False,143,1622,286,PLATINUM,I,4,18378
NA1_5203086326,Qv7rXOLN_asET8MhZVpEm_gIwjbk34lFVfbV604Ej2V_fLnZS6XBtrTeB1af1Y1kFkPpTMMSNADVHw,100,577,SUPPORT,UTILITY,5,9,16,412,True,False,211,1622,251,PLATINUM,III,7,43837
NA1_5203086326,cMoXJQDHmnvKybUIg9H3Tfz7hI_0_iBBFLi2e8fDU43h3oKG8bvtyT5FDCTvMUMUVadmTCeHkS3rNQ,200,12,SOLO,TOP,3,6,4,122,False,False,243,1622,756,SILVER,I,3,7089
NA1_5203086326,clLCyWUbS-_u2r-Xkhn23w63xl1DsoCN28a43anjUa1w53LnjP0tnyfbpnb5WbupCRSFMIvL1oZnhQ,200,34,SUPPORT,JUNGLE,10,6,7,35,False,False,237,1622,933,PLATINUM,III,1,1074
NA1_5203086326,bBbLZFMTSUl9vDQoE4cF7HDtQPC3q1XGjsg9P4kUBlhiDiAfI-hDIidkSoHK_vIXNd38aM1XberQrg,200,938,CARRY,MIDDLE,4,12,7,136,False,False,361,1622,282,UNRANKED,UNRANKED,15,131387
NA1_5203086326,Bfp4Gnaa_XWomVPdfWYjWPApBdZCaBIEyISahdj3Auvh_Zy-BZ4VRlcZshpmHf2NZBFH0EOJKe1ZyA,200,383,CARRY,BOTTOM,8,11,10,15,False,False,353,1622,325,EMERALD,IV,16,184107
NA1_5203086326,2wdIaPLbAJomnJ_89LFgpELy_d7O-f7xVoD4eA362MTDzjE2weX7vWCr0i8w07UIVr_g-c-Vo0x7WA,200,247,SUPPORT,UTILITY,5,10,9,43,False,False,337,1622,378,PLATINUM,II,60,633353
NA1_5203017177,2vKldPGpBcWLZrXzVNd3jh31rrrYIqZj3qyCUgq4ZAVaUpavDGZgFc83gl69xak0gsMtv5eEHN6HgA,100,431,SUPPORT,TOP,3,1,0,106,False,False,0,743,730,GOLD,II,70,748775
NA1_5203017177,4PGHWbQw2O3JV5EtYTg-9PBKOf6NXMYn4b6675XZyQPwpr_gDW2mJQBMJtRPpgDX452V3cgka2_oCw,100,495,SUPPORT,JUNGLE,2,4,1,64,False,False,76,743,318,GOLD,II,3,9848
NA1_5203017177,6E31MbCwJqvQKjVlfe73oobx4o-Ul8wL5l5GMsyKDNV7MM6xYBvPcnzFU3n0XR8x9zL4_NgmfDFvfA,100,430,SUPPORT,MIDDLE,0,1,1,777,False,False,16,743,362,UNRANKED,UNRANKED,11,127083
NA1_5203017177,FOdgUHujdOY4Pmx-iVz16OypsJG-7MVnH6yXSrR1UAD9098HJZqd-WsVzqO3zIX6uCs_MI4gTbAmbQ,100,469,SUPPORT,BOTTOM,3,4,2,119,False,False,67,743,186,UNRANKED,UNRANKED,10,118162
NA1_5203017177,zKoRIKpk2uomtoxOs88yZ81QhqA2ak0TOLY6W0ZW4kQBLRbJR3CZkPrvxJjzw7JzseDwQB-iTa7E9A,100,489,SUPPORT,UTILITY,3,3,3,22,False,False,38,743,193,PLATINUM,III,9,76724
NA1_5203017177,YZ2PuRYgpQPg-fmCmxNnuOA2JNubE_S6uWMwnb9s5MLyfLeaHqKs99O607yfg3mlKoHQ7itAEPkGoQ,200,88,SUPPORT,TOP,0,3,2,41,True,False,41,743,357,PLATINUM,I,2,1930
NA1_5203017177,w4--6fnS9ETRDjg1h37aj0pFmxXCXv3LwK4cJK_X5nbfa5SN-JgRreYpIfYXr-0cqHgaZ_ms5ePy8A,200,700,SUPPORT,JUNGLE,1,0,3,141,True,False,0,743,0,PLATINUM,IV,52,601084
