matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5202763009,1535,GameComplete,False,False
NA1_5225146747,1298,GameComplete,False,False
NA1_5223324252,1161,GameComplete,True,False
NA1_5223291216,1939,GameComplete,False,False
NA1_5223266599,1309,GameComplete,True,False
NA1_5213595492,1320,GameComplete,False,False
NA1_5210827861,1395,GameComplete,False,False
NA1_5210800277,1802,GameComplete,False,False
NA1_5210768530,2245,GameComplete,False,False
NA1_5210550862,1490,GameComplete,False,False
NA1_5210527899,1009,GameComplete,True,False
NA1_5210364290,1612,GameComplete,True,False
NA1_5210341490,1679,GameComplete,False,False
NA1_5210290102,1123,GameComplete,False,False
NA1_5210262491,1795,GameComplete,False,False
NA1_5210238947,1819,GameComplete,True,False
NA1_5209959063,2097,GameComplete,False,False
NA1_5209921120,2290,GameComplete,False,False
NA1_5209894045,1556,GameComplete,True,False
NA1_5209628354,1423,GameComplete,False,False
NA1_5209604584,1733,GameComplete,True,False
NA1_5209583433,1509,GameComplete,True,False
NA1_5209444117,957,GameComplete,True,False
NA1_5209139294,1298,GameComplete,True,False
NA1_5209109772,1810,GameComplete,True,False
NA1_5209074546,1807,GameComplete,True,False
NA1_5208797008,942,GameComplete,True,False
NA1_5208782742,1588,GameComplete,True,False
NA1_5208483172,1179,GameComplete,True,False
NA1_5208468746,1076,GameComplete,True,False
NA1_5208439301,1772,GameComplete,False,False
NA1_5207810058,1539,GameComplete,True,False
NA1_5207790493,1230,GameComplete,True,False
NA1_5207772752,1469,GameComplete,False,False
NA1_5207754007,1069,GameComplete,True,False
NA1_5207733385,1141,GameComplete,False,False
NA1_5207336800,1611,GameComplete,True,False
NA1_5207138416,1390,GameComplete,False,False
NA1_5206431730,1445,GameComplete,True,False
NA1_5206408218,1097,GameComplete,True,False
NA1_5206386055,912,GameComplete,True,False
NA1_5206345848,1255,GameComplete,False,False
NA1_5206319869,1469,GameComplete,True,False
NA1_5205597739,1220,GameComplete,False,False
NA1_5205578150,932,GameComplete,True,False
NA1_5205554724,947,GameComplete,True,False
NA1_5205493135,1333,GameComplete,False,False
NA1_5205473932,970,GameComplete,True,False
NA1_5205427957,1975,GameComplete,False,False
NA1_5205353060,1608,GameComplete,True,False
NA1_5205335279,1041,GameComplete,True,False
NA1_5205308267,1621,GameComplete,False,False
NA1_5205281808,1859,GameComplete,False,False
NA1_5205262424,1326,GameComplete,False,False
NA1_5205247006,1297,GameComplete,False,False
NA1_5204749173,1517,GameComplete,False,False
NA1_5204706460,2323,GameComplete,False,False
NA1_5204687964,1044,GameComplete,True,False
NA1_5204659928,1561,GameComplete,True,False
NA1_5204641257,1023,GameComplete,True,False
NA1_5204610301,1795,GameComplete,False,False
NA1_5204571078,1397,GameComplete,True,False
NA1_5204547030,1460,GameComplete,True,False
NA1_5204523239,1781,GameComplete,True,False
NA1_5204494781,2253,GameComplete,False,False
NA1_5204468621,1518,GameComplete,True,False
NA1_5204445884,2048,GameComplete,False,False
NA1_5204431427,915,GameComplete,True,False
NA1_5204408628,1591,GameComplete,True,False
NA1_5204385716,1877,GameComplete,True,False
NA1_5204370503,1578,GameComplete,True,False
NA1_5204370816,137,GameComplete,False,True
NA1_5204041497,1020,GameComplete,True,False
NA1_5204016815,1473,GameComplete,False,False
NA1_5203995403,917,GameComplete,True,False
NA1_5203974790,1104,GameComplete,True,False
NA1_5203963982,113,GameComplete,False,True
NA1_5203933696,1212,GameComplete,False,False
NA1_5203897899,1959,GameComplete,False,False
NA1_5203862718,1713,GameComplete,False,False
NA1_5203841534,1100,GameComplete,True,False
NA1_5203816269,1476,GameComplete,False,False
NA1_5203785866,2154,GameComplete,False,False
NA1_5203743437,960,GameComplete,True,False
NA1_5203716658,1747,GameComplete,False,False
